gene_id,SRS5770730_C28abs,SRS5770731_C28abs,SRS5770732_C28abs,SRS5770733_C28abs,SRS5770734_C28abs,SRS5770735_C28abs,SRS5770736_S28abs,SRS5770737_S28abs,SRS5770738_S28abs,SRS5770739_S28abs,SRS5770740_S28abs,SRS5770741_S28abs
ENSMUSG00000102348|Gm10568,5,1,6,4,6,11,17,8,3,12,0,5
ENSMUSG00000025900|Rp1,0,12,8,6,0,17,6,10,2,7,0,8
ENSMUSG00000102948|Gm6101,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104123|Gm37483,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025902|Sox17,279,230,214,180,167,389,339,460,394,250,343,260
ENSMUSG00000104238|Gm37587,7,3,6,2,3,3,11,2,2,12,1,5
ENSMUSG00000102851|Gm18956,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000103377|Gm37180,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104017|Gm37363,0,0,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000103201|Gm37329,0,2,0,0,0,0,0,0,3,0,0,2
ENSMUSG00000103147|Gm7341,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103161|Gm38148,0,0,2,0,0,0,1,0,0,0,0,0
ENSMUSG00000051951|Xkr4,1423,1174,1416,1095,859,1655,930,1573,1502,1742,1207,1263
ENSMUSG00000103025|Gm37686,2,2,0,0,2,2,0,0,0,0,0,0
ENSMUSG00000089699|Gm1992,5,0,0,0,0,0,0,2,1,2,0,0
ENSMUSG00000102331|Gm19938,9,4,9,4,4,21,38,20,9,9,15,5
ENSMUSG00000102269|Gm7357,8,0,5,9,2,4,11,9,4,4,8,4
ENSMUSG00000104328|Gm37323,0,2,0,0,0,3,0,0,0,0,0,0
ENSMUSG00000102175|Gm6119,1,0,1,0,0,1,1,0,0,0,0,0
ENSMUSG00000103922|Gm6123,29,27,30,21,24,37,28,36,32,32,29,27
ENSMUSG00000033845|Mrpl15,1184,1082,998,851,864,1786,1063,1476,1375,1484,1098,1081
ENSMUSG00000102275|Gm37144,25,30,8,17,13,26,19,39,21,28,23,18
ENSMUSG00000025903|Lypla1,706,726,705,535,515,1043,620,1042,798,859,634,672
ENSMUSG00000104217|Gm37988,5,3,2,2,1,2,1,1,4,1,2,3
ENSMUSG00000033813|Tcea1,4009,4114,3117,2881,2621,5164,2955,4777,4640,4485,3308,3374
ENSMUSG00000062588|Gm6104,69,84,58,65,47,115,58,70,111,70,71,47
ENSMUSG00000025905|Oprk1,2145,3324,1852,2123,1500,2824,1633,3237,3250,3351,2216,2296
ENSMUSG00000033774|Npbwr1,86,102,74,68,65,140,81,142,103,102,62,94
ENSMUSG00000103280|Gm37277,122,130,113,95,64,177,95,126,198,152,131,138
ENSMUSG00000002459|Rgs20,2491,2546,1634,1560,1468,2944,1764,2449,3423,2842,2203,2220
ENSMUSG00000091305|Gm17100,2,0,2,4,1,2,0,0,1,2,3,4
ENSMUSG00000102653|Gm37079,1,3,0,0,2,2,3,0,2,0,3,4
ENSMUSG00000085623|Gm16041,3,0,5,0,0,0,0,0,3,0,0,2
ENSMUSG00000091665|Gm17101,5,15,5,6,0,5,6,12,0,11,7,8
ENSMUSG00000033793|Atp6v1h,7678,7843,6351,5093,5032,10311,5718,8653,9096,9058,6593,6835
ENSMUSG00000025907|Rb1cc1,3704,3562,3104,2649,2280,4572,2531,4350,4175,4579,2916,3405
ENSMUSG00000090031|4732440D04Rik,176,241,129,230,133,248,209,265,220,224,158,221
ENSMUSG00000087247|Alkal1,0,0,2,0,0,0,0,0,0,0,0,5
ENSMUSG00000102706|Gm7417,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103355|Gm2147,4,1,1,0,1,3,2,5,3,1,1,3
ENSMUSG00000103845|Gm19026,83,65,51,50,60,86,64,83,103,65,52,46
ENSMUSG00000033740|St18,680,653,506,492,336,911,488,799,721,724,531,564
ENSMUSG00000103329|Gm42492,47,42,19,27,13,41,22,37,54,38,27,35
ENSMUSG00000102135|Gm37108,0,5,0,3,0,0,0,0,5,7,4,4
ENSMUSG00000051285|Pcmtd1,5562,6055,4818,4483,3369,6998,4814,6985,6675,6843,4971,5326
ENSMUSG00000098201|Gm26983,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103509|Gm38372,180,262,169,304,94,174,97,276,214,361,178,356
ENSMUSG00000048538|Gm9826,17,17,10,6,21,28,17,21,23,13,25,10
ENSMUSG00000097797|Gm26901,56,50,19,48,25,72,71,98,49,46,57,51
ENSMUSG00000104428|Gm18299,2,0,0,0,0,0,4,0,0,0,0,0
ENSMUSG00000025909|Sntg1,1169,1058,852,872,777,1362,812,1290,1272,1155,922,860
ENSMUSG00000102253|Gm38259,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103884|Gm37005,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000086195|Gm6152,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104504|Gm7445,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102316|Gm37629,0,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000103819|Gm38008,0,0,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000102871|Gm37143,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102647|Gm38024,4,11,1,4,2,8,4,5,2,0,5,5
ENSMUSG00000086235|Gm16284,5,4,1,1,2,1,1,0,7,2,3,0
ENSMUSG00000084353|Gm15452,2,4,0,2,0,2,1,3,0,0,0,3
ENSMUSG00000103933|Gm36964,2,1,0,1,1,1,1,2,0,0,3,1
ENSMUSG00000066693|Gm7493,5,5,7,9,5,6,5,6,8,8,4,6
ENSMUSG00000061024|Rrs1,868,821,710,624,728,1441,845,1120,982,923,773,713
ENSMUSG00000025911|Adhfe1,854,839,766,638,649,1513,1017,1130,1044,880,749,752
ENSMUSG00000079671|2610203C22Rik,51,25,37,15,13,53,40,29,36,28,23,37
ENSMUSG00000081441|Gm6161,29,30,30,21,19,46,19,27,40,34,23,31
ENSMUSG00000067879|Vxn,1572,1097,6994,796,921,5640,5558,2225,1232,2703,1133,5257
ENSMUSG00000025912|Mybl1,115,78,100,66,64,142,76,154,112,125,62,108
ENSMUSG00000097893|1700034P13Rik,17,5,7,4,7,7,14,7,13,14,11,5
ENSMUSG00000045210|Vcpip1,3034,3059,2643,2243,2007,4168,2144,3556,3449,3383,2496,2624
ENSMUSG00000046334|Gm6195,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000025915|Sgk3,1462,1867,1001,1269,825,1778,1110,1892,2056,2121,1572,1498
ENSMUSG00000046101|Mcmdc2,113,139,107,102,74,170,112,178,131,205,122,116
ENSMUSG00000093178|Snord87,0,6,3,1,4,1,3,4,1,2,2,5
ENSMUSG00000098234|Snhg6,513,505,368,334,370,690,449,696,536,536,461,459
ENSMUSG00000099032|Tcf24,10,21,24,10,12,26,38,22,13,14,4,20
ENSMUSG00000025916|Ppp1r42,17,31,25,19,9,32,16,43,18,17,19,17
ENSMUSG00000087199|Gm15818,0,4,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000119658|AC102570.1,0,0,1,1,1,0,0,2,1,0,0,1
ENSMUSG00000104025|E330040D14Rik,2,0,1,2,0,3,0,3,0,0,0,0
ENSMUSG00000042501|Cpa6,3,2,12,0,2,4,24,7,5,4,0,6
ENSMUSG00000103810|Gm38005,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000083422|Gm15604,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000119312|AC102469.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000081417|Gm15603,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100212|Gm5522,10,7,6,3,3,12,7,7,7,5,5,4
ENSMUSG00000025917|Cops5,2748,2863,2500,2051,2087,4196,2621,3615,3386,3098,2518,2548
ENSMUSG00000056763|Cspp1,996,999,847,999,619,1492,1269,1621,1183,1174,916,1107
ENSMUSG00000102356|1700047N06Rik,0,0,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000067851|Arfgef1,5645,5385,4700,4234,3356,6885,4229,6570,5903,6224,4472,4841
ENSMUSG00000102556|Gm37569,1,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077318|Gm24173,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101827|Gm28686,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000048960|Prex2,3534,3298,3137,3220,2147,4805,3039,4311,4668,4015,3478,3707
ENSMUSG00000103825|Gm38178,0,1,0,0,0,0,0,0,2,0,0,0
ENSMUSG00000057715|A830018L16Rik,3656,3863,3270,2831,2331,4368,2805,4327,3851,4078,2840,3085
