Name	Description	GTEX-11NUK-0011-R4a-SM-DO12B	GTEX-11ONC-0011-R4b-SM-DO93H	GTEX-11PRG-0011-R4a-SM-DNZZR	GTEX-11TTK-0011-R4a-SM-DNZZU	GTEX-11ZU8-0011-R4a-SM-5BC6Y	GTEX-11ZVC-0011-R4a-SM-5BC6Z	GTEX-12WSA-0011-R4a-SM-57WB7	GTEX-12WSD-0011-R4b-SM-5LZUA	GTEX-12WSF-0011-R4b-SM-5HL88	GTEX-12WSH-0011-R4a-SM-5GU6K	GTEX-12ZZW-0011-R4a-SM-5DUX9	GTEX-12ZZZ-0011-R4b-SM-5DUV7	GTEX-13112-0011-R4b-SM-5DUXL	GTEX-1313W-0011-R4b-SM-5KLZV	GTEX-131XH-0011-R4b-SM-5DUWB	GTEX-131YS-0011-R4a-SM-5DUVL	GTEX-1399T-0011-R4b-SM-5DUVX	GTEX-139T8-0011-R4a-SM-5HL54	GTEX-13CZV-0011-R4b-SM-5J2NY	GTEX-13FLV-0011-R4a-SM-5LZYU	GTEX-13JVG-0011-R4a-SM-5MR4C	GTEX-13N1W-0011-R4a-SM-5MR52	GTEX-13N2G-0011-R4b-SM-5MR54	GTEX-13NYB-0011-R4b-SM-9QEGJ	GTEX-13NYS-0011-R4b-SM-5MR3O	GTEX-13O3O-0011-R4b-SM-5KM3F	GTEX-13O3Q-0011-R4a-SM-5P9H2	GTEX-13OVH-0011-R4a-SM-5KM3W	GTEX-13OVJ-0011-R4b-SM-5P9H5	GTEX-13OVL-0011-R4b-SM-5L3HV	GTEX-13OW5-0011-R4b-SM-5L3HS	GTEX-13OW6-0011-R4a-SM-5O9DX	GTEX-13OW7-0011-R4b-SM-5O9CX	GTEX-13OW8-0011-R4a-SM-9WG6V	GTEX-13PVQ-0011-R4a-SM-5O9CT	GTEX-13QIC-0011-R4a-SM-5PNX8	GTEX-13RTJ-0011-R4b-SM-5PNX1	GTEX-13SLW-0011-R4b-SM-5S2W2	GTEX-13SLX-0011-R4a-SM-5O9BJ	GTEX-13VXU-0011-R4b-SM-5O9CI	GTEX-13X6I-0011-R4b-SM-5PNU9	GTEX-13X6J-0011-R4b-SM-5P9K4	GTEX-13X6K-0011-R4b-SM-5P9HO	GTEX-1445S-0011-R4a-SM-5PNWN	GTEX-144GL-0011-R4a-SM-5PNUI	GTEX-145LS-0011-R4b-SM-5S2UT	GTEX-145MI-0011-R4b-SM-5PNZH	GTEX-147GR-0011-R4a-SM-5S2V2	GTEX-14ABY-0011-R4b-SM-5S2VN	GTEX-14ASI-0011-R4a-SM-69LQ4	GTEX-14BIM-0011-R4b-SM-5S2RK	GTEX-14DAQ-0011-R4a-SM-5YYAI	GTEX-14E7W-0011-R4b-SM-62LEA	GTEX-14JFF-0011-R4a-SM-5ZZV5	GTEX-14JG1-0011-R4b-SM-62LEB	GTEX-14JIY-0011-R4b-SM-5ZZV7	GTEX-14PJM-0011-R4a-SM-5YYAS	GTEX-14PN4-0011-R4a-SM-686ZT	GTEX-14PQA-0011-R4b-SM-6AJBU	GTEX-15CHQ-0011-R4a-SM-686ZX	GTEX-15DCD-0011-R4a-SM-69LPB	GTEX-15DDE-0011-R4b-SM-7KULI	GTEX-15DYW-0011-R4a-SM-6M46V	GTEX-15EO6-0011-R4a-SM-7KUKZ	GTEX-15ER7-0011-R4a-SM-6M46S	GTEX-15SHU-0011-R4b-SM-7IGLC	GTEX-16YQH-0011-R4a-SM-7EPGI	GTEX-17EVP-0011-R4a-SM-79OML	GTEX-17EVQ-0011-R4b-SM-7LT94	GTEX-17F97-0011-R4b-SM-7KFS2	GTEX-17HG3-0011-R4a-SM-7IGLL	GTEX-183WM-0011-R4a-SM-7LG6S	GTEX-18464-0011-R4a-SM-7LG6T	GTEX-1A3MX-0011-R4b-SM-7EWFK	GTEX-1AX9I-0011-R4b-SM-7EPIB	GTEX-1B8L1-0011-R4a-SM-7EWFJ	GTEX-1B996-0011-R4b-SM-9OSVO	GTEX-1C6VR-0011-R4b-SM-9QEGZ	GTEX-1C6WA-0011-R4a-SM-9QEH2	GTEX-1CB4G-0011-R4b-SM-CJI28	GTEX-1CB4J-0011-R4b-SM-9WG5P	GTEX-1E1VI-0011-R4b-SM-9QEHV	GTEX-1EMGI-0011-R4b-SM-CJI2D	GTEX-1EX96-0011-R4a-SM-ARU82	GTEX-1F48J-0011-R4b-SM-9OSVX	GTEX-1F6IF-0011-R4b-SM-CKZNJ	GTEX-1F75A-0011-R4a-SM-ARL8J	GTEX-1F7RK-0011-R4b-SM-9QEI7	GTEX-1GF9W-0011-R4a-SM-CE6RH	GTEX-1GMR8-0011-R4a-SM-9OSX1	GTEX-1GN73-0011-R4b-SM-9QEIK	GTEX-1GTWX-0011-R4a-SM-C1YQI	GTEX-1GZ4I-0011-R4a-SM-9QEI9	GTEX-1H1CY-0011-R4b-SM-CJI3G	GTEX-1H1DG-0011-R4a-SM-CE6RQ	GTEX-1H1ZS-0011-R4b-SM-CKZO7	GTEX-1H23P-0011-R4b-SM-CL54R	GTEX-1H2FU-0011-R4a-SM-CL551	GTEX-1H3NZ-0011-R4a-SM-CL54T	GTEX-1H3O1-0011-R4b-SM-A9SKE	GTEX-1HB9E-0011-R4b-SM-ARZLS	GTEX-1HBPH-0011-R4a-SM-A96RX	GTEX-1HBPI-0011-R4a-SM-CJI3K	GTEX-1HCU6-0011-R4b-SM-ARU74	GTEX-1HFI6-0011-R4b-SM-A96RT	GTEX-1I1GR-0011-R4a-SM-CMKHC	GTEX-1ICLZ-0011-R4a-SM-CMKHL	GTEX-1IY9M-0011-R4a-SM-C1YQ2	GTEX-1J1OQ-0011-R4a-SM-D4P2A	GTEX-1J8EW-0011-R4b-SM-ARU89	GTEX-1J8Q2-0011-R4a-SM-ADEHA	GTEX-1JJEA-0011-R4a-SM-EXUTC	GTEX-1JMQJ-0011-R4b-SM-EXUT8	GTEX-1JN6P-0011-R4a-SM-EZ6MS	GTEX-1LSVX-0011-R4b-SM-EXURP	GTEX-1LVAO-0011-R4a-SM-EXURO	GTEX-1N2DW-0011-R4b-SM-EZ6MD	GTEX-1N2EE-0011-R4a-SM-EXOII	GTEX-N7MS-0011-R4a-SM-2HMKW	GTEX-N7MT-0011-R4a-SM-2I3G9	GTEX-NL3H-0011-R4a-SM-2I3GK	GTEX-NL4W-0011-R4a-SM-2I5GZ	GTEX-NPJ7-0011-R4a-SM-2I3GJ	GTEX-NPJ8-0011-R4a-SM-2HML3	GTEX-OHPN-0011-R4A-SM-2I5FD	GTEX-P44G-0011-R4A-SM-2I3FB	GTEX-P44H-0011-R4A-SM-2XCEW	GTEX-Q2AG-0011-R4A-SM-2HMKA	GTEX-QDT8-0011-R4A-SM-32PKM	GTEX-QMR6-0011-R4A-SM-32PKU	GTEX-QVJO-0011-R4A-SM-2S1QL	GTEX-QVUS-0011-R4A-SM-3GAE7	GTEX-R55E-0011-R4A-SM-2TC5H	GTEX-RNOR-0011-R4A-SM-3GAD3	GTEX-S7SE-0011-R4A-SM-2XCDB	GTEX-T5JC-0011-R4A-SM-32PLT	GTEX-T6MN-0011-R4A-SM-32QPG	GTEX-TSE9-0011-R4A-SM-3DB7H	GTEX-UTHO-0011-R4A-SM-3GIJP	GTEX-WHSE-0011-R4A-SM-3P5ZN	GTEX-WVLH-0011-R4A-SM-3MJFS	GTEX-WZTO-0011-R4A-SM-3NMC7	GTEX-X4EP-0011-R4B-SM-3P627	GTEX-X4XX-0011-R4B-SM-46MWL	GTEX-X585-0011-R4B-SM-46MVH	GTEX-XLM4-0011-R4B-SM-4AT5C	GTEX-Y8DK-0011-R4A-SM-EXUR1	GTEX-YFC4-0011-R4a-SM-4RGLQ	GTEX-ZAB4-0011-R4a-SM-4SOKB	GTEX-ZAK1-0011-R4a-SM-6AJBK	GTEX-ZE9C-0011-R4a-SM-4WKH6	GTEX-ZVZQ-0011-R4b-SM-57WCZ
ENSG00000187583.10	PLEKHN1	0.07758	0.01115	0.2781	0.2078	0.4075	0.2022	0.1529	0.08301	0.127	0.09436	0.2339	0.2661	0.08033	0.1711	0.1231	0.1803	0.1283	0.122	0.3145	0.1482	0.1272	0.18600000000000003	0.2599	0.03595	0.1417	0.05172	0.030560000000000004	0.10300000000000001	0.1541	0.1163	0.03737	0.1595	0.1306	0.08105	0.1686	0.038	0.1024	0.1123	0.1294	0.09863999999999999	0.1706	0.08859	0.056429999999999994	0.1204	0.1131	0.1525	0.0571	0.1025	0.1983	0.2247	0.06246	0.1182	0.1351	0.04156	0.09979	0.08662	0.1519	0.1152	0.05397999999999999	0.0249	0.033339999999999995	0.1144	0.125	0.1254	0.07794	0.01128	0.0984	0.08159	0.1801	0.2376	0.02334	0.4399	0.3682	0.04332	0.047889999999999995	0.09299	0.1756	0.05807999999999999	0.04759	0.04621	0.2235	0.09268	0.03367	0.05467999999999999	0.1534	0.051210000000000006	0.1769	0.011859999999999999	0.1201	0.1187	0.03327	0.09879	0.1041	0.03924	0.1395	0.08423	0.1156	0.05801	0.1591	0.08906	0.03361	0.04462	0.031160000000000004	0.04955	0.1392	0.07643	0.1979	0.03532	0.09958	0.009706000000000001	0.08653	0.02988	0.06704	0.01366	0.06466000000000001	0.035	0.043019999999999996	0.07537999999999999	0.2416	0.3361	0.2447	0.2648	0.1812	0.3664	0.311	0.3577	0.2655	0.1874	0.185	0.1984	0.06571	0.1026	0.1803	0.121	0.2822	0.05779	0.09567	0.1642	0.02777	0.2642	0.04537	0.0972	3.252	0.06671	0.111	0.06054	0.07073	0.09838999999999999	0.1106	0.07917	0.1289	0.1318
ENSG00000131584.18	ACAP3	55.5	70.76	98.26	39.63	14.55	31.95	41.88	99.25	71.61	33.89	35.47	41.97	72.11	78.11	130.7	84.87	56.02	40.26	51.52	85.64	44.68	117.6	95.67	43.28	42.49	94.76	110.4	60.01	56.77	49.96	78.41	51.0	40.82	42.46	47.94	95.26	68.42	53.15	55.28	82.62	77.39	68.94	78.38	44.44	39.65	105.0	33.41	21.34	80.23	91.04	70.39	82.85	71.31	14.17	31.99	50.32	84.63	49.61	56.23	85.07	73.04	19.4	97.18	74.79	66.87	84.2	62.81	94.55	30.26	53.09	47.71	27.23	92.2	80.74	117.2	112.9	82.12	63.85	54.27	41.44	40.39	37.47	90.45	47.36	82.98	72.21	51.1	79.51	54.17	39.36	85.48	86.31	48.76	32.73	61.36	67.91	28.65	18.26	113.8	77.86	87.17	89.61	72.81	76.91	141.6	66.73	69.15	103.0	38.7	27.94	44.71	21.39	72.97	23.38	77.77	45.91	44.65	66.54	79.29	49.94	37.33	48.05	49.33	41.36	22.0	48.02	56.27	120.6	70.38	41.8	72.17	57.03	84.36	72.75	82.52	84.83	55.15	60.88	50.65	79.64	83.64	131.3	39.37	115.0	158.7	129.5	51.23	79.8	90.11	82.88	44.38	78.55
ENSG00000205116.3	TMEM88B	3.431	4.525	28.08	14.76	4.604	17.71	8.273	14.38	35.94	24.97	10.6	5.9270000000000005	22.21	13.13	74.74	7.763	6.277	2.423	5.885	10.1	19.8	17.42	30.36	8.666	4.208	18.97	23.0	12.33	6.181	14.91	6.351	5.358	5.471	14.27	12.24	7.959	17.13	10.59	4.039	8.725	20.2	7.606	15.08	16.72	11.93	13.98	20.12	14.75	27.31	10.8	1.706	18.4	46.47	7.297999999999999	3.4610000000000003	9.014	64.44	4.196000000000001	4.27	22.22	16.08	3.125	18.04	6.627000000000001	8.179	6.922999999999999	10.82	5.095	6.191	7.255	7.774	4.899	13.98	8.491	37.69	20.52	38.06	25.26	12.68	19.0	10.91	8.101	23.39	12.52	23.81	5.702000000000001	10.66	23.57	13.44	2.427	14.72	13.13	14.68	12.35	11.29	6.72	20.35	8.519	13.25	4.737	48.96	29.54	15.19	15.34	42.53	25.69	5.865	3.063	13.15	5.303	10.46	2.6430000000000002	1.3259999999999998	4.513999999999999	19.45	5.22	45.98	9.884	41.03	10.86	0.9736	4.228	4.504	6.066	7.343999999999999	4.6819999999999995	11.47	16.44	11.46	18.07	8.753	1.869	7.598	12.24	3.0069999999999997	8.961	6.968999999999999	4.144	8.379	58.76	12.72	28.44	1.379	23.81	91.71	72.55	5.079	11.95	14.63	39.55	10.61	10.75
ENSG00000179403.11	VWA1	11.33	19.43	16.24	23.36	5.985	16.39	12.14	27.01	25.09	20.86	9.445	6.629	18.26	14.13	46.7	15.25	9.536	8.979	10.06	25.36	16.38	31.29	41.53	16.17	29.71	14.44	12.55	13.19	29.58	9.062999999999999	29.2	12.77	11.88	19.87	16.33	24.85	19.89	16.2	12.07	14.59	23.69	13.07	25.45	14.59	11.24	15.38	23.87	17.48	20.29	13.11	8.224	11.59	65.93	9.814	8.888	13.87	37.41	18.42	17.1	29.14	17.6	11.5	16.59	10.29	9.317	11.26	14.86	14.59	4.716	11.14	17.56	12.63	21.76	19.91	30.66	29.48	52.57	20.48	13.76	17.91	60.59	10.4	21.3	18.51	34.75	13.83	17.65	20.7	12.59	8.264	23.94	15.26	10.85	9.722999999999999	17.95	18.16	28.14	6.4510000000000005	20.44	12.37	35.81	20.71	18.74	19.33	38.07	16.3	13.93	14.12	21.0	12.48	11.22	8.749	11.21	15.48	23.71	19.85	35.78	13.86	45.42	18.52	4.9910000000000005	16.8	13.49	18.92	8.642000000000001	12.73	11.02	17.25	15.79	16.06	19.01	18.23	13.14	20.34	12.76	27.76	14.36	10.58	13.82	46.86	15.99	19.11	129.0	30.3	79.96	39.92	10.52	16.14	26.8	31.01	11.43	11.4
ENSG00000142609.17	CFAP74	1.063	0.5161	1.219	0.7315	0.0715	1.985	0.3804	0.8963	0.228	0.5795	0.10400000000000001	0.35700000000000004	0.2006	1.0	1.379	1.146	0.5699	0.5763	0.6639	0.182	0.1001	0.539	2.634	0.2038	0.3348	0.7757	1.097	0.7981	2.519	0.3916	1.324	0.4694	0.1697	0.1819	0.8253	4.7219999999999995	3.78	4.072	0.4921	0.843	1.048	0.7366	0.4065	2.747	0.2233	3.198	0.01541	0.8896	0.6502	2.001	0.6713	0.9817	0.7596	0.4074	0.6076	1.2819999999999998	0.4982	0.3991	0.3519	1.564	1.827	0.1171	1.195	1.6269999999999998	0.6198	1.704	0.9064	1.272	0.243	0.3025	0.4889	0.08021	0.7852	0.7163	1.765	1.23	0.7322	0.3183	1.371	0.1441	0.1257	0.451	1.5190000000000001	0.3229	0.6219	0.3677	0.09747	0.9244	0.1797	0.4166	0.7912	0.4794	0.4696	0.1159	1.139	2.46	0.09102	0.036539999999999996	1.034	0.7854	0.6747	0.9485	1.482	1.053	1.7830000000000001	0.7871	0.9756	1.324	0.5573	0.07795	0.2407	0.02352	1.045	0.1936	1.1	0.4189	0.7357	0.6232	0.8234	0.9924	0.4352	0.5305	0.5136	0.3462	0.2712	0.4609	0.5707	0.8674	0.8873	1.195	1.788	1.37	1.712	1.245	1.251	0.8737	0.3277	0.7176	1.338	6.702000000000001	1.348	0.8827	1.286	1.046	1.4680000000000002	1.392	0.3742	4.039	0.7089	3.65	0.1182	0.8926
ENSG00000196581.10	AJAP1	4.459	2.952	6.835	2.207	0.6728	1.0390000000000001	2.333	5.102	4.756	2.376	1.508	1.063	2.6069999999999998	5.867999999999999	7.275	8.036	3.025	1.4669999999999999	1.46	1.777	1.6640000000000001	5.691	7.849	2.6239999999999997	1.665	7.593999999999999	6.327000000000001	2.185	2.184	1.9480000000000002	3.647	2.359	1.315	1.713	2.045	1.416	4.277	1.868	2.678	6.172999999999999	6.7170000000000005	4.185	6.372000000000001	2.074	1.629	5.08	1.239	1.787	6.425	4.698	6.313	4.821000000000001	4.367	0.9348	1.9809999999999999	7.551	5.121	4.842	2.449	6.492000000000001	2.759	1.8219999999999998	8.242	5.263	4.801	6.593999999999999	7.115	7.1160000000000005	1.107	2.937	4.103	0.6466	3.512	6.011	11.47	6.237	6.983	1.6159999999999999	3.076	2.685	0.8344	2.528	6.752999999999999	1.5590000000000002	6.599	3.513	4.3069999999999995	5.857	2.27	3.136	5.931	4.02	2.418	1.045	2.225	4.207	1.4969999999999999	0.9990000000000001	14.94	3.5839999999999996	5.815	4.526	2.983	9.735	9.163	3.696	3.891	9.844	2.003	0.7752	2.373	0.894	5.003	0.8373	4.996	4.213	3.846	3.688	6.556	4.532	4.0280000000000005	3.83	4.26	3.279	1.035	4.362	7.03	12.64	6.402	4.176	8.346	5.631	10.42	4.583	8.181000000000001	3.95	4.62	4.425	4.6930000000000005	5.962000000000001	7.784	11.26	1.501	6.057	7.29	7.558	2.262	7.7	5.752999999999999	4.611000000000001	0.9058	5.32
ENSG00000116251.9	RPL22	74.5	87.31	119.3	101.7	76.04	56.8	56.49	83.28	82.25	179.0	66.99	52.19	65.34	78.21	106.3	98.74	61.36	78.65	47.48	101.1	57.87	88.34	105.9	108.3	79.32	88.7	122.1	49.25	110.7	55.87	71.51	76.51	42.5	53.5	62.77	93.18	81.63	67.28	80.56	74.12	112.5	89.68	99.67	54.18	38.85	83.69	98.08	167.1	88.95	55.02	67.34	80.86	214.3	108.4	202.0	139.6	97.72	93.57	53.46	127.3	73.0	61.01	111.8	123.7	98.15	109.9	166.1	110.3	28.82	74.21	186.6	31.39	61.28	88.69	101.1	124.5	91.21	94.95	104.6	70.22	115.3	55.07	127.7	52.49	95.31	84.06	155.9	117.7	60.12	62.86	117.8	79.56	76.67	59.56	70.53	107.9	72.33	64.13	139.4	63.18	113.3	63.25	70.57	70.2	102.6	87.07	102.4	161.7	101.5	37.32	79.84	36.29	165.4	46.45	99.04	125.6	127.9	79.15	144.9	96.42	64.22	101.0	74.14	64.2	69.34	48.68	125.7	141.6	101.2	101.0	146.6	149.7	107.4	127.0	85.06	106.6	92.91	84.53	95.49	120.2	130.3	84.53	95.76	78.4	162.8	97.51	57.77	94.33	112.8	116.6	41.39	97.07
ENSG00000158286.12	RNF207	2.318	3.793	4.629	1.847	0.3566	0.9649	1.649	4.39	3.145	0.4039	1.1909999999999998	1.545	4.928	3.945	4.647	7.303	2.6830000000000003	1.344	1.791	3.305	0.9526	3.847	5.303999999999999	2.784	1.526	3.968	6.497000000000001	1.9680000000000002	3.3569999999999998	1.685	3.79	2.897	1.8130000000000002	1.88	1.689	4.314	4.662	2.28	1.8	4.012	5.434	2.7310000000000003	3.804	1.5390000000000001	1.895	5.617000000000001	0.5757	0.7013	4.512	4.5089999999999995	6.643	5.088	1.7719999999999998	0.2352	0.4282	1.6980000000000002	3.005	2.395	2.142	6.3	3.707	0.5204	7.186	5.088	2.949	5.247000000000001	0.8189	5.965	0.8863	3.26	1.399	0.4933	2.246	3.2110000000000003	8.984	3.455	3.2060000000000004	1.903	1.952	2.2030000000000003	1.594	2.265	4.192	1.808	6.152	3.717	1.128	3.443	1.686	0.8921	3.803	2.278	2.244	0.5029	2.635	2.813	0.7568	0.382	8.343	3.8080000000000003	3.0210000000000004	4.441	3.6860000000000004	4.008	9.799	2.4730000000000003	4.48	7.892	1.321	1.28	1.92	0.5769	1.9909999999999999	0.855	3.556	0.769	1.902	3.7739999999999996	2.9410000000000003	3.3289999999999997	2.53	1.8419999999999999	3.056	3.156	0.7911	2.44	2.077	9.464	5.138	2.1959999999999997	5.994	6.432	4.573	2.989	5.922999999999999	3.386	4.745	5.2379999999999995	4.298	1.545	5.69	8.78	4.843999999999999	7.5329999999999995	7.388	7.9270000000000005	1.827	4.636	4.501	3.964	1.085	4.652
ENSG00000171680.21	PLEKHG5	9.112	5.86	12.55	6.936	1.714	2.719	2.215	15.44	10.23	5.547000000000001	3.302	3.7460000000000004	10.05	13.15	15.1	11.93	10.11	4.652	6.145	5.476	2.8939999999999997	19.29	13.28	5.377999999999999	4.468999999999999	15.36	16.9	6.757999999999999	7.7170000000000005	4.197	10.91	5.454	2.8680000000000003	3.95	4.079	9.046	12.68	8.632	7.371	13.16	12.57	8.956	16.41	4.762	2.8369999999999997	17.73	2.4090000000000003	2.1390000000000002	10.2	10.6	19.58	9.245	7.912000000000001	1.442	8.32	9.091000000000001	6.742000000000001	9.766	8.704	11.47	11.16	3.011	17.23	13.06	10.11	15.93	11.45	16.12	3.448	5.454	7.784	1.871	7.022	13.41	33.39	19.94	13.73	3.109	6.775	4.005	4.33	4.066	13.62	3.49	13.53	6.882999999999999	8.006	11.55	5.6129999999999995	6.117999999999999	13.57	12.27	2.891	2.576	5.965	11.02	2.158	0.9112	25.67	7.808	9.423	12.75	10.56	14.89	15.99	4.569	13.11	20.15	6.175	2.2030000000000003	3.537	1.575	14.65	2.08	10.38	9.709	3.8510000000000004	8.484	5.805	7.3020000000000005	3.9610000000000003	8.785	7.199	4.787	4.426	10.05	10.51	22.49	9.435	5.285	18.41	8.734	17.97	11.64	14.51	13.46	7.252999999999999	12.56	6.027	14.79	14.64	22.11	87.85	6.447	21.81	20.62	4.231	13.03	12.25	10.24	2.2159999999999997	13.27
ENSG00000177000.10	MTHFR	4.325	3.6719999999999997	5.127000000000001	3.509	0.9762	1.9409999999999998	2.133	4.322	3.7439999999999998	2.5869999999999997	1.844	1.758	3.3710000000000004	4.815	5.711	6.242000000000001	4.33	2.403	2.483	3.5239999999999996	2.563	5.5489999999999995	6.774	2.6889999999999996	3.255	4.922	5.687	2.688	5.151	2.451	3.9360000000000004	2.908	1.736	2.471	2.727	3.815	4.862	3.5069999999999997	3.623	4.71	5.672999999999999	4.53	6.117000000000001	2.678	1.841	5.153	3.861	1.8019999999999998	5.146	3.826	4.564	4.297	4.004	1.022	1.8619999999999999	3.87	4.232	5.218999999999999	4.018	6.5889999999999995	4.65	1.9569999999999999	6.78	5.704	4.034	4.916	3.75	6.399	1.3130000000000002	3.287	2.7489999999999997	1.589	3.3489999999999998	4.703	7.409	5.983	5.722	2.985	3.7760000000000002	2.177	5.523	2.064	5.952000000000001	2.134	5.266	4.118	3.24	4.309	3.154	2.653	5.228	4.0489999999999995	2.37	1.676	3.2880000000000003	4.88	2.8760000000000003	1.743	8.24	3.9930000000000003	5.712000000000001	4.177	4.372	4.886	7.334	2.9730000000000003	4.478	6.68	2.5540000000000003	1.841	3.134	1.125	4.244	1.186	5.945	3.42	3.968	3.272	6.053	4.645	2.6430000000000002	4.254	3.99	4.1819999999999995	2.5989999999999998	4.418	5.2620000000000005	7.6979999999999995	6.62	4.526	7.301	6.372999999999999	8.081	5.685	7.101	6.1339999999999995	3.7510000000000003	4.224	4.387	5.716	6.659	7.989	21.03	6.419	8.618	6.992000000000001	2.271	5.375	7.563	4.312	1.3940000000000001	4.402
