Name	Description	GTEX-11DXW-0011-R3b-SM-DNZZE	GTEX-11DZ1-0011-R3a-SM-DNZYY	GTEX-11GSO-0011-R3b-SM-57WB2	GTEX-11GSP-0011-R3a-SM-9QEGF	GTEX-11UD1-0011-R3a-SM-5BC6S	GTEX-11WQC-0011-R3a-SM-DO11T	GTEX-11WQK-0011-R3b-SM-DO93K	GTEX-11ZTS-0011-R3a-SM-5BC78	GTEX-11ZVC-0011-R3a-SM-5BC6V	GTEX-12WSC-0011-R3a-SM-5P9F1	GTEX-12WSD-0011-R3b-SM-5LZWN	GTEX-12WSF-0011-R3a-SM-5DUW7	GTEX-12WSM-0011-R3b-SM-5LZWI	GTEX-12ZZW-0011-R3a-SM-5DUWW	GTEX-12ZZX-0011-R3b-SM-5EGLH	GTEX-12ZZZ-0011-R3b-SM-5DUXK	GTEX-13112-0011-R3b-SM-5HL9L	GTEX-1313W-0011-R3a-SM-5EGLI	GTEX-131XH-0011-R3b-SM-5DUWM	GTEX-131YS-0011-R3b-SM-5DUXB	GTEX-139T8-0011-R3b-SM-5HL4R	GTEX-139TT-0011-R3b-SM-5K7VL	GTEX-13CF2-0011-R3b-SM-5LZZ6	GTEX-13CIG-0011-R3b-SM-5K7XF	GTEX-13CZV-0011-R3a-SM-5KM27	GTEX-13FHO-0011-R3b-SM-5K7YA	GTEX-13FLV-0011-R3b-SM-5LZYP	GTEX-13IVO-0011-R3b-SM-5IJBJ	GTEX-13JVG-0011-R3b-SM-5LZXF	GTEX-13N1W-0011-R3a-SM-5MR5E	GTEX-13N2G-0011-R3b-SM-5MR5G	GTEX-13NYB-0011-R3b-SM-A9SM4	GTEX-13NYS-0011-R3b-SM-5MR41	GTEX-13O3O-0011-R3b-SM-5KM3R	GTEX-13O3Q-0011-R3a-SM-5P9H3	GTEX-13OVH-0011-R3a-SM-5KM49	GTEX-13OVL-0011-R3b-SM-5L3I8	GTEX-13OW5-0011-R3a-SM-5L3I5	GTEX-13OW7-0011-R3a-SM-5O9DA	GTEX-13OW8-0011-R3a-SM-5L3I4	GTEX-13PLJ-0011-R3a-SM-5O9DT	GTEX-13PVQ-0011-R3b-SM-5O9D6	GTEX-13QIC-0011-R3a-SM-5P9HT	GTEX-13RTJ-0011-R3a-SM-5PNX7	GTEX-13RTL-0011-R3a-SM-5P9JP	GTEX-13S7M-0011-R3a-SM-5PNX2	GTEX-13SLW-0011-R3b-SM-5SI6Y	GTEX-13VXU-0011-R3b-SM-5O9CU	GTEX-13X6I-0011-R3b-SM-5P9HM	GTEX-13X6J-0011-R3b-SM-5P9K5	GTEX-13X6K-0011-R3b-SM-5PNUD	GTEX-1445S-0011-R3a-SM-5P9HY	GTEX-144GL-0011-R3a-SM-5P9HP	GTEX-145LS-0011-R3a-SM-5S2VJ	GTEX-145LU-0011-R3a-SM-5P9K2	GTEX-145MG-0011-R3b-SM-5SI67	GTEX-145MH-0011-R3b-SM-5P9JQ	GTEX-1477Z-0011-R3b-SM-5PNX9	GTEX-148VJ-0011-R3b-SM-69LQJ	GTEX-14BIM-0011-R3b-SM-5S2RL	GTEX-14BIN-0011-R3b-SM-6AJBL	GTEX-14BMV-0011-R3a-SM-5ZZU7	GTEX-14C39-0011-R3b-SM-5YYA3	GTEX-14DAQ-0011-R3b-SM-5YYAJ	GTEX-14E7W-0011-R3b-SM-5YYB5	GTEX-14JG1-0011-R3a-SM-62LEC	GTEX-14JIY-0011-R3a-SM-5YYAQ	GTEX-14LLW-0011-R3b-SM-62LFW	GTEX-14LZ3-0011-R3a-SM-664NQ	GTEX-14PJM-0011-R3b-SM-5ZZV9	GTEX-14PJO-0011-R3a-SM-6AJBY	GTEX-14PN4-0011-R3b-SM-686ZU	GTEX-14PQA-0011-R3b-SM-69LQO	GTEX-15CHQ-0011-R3b-SM-686ZY	GTEX-15DCD-0011-R3b-SM-D4P1P	GTEX-15DYW-0011-R3b-SM-6LPIM	GTEX-15EO6-0011-R3b-SM-7KUDY	GTEX-15ER7-0011-R3a-SM-6LPIK	GTEX-15G19-0011-R3a-SM-6LPIG	GTEX-15SHU-0011-R3a-SM-7IGPS	GTEX-16XZZ-0011-R3a-SM-7IGLH	GTEX-16YQH-0011-R3a-SM-7EPGM	GTEX-17EVP-0011-R3a-SM-7EPI9	GTEX-17EVQ-0011-R3b-SM-7LT9B	GTEX-17F97-0011-R3b-SM-7LT9E	GTEX-17HHY-0011-R3a-SM-7EWDK	GTEX-17HII-0011-R3a-SM-7LT9D	GTEX-18A6Q-0011-R3a-SM-718A7	GTEX-1A3MX-0011-R3b-SM-79OOW	GTEX-1B8L1-0011-R3a-SM-7EPIO	GTEX-1B933-0011-R3b-SM-7P8PL	GTEX-1B996-0011-R3b-SM-9QEGY	GTEX-1BAJH-0011-R3a-SM-7IGNU	GTEX-1C6WA-0011-R3a-SM-9OSVP	GTEX-1CB4G-0011-R3a-SM-CE6QQ	GTEX-1CB4H-0011-R3b-SM-9OSVI	GTEX-1E1VI-0011-R3a-SM-9OSWH	GTEX-1EH9U-0011-R3b-SM-CL534	GTEX-1EMGI-0011-R3b-SM-CE6R9	GTEX-1EN7A-0011-R3a-SM-9OSVT	GTEX-1EU9M-0011-R3a-SM-9QEHY	GTEX-1EX96-0011-R3b-SM-ARZMH	GTEX-1F48J-0011-R3b-SM-9OSVY	GTEX-1F52S-0011-R3a-SM-CKZNI	GTEX-1F6I4-0011-R3a-SM-9QEH9	GTEX-1F75A-0011-R3b-SM-ARL8K	GTEX-1F7RK-0011-R3b-SM-9OSWJ	GTEX-1GF9W-0011-R3b-SM-CJI2S	GTEX-1GMR8-0011-R3b-SM-9QEIG	GTEX-1GN73-0011-R3b-SM-9QEIL	GTEX-1GTWX-0011-R3b-SM-CJI2Z	GTEX-1GZ2Q-0011-R3a-SM-A96RP	GTEX-1GZ4I-0011-R3b-SM-9OSWP	GTEX-1H1ZS-0011-R3b-SM-CE6RS	GTEX-1H23P-0011-R3b-SM-CL54S	GTEX-1H2FU-0011-R3b-SM-CKZP4	GTEX-1H3O1-0011-R3a-SM-ACKVD	GTEX-1H3VE-0011-R3a-SM-CE6SK	GTEX-1HB9E-0011-R3a-SM-ARL7D	GTEX-1HBPH-0011-R3a-SM-A96RY	GTEX-1HCU6-0011-R3a-SM-ARU75	GTEX-1HFI6-0011-R3b-SM-A9SKB	GTEX-1HGF4-0011-R3b-SM-CL54W	GTEX-1HR98-0011-R3b-SM-A9G1U	GTEX-1HUB1-0011-R3b-SM-CKZOX	GTEX-1I1GR-0011-R3a-SM-CM2T4	GTEX-1I1GS-0011-R3b-SM-CYPS7	GTEX-1I1GV-0011-R3a-SM-CL557	GTEX-1IDJH-0011-R3a-SM-CJI42	GTEX-1IKJJ-0011-R3b-SM-C1YRW	GTEX-1IKK5-0011-R3b-SM-C1YRY	GTEX-1J1OQ-0011-R3b-SM-D4P2B	GTEX-1J8EW-0011-R3a-SM-ARU8A	GTEX-1J8Q2-0011-R3b-SM-ACKVG	GTEX-1JJEA-0011-R3b-SM-EXUTD	GTEX-1JMOU-0011-R3a-SM-EYYXN	GTEX-1JMPZ-0011-R3a-SM-EYYWX	GTEX-1KD4Q-0011-R3b-SM-EXOID	GTEX-1LVAO-0011-R3a-SM-EXOI7	GTEX-1MCQQ-0011-R3a-SM-EXURW	GTEX-1N2EE-0011-R3b-SM-EXURY	GTEX-N7MS-0011-R3a-SM-33HC6	GTEX-N7MT-0011-R3a-SM-2I3GC	GTEX-NL3H-0011-R3a-SM-2I3GL	GTEX-NPJ8-0011-R3a-SM-2HMIW	GTEX-P44G-0011-R3A-SM-2I3FC	GTEX-P44H-0011-R3A-SM-D3L8E	GTEX-PVOW-0011-R3A-SM-32PKX	GTEX-PWO3-0011-R3A-SM-2I5EX	GTEX-Q2AG-0011-R3A-SM-2HMJ9	GTEX-QDT8-0011-R3A-SM-32PKR	GTEX-QVUS-0011-R3A-SM-3GAFD	GTEX-RNOR-0011-R3A-SM-5SI8E	GTEX-RVPV-0011-R3A-SM-2TF63	GTEX-T2IS-0011-R3A-SM-32QPB	GTEX-UTHO-0011-R3A-SM-3GIK8	GTEX-WHSE-0011-R3A-SM-3P5ZM	GTEX-WL46-0011-R3A-SM-3TW8E	GTEX-WZTO-0011-R3B-SM-3NMC6	GTEX-X4EP-0011-R3A-SM-3P626	GTEX-X4XX-0011-R3B-SM-46MWK	GTEX-X4XY-0011-R3B-SM-EXOHI	GTEX-X585-0011-R3B-SM-46MVG	GTEX-XLM4-0011-R3B-SM-4AT6E	GTEX-XMD1-0011-R3B-SM-4AT5R	GTEX-Y8DK-0011-R3A-SM-4RTW5	GTEX-YFC4-0011-R3a-SM-4RGLP	GTEX-YJ89-0011-R3b-SM-4V6EF	GTEX-Z93S-0011-R3b-SM-4RGNH	GTEX-ZAB4-0011-R3a-SM-4RGNQ	GTEX-ZDXO-0011-R3a-SM-4WKFS	GTEX-ZE9C-0011-R3a-SM-4WKGT	GTEX-ZF28-0011-R3a-SM-4WWDA	GTEX-ZUA1-0011-R3a-SM-4YCEE	GTEX-ZVT3-0011-R3b-SM-51MTJ	GTEX-ZVZQ-0011-R3a-SM-57WC7
ENSG00000187583.10	PLEKHN1	0.2069	0.06065	0.1259	0.1021	0.449	0.2283	0.03032	0.2887	0.3317	0.03569	0.09376	0.07439	0.0828	0.09293	0.06197999999999999	0.1786	0.1909	0.11800000000000001	0.1458	0.09913999999999999	0.1485	0.1918	0.02611	0.1289	0.1816	0.06371	0.1544	0.08903	0.02421	0.1464	0.10800000000000001	0.1174	0.09936	0.09142	0.06815	0.1646	0.04087	0.1572	0.08077000000000001	0.1626	0.1443	0.2195	0.1962	0.1197	0.08557999999999999	0.083	0.121	0.1656	0.1718	0.07654	0.1258	0.08196	0.09025	0.2362	0.1532	0.2488	0.07213	0.1113	0.09201000000000001	0.1564	0.06646	0.1057	0.0936	0.1212	0.2008	0.07281	0.0647	0.08491	0.0701	0.03294	0.05	0.01139	0.1486	0.0	0.02897	0.1147	0.1832	0.054770000000000006	0.1414	0.01376	0.04602	0.1394	0.1135	0.2041	0.2473	0.06923	0.3083	0.5128	0.053529999999999994	0.05602000000000001	0.1099	0.1372	0.091	0.1689	0.1189	0.09221	0.1546	0.06475	0.08042	0.1897	0.0366	0.06875	0.1886	0.1162	0.0577	0.0	0.07993	0.026310000000000004	0.07282999999999999	0.09022999999999999	0.06281	0.1405	0.1345	0.1291	0.1077	0.050589999999999996	0.2216	0.07184	0.04125	0.03525	0.01133	0.08843999999999999	0.08849	0.2037	0.062279999999999995	0.0575	0.059320000000000005	0.0894	0.0481	0.061939999999999995	0.0541	0.07641	0.06472	0.07742	0.0596	0.3187	0.1672	0.01876	0.032510000000000004	0.01378	0.06045	0.1031	0.2627	0.26899999999999996	0.2684	0.212	0.06769	0.1062	0.2494	0.142	0.07898	0.04528	0.1325	0.4121	0.1393	0.07418999999999999	0.1328	0.1097	0.02454	2.6719999999999997	0.2457	0.07424	0.3228	0.1425	0.1377	0.058429999999999996	0.1655	0.08954	0.04883	0.05801	0.1518	0.08271	0.1307	0.2213	0.2023	0.1507
ENSG00000131584.18	ACAP3	104.2	116.7	94.37	50.87	43.3	42.85	37.68	43.89	20.22	105.7	74.31	65.53	125.0	45.28	97.85	83.81	67.4	94.37	155.1	129.5	44.2	67.34	76.81	53.5	88.69	59.2	103.2	28.3	61.47	149.7	63.41	77.26	86.08	103.5	116.0	95.44	109.6	75.63	60.07	103.8	34.53	52.7	114.5	93.83	30.41	85.86	82.76	125.2	79.26	95.17	121.5	40.73	115.2	100.4	92.03	76.8	164.1	32.25	27.88	137.1	86.08	95.01	83.11	87.87	59.05	36.09	46.71	43.22	43.24	125.0	85.22	87.35	69.52	106.1	95.9	79.12	79.3	91.97	56.47	83.55	37.61	53.72	95.98	33.81	92.58	107.0	87.85	109.4	126.3	90.53	111.9	71.61	78.98	95.71	50.5	76.18	56.79	20.52	104.1	36.06	44.17	106.6	81.12	56.64	75.21	83.98	71.03	91.66	72.05	102.9	120.4	95.24	60.02	68.74	45.51	29.51	98.53	34.2	91.58	65.95	73.77	126.6	44.9	63.61	85.33	84.46	63.61	67.69	146.5	115.2	71.24	56.29	35.42	80.28	71.15	60.4	82.11	67.53	46.4	75.22	102.4	80.44	96.75	47.83	75.16	108.3	104.2	115.2	41.04	122.5	61.82	63.65	108.2	86.3	87.82	62.02	94.29	160.0	140.4	37.88	147.8	43.61	178.8	104.4	82.71	106.5	118.5	96.39	90.34	79.67	111.4	113.2	65.68	78.18	55.43	86.76
ENSG00000205116.3	TMEM88B	7.845	3.577	1.237	5.5760000000000005	2.841	1.122	1.052	2.025	7.281000000000001	2.414	3.72	11.16	1.436	9.51	24.32	4.212	1.192	5.896	9.752	5.502000000000001	3.983	10.45	0.5434	1.743	1.197	1.3259999999999998	11.31	0.9264	0.9447	4.188	7.617999999999999	1.61	4.394	2.175	3.4960000000000004	2.491	9.357000000000001	2.603	1.528	1.5619999999999998	0.9554	4.187	1.6340000000000001	2.056	3.08	1.296	1.088	3.65	0.5645	2.688	29.45	2.947	5.806	1.921	0.9301	1.2429999999999999	9.32	2.3930000000000002	1.101	0.4652	3.32	4.345	1.851	3.575	10.54	18.75	5.001	2.8280000000000003	2.432	87.58	3.252	1.955	3.234	12.62	7.587999999999999	2.985	4.885	2.494	2.6039999999999996	2.505	6.876	1.9180000000000001	2.4219999999999997	3.69	3.217	4.953	5.048	14.02	0.7427	4.256	2.112	6.984	0.9996	5.078	0.5063	5.6610000000000005	1.207	2.096	7.1739999999999995	3.487	3.428	25.04	3.827	3.6289999999999996	4.003	12.02	10.3	5.568	0.6316	2.9339999999999997	4.249	11.1	11.61	2.992	1.2	2.9389999999999996	0.6209	0.6942	42.49	20.24	2.77	13.16	4.547	16.1	1.25	1.675	0.3704	5.797000000000001	1.251	3.867	1.595	0.8835	1.936	4.7	0.07753	1.923	5.074	11.86	3.0869999999999997	4.59	1.651	0.7040000000000001	28.82	1.348	22.62	8.237	2.415	11.37	3.1660000000000004	5.265	3.2539999999999996	0.7067	10.55	8.373	0.836	4.324	7.894	6.787000000000001	16.67	0.556	7.081	1.932	7.678	5.252000000000001	53.51	6.689	4.439	2.033	0.1694	2.8369999999999997	7.111000000000001	16.26	0.7849	6.12	0.8237	18.68
ENSG00000179403.11	VWA1	12.32	7.827999999999999	6.877999999999999	13.54	10.55	9.005	25.53	8.915	7.075	7.006	17.34	9.812999999999999	9.311	8.794	18.99	11.05	10.64	7.309	12.57	13.6	11.05	15.32	13.27	10.17	10.64	12.94	15.37	3.739	15.41	17.07	30.3	10.0	29.49	9.571	9.116	12.14	14.05	11.98	13.17	18.74	8.455	15.13	15.48	12.04	9.343	9.74	9.224	8.16	14.35	10.23	39.93	16.9	17.43	12.78	11.48	9.601	10.31	8.295	11.58	8.133	10.03	13.7	12.99	10.6	7.916	20.62	8.633	26.93	12.4	41.42	13.1	9.456	23.15	16.87	18.4	9.916	10.89	10.76	13.0	7.691	12.94	9.822000000000001	8.487	8.02	11.48	17.15	14.57	14.34	14.93	9.853	13.67	23.89	11.0	11.06	9.006	25.73	10.15	8.917	11.38	11.31	11.0	17.05	18.58	19.82	9.764	9.896	10.32	17.24	10.54	13.66	14.55	18.02	13.5	13.88	20.26	4.577	11.21	5.031000000000001	21.73	12.89	9.886000000000001	19.65	9.661	18.94	10.88	8.079	10.19	10.14	12.15	10.04	10.51	9.87	10.6	9.73	9.617	17.97	22.1	16.7	31.62	11.11	12.2	5.074	87.68	3.9930000000000003	39.18	13.3	12.49	10.82	11.81	9.008	9.382	8.741	9.201	14.85	3.801	11.0	18.26	10.2	14.81	58.43	16.13	3.505	17.68	14.7	29.2	10.91	11.27	9.824	6.721	11.58	12.8	19.1	9.312000000000001	10.81	8.437000000000001	15.15
ENSG00000142609.17	CFAP74	0.9636	2.044	1.5	0.4822	0.2006	0.4254	0.3151	0.3914	0.09794	2.58	0.6312	0.9254	2.458	0.4342	1.183	1.119	0.5412	2.253	3.247	3.075	0.4372	1.34	1.3880000000000001	0.3714	1.676	0.3913	1.0759999999999998	0.1093	0.4517	1.61	0.6689	0.9274	1.085	1.141	2.07	1.138	0.9203	0.7426	0.5307	1.276	0.2478	0.35600000000000004	1.238	1.9969999999999999	0.2224	1.3330000000000002	1.1640000000000001	2.205	1.315	2.075	1.036	0.1866	1.058	2.225	1.07	0.7240000000000001	3.737	0.2383	0.4651	2.502	1.589	0.6142	0.9462	0.9355	1.369	0.374	1.013	0.6097	0.4526	0.8091	1.181	1.146	1.251	1.531	1.168	0.9679	1.4169999999999998	1.119	0.442	1.703	0.3199	1.143	2.049	0.3447	1.8840000000000001	1.275	0.8096	0.7514	1.4669999999999999	2.398	1.694	0.9719	1.17	1.609	0.6998	1.8119999999999998	0.9899	0.1054	2.35	0.1673	0.3847	1.5590000000000002	1.305	0.67	0.7405	1.203	1.2209999999999999	0.9157	1.311	1.652	2.984	0.9113	0.3775	1.669	0.2979	0.1593	2.166	0.1551	1.9680000000000002	0.4885	1.252	1.9509999999999998	0.5225	0.3345	1.034	2.195	1.4069999999999998	1.0490000000000002	2.71	2.6239999999999997	0.5666	0.8503	0.2178	1.4509999999999998	1.274	0.8792	0.9937	0.5228	0.8753	0.8986	1.999	3.3569999999999998	0.7861	0.9742	0.7607	2.364	1.955	2.55	0.7539	2.281	1.222	2.535	2.7880000000000003	1.251	3.259	1.2690000000000001	0.8646	3.553	2.0580000000000003	0.9592	1.7409999999999999	0.7436	4.073	3.1860000000000004	0.8748	1.615	2.9530000000000003	1.5190000000000001	1.3230000000000002	2.137	1.7690000000000001	1.2590000000000001	0.7459	1.419	0.6773	0.6408
ENSG00000196581.10	AJAP1	6.992999999999999	10.65	11.28	1.795	1.9780000000000002	1.047	2.123	1.725	0.6578	7.237	3.05	5.68	9.933	1.899	8.687999999999999	5.537999999999999	4.928	11.67	15.1	9.564	2.112	6.218999999999999	6.73	2.596	6.735	4.05	3.93	1.868	2.8280000000000003	12.27	3.17	3.89	6.005	8.207	7.892	7.482	6.806	8.258	1.7730000000000001	5.495	1.0	1.8519999999999999	5.712000000000001	8.753	0.9625	8.262	5.26	11.25	5.694	12.25	12.62	1.19	6.968999999999999	8.513	4.279	3.7089999999999996	14.81	1.087	1.234	14.03	9.613999999999999	3.281	4.275	4.426	3.605	3.535	6.662000000000001	2.383	2.017	9.322000000000001	3.38	12.63	4.688	10.72	9.714	4.269	11.28	9.533999999999999	2.9360000000000004	6.922000000000001	1.493	6.343	10.52	1.258	9.556000000000001	5.575	4.729	5.365	15.1	10.17	9.354	6.563	5.327000000000001	6.4510000000000005	4.84	7.4479999999999995	4.316	1.13	11.04	0.9734	2.02	6.899	7.502999999999999	4.018	5.749	8.529	5.001	4.8069999999999995	7.327000000000001	13.13	9.212	6.002999999999999	3.3080000000000003	5.58	3.1639999999999997	1.195	9.871	0.8344	8.674	3.1180000000000003	6.892	9.617	3.778	2.32	5.3260000000000005	9.305	4.579	6.148	15.03	13.31	5.0360000000000005	7.114	1.169	7.779	9.255	5.669	5.542999999999999	3.505	5.53	3.8339999999999996	9.413	16.25	5.142	12.54	6.79	15.56	8.927	21.4	3.911	15.81	6.891	13.59	11.83	8.622	13.29	7.934	9.921	13.42	19.13	1.575	13.7	3.49	15.94	10.63	2.877	9.185	13.96	8.686	15.82	11.58	8.965	4.893	5.184	6.4	2.432	4.572
ENSG00000116251.9	RPL22	81.24	96.91	80.14	57.63	65.25	39.44	56.81	40.24	41.72	96.25	49.15	81.41	68.83	33.23	97.6	79.74	59.14	79.67	79.14	108.3	89.74	121.4	51.11	53.78	72.57	90.56	61.71	29.82	59.63	76.57	100.7	90.56	82.32	55.42	87.2	72.65	68.97	98.48	41.02	49.49	32.19	43.83	80.73	71.95	23.27	60.3	58.84	83.22	94.19	74.79	104.6	44.47	68.93	81.73	44.36	51.82	82.35	32.21	38.02	91.32	91.56	71.24	59.81	55.95	117.8	178.3	115.2	86.43	37.84	132.8	71.87	91.86	44.17	122.9	111.4	54.85	96.89	73.54	36.72	103.5	52.3	142.1	103.9	44.06	87.53	66.04	60.16	73.61	90.75	76.01	108.7	77.85	55.36	100.5	73.49	79.3	38.67	77.05	88.25	30.38	50.52	106.6	97.84	83.39	68.58	124.3	89.01	58.39	77.05	81.81	71.45	94.2	60.02	97.86	57.03	42.83	80.83	30.51	139.5	60.1	52.16	110.8	52.9	48.07	60.24	95.95	79.3	54.65	87.22	75.98	61.44	103.9	28.67	67.37	100.9	92.98	173.8	61.48	100.3	63.39	83.4	81.12	134.2	77.73	153.3	68.15	119.7	109.4	76.15	86.68	97.95	137.5	90.82	71.8	120.4	105.2	66.48	78.06	101.0	102.0	84.64	61.14	120.5	92.56	103.0	89.5	92.21	66.54	125.5	104.7	99.98	66.71	45.16	86.74	41.68	80.61
ENSG00000158286.12	RNF207	8.968	10.28	9.972999999999999	1.624	1.81	2.178	1.595	2.4819999999999998	0.9421	5.731	4.487	3.153	9.546	2.5780000000000003	5.216	3.805	3.6439999999999997	4.731	10.47	10.03	1.3769999999999998	1.324	5.111000000000001	1.15	6.351	2.452	6.57	0.6994	2.555	9.382	2.8280000000000003	5.582999999999999	3.043	7.765	9.104	6.545	8.435	4.196000000000001	3.0460000000000003	6.895	1.4409999999999998	3.4539999999999997	8.564	10.16	0.9449	7.43	5.5	12.12	5.357	7.0520000000000005	12.48	1.359	7.4239999999999995	9.604	5.468999999999999	4.4719999999999995	12.8	0.9385	1.127	15.04	4.761	6.685	4.381	6.047000000000001	1.54	0.9574	1.729	2.855	2.785	6.129	6.775	6.345	4.588	8.55	9.266	5.577000000000001	5.977	5.98	5.041	6.055	1.4880000000000002	0.7825	5.601	1.5590000000000002	11.21	6.257000000000001	7.112	8.825	10.53	4.8260000000000005	9.477	2.8960000000000004	6.88	7.335	3.693	8.802999999999999	4.118	0.6419	7.565	1.949	2.266	7.082999999999999	8.908999999999999	3.452	5.794	2.7910000000000004	2.253	6.365	5.103	7.239	7.945	4.721	4.067	4.938	1.669	0.8196	8.671	0.7243	4.408	3.168	4.162	8.244	2.725	5.237	7.558	9.57	2.978	5.05	12.62	10.0	2.9	2.125	1.347	7.297000000000001	5.129	3.429	2.6430000000000002	3.222	1.71	3.423	7.456	13.27	5.015	5.811	5.146	7.265	6.122999999999999	11.91	4.456	12.63	4.518	15.06	9.161	8.349	9.3	9.306000000000001	2.778	11.03	13.77	2.4330000000000003	15.44	4.32	17.3	10.1	3.159	10.86	13.36	7.706	6.318	7.624	6.9079999999999995	9.962	5.3229999999999995	7.327999999999999	4.105	4.835
ENSG00000171680.21	PLEKHG5	24.38	29.65	27.29	6.525	6.291	4.708	6.922999999999999	6.709	2.27	28.67	12.54	17.45	37.86	3.6860000000000004	19.2	17.61	10.71	23.95	50.46	27.24	7.417999999999999	8.711	17.74	9.767999999999999	22.68	13.42	15.25	3.719	12.3	46.25	8.326	15.61	18.0	30.02	27.11	23.49	22.29	11.76	8.575	26.27	4.151	9.347999999999999	21.95	29.28	3.9760000000000004	25.9	19.06	29.47	20.17	33.02	34.72	4.266	26.67	26.32	17.71	16.13	50.34	3.722	5.789	43.26	24.13	11.06	15.59	16.73	9.382	6.801	11.93	7.792999999999999	5.149	12.38	20.96	26.29	19.07	25.62	19.43	14.51	20.39	21.46	5.928	20.28	4.68	15.93	28.32	5.058	21.11	19.52	15.95	14.8	36.44	25.53	25.41	17.56	15.51	21.89	11.31	25.18	9.937999999999999	1.3519999999999999	29.61	4.493	6.517	18.26	20.74	5.959	18.73	17.56	10.06	20.63	18.96	28.53	42.15	16.13	7.544	19.18	10.95	3.5260000000000002	32.55	4.361000000000001	15.27	9.917	18.27	23.89	8.37	4.959	17.94	21.31	16.96	9.788	45.34	39.38	17.71	22.38	5.806	18.75	22.93	21.83	20.04	9.445	11.52	12.12	24.32	32.23	6.971	10.34	10.05	36.14	29.45	39.27	7.472	37.44	21.59	16.31	29.06	19.61	21.34	13.16	25.78	46.58	37.4	39.92	33.51	7.72	65.18	40.69	8.14	26.1	30.68	27.63	28.23	27.69	27.34	13.9	11.69	19.05	10.07	14.15
ENSG00000177000.10	MTHFR	5.789	6.564	8.283999999999999	2.707	2.9339999999999997	2.506	3.355	2.377	1.197	6.471	3.292	4.96	7.745	2.276	6.282	5.476	4.407	7.268	9.377	7.2989999999999995	2.75	3.7260000000000004	5.666	2.977	6.028	5.0760000000000005	4.99	2.275	4.184	8.738	4.808	3.7939999999999996	5.869	5.765	7.4079999999999995	6.191	7.055	4.707	3.195	6.249	1.7069999999999999	3.1919999999999997	6.475	7.045	1.7919999999999998	6.422999999999999	4.436	7.725	5.382999999999999	7.937	9.741	2.278	6.568	7.233	5.09	4.03	11.3	1.841	2.369	9.617	6.417000000000001	4.666	5.149	5.221	4.1	2.5580000000000003	4.547	4.012	3.5410000000000004	6.88	5.251	6.792999999999999	5.48	8.172	7.34	5.029	7.148	6.5520000000000005	3.5989999999999998	5.872999999999999	2.6489999999999996	3.2889999999999997	7.796	2.059	5.553999999999999	6.737	4.409	6.29	8.401	7.5760000000000005	6.215	5.4670000000000005	4.435	4.841	4.763999999999999	6.002999999999999	2.895	1.666	7.372000000000001	1.735	2.244	5.808	6.2010000000000005	3.66	4.393	6.211	4.2219999999999995	6.202999999999999	5.172000000000001	7.457999999999999	7.19	6.055	3.2	6.013999999999999	4.008	2.222	6.859	1.396	7.11	3.281	4.386	7.574	3.52	2.827	5.064	6.109	4.348	4.64	9.107999999999999	7.419	3.245	4.005	1.864	5.537000000000001	6.603	5.212999999999999	5.379	3.832	4.855	3.888	7.361000000000001	9.674	6.188	5.54	9.226	9.052999999999999	8.271	9.886000000000001	4.235	9.74	6.183	8.844	7.371	6.1160000000000005	7.8839999999999995	5.632000000000001	7.3229999999999995	9.706	12.62	14.68	9.53	2.519	11.53	9.051	4.762	6.478	9.396	5.712000000000001	8.745	7.325	6.86	5.425	4.138	5.5329999999999995	2.8939999999999997	4.407
