Name	Description	GTEX-1192X-0011-R9b-SM-DO934	GTEX-11DZ1-0011-R9a-SM-DO933	GTEX-11EMC-0011-R9b-SM-DO921	GTEX-11GSP-0011-R9b-SM-5NQ77	GTEX-11ONC-0011-R9b-SM-5NQ8J	GTEX-11UD2-0011-R9b-SM-DO926	GTEX-11WQK-0011-R9b-SM-5BC6N	GTEX-11ZTS-0011-R9b-SM-DO93Q	GTEX-11ZUS-0011-R9b-SM-5BC76	GTEX-11ZVC-0011-R9a-SM-57WC5	GTEX-12126-0011-R9b-SM-5BC6P	GTEX-12WSC-0011-R9a-SM-5GU4U	GTEX-12WSD-0011-R9a-SM-5GU6W	GTEX-12WSH-0011-R9b-SM-5LZUG	GTEX-131XW-0011-R9a-SM-5N9EO	GTEX-131YS-0011-R9b-SM-5EQLY	GTEX-139T4-0011-R9b-SM-5HL6S	GTEX-139UW-0011-R9b-SM-5LZYT	GTEX-13CIG-0011-R9a-SM-5K7VU	GTEX-13CZV-0011-R9a-SM-5LZXT	GTEX-13FLV-0011-R9b-SM-5L3DA	GTEX-13FTY-0011-R9b-SM-5KM2U	GTEX-13FXS-0011-R9a-SM-5K7UI	GTEX-13JUV-0011-R9a-SM-5LZX3	GTEX-13N1W-0011-R9b-SM-5MR4R	GTEX-13N2G-0011-R9b-SM-5MR4E	GTEX-13NYB-0011-R9b-SM-5MR5P	GTEX-13NYS-0011-R9b-SM-5MR44	GTEX-13NZA-0011-R9b-SM-5MR5I	GTEX-13O1R-0011-R9b-SM-5KM33	GTEX-13OVJ-0011-R9b-SM-5L3GD	GTEX-13OVL-0011-R9a-SM-5P9GX	GTEX-13OW5-0011-R9b-SM-5O9CL	GTEX-13PL6-0011-R9b-SM-5O9CH	GTEX-13PLJ-0011-R9b-SM-5O9DV	GTEX-13PVQ-0011-R9b-SM-5LU3B	GTEX-13QJC-0011-R9b-SM-5PNX3	GTEX-13RTJ-0011-R9a-SM-5Q5AY	GTEX-13S7M-0011-R9a-SM-5O9DW	GTEX-13SLW-0011-R9a-SM-5O9BT	GTEX-13SLX-0011-R9b-SM-5SI6X	GTEX-13VXU-0011-R9b-SM-5SI73	GTEX-13X6I-0011-R9b-SM-5PNZJ	GTEX-145LU-0011-R9b-SM-5SI66	GTEX-147GR-0011-R9a-SM-5S2UY	GTEX-148VJ-0011-R9b-SM-5SI77	GTEX-14ABY-0011-R9a-SM-5PNZK	GTEX-14BIL-0011-R9a-SM-5SI7A	GTEX-14BIM-0011-R9a-SM-6LLJL	GTEX-14BIN-0011-R9a-SM-5SI76	GTEX-14BMV-0011-R9b-SM-5ZZUA	GTEX-14E6C-0011-R9a-SM-6EU33	GTEX-14E7W-0011-R9a-SM-62LE6	GTEX-14JIY-0011-R9a-SM-6EU34	GTEX-14PJM-0011-R9b-SM-6EU35	GTEX-14PJO-0011-R9b-SM-62LE9	GTEX-14PN4-0011-R9a-SM-6LLH9	GTEX-15CHQ-0011-R9a-SM-6LLHX	GTEX-15DCD-0011-R9b-SM-7KUED	GTEX-15DDE-0011-R9b-SM-6M46U	GTEX-15DYW-0011-R9b-SM-6PALB	GTEX-15EO6-0011-R9a-SM-6PALG	GTEX-15ER7-0011-R9b-SM-6PALF	GTEX-15G19-0011-R9b-SM-7KUEE	GTEX-16NPV-0011-R9b-SM-79ONF	GTEX-16XZZ-0011-R9b-SM-7DHKX	GTEX-16Z82-0011-R9a-SM-7DUFA	GTEX-17EVQ-0011-R9b-SM-79OJY	GTEX-18464-0011-R9a-SM-731BK	GTEX-1A32A-0011-R9b-SM-7MGXD	GTEX-1A8G7-0011-R9b-SM-7IGQH	GTEX-1B8L1-0011-R9b-SM-9WG5U	GTEX-1B933-0011-R9a-SM-79OOR	GTEX-1BAJH-0011-R9b-SM-7EPIQ	GTEX-1C6VQ-0011-R9a-SM-7SB85	GTEX-1C6VS-0011-R9b-SM-9WG5W	GTEX-1CAMQ-0011-R9a-SM-9WG5Z	GTEX-1CAV2-0011-R9b-SM-9WG5M	GTEX-1CB4H-0011-R9a-SM-CKZNL	GTEX-1EH9U-0011-R9b-SM-9WG5T	GTEX-1EKGG-0011-R9a-SM-CMKFV	GTEX-1EU9M-0011-R9a-SM-9WG61	GTEX-1EWIQ-0011-R9a-SM-ARL8L	GTEX-1F52S-0011-R9a-SM-9WG62	GTEX-1F6I4-0011-R9a-SM-CMKFU	GTEX-1F88F-0011-R9b-SM-9WG7L	GTEX-1GF9V-0011-R9a-SM-CL53K	GTEX-1GF9W-0011-R9b-SM-9WG7J	GTEX-1GN1U-0011-R9b-SM-CMKFW	GTEX-1GN2E-0011-R9b-SM-9WG7F	GTEX-1GN73-0011-R9a-SM-CKZO5	GTEX-1GTWX-0011-R9a-SM-ADEH4	GTEX-1GZ2Q-0011-R9a-SM-9WG7A	GTEX-1GZ4I-0011-R9b-SM-B2LY8	GTEX-1GZHY-0011-R9a-SM-9WG5R	GTEX-1H1DF-0011-R9b-SM-CM2RN	GTEX-1H1DG-0011-R9b-SM-ACKVB	GTEX-1H1ZS-0011-R9a-SM-CM2SO	GTEX-1H23P-0011-R9a-SM-CM2T1	GTEX-1H2FU-0011-R9b-SM-CE6S4	GTEX-1H3NZ-0011-R9a-SM-ADEH7	GTEX-1H3O1-0011-R9b-SM-CM2SQ	GTEX-1HBPH-0011-R9a-SM-CMKH3	GTEX-1HBPI-0011-R9b-SM-ARL76	GTEX-1HBPM-0011-R9b-SM-ARL7C	GTEX-1HFI6-0011-R9b-SM-CMKH4	GTEX-1HGF4-0011-R9a-SM-ADEH9	GTEX-1HR98-0011-R9b-SM-ARL79	GTEX-1HSMO-0011-R9b-SM-CM2T2	GTEX-1I19N-0011-R9a-SM-CMKHN	GTEX-1I1CD-0011-R9a-SM-CMKHB	GTEX-1I1GS-0011-R9b-SM-CMKHF	GTEX-1I1GV-0011-R9b-SM-ARZLE	GTEX-1I1HK-0011-R9a-SM-CMKHK	GTEX-1ICLZ-0011-R9a-SM-ARL7E	GTEX-1IDJH-0011-R9a-SM-ADEIN	GTEX-1IGQW-0011-R9b-SM-D4P25	GTEX-1IKJJ-0011-R9a-SM-ARZLI	GTEX-1IY9M-0011-R9b-SM-D3L8J	GTEX-1J1OQ-0011-R9b-SM-ARZMK	GTEX-1J8EW-0011-R9b-SM-D4P2F	GTEX-1J8JJ-0011-R9a-SM-ACKVF	GTEX-1JJ6O-0011-R9a-SM-EYYXP	GTEX-1JMLX-0011-R9a-SM-EYYXM	GTEX-1JN1M-0011-R9a-SM-EZ6MR	GTEX-1KANB-0011-R9b-SM-EZ6MO	GTEX-1LB8K-0011-R9a-SM-EZ6MP	GTEX-1LSNL-0011-R9b-SM-EYYWK	GTEX-1LVA9-0011-R9a-SM-EYYWF	GTEX-1LVAO-0011-R9a-SM-EZ6MY	GTEX-1MJK2-0011-R9b-SM-EZ6MZ	GTEX-1OJC4-0011-R9a-SM-EZ6N1	GTEX-1R46S-0011-R9a-SM-EZ6N7	GTEX-1RQEC-0011-R9a-SM-EZ6N3	GTEX-NL4W-0011-R9a-SM-2I3G1	GTEX-NPJ7-0011-R9a-SM-2TC5R	GTEX-NPJ8-0011-R9a-SM-2YUN5	GTEX-OHPN-0011-R9A-SM-5TDEJ	GTEX-OXRO-0011-R9A-SM-3NB1X	GTEX-PWO3-0011-R9A-SM-EVR2V	GTEX-Q2AG-0011-R9A-SM-2HMJ6	GTEX-QDT8-0011-R9A-SM-CYPRD	GTEX-QVJO-0011-R9A-SM-2S1QH	GTEX-QVUS-0011-R9A-SM-3GIJA	GTEX-R55E-0011-R9A-SM-2TC6C	GTEX-RNOR-0011-R9A-SM-2TF52	GTEX-RU72-0011-R9A-SM-2TF67	GTEX-T5JC-0011-R9A-SM-32PLV	GTEX-T6MN-0011-R9A-SM-32QOZ	GTEX-TSE9-0011-R9A-SM-3DB7Q	GTEX-WL46-0011-R9A-SM-3MJFP	GTEX-XLM4-0011-R9A-SM-4AT45	GTEX-XMD1-0011-R9A-SM-4AT49	GTEX-YFC4-0011-R9a-SM-4SOK4	GTEX-YJ89-0011-R9a-SM-4SOK7	GTEX-ZAB4-0011-R9a-SM-4SOKG	GTEX-ZE9C-0011-R9a-SM-4WWCY	GTEX-ZF28-0011-R9a-SM-4WWDY	GTEX-ZVZQ-0011-R9a-SM-51MRH
ENSG00000187583.10	PLEKHN1	0.07371	0.1268	0.1982	0.1205	0.1985	0.07931	0.3791	0.061320000000000006	0.2527	0.2476	0.1442	0.09602999999999999	0.2219	0.03708	0.09744	0.07996	0.1268	0.105	0.1834	0.1034	0.1229	0.06262999999999999	0.2932	0.06581000000000001	0.1182	0.09949	0.1204	0.1512	0.057179999999999995	0.2085	0.1546	0.07615	0.4207	0.2288	0.02779	0.04785	0.07334	0.06402000000000001	0.259	0.2613	0.1167	0.1423	0.192	0.2085	0.0988	0.2768	0.03633	0.12	0.3686	0.1611	0.03236	0.2046	0.1161	0.09794	0.1005	0.0834	0.39299999999999996	0.39799999999999996	0.4245	0.1009	0.04813	0.2174	0.2131	0.392	0.07328	0.1272	4.189	0.1218	0.2474	0.1241	0.0779	0.06765	0.04255	0.1272	0.12	0.1762	0.04149	0.1725	0.07808999999999999	0.07367	0.0109	0.1322	0.05563	0.2373	0.05894	0.09387999999999999	0.2519	0.05766	0.03963	0.1195	0.059770000000000004	0.03734	0.1263	0.1027	0.1142	0.1407	0.1048	0.015819999999999997	0.1537	0.0732	0.011590000000000001	0.08711	0.0	0.2788	0.02157	0.06039	0.03294	0.09329	0.1716	0.025889999999999996	0.02493	0.07754	0.09087999999999999	0.08355	0.03427	0.0256	0.1257	0.06948	0.1557	0.1567	0.0295	0.1654	0.1005	0.1662	0.2188	0.1226	0.010490000000000001	0.01886	0.1467	0.04478	0.06863999999999999	0.0923	0.040119999999999996	0.09043	0.2824	0.5074	0.2281	0.2942	0.1258	0.1931	0.3604	0.06849	0.1378	0.5308	0.3257	0.489	0.4941	0.2624	0.0842	0.1763	0.07225	0.1234	0.1238	0.1176	0.3102	0.1029	0.1438	0.111	0.2339
ENSG00000131584.18	ACAP3	98.48	56.6	56.39	76.44	56.0	63.95	25.21	57.09	59.71	41.45	56.39	53.67	148.5	85.31	69.76	47.63	52.9	54.91	22.18	36.68	57.3	33.11	95.47	88.64	61.24	90.5	79.91	50.16	58.68	15.32	90.64	68.9	56.46	24.43	59.44	34.68	30.98	61.1	30.99	85.88	67.04	66.52	66.82	67.64	94.76	45.34	91.57	57.33	51.24	67.46	89.66	51.72	39.07	112.2	88.45	46.96	38.53	64.64	72.81	45.0	90.32	59.52	50.51	59.96	18.74	83.02	97.04	51.09	101.8	50.07	28.03	52.18	70.62	55.31	32.4	22.69	31.73	43.64	8.314	29.3	30.65	29.28	60.07	46.91	82.15	46.8	67.38	9.318999999999999	112.6	18.54	104.9	54.01	65.25	73.15	68.76	16.81	17.93	58.56	29.44	57.65	50.91	47.47	91.33	81.66	42.5	52.58	11.83	26.56	38.39	42.4	61.11	47.52	28.48	58.81	59.53	90.84	34.4	47.28	84.7	60.18	55.88	55.4	38.37	53.2	87.65	45.1	38.62	75.3	21.14	72.99	72.95	17.89	52.17	67.28	34.58	60.38	50.78	35.52	27.96	54.35	21.47	64.38	89.11	47.64	101.0	105.1	25.47	75.2	33.69	61.21	85.05	26.54	70.78	124.8	113.9	77.67	64.59	46.21	65.92
ENSG00000205116.3	TMEM88B	82.91	50.33	65.15	19.79	55.49	75.31	32.59	45.41	27.08	74.81	158.3	40.31	36.53	89.03	136.7	69.65	66.63	213.9	11.82	100.4	28.34	63.15	228.9	55.3	233.8	197.4	51.32	33.5	106.2	22.04	30.77	170.4	51.55	36.11	42.0	34.36	42.12	261.4	26.42	52.42	126.1	123.6	7.676	80.56	186.8	101.0	84.42	228.3	45.64	171.0	136.0	54.82	93.64	61.56	91.94	194.6	38.05	110.9	148.9	16.19	46.46	51.31	86.22	106.2	22.96	187.9	307.0	123.5	145.1	123.9	49.13	127.8	101.6	64.56	101.7	70.79	97.8	72.43	24.56	103.7	104.3	87.0	99.66	110.7	158.4	115.4	98.51	11.23	161.7	19.53	131.1	175.6	143.1	33.73	107.5	15.3	12.23	172.2	69.57	20.82	41.07	34.15	93.36	91.92	71.04	104.0	27.17	16.18	31.53	56.37	72.11	29.53	41.01	22.54	80.87	163.2	26.73	101.4	119.1	59.62	68.11	54.32	8.146	51.11	67.9	25.41	15.55	113.5	44.15	16.66	73.04	5.501	56.92	73.76	23.57	106.4	15.97	19.54	44.98	12.46	34.4	76.27	21.06	10.56	126.7	115.8	33.76	96.08	20.92	32.02	88.46	29.33	117.0	86.13	73.65	33.56	45.82	80.8	68.16
ENSG00000179403.11	VWA1	75.48	35.32	48.03	31.46	38.26	164.3	49.38	47.77	60.89	47.3	68.68	32.35	48.82	67.31	88.9	42.02	65.62	168.8	21.27	57.98	42.61	57.05	89.3	128.7	121.9	87.34	27.9	46.1	81.22	20.13	45.19	80.93	57.26	22.71	112.3	56.66	31.9	120.5	48.11	46.58	70.74	59.77	29.53	69.89	82.16	84.97	122.0	115.9	40.14	70.93	84.75	119.8	58.43	69.94	126.8	87.53	49.35	82.79	76.77	32.13	51.17	62.88	53.86	77.91	29.05	89.35	121.6	69.19	132.9	93.77	69.09	68.09	82.46	59.27	42.52	33.31	54.36	99.43	16.62	52.21	63.29	50.98	73.45	52.48	86.61	56.73	74.63	18.53	126.9	20.65	63.67	154.8	91.27	48.57	61.8	34.17	14.58	91.88	57.73	32.4	38.45	59.31	152.2	87.81	51.86	54.87	10.12	15.23	30.7	55.86	65.18	86.1	20.81	81.73	42.43	124.3	36.49	35.02	117.9	53.41	56.44	81.43	34.21	73.53	122.2	66.31	52.78	81.67	30.98	17.8	86.92	20.76	80.03	98.89	46.38	76.2	36.12	64.75	25.43	59.33	22.3	54.59	22.78	37.62	63.19	63.15	24.78	73.25	25.82	25.1	87.07	23.92	88.76	76.11	91.22	47.51	71.55	41.0	55.97
ENSG00000142609.17	CFAP74	0.4063	1.371	0.1157	1.36	0.3417	0.0562	0.046439999999999995	0.6711	0.1512	0.05849	0.1533	7.445	1.058	0.1139	0.09206	0.4458	0.07701000000000001	0.08682000000000001	0.1808	0.2362	3.1919999999999997	0.4024	0.8172	0.3575	0.07977000000000001	0.4622	0.5291	0.2856	0.1553	0.01791	0.4443	0.04796	0.4079	0.1081	0.0525	0.2374	1.936	0.2722	0.034960000000000005	0.2299	0.2895	0.2352	0.2804	0.1313	0.3174	0.1032	0.24600000000000002	0.3214	0.1161	0.1453	0.09938	0.009665	0.3996	2.665	0.2184	0.1576	0.06188	0.5722	0.4441	0.1907	0.5002	0.29600000000000004	0.3914	0.1149	0.04154	0.5048	0.0605	0.2129	0.1169	0.01675	0.0736	0.8190000000000001	0.3015	0.1639	0.1322	0.04381	0.0294	0.023280000000000002	0.028689999999999997	0.2204	0.1699	3.128	0.02628	0.1588	0.04455	0.04435	0.1322	0.0	0.2871	0.1035	0.4	0.0882	0.05965	0.2211	0.1079	0.1087	0.04127	0.2391	0.1452	0.07493	0.1259	1.173	0.2424	0.2729	0.1732	0.2806	0.01945	0.3746	0.05612	0.3853	0.07458	0.02198	0.1227	0.141	0.2105	0.6712	0.09758	0.7878	0.2942	0.5604	0.158	0.1016	0.5496	0.1492	0.2285	0.1001	0.08918	0.3208	0.08192999999999999	1.9780000000000002	0.2756	0.1348	0.3601	0.2777	0.195	0.4794	0.2645	0.3177	0.1104	0.1369	0.08513	0.2022	0.8056	0.5457	0.327	0.6642	0.0203	0.5219	0.07458	0.4598	0.3023	0.285	0.1871	0.6589	0.3471	1.7990000000000002	0.05094	0.1311	0.1596
ENSG00000196581.10	AJAP1	4.239	4.2589999999999995	3.7510000000000003	5.061	3.1489999999999996	3.187	2.008	4.423	6.275	1.422	5.431	2.867	8.755	3.1519999999999997	2.463	2.739	2.441	5.261	0.5677	2.537	2.747	1.4709999999999999	2.932	4.913	2.206	4.527	2.6719999999999997	2.096	2.2569999999999997	0.6982	8.317	4.363	0.9961	1.3530000000000002	4.59	1.847	4.853	4.5360000000000005	1.6340000000000001	6.309	5.038	3.259	5.17	3.6289999999999996	3.0460000000000003	5.251	5.735	2.8569999999999998	5.861000000000001	3.0860000000000003	7.587000000000001	6.004	5.381	8.767000000000001	5.945	11.2	3.26	4.681	2.9410000000000003	6.907	5.388999999999999	5.44	2.228	2.926	2.456	5.834	3.2769999999999997	5.716	7.522	1.464	1.321	4.511	4.54	1.883	1.8359999999999999	0.8631	2.6439999999999997	5.608	0.4119	1.766	5.0089999999999995	5.183	3.207	2.571	5.013999999999999	2.615	9.096	0.7513	3.9560000000000004	1.204	23.13	7.182	5.449	3.7310000000000003	10.05	1.0270000000000001	0.7769	11.49	2.0540000000000003	2.616	1.847	2.022	4.993	2.52	2.426	5.6	1.263	1.081	1.7409999999999999	2.148	2.51	4.039	2.208	2.261	2.529	10.1	1.7619999999999998	2.947	9.456	4.235	3.2289999999999996	2.359	1.574	3.214	3.0039999999999996	2.381	1.7309999999999999	4.006	3.532	0.5915	3.117	1.588	2.07	4.556	1.8019999999999998	2.229	6.881	1.541	1.0979999999999999	1.989	1.5130000000000001	3.763	17.12	4.013999999999999	6.982	7.695	1.13	1.599	2.109	2.722	4.886	0.6764	2.437	8.445	6.94	2.9210000000000003	3.793	2.474	3.864
ENSG00000116251.9	RPL22	194.3	145.1	175.8	102.4	80.15	235.4	116.1	115.1	168.9	115.9	171.7	103.6	139.2	168.0	185.5	256.2	144.5	225.5	84.13	128.4	71.15	128.7	137.9	139.2	156.3	176.8	143.1	131.0	141.2	57.12	115.3	107.2	151.7	74.3	182.5	97.67	104.0	171.0	79.04	100.1	128.4	147.5	96.11	171.3	155.3	131.9	191.8	194.6	159.8	109.9	136.9	150.3	245.1	154.3	144.7	164.0	119.4	230.4	212.4	74.8	171.8	145.3	171.9	119.9	98.84	160.2	175.3	179.9	166.0	128.6	228.0	135.6	146.9	131.2	218.5	83.53	99.74	142.0	83.9	122.4	192.9	121.9	140.5	171.0	139.4	145.8	202.7	43.13	175.1	95.08	104.7	145.8	116.8	145.3	123.3	124.5	74.71	192.8	93.13	167.1	103.4	185.2	215.2	122.9	101.5	120.7	57.17	79.67	151.5	201.2	83.01	213.0	60.66	162.7	143.3	157.2	121.4	83.81	239.3	167.1	102.2	188.4	153.7	146.9	157.9	144.9	104.0	170.4	132.4	159.5	218.6	110.2	194.8	155.9	92.14	126.4	162.4	134.1	99.21	245.9	75.25	189.5	147.9	259.9	109.0	147.6	76.78	197.9	162.7	121.6	151.6	97.24	204.4	140.6	186.3	207.8	211.9	152.5	159.8
ENSG00000158286.12	RNF207	5.546	3.883	2.375	5.252000000000001	3.21	2.323	0.7292	3.491	3.174	2.1069999999999998	3.468	3.943	8.783999999999999	2.53	3.1630000000000003	2.918	2.569	3.4610000000000003	0.5415	1.3430000000000002	4.126	0.9590000000000001	4.353	7.952000000000001	1.7309999999999999	5.167000000000001	5.405	2.747	1.922	0.4732	10.34	3.0669999999999997	3.833	1.564	3.885	1.649	1.148	2.742	1.786	8.117	3.352	4.867	6.997000000000001	4.419	3.236	1.2409999999999999	4.902	3.011	3.7119999999999997	2.448	9.922	0.9535	1.38	4.916	4.738	3.198	2.645	8.479	3.927	3.5380000000000003	5.015	5.101	2.798	2.025	1.9609999999999999	2.27	3.386	2.863	3.997	1.7830000000000001	1.359	2.089	5.425	1.794	1.864	0.7656	1.72	1.493	0.4044	1.659	1.081	1.892	2.926	2.37	6.522	2.521	3.335	0.3894	4.486000000000001	0.5635	10.98	2.511	3.125	6.148	4.016	0.5705	1.024	2.833	1.068	1.7380000000000002	3.18	3.7889999999999997	3.531	2.957	2.872	4.041	0.3509	1.874	1.837	1.75	3.48	2.21	1.063	7.907	4.815	3.971	2.529	8.292	2.8680000000000003	3.964	2.927	3.6239999999999997	2.286	1.925	4.931	1.8330000000000002	2.227	2.487	1.3319999999999999	6.239	3.885	1.4409999999999998	3.6689999999999996	2.16	1.953	3.716	4.418	3.647	0.8137	3.755	0.9229	3.477	13.38	4.885	8.728	8.384	1.216	2.63	1.261	1.903	2.8789999999999996	0.9129999999999999	5.537999999999999	7.832000000000001	2.989	6.659	4.204	1.8840000000000001	4.672
ENSG00000171680.21	PLEKHG5	11.42	8.29	4.773	5.197	2.48	2.262	1.649	3.022	4.303	2.262	3.145	12.11	36.94	3.53	2.478	9.902000000000001	1.702	3.062	2.833	1.685	5.165	1.072	13.43	5.747999999999999	2.415	6.357	13.42	4.197	4.023	0.9223	15.11	3.668	15.09	1.6340000000000001	1.6780000000000002	2.353	3.1	2.408	1.587	7.854	6.507000000000001	5.886	9.099	5.787000000000001	3.813	0.501	5.11	4.927	3.1510000000000002	2.863	6.794	2.343	3.6319999999999997	19.74	4.815	3.365	6.542999999999999	19.25	10.14	3.668	17.12	6.303	6.0120000000000005	2.081	1.906	5.785	9.262	6.617000000000001	3.745	1.495	1.464	3.0189999999999997	7.746	2.678	1.2919999999999998	1.416	1.005	0.8991	1.041	2.415	1.129	2.101	1.952	2.355	4.485	1.6540000000000001	1.5319999999999998	1.831	3.7569999999999997	0.9398	15.21	1.112	5.023	4.3660000000000005	3.138	1.2930000000000001	1.315	4.498	1.8130000000000002	3.603	4.537	3.075	2.224	4.928999999999999	1.466	5.041	0.7151	5.042	1.024	3.1	1.931	2.017	3.458	19.29	6.85	5.595	1.469	14.49	2.8369999999999997	20.9	2.149	1.423	6.694	3.263	4.401	1.5530000000000002	0.4443	5.135	1.7180000000000002	35.68	5.939	1.369	6.837999999999999	1.7590000000000001	2.7110000000000003	4.652	6.019	8.392000000000001	1.798	4.034	1.9480000000000002	10.72	17.32	7.962999999999999	10.64	9.513	1.28	9.246	2.8739999999999997	11.73	4.81	5.079	3.884	21.03	6.704	22.74	3.945	2.617	6.852
ENSG00000177000.10	MTHFR	6.317	6.8870000000000005	3.8930000000000002	5.886	4.396	7.899	2.827	3.445	4.564	2.5780000000000003	5.557	4.856	7.45	5.874	4.88	4.529	4.385	9.179	2.287	3.687	6.311	2.4819999999999998	7.797000000000001	8.881	7.752999999999999	8.493	4.623	6.147	5.022	1.3780000000000001	7.2860000000000005	6.301	8.325	1.755	5.356	4.548	3.464	6.882999999999999	4.11	5.481	7.166	8.023	5.25	6.382000000000001	6.649	4.69	9.085	7.737	5.87	4.9910000000000005	9.349	6.365	3.827	7.691	7.521	6.869	6.154	14.09	7.61	4.724	10.59	9.399	7.803999999999999	4.437	2.387	10.21	7.732	6.53	7.766	5.831	3.963	5.122000000000001	7.602	4.712	4.487	2.0340000000000003	2.3369999999999997	2.642	1.284	3.781	3.298	2.59	4.843999999999999	4.212	5.91	5.095	5.3389999999999995	1.3840000000000001	8.781	1.4680000000000002	9.674	6.524	4.459	5.82	5.4110000000000005	2.338	1.5919999999999999	7.257000000000001	4.681	7.341	4.016	4.931	6.7589999999999995	7.037000000000001	4.256	4.584	0.9535	2.696	3.219	4.308	3.365	4.255	1.814	7.4910000000000005	6.827000000000001	6.5920000000000005	2.4330000000000003	5.687	6.847	5.546	3.228	4.218	3.228	5.147	7.18	3.755	3.227	4.18	2.062	3.3489999999999998	4.888999999999999	2.01	6.617000000000001	5.364	4.823	5.497999999999999	7.959	7.428	3.662	5.772	1.953	7.989	10.83	5.707000000000001	9.764	12.17	2.224	9.507	3.572	3.6060000000000003	7.385	4.126	8.562999999999999	7.356	6.853	8.424	4.681	3.89	4.354
