Name	Description	GTEX-11NUK-0011-R4a-SM-DO12B	GTEX-11ONC-0011-R4b-SM-DO93H	GTEX-11PRG-0011-R4a-SM-DNZZR	GTEX-11TTK-0011-R4a-SM-DNZZU	GTEX-11ZU8-0011-R4a-SM-5BC6Y	GTEX-11ZVC-0011-R4a-SM-5BC6Z	GTEX-12WSA-0011-R4a-SM-57WB7	GTEX-12WSD-0011-R4b-SM-5LZUA	GTEX-12WSF-0011-R4b-SM-5HL88	GTEX-12WSH-0011-R4a-SM-5GU6K	GTEX-12ZZW-0011-R4a-SM-5DUX9	GTEX-12ZZZ-0011-R4b-SM-5DUV7	GTEX-13112-0011-R4b-SM-5DUXL	GTEX-1313W-0011-R4b-SM-5KLZV	GTEX-131XH-0011-R4b-SM-5DUWB	GTEX-131YS-0011-R4a-SM-5DUVL	GTEX-1399T-0011-R4b-SM-5DUVX	GTEX-139T8-0011-R4a-SM-5HL54	GTEX-13CZV-0011-R4b-SM-5J2NY	GTEX-13FLV-0011-R4a-SM-5LZYU	GTEX-13JVG-0011-R4a-SM-5MR4C	GTEX-13N1W-0011-R4a-SM-5MR52	GTEX-13N2G-0011-R4b-SM-5MR54	GTEX-13NYB-0011-R4b-SM-9QEGJ	GTEX-13NYS-0011-R4b-SM-5MR3O	GTEX-13O3O-0011-R4b-SM-5KM3F	GTEX-13O3Q-0011-R4a-SM-5P9H2	GTEX-13OVH-0011-R4a-SM-5KM3W	GTEX-13OVJ-0011-R4b-SM-5P9H5	GTEX-13OVL-0011-R4b-SM-5L3HV	GTEX-13OW5-0011-R4b-SM-5L3HS	GTEX-13OW6-0011-R4a-SM-5O9DX	GTEX-13OW7-0011-R4b-SM-5O9CX	GTEX-13OW8-0011-R4a-SM-9WG6V	GTEX-13PVQ-0011-R4a-SM-5O9CT	GTEX-13QIC-0011-R4a-SM-5PNX8	GTEX-13RTJ-0011-R4b-SM-5PNX1	GTEX-13SLW-0011-R4b-SM-5S2W2	GTEX-13SLX-0011-R4a-SM-5O9BJ	GTEX-13VXU-0011-R4b-SM-5O9CI	GTEX-13X6I-0011-R4b-SM-5PNU9	GTEX-13X6J-0011-R4b-SM-5P9K4	GTEX-13X6K-0011-R4b-SM-5P9HO	GTEX-1445S-0011-R4a-SM-5PNWN	GTEX-144GL-0011-R4a-SM-5PNUI	GTEX-145LS-0011-R4b-SM-5S2UT	GTEX-145MI-0011-R4b-SM-5PNZH	GTEX-147GR-0011-R4a-SM-5S2V2	GTEX-14ABY-0011-R4b-SM-5S2VN	GTEX-14ASI-0011-R4a-SM-69LQ4	GTEX-14BIM-0011-R4b-SM-5S2RK	GTEX-14DAQ-0011-R4a-SM-5YYAI	GTEX-14E7W-0011-R4b-SM-62LEA	GTEX-14JFF-0011-R4a-SM-5ZZV5	GTEX-14JG1-0011-R4b-SM-62LEB	GTEX-14JIY-0011-R4b-SM-5ZZV7	GTEX-14PJM-0011-R4a-SM-5YYAS	GTEX-14PN4-0011-R4a-SM-686ZT	GTEX-14PQA-0011-R4b-SM-6AJBU	GTEX-15CHQ-0011-R4a-SM-686ZX	GTEX-15DCD-0011-R4a-SM-69LPB	GTEX-15DDE-0011-R4b-SM-7KULI	GTEX-15DYW-0011-R4a-SM-6M46V	GTEX-15EO6-0011-R4a-SM-7KUKZ	GTEX-15ER7-0011-R4a-SM-6M46S	GTEX-15SHU-0011-R4b-SM-7IGLC	GTEX-16YQH-0011-R4a-SM-7EPGI	GTEX-17EVP-0011-R4a-SM-79OML	GTEX-17EVQ-0011-R4b-SM-7LT94	GTEX-17F97-0011-R4b-SM-7KFS2	GTEX-17HG3-0011-R4a-SM-7IGLL	GTEX-183WM-0011-R4a-SM-7LG6S	GTEX-18464-0011-R4a-SM-7LG6T	GTEX-1A3MX-0011-R4b-SM-7EWFK	GTEX-1AX9I-0011-R4b-SM-7EPIB	GTEX-1B8L1-0011-R4a-SM-7EWFJ	GTEX-1B996-0011-R4b-SM-9OSVO	GTEX-1C6VR-0011-R4b-SM-9QEGZ	GTEX-1C6WA-0011-R4a-SM-9QEH2	GTEX-1CB4G-0011-R4b-SM-CJI28	GTEX-1CB4J-0011-R4b-SM-9WG5P	GTEX-1E1VI-0011-R4b-SM-9QEHV	GTEX-1EMGI-0011-R4b-SM-CJI2D	GTEX-1EX96-0011-R4a-SM-ARU82	GTEX-1F48J-0011-R4b-SM-9OSVX	GTEX-1F6IF-0011-R4b-SM-CKZNJ	GTEX-1F75A-0011-R4a-SM-ARL8J	GTEX-1F7RK-0011-R4b-SM-9QEI7	GTEX-1GF9W-0011-R4a-SM-CE6RH	GTEX-1GMR8-0011-R4a-SM-9OSX1	GTEX-1GN73-0011-R4b-SM-9QEIK	GTEX-1GTWX-0011-R4a-SM-C1YQI	GTEX-1GZ4I-0011-R4a-SM-9QEI9	GTEX-1H1CY-0011-R4b-SM-CJI3G	GTEX-1H1DG-0011-R4a-SM-CE6RQ	GTEX-1H1ZS-0011-R4b-SM-CKZO7	GTEX-1H23P-0011-R4b-SM-CL54R	GTEX-1H2FU-0011-R4a-SM-CL551	GTEX-1H3NZ-0011-R4a-SM-CL54T	GTEX-1H3O1-0011-R4b-SM-A9SKE	GTEX-1HB9E-0011-R4b-SM-ARZLS	GTEX-1HBPH-0011-R4a-SM-A96RX	GTEX-1HBPI-0011-R4a-SM-CJI3K	GTEX-1HCU6-0011-R4b-SM-ARU74	GTEX-1HFI6-0011-R4b-SM-A96RT	GTEX-1I1GR-0011-R4a-SM-CMKHC	GTEX-1ICLZ-0011-R4a-SM-CMKHL	GTEX-1IY9M-0011-R4a-SM-C1YQ2	GTEX-1J1OQ-0011-R4a-SM-D4P2A	GTEX-1J8EW-0011-R4b-SM-ARU89	GTEX-1J8Q2-0011-R4a-SM-ADEHA	GTEX-1JJEA-0011-R4a-SM-EXUTC	GTEX-1JMQJ-0011-R4b-SM-EXUT8	GTEX-1JN6P-0011-R4a-SM-EZ6MS	GTEX-1LSVX-0011-R4b-SM-EXURP	GTEX-1LVAO-0011-R4a-SM-EXURO	GTEX-1N2DW-0011-R4b-SM-EZ6MD	GTEX-1N2EE-0011-R4a-SM-EXOII	GTEX-N7MS-0011-R4a-SM-2HMKW	GTEX-N7MT-0011-R4a-SM-2I3G9	GTEX-NL3H-0011-R4a-SM-2I3GK	GTEX-NL4W-0011-R4a-SM-2I5GZ	GTEX-NPJ7-0011-R4a-SM-2I3GJ	GTEX-NPJ8-0011-R4a-SM-2HML3	GTEX-OHPN-0011-R4A-SM-2I5FD	GTEX-P44G-0011-R4A-SM-2I3FB	GTEX-P44H-0011-R4A-SM-2XCEW	GTEX-Q2AG-0011-R4A-SM-2HMKA	GTEX-QDT8-0011-R4A-SM-32PKM	GTEX-QMR6-0011-R4A-SM-32PKU	GTEX-QVJO-0011-R4A-SM-2S1QL	GTEX-QVUS-0011-R4A-SM-3GAE7	GTEX-R55E-0011-R4A-SM-2TC5H	GTEX-RNOR-0011-R4A-SM-3GAD3	GTEX-S7SE-0011-R4A-SM-2XCDB	GTEX-T5JC-0011-R4A-SM-32PLT	GTEX-T6MN-0011-R4A-SM-32QPG	GTEX-TSE9-0011-R4A-SM-3DB7H	GTEX-UTHO-0011-R4A-SM-3GIJP	GTEX-WHSE-0011-R4A-SM-3P5ZN	GTEX-WVLH-0011-R4A-SM-3MJFS	GTEX-WZTO-0011-R4A-SM-3NMC7	GTEX-X4EP-0011-R4B-SM-3P627	GTEX-X4XX-0011-R4B-SM-46MWL	GTEX-X585-0011-R4B-SM-46MVH	GTEX-XLM4-0011-R4B-SM-4AT5C	GTEX-Y8DK-0011-R4A-SM-EXUR1	GTEX-YFC4-0011-R4a-SM-4RGLQ	GTEX-ZAB4-0011-R4a-SM-4SOKB	GTEX-ZAK1-0011-R4a-SM-6AJBK	GTEX-ZE9C-0011-R4a-SM-4WKH6	GTEX-ZVZQ-0011-R4b-SM-57WCZ
ENSG00000162374.16	ELAVL4	8.746	3.9019999999999997	10.61	3.859	1.8019999999999998	1.8459999999999999	1.814	6.417999999999999	5.523	11.42	2.039	1.6909999999999998	10.79	10.22	14.36	12.1	8.376	4.04	2.0269999999999997	2.931	1.75	7.869	9.307	6.3	2.608	5.747000000000001	11.03	2.003	4.204	1.695	3.952	2.496	1.8030000000000002	1.845	2.8539999999999996	2.78	5.13	2.062	3.5669999999999997	10.83	7.941	6.042000000000001	9.315	2.6289999999999996	2.634	7.601	0.4678	5.182	8.663	9.963	6.528	5.815	12.65	3.3569999999999998	9.51	15.1	4.96	6.466	4.37	8.568	5.002	2.713	12.59	14.2	7.178999999999999	8.03	18.38	9.306000000000001	3.282	5.183	7.447	0.4965	3.2489999999999997	8.925	11.91	7.172999999999999	7.917000000000001	2.52	5.099	5.27	0.8568	5.178999999999999	8.281	2.238	12.86	3.4760000000000004	9.427999999999999	7.255	2.944	4.412	8.025	4.695	2.878	2.07	3.102	7.066	2.16	0.7821	11.44	4.937	7.061	5.5729999999999995	3.853	23.48	14.99	4.277	12.93	12.99	3.517	0.728	2.5980000000000003	0.6151	11.34	1.984	7.436	7.227	4.255	4.196000000000001	6.249	6.483	5.202000000000001	5.468	11.46	4.2410000000000005	2.416	10.04	10.32	12.37	9.889	9.1	16.11	8.731	19.12	9.692	16.83	8.117	9.91	17.51	6.952000000000001	8.202	9.635	28.27	0.8768	6.441	9.051	15.02	3.173	13.52	8.571	5.146	1.062	9.488
ENSG00000169291.9	SHE	0.9982	0.7944	1.476	2.846	0.5877	1.2930000000000001	0.9044	1.42	1.005	0.6626	1.3940000000000001	1.51	1.972	1.51	0.5626	1.574	1.558	2.301	0.8257	1.6280000000000001	0.8531	1.845	2.576	1.304	2.847	1.2109999999999999	1.196	0.8394	5.417000000000001	0.9787	2.026	1.665	0.9911	1.709	1.999	1.251	1.767	1.864	0.9546	1.494	3.48	1.239	2.441	1.4180000000000001	1.749	1.6909999999999998	2.174	0.49200000000000005	1.639	0.9388	1.319	2.06	1.021	0.4764	0.4389	0.9239	0.9491	1.7309999999999999	2.853	2.0	1.569	1.777	2.169	1.3019999999999998	2.447	0.8444	1.124	1.319	0.2907	1.155	0.8343	1.8840000000000001	0.7749	1.639	1.766	1.595	1.776	0.7013	0.8698	1.119	5.529	0.535	2.4659999999999997	1.7890000000000001	1.9769999999999999	0.9089	0.7487	2.0380000000000003	1.357	1.617	1.431	1.475	1.33	0.6602	2.427	2.6630000000000003	1.8780000000000001	2.271	3.194	1.2309999999999999	3.043	0.8611	1.213	0.4945	1.41	1.3769999999999998	2.648	2.408	1.903	1.729	0.7897	0.8181	1.274	0.8653	0.8362	1.5590000000000002	1.368	1.768	1.3319999999999999	2.282	1.339	3.4	2.119	3.9410000000000003	2.276	1.187	2.378	2.242	2.988	1.882	4.535	3.0260000000000002	1.921	2.0709999999999997	1.6230000000000002	1.476	2.6510000000000002	1.4569999999999999	2.363	1.345	2.76	1.6569999999999998	21.96	2.095	4.613	2.097	1.213	1.922	2.131	1.557	0.9103	2.508
ENSG00000132702.12	HAPLN2	22.08	64.4	69.85	30.24	7.754	34.89	67.93	69.62	59.0	50.23	16.55	17.28	65.96	29.75	247.4	43.4	15.23	34.13	50.78	94.3	56.67	179.4	81.04	37.19	15.44	70.47	40.53	81.14	62.84	25.77	52.52	41.38	21.7	26.41	44.44	67.69	95.2	53.54	17.04	33.07	116.6	31.99	66.79	64.41	34.63	39.02	42.97	40.07	50.82	46.68	22.64	64.67	298.3	13.67	11.25	23.48	117.0	70.46	18.04	97.85	48.09	10.98	59.99	31.36	18.46	58.15	25.23	69.98	14.33	48.54	28.43	24.31	102.4	55.59	156.5	83.77	384.3	71.07	47.37	44.79	67.07	29.12	68.67	42.55	79.65	31.73	13.54	86.64	51.09	16.05	125.9	95.3	36.3	27.1	112.3	92.42	104.1	59.17	43.72	24.58	170.3	86.19	49.36	111.0	113.9	97.2	54.13	39.06	86.95	12.93	52.09	12.07	20.26	31.8	77.71	14.54	108.0	34.71	110.3	97.96	3.173	30.64	35.09	36.93	9.237	29.98	97.8	79.34	91.21	123.3	50.37	103.2	34.58	77.9	26.68	69.59	45.38	43.93	86.78	106.3	38.85	62.35	6.3839999999999995	150.2	379.8	206.2	37.44	46.99	142.9	91.13	34.41	22.86
ENSG00000143248.12	RGS5	79.52	87.47	65.68	39.17	11.04	49.49	24.82	40.28	61.39	16.84	55.1	107.9	107.8	82.4	64.13	69.93	117.9	26.56	52.54	45.93	114.4	54.64	46.36	63.46	18.89	60.97	66.76	42.13	81.77	80.56	39.6	94.42	54.37	25.55	80.08	34.57	43.4	66.01	64.72	47.56	64.84	47.49	86.98	65.19	80.49	57.99	47.02	10.26	68.22	61.25	22.69	77.87	39.63	16.06	22.52	26.11	66.42	61.58	28.75	120.4	42.21	22.84	70.71	55.57	57.51	37.14	27.55	68.79	55.51	44.97	17.18	31.62	42.44	55.85	68.63	49.03	65.58	41.04	43.38	42.68	36.39	42.29	80.58	51.66	21.54	51.69	22.99	72.56	63.02	83.32	37.12	80.72	75.35	114.5	59.68	54.28	50.69	12.5	55.92	60.07	68.67	51.12	59.64	69.42	38.51	84.2	69.75	54.44	32.5	62.37	59.68	72.71	40.13	36.18	59.28	39.05	56.15	59.33	113.0	57.84	30.9	30.69	44.15	16.55	78.75	47.84	49.71	64.46	103.9	128.2	71.62	64.38	56.96	72.22	86.8	53.6	120.4	47.34	103.7	31.7	82.21	66.81	66.66	60.27	63.64	55.22	101.0	63.55	73.42	52.84	43.29	52.92
ENSG00000116161.17	CACYBP	42.47	38.45	54.17	30.36	14.68	21.45	15.06	32.64	41.71	148.8	20.72	13.27	25.68	45.21	67.63	55.15	27.58	31.96	12.12	36.72	25.74	95.8	101.4	46.68	50.73	44.99	55.51	15.11	97.51	11.35	37.51	19.29	14.53	18.75	55.87	22.61	35.29	18.43	42.42	61.37	57.83	37.38	42.97	16.49	13.17	55.96	87.27	45.19	37.69	29.66	34.66	22.57	81.14	23.45	80.04	93.05	34.68	38.19	27.62	50.21	29.29	106.8	66.87	69.88	34.06	52.55	100.7	55.27	8.558	27.61	68.48	6.459	18.57	51.18	73.63	63.66	87.25	26.85	61.93	25.94	98.33	24.73	70.2	15.37	62.79	37.77	69.66	65.79	15.66	28.34	79.94	28.7	17.14	16.27	18.96	42.76	18.18	36.58	89.35	22.41	108.8	30.17	24.09	101.4	70.58	30.73	61.27	96.12	33.14	9.942	20.89	6.9670000000000005	82.33	11.81	55.6	53.69	38.02	25.5	48.8	32.48	71.26	57.16	35.48	43.46	16.98	29.78	50.26	87.37	45.18	39.57	80.01	50.99	79.66	64.24	62.82	65.46	47.64	85.53	43.95	59.87	72.06	82.59	31.3	43.37	98.23	71.2	17.52	54.53	71.83	42.25	10.79	45.19
ENSG00000144119.3	C1QL2	15.86	23.48	21.81	12.92	12.61	14.32	12.08	36.64	22.1	34.71	18.31	11.31	18.92	20.84	28.46	19.39	17.3	15.67	19.13	41.91	19.47	28.62	17.8	24.88	13.41	31.32	23.85	16.68	17.65	21.63	25.22	14.14	19.47	15.01	19.35	39.56	24.53	22.13	21.99	22.55	15.84	25.73	13.66	10.11	11.65	37.8	7.932	25.2	19.85	22.57	16.48	18.71	32.29	20.69	13.3	20.74	20.84	14.15	14.67	33.42	40.93	5.148	27.34	13.53	22.4	15.51	29.02	22.29	7.164	12.72	44.98	7.224	15.31	16.3	29.72	38.99	16.02	20.87	16.16	22.49	5.933	15.05	37.86	19.07	12.91	48.94	36.31	24.18	15.88	11.0	35.76	12.41	22.1	10.6	19.33	14.3	9.657	2.964	21.12	29.83	22.49	22.11	34.77	13.78	20.26	18.3	19.33	26.83	20.05	12.36	15.19	9.584	13.46	12.83	30.85	25.48	16.47	26.56	14.66	15.67	14.92	15.52	6.445	9.377	8.254	14.34	7.752000000000001	25.89	9.982000000000001	5.468999999999999	12.75	7.025	17.44	17.92	17.43	22.58	12.59	9.033999999999999	6.019	17.91	28.18	12.42	1.932	19.91	10.13	19.04	12.25	14.22	11.48	32.42	19.47	26.12
ENSG00000271179.1	RP11-629P16.1	0.0	0.0	0.0	0.1142	0.0	0.0	0.0	0.2606	0.0	0.0	0.0	0.0	0.1261	0.05875	0.0	0.1801	0.0	0.0	0.0	0.0	0.0	0.0	0.2856	0.0	0.0	0.0	0.0	0.0	0.09962	0.0	0.0	0.0	0.0	0.0	0.08419	0.05219	0.2811	0.0	0.0	0.0	0.1562	0.0	0.0	0.0	0.0	0.3223	0.0	0.0	0.0	0.0	0.1716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.106	0.0	0.0	0.0	0.0	0.0	0.05674	0.0	0.0	0.0	0.1587	0.0	0.0	0.0	0.0	0.2092	0.0	0.0	0.0	0.0	0.0	0.0	0.2251	0.0	0.1955	0.0	0.09317	0.0	0.049339999999999995	0.0	0.0	0.0	0.0	0.0	0.0	0.2185	0.0	0.0	0.0	0.0	0.1361	0.0	0.0	0.1891	0.3233	0.0	0.0	0.0	0.0	0.2946	0.0	0.0	0.0	0.0	0.0	0.1896	0.2308	0.0	0.0	0.0	0.0	0.04381	0.0	0.0	0.2059	0.1525	0.0	0.0	0.0	0.1981	0.5908	0.0	0.0	0.2628	0.1804	1.6780000000000002	0.0	0.1869	0.059329999999999994	0.0	0.1466	0.3048	0.1109	0.0	0.1802	0.0	0.0	0.0	0.0
ENSG00000150551.10	LYPD1	10.54	11.14	26.06	8.163	9.508	8.427	5.485	40.41	6.2010000000000005	49.58	6.6339999999999995	6.813	32.98	13.67	26.67	26.74	14.48	17.65	5.84	40.4	6.144	19.97	20.09	47.26	7.2410000000000005	14.35	14.88	7.535	11.32	14.14	14.93	10.13	14.38	7.944	12.24	29.49	15.58	9.363	23.12	12.34	5.289	13.11	10.64	9.731	4.89	14.46	4.5089999999999995	20.42	15.17	11.63	40.11	10.11	17.58	16.0	26.06	36.24	18.5	22.31	8.346	16.79	26.35	15.81	28.34	14.84	21.22	12.51	20.14	11.73	3.4210000000000003	8.048	27.15	2.454	9.472000000000001	8.942	13.21	10.74	5.282	18.42	11.69	15.23	13.27	11.44	16.89	9.657	4.488	16.11	23.3	19.54	6.656000000000001	5.48	15.81	8.491	15.91	9.397	10.57	6.8260000000000005	5.064	5.25	7.8260000000000005	27.58	28.49	8.298	15.3	6.461	18.69	16.22	11.98	18.49	16.86	6.273	11.65	3.7460000000000004	14.1	12.4	15.45	14.84	15.84	12.5	10.04	14.75	20.76	20.74	5.856	20.62	5.949	9.776	11.64	21.85	10.34	6.132000000000001	18.93	7.117999999999999	17.34	25.53	8.07	11.36	15.65	43.22	10.79	27.98	21.67	8.73	17.32	20.1	12.8	11.49	10.14	13.2	6.63	16.09	8.821	19.66
ENSG00000118260.14	CREB1	3.7310000000000003	3.9160000000000004	4.891	2.9739999999999998	2.697	3.926	3.074	4.461	3.772	5.167000000000001	3.014	2.634	3.139	4.072	5.756	5.566	3.227	2.8960000000000004	2.544	3.488	2.476	3.562	7.284	3.545	3.5260000000000002	3.648	4.772	2.085	6.057	2.452	4.164	3.188	2.374	2.7689999999999997	3.205	2.947	4.39	4.544	2.8360000000000003	4.077	5.997000000000001	4.28	5.292999999999999	3.634	2.64	4.343	3.6689999999999996	4.418	5.605	3.285	2.7710000000000004	4.213	5.989	2.853	2.737	4.992	4.876	4.712	3.0060000000000002	8.11	4.761	3.4539999999999997	6.587999999999999	5.002	4.481	3.97	6.097	3.925	1.7109999999999999	3.767	4.502	1.097	2.9019999999999997	3.764	6.247000000000001	3.9139999999999997	5.504	3.514	3.051	2.992	5.327000000000001	2.312	5.405	2.346	5.199	2.5839999999999996	3.537	4.06	2.531	2.3169999999999997	4.334	4.218	2.7569999999999997	2.489	3.077	5.067	3.833	2.439	7.456	3.2230000000000003	5.747000000000001	3.153	3.3110000000000004	4.56	5.94	3.543	3.34	6.851	3.408	2.0180000000000002	2.6630000000000003	1.462	3.898	2.009	4.364	3.335	5.247000000000001	3.41	8.787	6.501	3.718	5.997000000000001	4.513	3.7969999999999997	4.42	3.4589999999999996	6.954	8.122	9.711	6.7620000000000005	8.384	6.599	6.382999999999999	5.9239999999999995	6.191	4.249	6.37	4.525	5.341	5.774	6.41	5.9670000000000005	9.904	5.562	9.269	5.294	2.64	5.4910000000000005	5.792000000000001	6.037999999999999	2.217	5.186
ENSG00000152056.16	AP1S3	0.3709	0.3131	0.3531	0.1987	0.08349	0.235	0.2193	0.326	0.2656	0.3222	0.2549	0.1908	0.2674	0.4282	0.9981	0.5976	0.3835	0.2651	0.168	0.2745	0.1013	0.6743	0.7765	0.1289	0.4783	0.2936	0.5782	0.1354	1.187	0.139	0.3126	0.2904	0.2185	0.226	0.4075	0.2214	0.632	0.3439	0.3743	0.4019	0.5013	0.2753	0.5943	0.3093	0.1842	0.4487	0.2096	0.2841	0.5088	0.4986	0.6532	0.3943	0.1373	0.062079999999999996	0.3379	0.4428	0.3327	0.3212	0.3419	0.4464	0.3653	0.2165	0.3734	0.3632	0.4502	0.5053	0.588	0.5753	0.1038	0.3641	0.1999	0.03228	0.1903	0.3452	0.6439	0.3445	0.3705	0.2429	0.2389	0.1381	0.5977	0.1772	0.684	0.1416	0.4582	0.20199999999999999	0.2818	0.2764	0.1495	0.1723	0.6959	0.2576	0.2263	0.08793	0.2123	0.3859	0.06332	0.1464	1.006	0.2957	0.3414	0.2666	0.2296	0.4886	0.3744	0.2238	0.1748	0.9497	0.1602	0.1276	0.1781	0.035710000000000006	0.1602	0.08571000000000001	0.255	0.244	0.3239	0.2387	0.4022	0.3515	0.2924	0.491	0.2707	0.2256	0.2335	0.5312	0.2856	0.8957	0.669	0.3112	0.9032	0.851	1.12	0.4418	0.5862	0.5802	0.8575	0.2699	0.08296	1.181	0.61	0.8390000000000001	3.109	0.5262	1.172	0.6029	0.1775	0.6859	0.5191	0.5772	0.07701000000000001	0.4814
