Name	Description	GTEX-1192X-0011-R9b-SM-DO934	GTEX-11DZ1-0011-R9a-SM-DO933	GTEX-11EMC-0011-R9b-SM-DO921	GTEX-11GSP-0011-R9b-SM-5NQ77	GTEX-11ONC-0011-R9b-SM-5NQ8J	GTEX-11UD2-0011-R9b-SM-DO926	GTEX-11WQK-0011-R9b-SM-5BC6N	GTEX-11ZTS-0011-R9b-SM-DO93Q	GTEX-11ZUS-0011-R9b-SM-5BC76	GTEX-11ZVC-0011-R9a-SM-57WC5	GTEX-12126-0011-R9b-SM-5BC6P	GTEX-12WSC-0011-R9a-SM-5GU4U	GTEX-12WSD-0011-R9a-SM-5GU6W	GTEX-12WSH-0011-R9b-SM-5LZUG	GTEX-131XW-0011-R9a-SM-5N9EO	GTEX-131YS-0011-R9b-SM-5EQLY	GTEX-139T4-0011-R9b-SM-5HL6S	GTEX-139UW-0011-R9b-SM-5LZYT	GTEX-13CIG-0011-R9a-SM-5K7VU	GTEX-13CZV-0011-R9a-SM-5LZXT	GTEX-13FLV-0011-R9b-SM-5L3DA	GTEX-13FTY-0011-R9b-SM-5KM2U	GTEX-13FXS-0011-R9a-SM-5K7UI	GTEX-13JUV-0011-R9a-SM-5LZX3	GTEX-13N1W-0011-R9b-SM-5MR4R	GTEX-13N2G-0011-R9b-SM-5MR4E	GTEX-13NYB-0011-R9b-SM-5MR5P	GTEX-13NYS-0011-R9b-SM-5MR44	GTEX-13NZA-0011-R9b-SM-5MR5I	GTEX-13O1R-0011-R9b-SM-5KM33	GTEX-13OVJ-0011-R9b-SM-5L3GD	GTEX-13OVL-0011-R9a-SM-5P9GX	GTEX-13OW5-0011-R9b-SM-5O9CL	GTEX-13PL6-0011-R9b-SM-5O9CH	GTEX-13PLJ-0011-R9b-SM-5O9DV	GTEX-13PVQ-0011-R9b-SM-5LU3B	GTEX-13QJC-0011-R9b-SM-5PNX3	GTEX-13RTJ-0011-R9a-SM-5Q5AY	GTEX-13S7M-0011-R9a-SM-5O9DW	GTEX-13SLW-0011-R9a-SM-5O9BT	GTEX-13SLX-0011-R9b-SM-5SI6X	GTEX-13VXU-0011-R9b-SM-5SI73	GTEX-13X6I-0011-R9b-SM-5PNZJ	GTEX-145LU-0011-R9b-SM-5SI66	GTEX-147GR-0011-R9a-SM-5S2UY	GTEX-148VJ-0011-R9b-SM-5SI77	GTEX-14ABY-0011-R9a-SM-5PNZK	GTEX-14BIL-0011-R9a-SM-5SI7A	GTEX-14BIM-0011-R9a-SM-6LLJL	GTEX-14BIN-0011-R9a-SM-5SI76	GTEX-14BMV-0011-R9b-SM-5ZZUA	GTEX-14E6C-0011-R9a-SM-6EU33	GTEX-14E7W-0011-R9a-SM-62LE6	GTEX-14JIY-0011-R9a-SM-6EU34	GTEX-14PJM-0011-R9b-SM-6EU35	GTEX-14PJO-0011-R9b-SM-62LE9	GTEX-14PN4-0011-R9a-SM-6LLH9	GTEX-15CHQ-0011-R9a-SM-6LLHX	GTEX-15DCD-0011-R9b-SM-7KUED	GTEX-15DDE-0011-R9b-SM-6M46U	GTEX-15DYW-0011-R9b-SM-6PALB	GTEX-15EO6-0011-R9a-SM-6PALG	GTEX-15ER7-0011-R9b-SM-6PALF	GTEX-15G19-0011-R9b-SM-7KUEE	GTEX-16NPV-0011-R9b-SM-79ONF	GTEX-16XZZ-0011-R9b-SM-7DHKX	GTEX-16Z82-0011-R9a-SM-7DUFA	GTEX-17EVQ-0011-R9b-SM-79OJY	GTEX-18464-0011-R9a-SM-731BK	GTEX-1A32A-0011-R9b-SM-7MGXD	GTEX-1A8G7-0011-R9b-SM-7IGQH	GTEX-1B8L1-0011-R9b-SM-9WG5U	GTEX-1B933-0011-R9a-SM-79OOR	GTEX-1BAJH-0011-R9b-SM-7EPIQ	GTEX-1C6VQ-0011-R9a-SM-7SB85	GTEX-1C6VS-0011-R9b-SM-9WG5W	GTEX-1CAMQ-0011-R9a-SM-9WG5Z	GTEX-1CAV2-0011-R9b-SM-9WG5M	GTEX-1CB4H-0011-R9a-SM-CKZNL	GTEX-1EH9U-0011-R9b-SM-9WG5T	GTEX-1EKGG-0011-R9a-SM-CMKFV	GTEX-1EU9M-0011-R9a-SM-9WG61	GTEX-1EWIQ-0011-R9a-SM-ARL8L	GTEX-1F52S-0011-R9a-SM-9WG62	GTEX-1F6I4-0011-R9a-SM-CMKFU	GTEX-1F88F-0011-R9b-SM-9WG7L	GTEX-1GF9V-0011-R9a-SM-CL53K	GTEX-1GF9W-0011-R9b-SM-9WG7J	GTEX-1GN1U-0011-R9b-SM-CMKFW	GTEX-1GN2E-0011-R9b-SM-9WG7F	GTEX-1GN73-0011-R9a-SM-CKZO5	GTEX-1GTWX-0011-R9a-SM-ADEH4	GTEX-1GZ2Q-0011-R9a-SM-9WG7A	GTEX-1GZ4I-0011-R9b-SM-B2LY8	GTEX-1GZHY-0011-R9a-SM-9WG5R	GTEX-1H1DF-0011-R9b-SM-CM2RN	GTEX-1H1DG-0011-R9b-SM-ACKVB	GTEX-1H1ZS-0011-R9a-SM-CM2SO	GTEX-1H23P-0011-R9a-SM-CM2T1	GTEX-1H2FU-0011-R9b-SM-CE6S4	GTEX-1H3NZ-0011-R9a-SM-ADEH7	GTEX-1H3O1-0011-R9b-SM-CM2SQ	GTEX-1HBPH-0011-R9a-SM-CMKH3	GTEX-1HBPI-0011-R9b-SM-ARL76	GTEX-1HBPM-0011-R9b-SM-ARL7C	GTEX-1HFI6-0011-R9b-SM-CMKH4	GTEX-1HGF4-0011-R9a-SM-ADEH9	GTEX-1HR98-0011-R9b-SM-ARL79	GTEX-1HSMO-0011-R9b-SM-CM2T2	GTEX-1I19N-0011-R9a-SM-CMKHN	GTEX-1I1CD-0011-R9a-SM-CMKHB	GTEX-1I1GS-0011-R9b-SM-CMKHF	GTEX-1I1GV-0011-R9b-SM-ARZLE	GTEX-1I1HK-0011-R9a-SM-CMKHK	GTEX-1ICLZ-0011-R9a-SM-ARL7E	GTEX-1IDJH-0011-R9a-SM-ADEIN	GTEX-1IGQW-0011-R9b-SM-D4P25	GTEX-1IKJJ-0011-R9a-SM-ARZLI	GTEX-1IY9M-0011-R9b-SM-D3L8J	GTEX-1J1OQ-0011-R9b-SM-ARZMK	GTEX-1J8EW-0011-R9b-SM-D4P2F	GTEX-1J8JJ-0011-R9a-SM-ACKVF	GTEX-1JJ6O-0011-R9a-SM-EYYXP	GTEX-1JMLX-0011-R9a-SM-EYYXM	GTEX-1JN1M-0011-R9a-SM-EZ6MR	GTEX-1KANB-0011-R9b-SM-EZ6MO	GTEX-1LB8K-0011-R9a-SM-EZ6MP	GTEX-1LSNL-0011-R9b-SM-EYYWK	GTEX-1LVA9-0011-R9a-SM-EYYWF	GTEX-1LVAO-0011-R9a-SM-EZ6MY	GTEX-1MJK2-0011-R9b-SM-EZ6MZ	GTEX-1OJC4-0011-R9a-SM-EZ6N1	GTEX-1R46S-0011-R9a-SM-EZ6N7	GTEX-1RQEC-0011-R9a-SM-EZ6N3	GTEX-NL4W-0011-R9a-SM-2I3G1	GTEX-NPJ7-0011-R9a-SM-2TC5R	GTEX-NPJ8-0011-R9a-SM-2YUN5	GTEX-OHPN-0011-R9A-SM-5TDEJ	GTEX-OXRO-0011-R9A-SM-3NB1X	GTEX-PWO3-0011-R9A-SM-EVR2V	GTEX-Q2AG-0011-R9A-SM-2HMJ6	GTEX-QDT8-0011-R9A-SM-CYPRD	GTEX-QVJO-0011-R9A-SM-2S1QH	GTEX-QVUS-0011-R9A-SM-3GIJA	GTEX-R55E-0011-R9A-SM-2TC6C	GTEX-RNOR-0011-R9A-SM-2TF52	GTEX-RU72-0011-R9A-SM-2TF67	GTEX-T5JC-0011-R9A-SM-32PLV	GTEX-T6MN-0011-R9A-SM-32QOZ	GTEX-TSE9-0011-R9A-SM-3DB7Q	GTEX-WL46-0011-R9A-SM-3MJFP	GTEX-XLM4-0011-R9A-SM-4AT45	GTEX-XMD1-0011-R9A-SM-4AT49	GTEX-YFC4-0011-R9a-SM-4SOK4	GTEX-YJ89-0011-R9a-SM-4SOK7	GTEX-ZAB4-0011-R9a-SM-4SOKG	GTEX-ZE9C-0011-R9a-SM-4WWCY	GTEX-ZF28-0011-R9a-SM-4WWDY	GTEX-ZVZQ-0011-R9a-SM-51MRH
ENSG00000162374.16	ELAVL4	5.099	7.019	2.045	6.037000000000001	1.3969999999999998	0.32799999999999996	0.8106	2.713	6.001	0.9256	5.043	7.104	5.555	1.6840000000000002	0.5821	4.151	0.8524	0.3861	0.7798	0.2662	6.675	1.3630000000000002	2.8939999999999997	3.678	0.3353	1.89	7.784	8.669	2.207	0.4983	6.215	5.417000000000001	1.7790000000000001	0.4598	0.5772	0.3563	0.7449	1.946	0.6189	3.372	9.576	8.729	3.261	2.115	1.94	0.1232	1.834	0.8975	7.121	2.477	4.6819999999999995	0.3159	3.1289999999999996	6.769	3.4960000000000004	1.325	5.739	2.487	1.321	6.084	3.424	4.622	1.475	0.5814	0.7221	1.151	0.5784	1.146	1.744	0.2086	0.4239	2.5780000000000003	11.21	1.173	0.7718	0.3	0.6598	0.1993	0.5455	0.7313	6.3870000000000005	1.6769999999999998	1.534	0.8505	4.984	0.7018	1.158	0.2302	0.7577	0.4466	13.01	0.2929	1.9769999999999999	14.7	1.6840000000000002	0.1975	1.14	5.228	0.27899999999999997	0.8478	2.075	5.471	1.216	3.925	0.3806	8.892999999999999	0.6086	1.103	1.087	2.48	1.686	1.237	1.2890000000000001	1.817	13.65	2.052	1.133	32.3	2.983	3.5789999999999997	1.732	1.46	2.086	1.705	3.7089999999999996	1.16	1.041	2.497	4.056	5.66	2.448	2.773	1.3519999999999999	3.89	1.338	3.784	3.11	1.365	0.6508	2.883	0.6472	1.756	14.74	6.83	19.4	8.158999999999999	1.643	0.9749	2.628	2.998	1.7269999999999999	1.064	0.7918	5.263999999999999	0.9123	4.0680000000000005	0.6959	0.6611	2.265
ENSG00000169291.9	SHE	4.968999999999999	2.915	2.181	1.224	0.5193	3.1919999999999997	1.955	0.3641	1.345	1.148	2.147	2.5380000000000003	3.141	3.2289999999999996	1.611	1.3659999999999999	1.153	3.8539999999999996	3.051	3.435	0.9232	0.5248	4.135	3.284	2.485	2.133	3.091	3.2960000000000003	3.1919999999999997	0.4909	5.1770000000000005	2.9810000000000003	6.26	1.087	1.81	1.1440000000000001	3.472	1.992	2.374	4.034	2.094	4.723	4.916	1.192	3.116	1.254	4.298	7.485	2.3819999999999997	2.1069999999999998	2.648	4.637	1.445	1.919	1.704	4.732	5.495	22.44	9.433	2.641	2.946	5.138999999999999	2.71	4.713	1.6540000000000001	6.438	1.364	3.432	2.478	2.802	1.084	1.839	3.713	2.213	3.417	1.839	1.7790000000000001	1.516	1.557	2.7910000000000004	0.9349	1.073	2.477	2.074	2.971	2.0340000000000003	0.4524	2.783	1.569	0.6274	1.124	1.6669999999999998	2.416	2.447	2.287	1.4680000000000002	2.0	3.0789999999999997	3.543	3.7030000000000003	1.709	1.2790000000000001	1.455	2.03	1.3869999999999998	3.49	0.2201	1.334	1.45	2.7030000000000003	1.1179999999999999	2.394	1.169	1.669	2.9789999999999996	0.5954	0.8355	1.496	1.113	6.822	0.4964	2.391	0.9998	2.835	1.444	1.1440000000000001	0.301	2.153	0.3521	2.722	1.41	1.124	2.528	0.9211	2.046	3.611	4.877	5.754	3.341	3.109	1.335	3.2089999999999996	2.807	2.853	2.78	2.319	1.474	7.194	0.9792	1.1	6.749	2.488	3.716	3.3760000000000003	4.077	3.622	3.253	3.025	2.949
ENSG00000132702.12	HAPLN2	980.2	458.1	947.2	284.9	416.4	1287.0	470.9	380.3	660.7	571.8	1036.0	259.1	344.3	1007.0	1384.0	389.6	803.3	2149.0	102.3	1294.0	470.7	553.1	967.1	963.5	1973.0	1932.0	316.4	538.4	689.4	146.2	497.0	979.5	434.4	184.0	1092.0	577.4	717.3	1811.0	485.9	453.7	821.2	720.6	311.0	1103.0	1147.0	2092.0	1432.0	1647.0	1001.0	1049.0	797.0	1548.0	792.9	804.4	1292.0	2151.0	856.0	770.6	836.8	105.4	618.8	823.5	763.9	787.0	263.2	1520.0	1721.0	1156.0	1355.0	1234.0	388.3	651.9	881.7	567.7	1158.0	520.1	630.5	910.5	221.4	647.3	673.8	525.2	808.4	680.0	1236.0	788.1	919.9	129.3	1877.0	190.0	579.8	1963.0	738.8	638.9	686.3	215.1	188.0	1617.0	838.0	290.4	396.9	879.0	1952.0	806.0	913.1	485.7	162.0	113.0	546.8	978.4	901.4	1006.0	191.1	365.5	631.3	1456.0	375.4	393.5	1431.0	534.6	590.6	820.5	444.3	866.8	1067.0	631.0	442.8	924.0	259.0	176.3	847.8	178.4	1079.0	874.2	262.1	769.0	502.4	401.1	405.4	812.4	273.2	765.0	200.2	660.0	615.1	803.4	202.7	1016.0	276.2	712.4	957.5	301.6	1745.0	630.5	866.2	681.6	794.1	544.0	552.1
ENSG00000143248.12	RGS5	114.4	60.38	94.46	76.37	54.72	63.13	31.62	67.45	87.72	62.24	66.77	158.7	112.3	41.11	73.77	54.88	109.0	76.04	15.8	75.65	94.83	58.63	88.98	29.11	48.38	40.73	133.8	21.08	61.86	19.86	82.49	112.2	55.34	20.25	56.13	54.83	95.37	58.72	116.4	56.49	98.96	101.8	66.48	38.5	71.02	26.77	60.4	68.76	25.97	97.43	67.35	40.36	81.7	49.41	56.23	49.95	79.68	182.6	132.0	19.61	76.38	93.35	57.34	35.02	12.17	119.3	48.76	105.6	59.31	59.27	42.36	77.73	118.0	109.9	37.17	105.4	85.7	35.21	23.88	37.63	37.03	50.6	115.5	66.11	123.9	75.07	33.69	71.09	36.28	69.17	31.02	58.32	49.5	134.1	82.11	33.05	74.19	59.9	69.25	35.56	33.68	65.27	45.67	61.31	13.53	130.2	47.45	76.07	39.55	56.03	94.1	48.25	82.21	82.99	70.96	27.22	36.26	113.7	35.14	59.81	32.07	80.95	23.07	78.96	35.51	43.11	19.28	118.1	24.01	30.2	51.98	87.72	36.48	71.22	24.18	61.46	31.26	88.31	41.12	64.6	84.36	53.82	51.54	56.36	108.7	94.24	57.02	93.76	63.3	24.14	152.9	76.71	27.17	73.87	77.35	55.45	52.99	39.21	59.16
ENSG00000116161.17	CACYBP	67.17	63.85	44.5	51.25	27.77	149.9	42.6	39.16	71.31	31.63	90.56	40.97	49.47	174.2	54.72	68.28	69.71	72.13	40.32	39.0	40.27	45.65	64.68	50.74	66.79	78.89	38.06	83.3	50.39	25.72	100.6	47.07	51.05	18.33	62.92	33.08	43.01	79.21	30.48	35.2	83.38	62.46	33.11	65.27	71.9	27.65	69.96	74.33	83.24	42.72	69.28	43.22	67.19	73.56	65.71	62.55	50.47	55.03	53.03	174.0	62.83	58.63	65.55	98.32	31.97	61.93	63.28	66.17	59.6	46.92	76.92	47.72	80.27	39.14	48.22	25.14	33.64	32.89	20.73	46.98	81.1	44.47	51.06	65.42	68.98	54.63	74.07	9.943	74.35	19.34	93.19	62.26	39.07	65.51	53.31	44.4	15.02	79.68	33.18	128.5	28.41	56.07	79.85	53.25	31.0	57.64	13.38	23.27	81.54	54.89	37.41	54.12	15.65	41.3	65.25	71.22	28.71	79.25	84.66	47.65	35.04	54.84	51.76	57.64	155.5	44.42	40.4	52.77	50.47	39.06	71.17	28.42	64.9	74.98	45.18	40.68	101.0	38.2	206.5	57.98	21.83	53.75	77.45	61.52	71.37	70.31	20.9	60.12	43.32	53.18	78.22	19.13	87.55	71.89	51.02	53.68	79.06	78.48	55.84
ENSG00000144119.3	C1QL2	3.7560000000000002	2.033	8.43	7.284	2.665	1.2919999999999998	1.724	1.754	3.7569999999999997	3.051	3.795	2.728	2.8819999999999997	6.968999999999999	2.167	3.687	3.405	0.5922	0.4796	2.7	4.499	3.531	3.307	3.8339999999999996	1.735	3.304	7.938	3.125	3.8510000000000004	0.8432	3.148	5.566	0.8323	1.271	1.358	2.129	2.355	4.439	0.8809	2.721	3.511	3.142	2.8	6.4879999999999995	5.274	1.1320000000000001	3.657	4.463	6.621	3.102	2.8789999999999996	2.82	9.145	2.7	5.567	2.989	2.736	1.735	1.9380000000000002	3.3089999999999997	2.563	3.253	2.655	1.236	0.5877	4.145	2.499	2.656	1.719	2.311	0.3905	2.9139999999999997	3.972	5.13	3.031	0.7669	2.145	0.5557	0.6089	2.292	11.1	3.478	5.622999999999999	5.029	3.516	3.392	2.209	0.5986	7.317	1.3230000000000002	3.807	1.2790000000000001	5.103	7.237	4.4510000000000005	0.8333	1.915	3.6860000000000004	0.9388	2.247	2.44	3.5660000000000003	7.455	4.492	1.432	3.633	1.527	2.26	1.919	5.142	2.7489999999999997	5.811	2.017	3.7539999999999996	3.693	4.507	3.804	1.175	9.147	4.038	2.206	3.234	3.96	8.101	2.194	3.492	3.062	4.0889999999999995	2.2569999999999997	1.515	2.58	2.7969999999999997	2.6310000000000002	4.476	0.8848	2.271	2.0269999999999997	0.4916	1.554	3.6060000000000003	1.06	3.819	2.5469999999999997	0.9781	3.1630000000000003	3.983	2.423	2.9939999999999998	4.3919999999999995	2.324	2.69	0.9966	5.77	2.822	2.414	3.805	5.57	4.687	2.182
ENSG00000271179.1	RP11-629P16.1	0.0	0.0	0.0	0.07357999999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07261000000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05781	0.1254	0.1255	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10800000000000001	0.0	0.0	0.0	0.06327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000150551.10	LYPD1	17.15	8.271	8.625	22.01	6.6	3.543	5.019	16.78	14.39	6.546	18.05	34.83	13.83	11.56	6.099	16.38	19.61	1.146	8.516	6.627000000000001	27.03	10.2	16.79	12.65	3.263	14.06	11.16	14.79	8.703	3.3480000000000003	27.01	6.856	4.9	3.9610000000000003	6.004	5.17	23.09	6.475	2.825	13.05	18.07	11.6	9.885	6.678999999999999	10.63	1.6340000000000001	7.775	3.783	16.85	7.335	15.03	1.913	11.34	18.64	9.607999999999999	5.407	7.099	17.65	6.206	29.11	10.35	8.238	17.31	4.831	5.2379999999999995	11.1	8.211	4.885	9.812000000000001	5.232	6.41	9.331	14.32	23.07	14.54	4.2010000000000005	4.8069999999999995	1.357	3.642	11.81	19.98	21.31	11.44	8.587	13.28	10.7	9.624	1.489	7.5489999999999995	4.738	29.29	2.276	5.51	12.36	6.67	1.993	2.577	22.71	1.577	8.847999999999999	4.938	22.35	8.689	12.04	2.106	14.72	2.687	7.237	4.1419999999999995	7.504	4.023	5.575	5.854	4.415	17.13	11.6	6.102	12.78	11.14	8.138	6.846	6.36	14.92	9.67	18.12	6.207999999999999	9.807	8.231	27.41	2.419	8.951	6.87	7.9479999999999995	11.13	9.187000000000001	8.283999999999999	14.78	2.475	3.734	4.615	4.666	8.397	26.06	10.38	15.82	19.82	4.196000000000001	8.81	4.724	9.618	3.239	6.9239999999999995	4.012	13.13	4.987	7.8420000000000005	4.63	4.774	9.802
ENSG00000118260.14	CREB1	6.297999999999999	6.68	6.308	4.808	3.7039999999999997	8.999	4.328	4.609	8.408	4.217	10.29	6.14	9.746	9.679	7.309	10.07	8.216000000000001	10.93	2.7710000000000004	4.987	3.515	5.103	11.05	8.103	6.415	8.908999999999999	6.07	4.854	6.914	1.5730000000000002	4.9719999999999995	7.121	7.602	3.2769999999999997	9.878	5.265	5.62	13.68	5.055	6.347	6.69	8.592	4.195	9.017000000000001	10.65	6.841	12.86	13.84	6.662999999999999	7.239	10.83	9.097999999999999	9.012	10.02	9.948	12.52	8.046	18.67	11.16	5.587999999999999	12.52	12.24	11.17	9.459	4.211	10.52	9.536	13.34	11.82	4.352	8.527000000000001	7.477	9.168	6.704	8.318	4.001	5.0680000000000005	5.605	2.57	5.854	5.747000000000001	5.722	7.023	6.7	6.936	8.424	10.76	2.532	7.935	2.821	8.006	10.86	4.628	7.657	9.15	3.839	2.65	13.94	5.557	9.549	4.51	6.556	8.49	6.316	4.329	6.386	1.495	3.071	4.723	5.377999999999999	3.478	8.368	3.2680000000000002	7.648	5.223	8.841000000000001	3.605	7.042000000000001	10.56	6.551	4.06	6.66	4.571000000000001	8.51	8.949	6.667000000000001	4.249	7.977	4.5169999999999995	5.755	8.935	4.1930000000000005	9.033999999999999	9.165	5.65	7.772	8.228	9.937999999999999	6.194	6.556	3.779	10.9	8.524	7.779	7.949	15.11	3.4610000000000003	8.113	7.502000000000001	4.854	10.87	3.5460000000000003	10.53	11.28	10.25	12.04	9.958	6.501	7.22
ENSG00000152056.16	AP1S3	0.3671	0.5075	0.3275	0.4402	0.3474	0.2014	0.1762	0.3481	0.3523	0.06577000000000001	0.614	0.6567	0.7474	0.565	0.2111	0.3536	0.4005	0.5805	0.2096	0.1545	0.1632	0.06736	0.7797	0.639	0.7265	0.6342	0.439	0.4878	0.4783	0.09061	1.609	0.3109	0.7277	0.1686	0.2989	0.1716	0.2191	0.5866	0.3703	0.6192	0.7325	0.457	0.4643	0.27	0.614	0.1306	0.4558	0.4065	0.7986	0.4726	0.7639	0.2445	0.228	0.6789	0.7688	0.3289	0.424	0.6721	0.4077	0.6834	0.5896	0.7490000000000001	0.2617	0.3554	0.1314	0.5778	0.4919	0.3275	0.4972	0.3179	0.6517	0.2779	0.5467	0.1658	0.3345	0.205	0.1364	0.1251	0.062220000000000004	0.3595	0.1368	0.158	0.41	0.2954	0.3734	0.2618	0.4682	0.06398999999999999	0.2289	0.1666	1.304	0.23800000000000002	0.5031	0.5456	0.5119	0.2445	0.1148	0.6427	0.1378	0.4666	0.1039	0.1215	0.3975	0.2856	0.2062	0.2226	0.07382000000000001	0.018580000000000003	0.213	0.2243	0.149	0.1761	0.1241	0.4707	0.3687	0.5737	0.1127	0.6643	0.5788	0.3745	0.1998	0.3065	0.1888	0.5959	0.5162	0.413	0.1003	0.3607	0.3109	0.1606	0.6768	0.1805	0.3436	0.358	0.1363	0.08663	0.6196	0.4689	0.3276	0.2077	0.2071	0.8186	1.565	0.3918	0.6569	1.0959999999999999	0.01284	0.3631	0.2264	0.5908	0.4071	0.1065	0.6065	0.8636	0.5561	0.6971	0.4152	0.3184	0.3417
