	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.011490658914728684	0.0
1	ENSG00000227232.5	WASH7P	3.0017581395348834	2.696
2	ENSG00000278267.1	MIR6859-1	0.013620155038759688	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.02264751937984497	0.0
4	ENSG00000237613.2	FAM138A	0.007929651162790699	0.0
5	ENSG00000268020.3	OR4G4P	0.05059209302325581	0.03646
6	ENSG00000240361.1	OR4G11P	0.07592992248062015	0.05475
7	ENSG00000186092.4	OR4F5	0.1134013565891473	0.0585
8	ENSG00000238009.6	RP11-34P13.7	0.02597573643410853	0.01616
9	ENSG00000233750.3	CICP27	0.024197810077519376	0.01548
10	ENSG00000268903.1	RP11-34P13.15	5.502427519379845	3.681
11	ENSG00000269981.1	RP11-34P13.16	8.377555426356587	6.5089999999999995
12	ENSG00000239906.1	RP11-34P13.14	0.22012503875968992	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.14113693798449614	0.1053
14	ENSG00000222623.1	RNU6-1100P	0.0009573643410852713	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0012445736434108527	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.19612143410852714	0.114
17	ENSG00000279457.4	RP11-34P13.18	5.953081395348837	5.227
18	ENSG00000273874.1	MIR6859-2	0.006598449612403101	0.0
19	ENSG00000228463.9	AP006222.2	0.6183428294573644	0.5546
20	ENSG00000236679.2	RPL23AP24	0.07793453488372093	0.07454
21	ENSG00000236743.1	RP5-857K21.15	0.002156705426356589	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.03156852713178295	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.11694706589147286	0.1057
24	ENSG00000269732.1	WBP1LP7	0.11990294573643412	0.09792999999999999
25	ENSG00000278566.1	OR4F29	0.0663443023255814	0.04993
26	ENSG00000233653.3	CICP7	0.014365282945736437	0.009918000000000001
27	ENSG00000250575.1	RP4-669L17.8	0.024509457364341083	0.0
28	ENSG00000278757.1	U6	0.0054046511627906975	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.03938596899224806	0.03495
30	ENSG00000235146.2	RP5-857K21.2	0.009185193798449613	0.0
31	ENSG00000225972.1	MTND1P23	485.4445503875969	13.76
32	ENSG00000225630.1	MTND2P28	1191.396434108527	950.0
