	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.006649114630467571	0.0
1	ENSG00000227232.5	WASH7P	3.96558431372549	3.6430000000000002
2	ENSG00000278267.1	MIR6859-1	0.0131105580693816	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.015079036199095022	0.0
4	ENSG00000237613.2	FAM138A	0.007217194570135746	0.0
5	ENSG00000268020.3	OR4G4P	0.03274723981900453	0.0
6	ENSG00000240361.1	OR4G11P	0.05003802413273002	0.03948
7	ENSG00000186092.4	OR4F5	0.06450580693815987	0.04452
8	ENSG00000238009.6	RP11-34P13.7	0.02877565610859728	0.0
9	ENSG00000233750.3	CICP27	0.02367169984917044	0.011835
10	ENSG00000268903.1	RP11-34P13.15	2.1303099698340877	1.464
11	ENSG00000269981.1	RP11-34P13.16	3.7143110859728505	2.5805
12	ENSG00000239906.1	RP11-34P13.14	0.12478220211161388	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.16901118099547513	0.1285
14	ENSG00000222623.1	RNU6-1100P	0.002298491704374057	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0008941327300150832	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.1053944645550528	0.0
17	ENSG00000279457.4	RP11-34P13.18	7.1066817496229255	6.766
18	ENSG00000273874.1	MIR6859-2	0.0035711915535444954	0.0
19	ENSG00000228463.9	AP006222.2	0.2731721870286576	0.20600000000000002
20	ENSG00000236679.2	RPL23AP24	0.1818184766214178	0.1369
21	ENSG00000236743.1	RP5-857K21.15	0.003593001508295626	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.02162499245852187	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.25469253695324284	0.22415
24	ENSG00000269732.1	WBP1LP7	0.07316782805429864	0.0
25	ENSG00000278566.1	OR4F29	0.04499276018099548	0.0
26	ENSG00000233653.3	CICP7	0.0172483544494721	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.025489472096530925	0.0
28	ENSG00000278757.1	U6	0.002670135746606335	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.06840349019607843	0.05499
30	ENSG00000235146.2	RP5-857K21.2	0.0053479638009049785	0.0
31	ENSG00000225972.1	MTND1P23	145.97523725490194	6.4825
32	ENSG00000225630.1	MTND2P28	427.9766259426848	363.6
33	ENSG00000237973.1	MTCO1P12	99.45671945701356	40.585
34	ENSG00000229344.1	MTCO2P12	17.657930618401203	8.472000000000001
35	ENSG00000240409.1	MTATP8P1	13.298595927601811	9.252
36	ENSG00000248527.1	MTATP6P1	2001.9396078431373	1927.0
37	ENSG00000198744.5	MTCO3P12	34.922935143288086	13.55
38	ENSG00000268663.1	WBP1LP6	0.04475057315233785	0.0
39	ENSG00000273547.1	OR4F16	0.03451606334841629	0.0
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.1240333665158371	0.09585
42	ENSG00000228327.3	RP11-206L10.2	2.2234518853695318	2.0665
43	ENSG00000223181.1	RNU6-1199P	0.021864404223227756	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.050273966817496234	0.0
45	ENSG00000237491.8	RP11-206L10.9	0.8481383107088991	0.77155
46	ENSG00000230092.7	RP11-206L10.8	1.6741734539969837	1.5485000000000002
47	ENSG00000177757.2	FAM87B	2.0376641025641025	1.8745
48	ENSG00000228794.8	LINC01128	11.391340874811464	11.105
49	ENSG00000225880.5	LINC00115	8.456371040723981	7.8205
50	ENSG00000230368.2	FAM41C	0.10045558069381598	0.05486
51	ENSG00000234711.1	TUBB8P11	0.09539550527903468	0.05685000000000001
52	ENSG00000283040.1	FAM166AP3	0.043306048265460036	0.0
53	ENSG00000272438.1	RP11-54O7.16	0.5579139517345401	0.3086
54	ENSG00000230699.2	RP11-54O7.1	0.4566369532428357	0.2676
55	ENSG00000241180.1	RP11-54O7.2	0.001365761689291101	0.0
56	ENSG00000223764.2	RP11-54O7.3	11.73576108597285	8.5625
57	ENSG00000187634.11	SAMD11	11.315770135746606	7.9605
58	ENSG00000188976.10	NOC2L	63.917435897435894	62.565
59	ENSG00000187961.13	KLHL17	11.33641628959276	10.75
60	ENSG00000187583.10	PLEKHN1	0.9786505429864254	0.7178
61	ENSG00000187642.9	PERM1	1.5454542986425344	1.0535
62	ENSG00000272512.1	RP11-54O7.17	27.074582956259427	17.935
63	ENSG00000188290.10	HES4	115.81428355957769	98.415
64	ENSG00000187608.8	ISG15	68.83987933634992	50.395
65	ENSG00000231702.2	RP11-54O7.10	0.6149858220211161	0.39215
66	ENSG00000224969.1	RP11-54O7.11	0.9070661387631976	0.61825
67	ENSG00000188157.14	AGRN	23.839835595776773	22.75
68	ENSG00000217801.9	RP11-465B22.3	0.1939634539969834	0.13890000000000002
69	ENSG00000273443.1	RP11-54O7.18	0.07995387631975867	0.049475
70	ENSG00000237330.2	RNF223	0.0656696681749623	0.039835
71	ENSG00000131591.17	C1orf159	7.934030165912517	7.5764999999999985
72	ENSG00000223823.1	LINC01342	0.07314475113122174	0.035455
73	ENSG00000207730.3	MIR200B	0.05093755656108597	0.0
74	ENSG00000207607.3	MIR200A	0.035177073906485674	0.0
75	ENSG00000198976.1	MIR429	0.05040945701357466	0.0
76	ENSG00000272141.1	RP11-465B22.8	0.10409701357466064	0.05274500000000001
77	ENSG00000205231.1	TTLL10-AS1	0.066397233785822	0.04805
78	ENSG00000162571.13	TTLL10	0.13830636953242836	0.10725
79	ENSG00000186891.13	TNFRSF18	0.528579245852187	0.28165
80	ENSG00000186827.10	TNFRSF4	2.5385302262443443	1.8005
81	ENSG00000078808.16	SDF4	177.4680693815988	175.65
82	ENSG00000176022.4	B3GALT6	12.993524886877825	12.66
