	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.008535051136363636	0.0
1	ENSG00000227232.5	WASH7P	1.9042193181818183	1.703
2	ENSG00000278267.1	MIR6859-1	0.006176704545454545	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.02741761363636364	0.0
4	ENSG00000237613.2	FAM138A	0.008728784090909091	0.0
5	ENSG00000268020.3	OR4G4P	0.06531596590909093	0.053610000000000005
6	ENSG00000240361.1	OR4G11P	0.0861459659090909	0.06838
7	ENSG00000186092.4	OR4F5	0.13008051136363635	0.07672999999999999
8	ENSG00000238009.6	RP11-34P13.7	0.032408204545454546	0.02099
9	ENSG00000233750.3	CICP27	0.02268457386363637	0.01755
10	ENSG00000268903.1	RP11-34P13.15	1.5754420454545457	1.331
11	ENSG00000269981.1	RP11-34P13.16	1.6186163636363635	1.054
12	ENSG00000239906.1	RP11-34P13.14	0.04128852272727273	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.07680135227272727	0.05562
14	ENSG00000222623.1	RNU6-1100P	0.0	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0009971022727272726	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.059865852272727275	0.04407
17	ENSG00000279457.4	RP11-34P13.18	3.4220625	3.1660000000000004
18	ENSG00000273874.1	MIR6859-2	0.0	0.0
19	ENSG00000228463.9	AP006222.2	0.5408205284090909	0.4536
20	ENSG00000236679.2	RPL23AP24	0.10378204545454546	0.07812999999999999
21	ENSG00000236743.1	RP5-857K21.15	0.0011372727272727274	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.035135852272727267	0.02872
23	ENSG00000237094.11	RP4-669L17.10	0.1424180625	0.122
24	ENSG00000269732.1	WBP1LP7	0.14160920454545456	0.09663
25	ENSG00000278566.1	OR4F29	0.074271875	0.05511
26	ENSG00000233653.3	CICP7	0.013215693181818184	0.01013
27	ENSG00000250575.1	RP4-669L17.8	0.015469488636363634	0.0
28	ENSG00000278757.1	U6	0.0	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.053102982954545457	0.046919999999999996
30	ENSG00000235146.2	RP5-857K21.2	0.009943920454545455	0.0
31	ENSG00000225972.1	MTND1P23	310.22186363636365	16.14
32	ENSG00000225630.1	MTND2P28	1369.5922159090908	1161.0
33	ENSG00000237973.1	MTCO1P12	257.33261363636365	126.7
34	ENSG00000229344.1	MTCO2P12	62.94532954545454	27.33
35	ENSG00000240409.1	MTATP8P1	35.819232954545456	22.22
36	ENSG00000248527.1	MTATP6P1	6204.174204545454	6201.0
37	ENSG00000198744.5	MTCO3P12	124.96151704545454	37.25
38	ENSG00000268663.1	WBP1LP6	0.07508869318181817	0.06312000000000001
39	ENSG00000273547.1	OR4F16	0.060819318181818176	0.0476
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.13402223863636362	0.1151
42	ENSG00000228327.3	RP11-206L10.2	0.5673809659090909	0.4541
43	ENSG00000223181.1	RNU6-1199P	0.03963409090909091	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.06789897727272726	0.05294
45	ENSG00000237491.8	RP11-206L10.9	0.4430647727272728	0.4292
46	ENSG00000230092.7	RP11-206L10.8	0.4154511363636363	0.3848
47	ENSG00000177757.2	FAM87B	0.2735760795454545	0.2192
48	ENSG00000228794.8	LINC01128	5.477337500000001	5.018
49	ENSG00000225880.5	LINC00115	1.6557238636363636	1.4269999999999998
50	ENSG00000230368.2	FAM41C	0.1470284659090909	0.1239
51	ENSG00000234711.1	TUBB8P11	0.17679170454545454	0.156
52	ENSG00000283040.1	FAM166AP3	0.07313607954545455	0.05458
53	ENSG00000272438.1	RP11-54O7.16	0.39073329545454544	0.3562
54	ENSG00000230699.2	RP11-54O7.1	0.2716544886363636	0.237
55	ENSG00000241180.1	RP11-54O7.2	0.0	0.0
56	ENSG00000223764.2	RP11-54O7.3	0.4975931818181818	0.414
57	ENSG00000187634.11	SAMD11	0.6065758522727273	0.4673
58	ENSG00000188976.10	NOC2L	28.648079545454546	27.56
59	ENSG00000187961.13	KLHL17	5.329630681818182	5.07
60	ENSG00000187583.10	PLEKHN1	0.1354700568181818	0.1021
61	ENSG00000187642.9	PERM1	0.2501233352272727	0.2286
62	ENSG00000272512.1	RP11-54O7.17	3.307527840909091	2.835
63	ENSG00000188290.10	HES4	21.699255681818183	20.65
64	ENSG00000187608.8	ISG15	60.1254090909091	25.55
65	ENSG00000231702.2	RP11-54O7.10	0.1524268181818182	0.0
66	ENSG00000224969.1	RP11-54O7.11	0.5504744318181818	0.466
67	ENSG00000188157.14	AGRN	24.59706818181818	22.7
68	ENSG00000217801.9	RP11-465B22.3	3.801059659090909	3.5380000000000003
69	ENSG00000273443.1	RP11-54O7.18	0.4940099431818182	0.3515
