	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.007096890243902437	0.0
1	ENSG00000227232.5	WASH7P	1.7742841463414634	1.568
2	ENSG00000278267.1	MIR6859-1	0.004610975609756098	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.031105528455284564	0.024669999999999997
4	ENSG00000237613.2	FAM138A	0.009460073170731708	0.0
5	ENSG00000268020.3	OR4G4P	0.06291772357723578	0.04576
6	ENSG00000240361.1	OR4G11P	0.0973738211382114	0.07207999999999999
7	ENSG00000186092.4	OR4F5	0.12982069105691058	0.08274
8	ENSG00000238009.6	RP11-34P13.7	0.033697113821138214	0.01855
9	ENSG00000233750.3	CICP27	0.025847760162601627	0.0178
10	ENSG00000268903.1	RP11-34P13.15	1.5403497967479676	1.041
11	ENSG00000269981.1	RP11-34P13.16	1.8224763414634144	1.251
12	ENSG00000239906.1	RP11-34P13.14	0.031201056910569108	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.07566226829268292	0.05081
14	ENSG00000222623.1	RNU6-1100P	0.0	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0014152032520325206	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.07420126016260163	0.04533
17	ENSG00000279457.4	RP11-34P13.18	3.2340284552845526	3.193
18	ENSG00000273874.1	MIR6859-2	0.0	0.0
19	ENSG00000228463.9	AP006222.2	0.3808096097560976	0.335
20	ENSG00000236679.2	RPL23AP24	0.08388313008130081	0.06412000000000001
21	ENSG00000236743.1	RP5-857K21.15	0.0015878048780487806	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.03601020325203252	0.02544
23	ENSG00000237094.11	RP4-669L17.10	0.158044593495935	0.1332
24	ENSG00000269732.1	WBP1LP7	0.16594678861788614	0.1062
25	ENSG00000278566.1	OR4F29	0.08018280487804877	0.054689999999999996
26	ENSG00000233653.3	CICP7	0.013863260162601629	0.008962999999999999
27	ENSG00000250575.1	RP4-669L17.8	0.01823439024390244	0.0
28	ENSG00000278757.1	U6	0.0	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.05073811382113821	0.04083
30	ENSG00000235146.2	RP5-857K21.2	0.009861016260162602	0.0
31	ENSG00000225972.1	MTND1P23	391.00530894308935	17.86
32	ENSG00000225630.1	MTND2P28	1875.7985772357722	1569.0
33	ENSG00000237973.1	MTCO1P12	250.84711382113827	110.7
34	ENSG00000229344.1	MTCO2P12	62.61067886178861	29.55
35	ENSG00000240409.1	MTATP8P1	35.02156504065041	24.93
36	ENSG00000248527.1	MTATP6P1	7496.783943089431	7324.0
37	ENSG00000198744.5	MTCO3P12	125.39592682926829	30.43
38	ENSG00000268663.1	WBP1LP6	0.08945353658536585	0.056220000000000006
39	ENSG00000273547.1	OR4F16	0.05903313008130081	0.03902
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.16731288617886178	0.1356
42	ENSG00000228327.3	RP11-206L10.2	0.6369906097560974	0.5772
43	ENSG00000223181.1	RNU6-1199P	0.03495121951219512	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.07104943089430896	0.05413
45	ENSG00000237491.8	RP11-206L10.9	0.5244910569105692	0.5025
46	ENSG00000230092.7	RP11-206L10.8	0.4570528861788618	0.4129
47	ENSG00000177757.2	FAM87B	0.2643147154471545	0.2412
48	ENSG00000228794.8	LINC01128	4.048034146341463	3.8710000000000004
49	ENSG00000225880.5	LINC00115	2.207682926829268	2.053
50	ENSG00000230368.2	FAM41C	0.13468463414634144	0.09915
51	ENSG00000234711.1	TUBB8P11	0.15560882113821134	0.1291
52	ENSG00000283040.1	FAM166AP3	0.0620908536585366	0.04641
53	ENSG00000272438.1	RP11-54O7.16	0.4587895121951219	0.4081
54	ENSG00000230699.2	RP11-54O7.1	0.2415295121951219	0.2168
55	ENSG00000241180.1	RP11-54O7.2	0.01304471544715447	0.0
56	ENSG00000223764.2	RP11-54O7.3	0.8274523577235774	0.6927
57	ENSG00000187634.11	SAMD11	2.4505516260162605	2.222
58	ENSG00000188976.10	NOC2L	24.43192682926829	25.08
59	ENSG00000187961.13	KLHL17	4.650389024390243	4.416
60	ENSG00000187583.10	PLEKHN1	0.1614520081300813	0.1212
61	ENSG00000187642.9	PERM1	0.17041516260162598	0.1422
62	ENSG00000272512.1	RP11-54O7.17	4.531874796747969	4.105
63	ENSG00000188290.10	HES4	32.875186991869924	31.47
64	ENSG00000187608.8	ISG15	33.217056910569106	27.39
65	ENSG00000231702.2	RP11-54O7.10	0.14406991869918698	0.0
66	ENSG00000224969.1	RP11-54O7.11	0.5587114227642277	0.4565
67	ENSG00000188157.14	AGRN	20.586394308943085	19.87
68	ENSG00000217801.9	RP11-465B22.3	1.9969146341463413	2.032
69	ENSG00000273443.1	RP11-54O7.18	0.3424135365853659	0.2713
70	ENSG00000237330.2	RNF223	0.07903210162601626	0.05828
71	ENSG00000131591.17	C1orf159	6.5422113821138215	6.6229999999999976
72	ENSG00000223823.1	LINC01342	0.11142560975609757	0.06999
73	ENSG00000207730.3	MIR200B	0.05323536585365854	0.0
74	ENSG00000207607.3	MIR200A	0.0587869918699187	0.0
75	ENSG00000198976.1	MIR429	0.0827650406504065	0.0
76	ENSG00000272141.1	RP11-465B22.8	0.1041438211382114	0.08259
77	ENSG00000205231.1	TTLL10-AS1	0.2826676219512195	0.1175
78	ENSG00000162571.13	TTLL10	0.5386056097560976	0.1904
79	ENSG00000186891.13	TNFRSF18	0.32584703252032515	0.2459
80	ENSG00000186827.10	TNFRSF4	0.5280513414634147	0.4347
81	ENSG00000078808.16	SDF4	48.89418699186993	48.81
82	ENSG00000176022.4	B3GALT6	10.125727642276422	10.06
83	ENSG00000184163.3	C1QTNF12	0.5833938617886179	0.5227
84	ENSG00000260179.1	RP5-902P8.12	0.4554166260162602	0.3959
85	ENSG00000160087.20	UBE2J2	12.515882113821142	12.74
86	ENSG00000230415.1	LINC01786	4.115550406504064	3.5669999999999997
87	ENSG00000162572.20	SCNN1D	10.720174796747967	10.47
88	ENSG00000131584.18	ACAP3	102.70479674796749	104.6
89	ENSG00000278073.1	MIR6726	0.06775772357723578	0.0
90	ENSG00000169972.11	PUSL1	6.776821138211383	6.9670000000000005
91	ENSG00000127054.20	INTS11	23.143	22.94
92	ENSG00000283712.1	MIR6727	0.06642357723577236	0.0
93	ENSG00000240731.1	RP5-890O3.9	8.177248373983739	8.033
94	ENSG00000224051.6	CPTP	13.754723577235776	13.98
95	ENSG00000169962.4	TAS1R3	0.4569678455284553	0.3985
96	ENSG00000107404.19	DVL1	57.23313008130082	59.14
97	ENSG00000284372.1	MIR6808	0.04107073170731707	0.0
98	ENSG00000162576.16	MXRA8	14.13919512195122	13.95
99	ENSG00000175756.13	AURKAIP1	70.4649593495935	71.16
100	ENSG00000223663.2	NDUFB4P8	0.2674934552845529	0.2199
101	ENSG00000221978.11	CCNL2	46.045739837398365	46.46
102	ENSG00000224870.6	RP4-758J18.2	10.823333333333332	10.65
103	ENSG00000242485.5	MRPL20	47.937410569105694	49.0
104	ENSG00000272455.1	RP4-758J18.13	3.8566784552845528	3.6010000000000004
105	ENSG00000235098.8	ANKRD65	13.1434918699187	12.33
106	ENSG00000225905.1	RP4-758J18.7	2.5052459349593503	2.35
107	ENSG00000205116.3	TMEM88B	13.95171138211382	10.18
108	ENSG00000225285.1	LINC01770	1.0519934959349593	0.9032
109	ENSG00000179403.11	VWA1	18.875182926829268	16.77
110	ENSG00000215915.9	ATAD3C	2.2680134146341464	1.859
111	ENSG00000160072.19	ATAD3B	9.256024390243905	8.892999999999997
112	ENSG00000197785.13	ATAD3A	7.952036585365853	8.039
113	ENSG00000205090.8	TMEM240	19.583117886178858	19.28
114	ENSG00000160075.11	SSU72	32.65325203252032	34.53
115	ENSG00000215014.4	RP5-832C2.5	1.2790093495934958	1.206
116	ENSG00000274481.1	RP11-345P4.11	0.07771386178861789	0.05005
117	ENSG00000228594.3	FNDC10	10.650833333333333	11.06
118	ENSG00000272106.1	RP11-345P4.9	32.69511382113821	31.95
119	ENSG00000197530.12	MIB2	23.433373983739838	23.34
120	ENSG00000189409.13	MMP23B	0.13563951219512194	0.1107
121	ENSG00000248333.8	CDK11B	14.811361788617885	14.68
122	ENSG00000272004.1	RP11-345P4.10	0.05214634146341463	0.0
123	ENSG00000189339.11	SLC35E2B	11.716642276422766	10.74
124	ENSG00000269737.2	RP11-345P4.6	0.6353100406504065	0.5514
125	ENSG00000215914.4	MMP23A	0.18477459349593492	0.1058
126	ENSG00000008128.22	CDK11A	6.602540650406505	6.3629999999999995
127	ENSG00000227775.3	RP1-283E3.4	3.2624207317073166	2.8569999999999998
128	ENSG00000215790.6	SLC35E2	2.0266333333333333	1.75
129	ENSG00000008130.15	NADK	11.357764227642276	11.14
130	ENSG00000078369.17	GNB1	201.3159349593496	201.3
131	ENSG00000231050.1	RP1-140A9.1	1.6967191056910569	1.5730000000000002
132	ENSG00000169885.9	CALML6	1.39061418699187	1.33
133	ENSG00000178821.12	TMEM52	1.3681939024390244	1.1540000000000001
134	ENSG00000142609.17	CFAP74	2.769198983739837	2.2969999999999997
135	ENSG00000233542.1	RP11-547D24.1	0.6060499349593496	0.5368
136	ENSG00000187730.8	GABRD	45.51515447154471	41.58
137	ENSG00000226969.1	RP11-547D24.3	0.010541829268292684	0.0
138	ENSG00000067606.16	PRKCZ	22.843435772357715	22.11
139	ENSG00000271806.1	RP5-892K4.1	0.11357226829268292	0.08891
140	ENSG00000182873.5	PRKCZ-AS1	4.479105691056911	4.121
141	ENSG00000162585.16	FAAP20	4.490825203252032	4.39
142	ENSG00000234396.3	RP11-181G12.4	0.21634048780487808	0.1418
143	ENSG00000157933.9	SKI	25.120430894308942	25.17
144	ENSG00000116151.13	MORN1	1.787331300813008	1.571
145	ENSG00000272161.1	RP4-713A8.1	0.6939949593495934	0.6061
146	ENSG00000269896.2	RP4-740C4.5	2.0629456504065042	1.89
147	ENSG00000272420.1	RP4-740C4.7	6.094100813008129	6.461
148	ENSG00000157916.19	RER1	20.220902439024393	20.33
149	ENSG00000157911.9	PEX10	14.979869918699189	15.46
150	ENSG00000149527.17	PLCH2	9.733710569105689	9.386000000000001
151	ENSG00000224387.1	RP3-395M20.2	0.6227308943089431	0.4958
152	ENSG00000229393.1	RP3-395M20.3	0.6418302439024389	0.4757
153	ENSG00000157881.13	PANK4	9.105739837398373	9.091000000000001
154	ENSG00000197921.5	HES5	5.923497723577236	5.092
155	ENSG00000272449.1	RP3-395M20.12	6.881015447154473	6.5360000000000005
156	ENSG00000238164.6	RP3-395M20.8	0.35224451219512204	0.3155
157	ENSG00000157873.17	TNFRSF14	7.992512195121951	7.295
158	ENSG00000225931.3	RP3-395M20.7	0.05824365853658536	0.04541
159	ENSG00000228037.1	RP3-395M20.9	0.26039101626016264	0.2166
160	ENSG00000157870.14	FAM213B	22.353430894308943	22.69
161	ENSG00000142606.15	MMEL1	0.4724296341463415	0.3348
162	ENSG00000237058.1	RP13-436F16.1	0.056778861788617886	0.0
163	ENSG00000215912.12	TTC34	1.076404512195122	0.636
164	ENSG00000283259.1	ABC14-1188822O7.1	0.09756345528455283	0.03912
165	ENSG00000233234.1	RP11-740P5.2	0.00013756097560975607	0.0
166	ENSG00000231630.1	RP11-740P5.3	0.0020535365853658533	0.0
167	ENSG00000169717.6	ACTRT2	0.009867317073170732	0.0
168	ENSG00000177133.10	LINC00982	26.459792682926828	25.63
169	ENSG00000142611.16	PRDM16	4.532969105691057	4.294
170	ENSG00000283572.1	MIR4251	0.002855691056910569	0.0
171	ENSG00000226286.1	RP1-163G9.2	0.028730975609756095	0.0
172	ENSG00000279839.1	RP11-193J6.1	0.06404512195121953	0.04487
173	ENSG00000272235.1	RP11-22L13.1	0.5178643902439025	0.4577
174	ENSG00000130762.14	ARHGEF16	0.8432288617886177	0.7801
175	ENSG00000272088.1	RP11-168F9.2	0.09740447154471543	0.0544
176	ENSG00000162591.15	MEGF6	1.7130947154471543	1.4609999999999999
177	ENSG00000207776.1	MIR551A	0.0030439024390243904	0.0
178	ENSG00000238260.1	RP11-46F15.2	3.954216260162602	3.5239999999999996
179	ENSG00000158109.14	TPRG1L	84.18565853658536	82.06
180	ENSG00000116213.15	WRAP73	10.946536585365854	10.946536585365854
181	ENSG00000078900.14	TP73	0.8173226829268292	0.3604
182	ENSG00000227589.1	RP5-1092A11.5	0.010448008130081302	0.0
183	ENSG00000235131.1	RP5-1092A11.2	0.08741422764227642	0.0
184	ENSG00000227372.11	TP73-AS1	7.738252032520326	7.737
185	ENSG00000162592.9	CCDC27	0.038499772357723575	0.028960000000000007
186	ENSG00000235169.7	SMIM1	0.8020122357723577	0.6621
