	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.011440168627450979	0.0
1	ENSG00000227232.5	WASH7P	2.9172772549019608	2.5035
2	ENSG00000278267.1	MIR6859-1	0.013720392156862743	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.042363764705882365	0.02754
4	ENSG00000237613.2	FAM138A	0.012683686274509805	0.0
5	ENSG00000268020.3	OR4G4P	0.07842227450980392	0.04306
6	ENSG00000240361.1	OR4G11P	0.10928619607843136	0.07064000000000001
7	ENSG00000186092.4	OR4F5	0.143796	0.08482999999999999
8	ENSG00000238009.6	RP11-34P13.7	0.04599698431372549	0.024455
9	ENSG00000233750.3	CICP27	0.028369152941176475	0.019955
10	ENSG00000268903.1	RP11-34P13.15	2.7342870588235293	2.441
11	ENSG00000269981.1	RP11-34P13.16	3.2235240784313732	2.5285
12	ENSG00000239906.1	RP11-34P13.14	0.08592419607843138	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.12214369019607844	0.08233
14	ENSG00000222623.1	RNU6-1100P	0.0012403921568627453	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0017666666666666664	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.09547101960784313	0.055295000000000004
17	ENSG00000279457.4	RP11-34P13.18	5.727541176470589	5.5165
18	ENSG00000273874.1	MIR6859-2	0.005888235294117647	0.0
19	ENSG00000228463.9	AP006222.2	0.8691063529411764	0.7623500000000001
20	ENSG00000236679.2	RPL23AP24	0.09247741176470588	0.075705
21	ENSG00000236743.1	RP5-857K21.15	0.001743450980392157	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.0448118431372549	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.2360862117647059	0.19285
24	ENSG00000269732.1	WBP1LP7	0.16954925490196074	0.09211
25	ENSG00000278566.1	OR4F29	0.10226572549019608	0.06274500000000001
26	ENSG00000233653.3	CICP7	0.01880522745098039	0.010595
27	ENSG00000250575.1	RP4-669L17.8	0.02287627450980392	0.019465
28	ENSG00000278757.1	U6	0.0	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.06621892941176473	0.057255000000000014
30	ENSG00000235146.2	RP5-857K21.2	0.013380705882352942	0.0
31	ENSG00000225972.1	MTND1P23	356.98647450980394	17.45
32	ENSG00000225630.1	MTND2P28	1419.6390196078432	1275.0
33	ENSG00000237973.1	MTCO1P12	260.6407450980392	133.5
34	ENSG00000229344.1	MTCO2P12	51.77599215686274	25.38
35	ENSG00000240409.1	MTATP8P1	37.949654901960784	22.380000000000006
36	ENSG00000248527.1	MTATP6P1	6008.709960784314	5986.5
37	ENSG00000198744.5	MTCO3P12	90.68462352941178	29.61
38	ENSG00000268663.1	WBP1LP6	0.10284529411764703	0.06003500000000001
39	ENSG00000273547.1	OR4F16	0.0699943137254902	0.042055
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.16823717647058822	0.14655
42	ENSG00000228327.3	RP11-206L10.2	0.9363607843137256	0.7671
43	ENSG00000223181.1	RNU6-1199P	0.05945098039215686	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.08948235294117646	0.0654
45	ENSG00000237491.8	RP11-206L10.9	0.6237784313725491	0.57385
46	ENSG00000230092.7	RP11-206L10.8	0.4929876078431372	0.4289
47	ENSG00000177757.2	FAM87B	0.31579486274509805	0.2404
48	ENSG00000228794.8	LINC01128	6.290486274509805	6.2525
49	ENSG00000225880.5	LINC00115	2.244302745098039	2.052
50	ENSG00000230368.2	FAM41C	0.18649133333333331	0.15810000000000002
51	ENSG00000234711.1	TUBB8P11	0.2383340392156863	0.18605
52	ENSG00000283040.1	FAM166AP3	0.07862992156862744	0.056954999999999985
53	ENSG00000272438.1	RP11-54O7.16	0.4675761176470588	0.40845
54	ENSG00000230699.2	RP11-54O7.1	0.2895337254901961	0.26245
55	ENSG00000241180.1	RP11-54O7.2	0.015546274509803918	0.0
56	ENSG00000223764.2	RP11-54O7.3	0.8067221960784313	0.6770499999999999
57	ENSG00000187634.11	SAMD11	0.9470101960784312	0.8324
58	ENSG00000188976.10	NOC2L	38.94069803921568	40.715
59	ENSG00000187961.13	KLHL17	10.510003921568627	10.4
60	ENSG00000187583.10	PLEKHN1	0.2007775294117647	0.1553
