	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.00986251572327044	0.0
1	ENSG00000227232.5	WASH7P	2.943804402515723	2.7485
2	ENSG00000278267.1	MIR6859-1	0.004772955974842767	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.022809748427672957	0.0
4	ENSG00000237613.2	FAM138A	0.007700628930817611	0.0
5	ENSG00000268020.3	OR4G4P	0.05167220125786163	0.041695
6	ENSG00000240361.1	OR4G11P	0.07026987421383649	0.05762000000000001
7	ENSG00000186092.4	OR4F5	0.10665138364779872	0.07103999999999999
8	ENSG00000238009.6	RP11-34P13.7	0.03609011320754717	0.018300000000000004
9	ENSG00000233750.3	CICP27	0.03951508805031447	0.02459
10	ENSG00000268903.1	RP11-34P13.15	3.8916792452830182	2.5725
11	ENSG00000269981.1	RP11-34P13.16	4.571888679245283	2.483
12	ENSG00000239906.1	RP11-34P13.14	0.13110930817610064	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.11003596855345912	0.07022
14	ENSG00000222623.1	RNU6-1100P	0.0	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0019734591194968554	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.11686861635220125	0.05144
17	ENSG00000279457.4	RP11-34P13.18	5.036060377358488	4.7915
18	ENSG00000273874.1	MIR6859-2	0.007333333333333333	0.0
19	ENSG00000228463.9	AP006222.2	0.463195075471698	0.37715
20	ENSG00000236679.2	RPL23AP24	0.1468485534591195	0.1132
21	ENSG00000236743.1	RP5-857K21.15	0.0019043396226415094	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.033597672955974836	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.1799376918238994	0.14615
24	ENSG00000269732.1	WBP1LP7	0.13216301886792453	0.08673
25	ENSG00000278566.1	OR4F29	0.061985597484276726	0.0458
26	ENSG00000233653.3	CICP7	0.013175805031446542	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.023965283018867925	0.0
28	ENSG00000278757.1	U6	0.0019006289308176106	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.061488874213836475	0.04696
30	ENSG00000235146.2	RP5-857K21.2	0.009059748427672955	0.0
31	ENSG00000225972.1	MTND1P23	256.0566477987421	13.385
32	ENSG00000225630.1	MTND2P28	1394.9984905660376	1228.5
33	ENSG00000237973.1	MTCO1P12	179.93031446540886	73.525
34	ENSG00000229344.1	MTCO2P12	54.836163522012576	22.145
35	ENSG00000240409.1	MTATP8P1	22.52113207547169	15.605
36	ENSG00000248527.1	MTATP6P1	5071.077610062893	4869.0
37	ENSG00000198744.5	MTCO3P12	65.61749685534592	22.085
38	ENSG00000268663.1	WBP1LP6	0.06349654088050312	0.0
39	ENSG00000273547.1	OR4F16	0.04719647798742138	0.03488
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.13497408805031447	0.1198
42	ENSG00000228327.3	RP11-206L10.2	1.0597830188679247	0.86775
43	ENSG00000223181.1	RNU6-1199P	0.042584276729559764	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.07373836477987421	0.048075
45	ENSG00000237491.8	RP11-206L10.9	0.5260062893081762	0.48835
46	ENSG00000230092.7	RP11-206L10.8	0.5534081132075472	0.44905
47	ENSG00000177757.2	FAM87B	0.3411911320754717	0.2861
48	ENSG00000228794.8	LINC01128	3.4696188679245283	3.3790000000000004
49	ENSG00000225880.5	LINC00115	3.778816981132076	3.3695
50	ENSG00000230368.2	FAM41C	0.10045012578616354	0.072215
51	ENSG00000234711.1	TUBB8P11	0.11602685534591195	0.091825
52	ENSG00000283040.1	FAM166AP3	0.05141477987421384	0.0
53	ENSG00000272438.1	RP11-54O7.16	0.5954919496855344	0.49175
54	ENSG00000230699.2	RP11-54O7.1	0.22288968553459126	0.17085
55	ENSG00000241180.1	RP11-54O7.2	0.01429245283018868	0.0
56	ENSG00000223764.2	RP11-54O7.3	3.055569811320755	2.7115
57	ENSG00000187634.11	SAMD11	3.221745911949686	2.4450000000000003
58	ENSG00000188976.10	NOC2L	28.15345911949685	27.825000000000006
59	ENSG00000187961.13	KLHL17	4.337654088050314	4.053999999999999
60	ENSG00000187583.10	PLEKHN1	0.1702959748427673	0.11975
61	ENSG00000187642.9	PERM1	0.1682406855345912	0.10385
62	ENSG00000272512.1	RP11-54O7.17	1.7392031446540883	1.4169999999999998
63	ENSG00000188290.10	HES4	9.640251572327044	7.772
64	ENSG00000187608.8	ISG15	41.817603773584906	29.855
65	ENSG00000231702.2	RP11-54O7.10	0.11102893081761003	0.0
66	ENSG00000224969.1	RP11-54O7.11	0.20897157232704397	0.1142
67	ENSG00000188157.14	AGRN	17.46601886792453	16.27
68	ENSG00000217801.9	RP11-465B22.3	0.431324213836478	0.39495
69	ENSG00000273443.1	RP11-54O7.18	0.09350050314465408	0.07672000000000001
70	ENSG00000237330.2	RNF223	0.08605314465408805	0.05488500000000001
71	ENSG00000131591.17	C1orf159	6.139472955974844	6.2575
72	ENSG00000223823.1	LINC01342	0.09357094339622644	0.06230499999999999
73	ENSG00000207730.3	MIR200B	0.04557044025157233	0.0
74	ENSG00000207607.3	MIR200A	0.042211949685534586	0.0
75	ENSG00000198976.1	MIR429	0.06544779874213835	0.0
76	ENSG00000272141.1	RP11-465B22.8	0.1141194968553459	0.08778
77	ENSG00000205231.1	TTLL10-AS1	0.08692767924528302	0.0621
78	ENSG00000162571.13	TTLL10	0.17026446540880505	0.1137
79	ENSG00000186891.13	TNFRSF18	0.6743310691823899	0.53325
80	ENSG00000186827.10	TNFRSF4	0.8159881761006289	0.6797500000000001
81	ENSG00000078808.16	SDF4	60.8532704402516	62.815
82	ENSG00000176022.4	B3GALT6	11.18251572327044	10.845
83	ENSG00000184163.3	C1QTNF12	1.2520490566037736	1.043
84	ENSG00000260179.1	RP5-902P8.12	0.665216037735849	0.52955
85	ENSG00000160087.20	UBE2J2	13.589207547169812	13.614999999999998
86	ENSG00000230415.1	LINC01786	3.8534283018867934	3.222
87	ENSG00000162572.20	SCNN1D	10.573911949685533	10.585
88	ENSG00000131584.18	ACAP3	57.735867924528314	56.425
89	ENSG00000278073.1	MIR6726	0.029342767295597483	0.0
90	ENSG00000169972.11	PUSL1	9.400534591194967	9.4415
91	ENSG00000127054.20	INTS11	31.104540880503148	30.885
92	ENSG00000283712.1	MIR6727	0.02807735849056604	0.0
93	ENSG00000240731.1	RP5-890O3.9	12.056264150943393	11.02
94	ENSG00000224051.6	CPTP	15.24041509433962	14.725
95	ENSG00000169962.4	TAS1R3	0.4474162264150944	0.3973
96	ENSG00000107404.19	DVL1	51.5537106918239	51.505
97	ENSG00000284372.1	MIR6808	0.04548930817610063	0.0
98	ENSG00000162576.16	MXRA8	10.291893081761007	8.2295
99	ENSG00000175756.13	AURKAIP1	63.255786163522	63.767893081760995
