	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.008178374100719425	0.0
1	ENSG00000227232.5	WASH7P	2.0326841726618707	1.766
2	ENSG00000278267.1	MIR6859-1	0.00950863309352518	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.02513273381294964	0.02089
4	ENSG00000237613.2	FAM138A	0.010008201438848922	0.0
5	ENSG00000268020.3	OR4G4P	0.06440726618705035	0.046745
6	ENSG00000240361.1	OR4G11P	0.07947230215827338	0.06688
7	ENSG00000186092.4	OR4F5	0.13269661870503596	0.073435
8	ENSG00000238009.6	RP11-34P13.7	0.03266097841726619	0.01916
9	ENSG00000233750.3	CICP27	0.02575921582733813	0.015885
10	ENSG00000268903.1	RP11-34P13.15	2.9126107913669066	1.831
11	ENSG00000269981.1	RP11-34P13.16	3.0863643884892094	1.5755
12	ENSG00000239906.1	RP11-34P13.14	0.06059928057553957	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.0644116618705036	0.042800000000000005
14	ENSG00000222623.1	RNU6-1100P	0.0	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.00196431654676259	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.10785474820143884	0.04563
17	ENSG00000279457.4	RP11-34P13.18	3.642353956834533	3.2825
18	ENSG00000273874.1	MIR6859-2	0.002467625899280576	0.0
19	ENSG00000228463.9	AP006222.2	0.4198407913669065	0.3366
20	ENSG00000236679.2	RPL23AP24	0.09563611510791366	0.07005
21	ENSG00000236743.1	RP5-857K21.15	0.005419280575539568	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.03548906474820144	0.026925
23	ENSG00000237094.11	RP4-669L17.10	0.12184764028776975	0.10385
24	ENSG00000269732.1	WBP1LP7	0.14203827338129493	0.1034
25	ENSG00000278566.1	OR4F29	0.06729510791366905	0.05527000000000001
26	ENSG00000233653.3	CICP7	0.01313503597122302	0.01048
27	ENSG00000250575.1	RP4-669L17.8	0.01614460431654676	0.0
28	ENSG00000278757.1	U6	0.0	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.053564021582733816	0.045919999999999996
30	ENSG00000235146.2	RP5-857K21.2	0.011041798561151079	0.0
31	ENSG00000225972.1	MTND1P23	350.26710791366907	17.2
32	ENSG00000225630.1	MTND2P28	1622.8072661870506	1449.5
33	ENSG00000237973.1	MTCO1P12	198.9367625899281	110.9
34	ENSG00000229344.1	MTCO2P12	72.70280575539567	30.525
35	ENSG00000240409.1	MTATP8P1	34.01252517985611	20.975
36	ENSG00000248527.1	MTATP6P1	6186.4244604316555	6194.712230215828
37	ENSG00000198744.5	MTCO3P12	94.6926834532374	33.31
38	ENSG00000268663.1	WBP1LP6	0.08688007194244603	0.06127000000000001
39	ENSG00000273547.1	OR4F16	0.057862733812949665	0.047060000000000005
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
