	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.007145476190476191	0.0
1	ENSG00000227232.5	WASH7P	1.8998515873015869	1.6880000000000002
2	ENSG00000278267.1	MIR6859-1	0.012915277777777777	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.011199325396825398	0.0
4	ENSG00000237613.2	FAM138A	0.004946626984126985	0.0
5	ENSG00000268020.3	OR4G4P	0.020337142857142856	0.0
6	ENSG00000240361.1	OR4G11P	0.02773686507936508	0.0
7	ENSG00000186092.4	OR4F5	0.034488611111111116	0.0
8	ENSG00000238009.6	RP11-34P13.7	0.01658331349206349	0.0
9	ENSG00000233750.3	CICP27	0.006292388888888889	0.0
10	ENSG00000268903.1	RP11-34P13.15	0.14685964285714284	0.09686
11	ENSG00000269981.1	RP11-34P13.16	0.3327360515873016	0.1929
12	ENSG00000239906.1	RP11-34P13.14	0.024379206349206352	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.09540141468253968	0.06617
14	ENSG00000222623.1	RNU6-1100P	0.0	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0003196825396825397	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.14552462301587302	0.06155
17	ENSG00000279457.4	RP11-34P13.18	3.80125	3.574
18	ENSG00000273874.1	MIR6859-2	0.0014353174603174606	0.0
19	ENSG00000228463.9	AP006222.2	0.28761969642857144	0.2189
20	ENSG00000236679.2	RPL23AP24	0.20620093253968247	0.1533
21	ENSG00000236743.1	RP5-857K21.15	0.0023448611111111114	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.013673452380952382	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.14055464484126984	0.1161
24	ENSG00000269732.1	WBP1LP7	0.03505696428571429	0.0
25	ENSG00000278566.1	OR4F29	0.024900892857142854	0.0
26	ENSG00000233653.3	CICP7	0.01051665873015873	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.011660555555555556	0.0
28	ENSG00000278757.1	U6	0.0009456349206349207	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.033876537698412694	0.025769999999999998
30	ENSG00000235146.2	RP5-857K21.2	0.003286904761904762	0.0
31	ENSG00000225972.1	MTND1P23	117.23622142857144	3.782
32	ENSG00000225630.1	MTND2P28	351.94984325396825	180.9
33	ENSG00000237973.1	MTCO1P12	82.62672619047619	32.04
34	ENSG00000229344.1	MTCO2P12	16.831375	9.721
35	ENSG00000240409.1	MTATP8P1	8.8897875	6.971
36	ENSG00000248527.1	MTATP6P1	1530.1820833333334	1297.0
37	ENSG00000198744.5	MTCO3P12	16.456051587301587	8.261000000000001
38	ENSG00000268663.1	WBP1LP6	0.024872440476190475	0.0
39	ENSG00000273547.1	OR4F16	0.02283577380952381	0.0
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.10392948015873016	0.08959
42	ENSG00000228327.3	RP11-206L10.2	1.8795673412698413	1.834
43	ENSG00000223181.1	RNU6-1199P	0.02166706349206349	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.02772202380952381	0.0
45	ENSG00000237491.8	RP11-206L10.9	0.5568011904761906	0.5286
46	ENSG00000230092.7	RP11-206L10.8	1.4044065476190477	1.324
47	ENSG00000177757.2	FAM87B	1.0250694444444444	0.9314
48	ENSG00000228794.8	LINC01128	4.207373015873016	3.495
49	ENSG00000225880.5	LINC00115	3.775460317460317	3.3339999999999996
50	ENSG00000230368.2	FAM41C	0.03950644841269842	0.0312
51	ENSG00000234711.1	TUBB8P11	0.057399146825396825	0.03846
52	ENSG00000283040.1	FAM166AP3	0.030461051587301582	0.0
53	ENSG00000272438.1	RP11-54O7.16	1.2854742857142858	0.7721
54	ENSG00000230699.2	RP11-54O7.1	1.1601974007936509	0.6947
55	ENSG00000241180.1	RP11-54O7.2	0.0	0.0
56	ENSG00000223764.2	RP11-54O7.3	2.480248075396825	1.3519999999999999
57	ENSG00000187634.11	SAMD11	6.726388015873016	1.63
58	ENSG00000188976.10	NOC2L	108.4545634920635	95.08
59	ENSG00000187961.13	KLHL17	16.789773809523812	16.09
60	ENSG00000187583.10	PLEKHN1	2.5319073015873013	1.874
61	ENSG00000187642.9	PERM1	0.5311647222222222	0.4275
62	ENSG00000272512.1	RP11-54O7.17	0.1439622996031746	0.06924
63	ENSG00000188290.10	HES4	1.9014936507936508	1.23
64	ENSG00000187608.8	ISG15	49.95472222222222	40.42
65	ENSG00000231702.2	RP11-54O7.10	0.06464265873015873	0.0
66	ENSG00000224969.1	RP11-54O7.11	0.13886938492063494	0.09606
67	ENSG00000188157.14	AGRN	34.215664682539675	31.6
68	ENSG00000217801.9	RP11-465B22.3	0.30708430555555555	0.245
69	ENSG00000273443.1	RP11-54O7.18	0.11692214285714285	0.08487
70	ENSG00000237330.2	RNF223	0.0884881746031746	0.05654
71	ENSG00000131591.17	C1orf159	6.5058035714285705	6.382999999999999
72	ENSG00000223823.1	LINC01342	0.035496091269841275	0.028130000000000002
73	ENSG00000207730.3	MIR200B	0.0258156746031746	0.0
74	ENSG00000207607.3	MIR200A	0.02308174603174603	0.0
75	ENSG00000198976.1	MIR429	0.02345634920634921	0.0
76	ENSG00000272141.1	RP11-465B22.8	0.08235329365079366	0.051089999999999997
77	ENSG00000205231.1	TTLL10-AS1	0.023099111111111112	0.017519999999999997
78	ENSG00000162571.13	TTLL10	0.037336375000000005	0.03071
79	ENSG00000186891.13	TNFRSF18	0.1865268849206349	0.1374
80	ENSG00000186827.10	TNFRSF4	0.13829015873015876	0.1176
81	ENSG00000078808.16	SDF4	276.79583333333335	260.8
82	ENSG00000176022.4	B3GALT6	32.479444444444454	29.92
83	ENSG00000184163.3	C1QTNF12	1.78755873015873	1.735
84	ENSG00000260179.1	RP5-902P8.12	0.4559862499999999	0.4293
85	ENSG00000160087.20	UBE2J2	38.711626984126994	33.99
86	ENSG00000230415.1	LINC01786	2.2439843253968257	1.895
87	ENSG00000162572.20	SCNN1D	2.5163712301587298	2.156
88	ENSG00000131584.18	ACAP3	26.69412698412698	26.55
89	ENSG00000278073.1	MIR6726	0.037024404761904765	0.0
90	ENSG00000169972.11	PUSL1	27.4775	25.49
91	ENSG00000127054.20	INTS11	47.31021825396825	47.19
92	ENSG00000283712.1	MIR6727	0.04479226190476191	0.0
93	ENSG00000240731.1	RP5-890O3.9	13.075097222222224	12.9
