	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.02334333333333333	0.0
1	ENSG00000227232.5	WASH7P	5.9705555555555545	5.799777777777778
2	ENSG00000278267.1	MIR6859-1	0.08851111111111111	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.007057777777777778	0.0
4	ENSG00000237613.2	FAM138A	0.020788888888888888	0.0
5	ENSG00000268020.3	OR4G4P	0.02559888888888889	0.012799444444444448
6	ENSG00000240361.1	OR4G11P	0.048601111111111116	0.049580555555555565
7	ENSG00000186092.4	OR4F5	0.0376	0.039365
8	ENSG00000238009.6	RP11-34P13.7	0.05725555555555555	0.014385
9	ENSG00000233750.3	CICP27	0.062281111111111113	0.05859555555555555
10	ENSG00000268903.1	RP11-34P13.15	4.5375555555555565	4.307499999999999
11	ENSG00000269981.1	RP11-34P13.16	7.453555555555559	6.693
12	ENSG00000239906.1	RP11-34P13.14	0.062255555555555564	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.19974777777777775	0.1909738888888889
14	ENSG00000222623.1	RNU6-1100P	0.052422222222222224	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.3828111111111111	0.14255
17	ENSG00000279457.4	RP11-34P13.18	11.92077777777778	10.53788888888889
18	ENSG00000273874.1	MIR6859-2	0.08851111111111111	0.0
19	ENSG00000228463.9	AP006222.2	0.4255888888888889	0.27705
20	ENSG00000236679.2	RPL23AP24	0.13273	0.128065
21	ENSG00000236743.1	RP5-857K21.15	0.0	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.016602222222222227	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.4841222222222222	0.4940111111111111
24	ENSG00000269732.1	WBP1LP7	0.047511111111111115	0.0
25	ENSG00000278566.1	OR4F29	0.034956666666666664	0.03758333333333333
26	ENSG00000233653.3	CICP7	0.020268888888888892	0.01772
27	ENSG00000250575.1	RP4-669L17.8	0.02003111111111111	0.0
28	ENSG00000278757.1	U6	0.0	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.08481000000000001	0.06577000000000001
30	ENSG00000235146.2	RP5-857K21.2	0.03917777777777778	0.0
31	ENSG00000225972.1	MTND1P23	191.91566666666665	4.5365
32	ENSG00000225630.1	MTND2P28	344.79344444444445	357.79672222222223
33	ENSG00000237973.1	MTCO1P12	26.02977777777778	26.32988888888889
34	ENSG00000229344.1	MTCO2P12	6.309777777777778	6.439388888888888
35	ENSG00000240409.1	MTATP8P1	6.0120000000000005	5.9575
36	ENSG00000248527.1	MTATP6P1	1636.8188888888888	1731.9094444444445
37	ENSG00000198744.5	MTCO3P12	8.643888888888887	8.590944444444442
38	ENSG00000268663.1	WBP1LP6	0.0	0.0
39	ENSG00000273547.1	OR4F16	0.005623333333333334	0.0
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.20179777777777774	0.14615
42	ENSG00000228327.3	RP11-206L10.2	2.5608888888888885	2.3599444444444444
43	ENSG00000223181.1	RNU6-1199P	0.0	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.028822222222222225	0.0
45	ENSG00000237491.8	RP11-206L10.9	1.050088888888889	0.9529944444444444
46	ENSG00000230092.7	RP11-206L10.8	1.6565666666666663	1.5719999999999998
47	ENSG00000177757.2	FAM87B	0.8936333333333333	0.8917666666666666
48	ENSG00000228794.8	LINC01128	7.536111111111111	7.9105
49	ENSG00000225880.5	LINC00115	11.888	10.7625
50	ENSG00000230368.2	FAM41C	0.14701333333333333	0.04011
51	ENSG00000234711.1	TUBB8P11	0.10094333333333333	0.06567500000000001
