	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.009950584450402145	0.0
1	ENSG00000227232.5	WASH7P	5.137817694369973	4.6549999999999985
2	ENSG00000278267.1	MIR6859-1	0.012778016085790884	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.017743056300268095	0.0
4	ENSG00000237613.2	FAM138A	0.008218766756032172	0.0
5	ENSG00000268020.3	OR4G4P	0.040585630026809656	0.01862
6	ENSG00000240361.1	OR4G11P	0.05603265415549598	0.043485
7	ENSG00000186092.4	OR4F5	0.06401107238605899	0.04489
8	ENSG00000238009.6	RP11-34P13.7	0.028799463806970512	0.01618
9	ENSG00000233750.3	CICP27	0.022628694369973192	0.013635
10	ENSG00000268903.1	RP11-34P13.15	3.0205238605898126	2.144
11	ENSG00000269981.1	RP11-34P13.16	4.717080965147453	3.4835000000000003
12	ENSG00000239906.1	RP11-34P13.14	0.14004745308310992	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.18883563002680964	0.14195
14	ENSG00000222623.1	RNU6-1100P	0.002112064343163539	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0007958981233243969	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.19816780160857908	0.1013
17	ENSG00000279457.4	RP11-34P13.18	9.449026809651473	8.774000000000001
18	ENSG00000273874.1	MIR6859-2	0.012427882037533512	0.0
19	ENSG00000228463.9	AP006222.2	0.29294460857908844	0.2498
20	ENSG00000236679.2	RPL23AP24	0.11400973190348525	0.098525
21	ENSG00000236743.1	RP5-857K21.15	0.0027693833780160857	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.022083967828418236	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.3167468096514745	0.2772
24	ENSG00000269732.1	WBP1LP7	0.07609565683646112	0.0
25	ENSG00000278566.1	OR4F29	0.0459150402144772	0.040244999999999996
26	ENSG00000233653.3	CICP7	0.014070150134048259	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.02580611260053619	0.0
28	ENSG00000278757.1	U6	0.004094101876675604	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.047775450402144766	0.038985000000000006
30	ENSG00000235146.2	RP5-857K21.2	0.011052010723860587	0.0
31	ENSG00000225972.1	MTND1P23	272.60520589812336	8.711500000000001
32	ENSG00000225630.1	MTND2P28	940.2393833780162	827.0
33	ENSG00000237973.1	MTCO1P12	121.31873190348526	48.355
