	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.008259655172413794	0.0
1	ENSG00000227232.5	WASH7P	4.148097783251232	3.596
2	ENSG00000278267.1	MIR6859-1	0.01720615763546798	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.022280330049261082	0.0
4	ENSG00000237613.2	FAM138A	0.00861195812807882	0.0
5	ENSG00000268020.3	OR4G4P	0.04425916256157635	0.03285
6	ENSG00000240361.1	OR4G11P	0.06990347290640392	0.04555
7	ENSG00000186092.4	OR4F5	0.10244100985221677	0.05019
8	ENSG00000238009.6	RP11-34P13.7	0.02841725615763547	0.015880000000000002
9	ENSG00000233750.3	CICP27	0.0269901921182266	0.018359999999999998
10	ENSG00000268903.1	RP11-34P13.15	3.5161026600985217	2.467
11	ENSG00000269981.1	RP11-34P13.16	5.7660938423645325	4.619
12	ENSG00000239906.1	RP11-34P13.14	0.17362083743842366	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.1206340172413793	0.08607999999999999
14	ENSG00000222623.1	RNU6-1100P	0.0006674876847290642	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0021243497536945813	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.1302436699507389	0.05966000000000001
17	ENSG00000279457.4	RP11-34P13.18	7.292426108374385	6.752999999999999
18	ENSG00000273874.1	MIR6859-2	0.0036891625615763537	0.0
19	ENSG00000228463.9	AP006222.2	0.2361683620689655	0.1767
20	ENSG00000236679.2	RPL23AP24	0.07616445812807883	0.0
21	ENSG00000236743.1	RP5-857K21.15	0.0019566995073891625	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.03038687192118227	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.19641290640394088	0.1531
24	ENSG00000269732.1	WBP1LP7	0.11013118226600986	0.07785
25	ENSG00000278566.1	OR4F29	0.05715682266009853	0.04035
26	ENSG00000233653.3	CICP7	0.012578532019704436	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.026013571428571428	0.0
28	ENSG00000278757.1	U6	0.006870591133004926	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.03764765024630543	0.028089999999999997
30	ENSG00000235146.2	RP5-857K21.2	0.007758866995073892	0.0
31	ENSG00000225972.1	MTND1P23	330.29939211822665	10.16
32	ENSG00000225630.1	MTND2P28	902.9527980295568	778.3
33	ENSG00000237973.1	MTCO1P12	214.66819458128083	87.07
34	ENSG00000229344.1	MTCO2P12	50.813068965517246	18.97
35	ENSG00000240409.1	MTATP8P1	24.442386699507388	15.76
36	ENSG00000248527.1	MTATP6P1	4175.264704433496	4086.0
37	ENSG00000198744.5	MTCO3P12	77.14320689655173	22.67
38	ENSG00000268663.1	WBP1LP6	0.0554943842364532	0.0
39	ENSG00000273547.1	OR4F16	0.044438522167487685	0.03271
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.13823500492610838	0.1224
42	ENSG00000228327.3	RP11-206L10.2	1.9772613300492607	1.818
43	ENSG00000223181.1	RNU6-1199P	0.0213393842364532	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.0578756157635468	0.0
45	ENSG00000237491.8	RP11-206L10.9	0.7947082266009851	0.7673
46	ENSG00000230092.7	RP11-206L10.8	1.135052709359606	1.065
47	ENSG00000177757.2	FAM87B	0.6015160591133004	0.5129
48	ENSG00000228794.8	LINC01128	5.778629802955666	5.154
49	ENSG00000225880.5	LINC00115	5.121933497536946	4.149
50	ENSG00000230368.2	FAM41C	0.07961657635467981	0.06113
51	ENSG00000234711.1	TUBB8P11	0.13718923645320194	0.1068
52	ENSG00000283040.1	FAM166AP3	0.06972800492610838	0.05297999999999999
53	ENSG00000272438.1	RP11-54O7.16	0.3598254187192117	0.2522
54	ENSG00000230699.2	RP11-54O7.1	0.2600217487684729	0.2106
55	ENSG00000241180.1	RP11-54O7.2	0.011149014778325122	0.0
56	ENSG00000223764.2	RP11-54O7.3	3.4985630541871924	2.5580000000000003
57	ENSG00000187634.11	SAMD11	5.327761576354679	4.037
58	ENSG00000188976.10	NOC2L	47.72036945812808	45.85
59	ENSG00000187961.13	KLHL17	11.234017241379313	10.09
60	ENSG00000187583.10	PLEKHN1	1.0046197290640393	0.7905
61	ENSG00000187642.9	PERM1	0.4551916256157635	0.3821
62	ENSG00000272512.1	RP11-54O7.17	3.139436699507389	2.286
63	ENSG00000188290.10	HES4	21.778812807881774	16.28
64	ENSG00000187608.8	ISG15	35.04169950738916	28.55
65	ENSG00000231702.2	RP11-54O7.10	0.14534391625615764	0.0
66	ENSG00000224969.1	RP11-54O7.11	0.25644475369458125	0.18600000000000005
67	ENSG00000188157.14	AGRN	20.987396551724142	19.8
68	ENSG00000217801.9	RP11-465B22.3	1.5544427832512313	1.335
69	ENSG00000273443.1	RP11-54O7.18	0.12041169950738916	0.086
70	ENSG00000237330.2	RNF223	1.5728286945812808	1.4680000000000002
71	ENSG00000131591.17	C1orf159	9.72276354679803	9.497
72	ENSG00000223823.1	LINC01342	1.011065197044335	0.7788
73	ENSG00000207730.3	MIR200B	1.032252709359606	0.3979
74	ENSG00000207607.3	MIR200A	0.8483214285714286	0.3313
75	ENSG00000198976.1	MIR429	2.7090778325123157	1.472
76	ENSG00000272141.1	RP11-465B22.8	52.10273002463054	51.96
77	ENSG00000205231.1	TTLL10-AS1	0.1656206354679803	0.1395
78	ENSG00000162571.13	TTLL10	0.3797495566502464	0.3246
79	ENSG00000186891.13	TNFRSF18	6.82390578817734	5.305
80	ENSG00000186827.10	TNFRSF4	5.9654820197044325	4.5569999999999995
81	ENSG00000078808.16	SDF4	138.45423645320196	137.2
82	ENSG00000176022.4	B3GALT6	10.205738916256161	9.873
83	ENSG00000184163.3	C1QTNF12	8.853261083743842	6.455
84	ENSG00000260179.1	RP5-902P8.12	0.6545929310344827	0.5687
85	ENSG00000160087.20	UBE2J2	23.761066502463056	23.16
86	ENSG00000230415.1	LINC01786	3.818987684729064	3.1319999999999997
87	ENSG00000162572.20	SCNN1D	6.908593103448276	5.313
88	ENSG00000131584.18	ACAP3	53.55573891625615	47.35
89	ENSG00000278073.1	MIR6726	0.056935467980295563	0.0
90	ENSG00000169972.11	PUSL1	13.171746305418718	12.99
91	ENSG00000127054.20	INTS11	57.41896551724138	51.43
92	ENSG00000283712.1	MIR6727	0.07118940886699507	0.0
93	ENSG00000240731.1	RP5-890O3.9	24.774056650246305	20.69
94	ENSG00000224051.6	CPTP	34.84997290640394	32.59
95	ENSG00000169962.4	TAS1R3	1.7640392364532018	1.465
96	ENSG00000107404.19	DVL1	61.633891625615775	57.83
97	ENSG00000284372.1	MIR6808	0.04003940886699507	0.0
98	ENSG00000162576.16	MXRA8	84.75334975369458	62.95
99	ENSG00000175756.13	AURKAIP1	86.93546798029556	84.61
100	ENSG00000223663.2	NDUFB4P8	0.3802509852216748	0.3363
101	ENSG00000221978.11	CCNL2	157.06701970443345	143.4
102	ENSG00000224870.6	RP4-758J18.2	14.457586206896556	14.32
103	ENSG00000242485.5	MRPL20	65.91689655172414	62.06
104	ENSG00000272455.1	RP4-758J18.13	5.860535221674877	5.601
105	ENSG00000235098.8	ANKRD65	9.187172906403939	6.902
106	ENSG00000225905.1	RP4-758J18.7	1.545969408866995	1.077
107	ENSG00000205116.3	TMEM88B	0.31718261083743843	0.2448
108	ENSG00000225285.1	LINC01770	5.1648110837438415	3.333
109	ENSG00000179403.11	VWA1	42.61653694581281	33.44
110	ENSG00000215915.9	ATAD3C	2.034189261083744	1.275
111	ENSG00000160072.19	ATAD3B	23.807357142857146	22.35
112	ENSG00000197785.13	ATAD3A	15.957733990147785	14.75
113	ENSG00000205090.8	TMEM240	6.561148522167487	4.809
114	ENSG00000160075.11	SSU72	41.38566502463055	40.81
115	ENSG00000215014.4	RP5-832C2.5	0.5392843842364532	0.4815
116	ENSG00000274481.1	RP11-345P4.11	0.056235714285714285	0.0
117	ENSG00000228594.3	FNDC10	2.4833315270935956	2.281
118	ENSG00000272106.1	RP11-345P4.9	9.996	9.669
119	ENSG00000197530.12	MIB2	33.123620689655176	31.25
120	ENSG00000189409.13	MMP23B	0.7456783497536945	0.4498
121	ENSG00000248333.8	CDK11B	32.953349753694575	31.48
122	ENSG00000272004.1	RP11-345P4.10	0.1114639408866995	0.0
123	ENSG00000189339.11	SLC35E2B	24.155014778325118	23.22
124	ENSG00000269737.2	RP11-345P4.6	2.797404926108374	2.447
125	ENSG00000215914.4	MMP23A	0.8736200246305418	0.9152
126	ENSG00000008128.22	CDK11A	24.985309359605907	24.56
127	ENSG00000227775.3	RP1-283E3.4	7.6742157635467985	7.345
128	ENSG00000215790.6	SLC35E2	4.567853694581282	4.402
129	ENSG00000008130.15	NADK	41.216945812807886	40.86
130	ENSG00000078369.17	GNB1	162.0515763546798	151.1
131	ENSG00000231050.1	RP1-140A9.1	0.4982551477832512	0.424
132	ENSG00000169885.9	CALML6	0.7604095073891626	0.6842
133	ENSG00000178821.12	TMEM52	2.33059078817734	2.234
134	ENSG00000142609.17	CFAP74	0.03483010837438424	0.025480000000000003
135	ENSG00000233542.1	RP11-547D24.1	0.04663883004926108	0.02698
136	ENSG00000187730.8	GABRD	0.3613406157635468	0.2429
137	ENSG00000226969.1	RP11-547D24.3	0.03887870935960591	0.0
138	ENSG00000067606.16	PRKCZ	5.517328325123152	5.1979999999999995
139	ENSG00000271806.1	RP5-892K4.1	0.09114002709359606	0.07668
140	ENSG00000182873.5	PRKCZ-AS1	6.1902093596059125	6.058
141	ENSG00000162585.16	FAAP20	8.523128078817734	7.669
142	ENSG00000234396.3	RP11-181G12.4	0.2307833497536945	0.1638
143	ENSG00000157933.9	SKI	43.944283251231525	37.0
144	ENSG00000116151.13	MORN1	1.4571566502463056	1.409
145	ENSG00000272161.1	RP4-713A8.1	0.2119349014778325	0.1595
146	ENSG00000269896.2	RP4-740C4.5	2.491443842364532	2.3680000000000003
