	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.010008634666666663	0.0
1	ENSG00000227232.5	WASH7P	4.713638133333333	4.3285
2	ENSG00000278267.1	MIR6859-1	0.0230272	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.01877165333333333	0.0
4	ENSG00000237613.2	FAM138A	0.008908026666666667	0.0
5	ENSG00000268020.3	OR4G4P	0.046081680000000014	0.035705
6	ENSG00000240361.1	OR4G11P	0.060223786666666675	0.04118
7	ENSG00000186092.4	OR4F5	0.07795637333333334	0.04785
8	ENSG00000238009.6	RP11-34P13.7	0.02878691466666667	0.017935
9	ENSG00000233750.3	CICP27	0.03276068	0.02224
10	ENSG00000268903.1	RP11-34P13.15	4.6633288	3.2060000000000004
11	ENSG00000269981.1	RP11-34P13.16	7.4202936	5.5205
12	ENSG00000239906.1	RP11-34P13.14	0.2601955466666667	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.18309317333333336	0.1466
14	ENSG00000222623.1	RNU6-1100P	0.0011037333333333331	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0029677599999999994	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.20234482666666667	0.094
17	ENSG00000279457.4	RP11-34P13.18	8.443696000000001	7.519
18	ENSG00000273874.1	MIR6859-2	0.007159466666666667	0.0
19	ENSG00000228463.9	AP006222.2	0.2788356	0.2295
20	ENSG00000236679.2	RPL23AP24	0.10841125333333336	0.0969
21	ENSG00000236743.1	RP5-857K21.15	0.00293664	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.02592845333333333	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.28744704000000004	0.2486
24	ENSG00000269732.1	WBP1LP7	0.09930653333333334	0.064915
25	ENSG00000278566.1	OR4F29	0.059487706666666675	0.040744999999999996
26	ENSG00000233653.3	CICP7	0.016410066666666664	0.011205
27	ENSG00000250575.1	RP4-669L17.8	0.033072736	0.021525
28	ENSG00000278757.1	U6	0.008633333333333333	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.053577861333333324	0.044935
30	ENSG00000235146.2	RP5-857K21.2	0.009772	0.0
31	ENSG00000225972.1	MTND1P23	235.143656	8.775
32	ENSG00000225630.1	MTND2P28	933.439688	816.1500000000002
33	ENSG00000237973.1	MTCO1P12	151.74906133333334	59.89
34	ENSG00000229344.1	MTCO2P12	42.03210666666667	14.965
35	ENSG00000240409.1	MTATP8P1	20.341998666666665	13.69
36	ENSG00000248527.1	MTATP6P1	3703.6418666666655	3511.0
37	ENSG00000198744.5	MTCO3P12	48.21797866666666	18.53
38	ENSG00000268663.1	WBP1LP6	0.051542480000000016	0.0
39	ENSG00000273547.1	OR4F16	0.03606157333333333	0.02508
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.15622930666666665	0.1365
42	ENSG00000228327.3	RP11-206L10.2	2.4059272000000003	2.2635
43	ENSG00000223181.1	RNU6-1199P	0.0454512	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.053936453333333335	0.0
45	ENSG00000237491.8	RP11-206L10.9	0.6341123733333334	0.5678
46	ENSG00000230092.7	RP11-206L10.8	1.1680339466666667	1.092
47	ENSG00000177757.2	FAM87B	0.74155912	0.66965
48	ENSG00000228794.8	LINC01128	9.526941333333333	9.6005
49	ENSG00000225880.5	LINC00115	6.1094013333333335	4.7945
50	ENSG00000230368.2	FAM41C	0.07965032	0.06109000000000001
51	ENSG00000234711.1	TUBB8P11	0.09724162666666666	0.06583
52	ENSG00000283040.1	FAM166AP3	0.047000186666666666	0.0
53	ENSG00000272438.1	RP11-54O7.16	0.4110763466666667	0.27305
54	ENSG00000230699.2	RP11-54O7.1	0.2950944533333333	0.18265
55	ENSG00000241180.1	RP11-54O7.2	0.0	0.0
56	ENSG00000223764.2	RP11-54O7.3	6.623727466666668	4.7410000000000005
57	ENSG00000187634.11	SAMD11	7.790262400000001	5.2905
58	ENSG00000188976.10	NOC2L	55.09197333333333	55.96
59	ENSG00000187961.13	KLHL17	14.058093333333336	12.885
60	ENSG00000187583.10	PLEKHN1	0.5988887466666667	0.4587
61	ENSG00000187642.9	PERM1	0.5654170933333333	0.46055
62	ENSG00000272512.1	RP11-54O7.17	3.161683733333333	2.322
63	ENSG00000188290.10	HES4	38.155272	34.8
64	ENSG00000187608.8	ISG15	39.71013333333333	34.555
65	ENSG00000231702.2	RP11-54O7.10	0.2288194666666667	0.0
