	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.006986183783783784	0.0
1	ENSG00000227232.5	WASH7P	3.6360254054054058	3.12
2	ENSG00000278267.1	MIR6859-1	0.012556036036036037	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.017820918918918918	0.0
4	ENSG00000237613.2	FAM138A	0.006083693693693692	0.0
5	ENSG00000268020.3	OR4G4P	0.03104551351351352	0.0
6	ENSG00000240361.1	OR4G11P	0.036988972972972975	0.022619999999999998
7	ENSG00000186092.4	OR4F5	0.05484232432432432	0.037935
8	ENSG00000238009.6	RP11-34P13.7	0.04870709549549549	0.023925
9	ENSG00000233750.3	CICP27	0.1507536036036036	0.1159
10	ENSG00000268903.1	RP11-34P13.15	20.06357513513514	15.92
11	ENSG00000269981.1	RP11-34P13.16	31.292376936936932	26.67
12	ENSG00000239906.1	RP11-34P13.14	1.1271782882882884	0.71535
13	ENSG00000241860.6	RP11-34P13.13	0.24655738918918926	0.2176
14	ENSG00000222623.1	RNU6-1100P	0.007999639639639641	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.007026378378378379	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.12067522522522522	0.054735000000000006
17	ENSG00000279457.4	RP11-34P13.18	6.398703243243243	5.7895
18	ENSG00000273874.1	MIR6859-2	0.00966072072072072	0.0
19	ENSG00000228463.9	AP006222.2	0.27455069189189185	0.21665
20	ENSG00000236679.2	RPL23AP24	0.06914944144144143	0.0
21	ENSG00000236743.1	RP5-857K21.15	0.00951063063063063	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.05807902702702704	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.15190700900900905	0.1269
24	ENSG00000269732.1	WBP1LP7	0.06013102702702702	0.0
25	ENSG00000278566.1	OR4F29	0.03527216216216216	0.023180000000000003
26	ENSG00000233653.3	CICP7	0.010522565765765764	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.07209666666666667	0.036625000000000005
28	ENSG00000278757.1	U6	0.02573045045045045	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.056890870270270275	0.04682
30	ENSG00000235146.2	RP5-857K21.2	0.0033714234234234236	0.0
31	ENSG00000225972.1	MTND1P23	147.6537590990991	4.706
32	ENSG00000225630.1	MTND2P28	440.89824864864863	335.7999999999999
33	ENSG00000237973.1	MTCO1P12	95.55757477477478	43.625
34	ENSG00000229344.1	MTCO2P12	27.046486486486486	10.225
35	ENSG00000240409.1	MTATP8P1	12.45061945945946	8.3525
36	ENSG00000248527.1	MTATP6P1	2200.296036036036	1975.0
37	ENSG00000198744.5	MTCO3P12	40.68896036036036	12.35
38	ENSG00000268663.1	WBP1LP6	0.035486900900900904	0.0
39	ENSG00000273547.1	OR4F16	0.03285227027027027	0.0
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.10488765765765763	0.089555
42	ENSG00000228327.3	RP11-206L10.2	1.8599371171171168	1.7595
43	ENSG00000223181.1	RNU6-1199P	0.02505477477477477	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.04465688288288289	0.0
45	ENSG00000237491.8	RP11-206L10.9	0.5366271711711712	0.49625
46	ENSG00000230092.7	RP11-206L10.8	0.9119393513513512	0.8525
47	ENSG00000177757.2	FAM87B	0.35969522522522523	0.32135
48	ENSG00000228794.8	LINC01128	3.333311711711712	3.205
49	ENSG00000225880.5	LINC00115	4.725344684684685	3.8275
50	ENSG00000230368.2	FAM41C	0.08193014414414414	0.05376
51	ENSG00000234711.1	TUBB8P11	0.1121507027027027	0.078455
52	ENSG00000283040.1	FAM166AP3	0.0340138018018018	0.0
53	ENSG00000272438.1	RP11-54O7.16	0.3353386126126126	0.23995
54	ENSG00000230699.2	RP11-54O7.1	0.2512795513513513	0.20655
55	ENSG00000241180.1	RP11-54O7.2	0.0	0.0
56	ENSG00000223764.2	RP11-54O7.3	2.347821081081081	1.5319999999999998
57	ENSG00000187634.11	SAMD11	1.964816216216216	1.321
58	ENSG00000188976.10	NOC2L	79.37072072072073	76.52000000000002
59	ENSG00000187961.13	KLHL17	20.076279279279284	17.35
60	ENSG00000187583.10	PLEKHN1	79.75376216216219	75.685
61	ENSG00000187642.9	PERM1	24.412459459459463	19.94
62	ENSG00000272512.1	RP11-54O7.17	3.243725045045045	2.569
63	ENSG00000188290.10	HES4	20.166423423423428	16.1
64	ENSG00000187608.8	ISG15	23.84359459459459	10.945
65	ENSG00000231702.2	RP11-54O7.10	0.140401981981982	0.0
66	ENSG00000224969.1	RP11-54O7.11	0.2243267567567568	0.17005
67	ENSG00000188157.14	AGRN	31.04127027027027	28.36
68	ENSG00000217801.9	RP11-465B22.3	13.156402522522527	10.175
69	ENSG00000273443.1	RP11-54O7.18	0.3950174954954955	0.27545
70	ENSG00000237330.2	RNF223	37.253138738738734	33.205
71	ENSG00000131591.17	C1orf159	11.98592072072072	10.895
72	ENSG00000223823.1	LINC01342	0.12436663063063065	0.07712999999999999
73	ENSG00000207730.3	MIR200B	0.901433873873874	0.6382000000000001
74	ENSG00000207607.3	MIR200A	0.6861219819819819	0.4868
75	ENSG00000198976.1	MIR429	1.5834841441441443	1.3155
76	ENSG00000272141.1	RP11-465B22.8	33.67776576576576	31.38
77	ENSG00000205231.1	TTLL10-AS1	0.17814131531531532	0.13695
78	ENSG00000162571.13	TTLL10	0.4541644684684685	0.40025
79	ENSG00000186891.13	TNFRSF18	7.602523063063064	5.1005
80	ENSG00000186827.10	TNFRSF4	1.8518730270270267	1.3419999999999999
81	ENSG00000078808.16	SDF4	94.5642162162162	92.425
82	ENSG00000176022.4	B3GALT6	11.252196936936937	10.95
83	ENSG00000184163.3	C1QTNF12	3.1874502702702703	2.471
84	ENSG00000260179.1	RP5-902P8.12	0.6229461621621623	0.54025
85	ENSG00000160087.20	UBE2J2	28.80245045045045	27.92
86	ENSG00000230415.1	LINC01786	2.057168828828829	1.8625
87	ENSG00000162572.20	SCNN1D	4.45263963963964	3.9545
88	ENSG00000131584.18	ACAP3	79.34763963963964	73.46000000000002
89	ENSG00000278073.1	MIR6726	0.042290990990990984	0.0
90	ENSG00000169972.11	PUSL1	29.76592792792793	28.965
91	ENSG00000127054.20	INTS11	44.76891891891893	42.455
92	ENSG00000283712.1	MIR6727	0.04244864864864865	0.0
93	ENSG00000240731.1	RP5-890O3.9	18.674234234234234	17.96
94	ENSG00000224051.6	CPTP	61.03117117117117	56.69
95	ENSG00000169962.4	TAS1R3	2.040625765765766	1.6675
96	ENSG00000107404.19	DVL1	93.305981981982	89.14
97	ENSG00000284372.1	MIR6808	0.030964324324324333	0.0
98	ENSG00000162576.16	MXRA8	43.04144324324324	37.165000000000006
99	ENSG00000175756.13	AURKAIP1	89.71819819819821	86.22
100	ENSG00000223663.2	NDUFB4P8	0.27991504504504505	0.23245
101	ENSG00000221978.11	CCNL2	139.3394954954955	127.05
102	ENSG00000224870.6	RP4-758J18.2	14.649147747747747	13.925
103	ENSG00000242485.5	MRPL20	67.66781981981981	65.78999999999999
104	ENSG00000272455.1	RP4-758J18.13	5.885617297297298	5.2875
105	ENSG00000235098.8	ANKRD65	15.937717117117113	14.29
106	ENSG00000225905.1	RP4-758J18.7	2.2548666666666666	1.9485
107	ENSG00000205116.3	TMEM88B	0.4887898918918919	0.349
108	ENSG00000225285.1	LINC01770	2.707885585585586	2.4565
109	ENSG00000179403.11	VWA1	25.995571171171175	24.495
110	ENSG00000215915.9	ATAD3C	1.6737978378378382	1.3475
111	ENSG00000160072.19	ATAD3B	29.653524324324326	26.565
112	ENSG00000197785.13	ATAD3A	24.764935135135136	23.215
113	ENSG00000205090.8	TMEM240	2.176837117117117	1.818
114	ENSG00000160075.11	SSU72	49.19771171171171	49.005
115	ENSG00000215014.4	RP5-832C2.5	0.6175213153153153	0.5811999999999999
116	ENSG00000274481.1	RP11-345P4.11	0.037019567567567566	0.0
117	ENSG00000228594.3	FNDC10	14.068290090090091	12.605
118	ENSG00000272106.1	RP11-345P4.9	11.855421621621618	11.46
119	ENSG00000197530.12	MIB2	36.74684684684685	33.695
120	ENSG00000189409.13	MMP23B	0.4626938558558558	0.30875
121	ENSG00000248333.8	CDK11B	23.33505225225225	22.85
122	ENSG00000272004.1	RP11-345P4.10	0.0962436036036036	0.0
123	ENSG00000189339.11	SLC35E2B	17.355037837837838	16.23
124	ENSG00000269737.2	RP11-345P4.6	2.0828301981981983	1.754
125	ENSG00000215914.4	MMP23A	0.4600203243243243	0.45405
126	ENSG00000008128.22	CDK11A	16.653272972972974	15.66
127	ENSG00000227775.3	RP1-283E3.4	5.044755495495496	4.547
128	ENSG00000215790.6	SLC35E2	2.9189236036036035	2.7489999999999997
129	ENSG00000008130.15	NADK	27.9736036036036	26.61
130	ENSG00000078369.17	GNB1	126.954990990991	125.45
131	ENSG00000231050.1	RP1-140A9.1	0.5556966486486487	0.4795
132	ENSG00000169885.9	CALML6	1.32022809009009	1.075
133	ENSG00000178821.12	TMEM52	1.7301144144144145	1.5330000000000001
134	ENSG00000142609.17	CFAP74	0.033490513513513516	0.0259
135	ENSG00000233542.1	RP11-547D24.1	0.10705149549549547	0.081995
136	ENSG00000187730.8	GABRD	0.5507685405405405	0.43655
137	ENSG00000226969.1	RP11-547D24.3	0.037853009009009016	0.0
138	ENSG00000067606.16	PRKCZ	7.9325922522522525	7.8945
139	ENSG00000271806.1	RP5-892K4.1	0.1264387891891892	0.11199999999999999
140	ENSG00000182873.5	PRKCZ-AS1	4.4955855855855855	3.892
141	ENSG00000162585.16	FAAP20	7.724461261261261	6.9385
142	ENSG00000234396.3	RP11-181G12.4	0.2767984864864865	0.1881
143	ENSG00000157933.9	SKI	36.91048648648648	36.04
144	ENSG00000116151.13	MORN1	1.5979998198198198	1.452
145	ENSG00000272161.1	RP4-713A8.1	0.1170995855855856	0.0
146	ENSG00000269896.2	RP4-740C4.5	2.096943063063064	1.7280000000000002
147	ENSG00000272420.1	RP4-740C4.7	1.6180563783783783	1.28
148	ENSG00000157916.19	RER1	84.63850450450452	83.04
149	ENSG00000157911.9	PEX10	14.521394594594595	14.195
150	ENSG00000149527.17	PLCH2	38.522958558558564	36.095
151	ENSG00000224387.1	RP3-395M20.2	1.7028951171171172	1.3784999999999998
152	ENSG00000229393.1	RP3-395M20.3	1.7758898918918915	1.4095
153	ENSG00000157881.13	PANK4	11.070612612612612	10.675
154	ENSG00000197921.5	HES5	1.1764563963963963	0.94655
155	ENSG00000272449.1	RP3-395M20.12	1.7380520720720718	1.5105
156	ENSG00000238164.6	RP3-395M20.8	1.1959879639639641	0.98395
157	ENSG00000157873.17	TNFRSF14	52.835513513513504	45.605
158	ENSG00000225931.3	RP3-395M20.7	0.15326122522522526	0.1147
159	ENSG00000228037.1	RP3-395M20.9	0.6292825405405404	0.4691
160	ENSG00000157870.14	FAM213B	19.225933333333334	18.285
