	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.00883064660194175	0.0
1	ENSG00000227232.5	WASH7P	4.535297475728156	4.1125
2	ENSG00000278267.1	MIR6859-1	0.021409126213592238	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.016351398058252427	0.0
4	ENSG00000237613.2	FAM138A	0.008239223300970874	0.0
5	ENSG00000268020.3	OR4G4P	0.043642077669902905	0.0
6	ENSG00000240361.1	OR4G11P	0.0558231067961165	0.042995000000000005
7	ENSG00000186092.4	OR4F5	0.0795043495145631	0.04908
8	ENSG00000238009.6	RP11-34P13.7	0.02883488932038835	0.01623
9	ENSG00000233750.3	CICP27	0.029924405825242726	0.01837
10	ENSG00000268903.1	RP11-34P13.15	4.295665980582522	3.0860000000000003
11	ENSG00000269981.1	RP11-34P13.16	6.837741941747573	5.330500000000002
12	ENSG00000239906.1	RP11-34P13.14	0.2173349902912621	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.16532651844660196	0.12895
14	ENSG00000222623.1	RNU6-1100P	0.003212427184466019	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0022446213592233013	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.20664943689320384	0.08284
17	ENSG00000279457.4	RP11-34P13.18	8.021436893203884	7.4795
18	ENSG00000273874.1	MIR6859-2	0.01199747572815534	0.0
19	ENSG00000228463.9	AP006222.2	0.2436236310679612	0.19715
20	ENSG00000236679.2	RPL23AP24	0.11271368932038835	0.09225499999999999
21	ENSG00000236743.1	RP5-857K21.15	0.0026700582524271845	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.024197844660194177	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.27113692427184466	0.237
24	ENSG00000269732.1	WBP1LP7	0.10074223300970876	0.0
25	ENSG00000278566.1	OR4F29	0.05498190291262136	0.0396
26	ENSG00000233653.3	CICP7	0.014727636893203885	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.02728326213592233	0.0
28	ENSG00000278757.1	U6	0.0034295145631067967	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.04978341747572816	0.0427
30	ENSG00000235146.2	RP5-857K21.2	0.005234951456310679	0.0
31	ENSG00000225972.1	MTND1P23	258.5034621359224	8.711
32	ENSG00000225630.1	MTND2P28	953.5871067961164	801.0
33	ENSG00000237973.1	MTCO1P12	130.2026757281553	58.71
34	ENSG00000229344.1	MTCO2P12	36.80827961165049	15.775
35	ENSG00000240409.1	MTATP8P1	20.17679805825243	14.035
36	ENSG00000248527.1	MTATP6P1	3778.2915339805827	3600.0
37	ENSG00000198744.5	MTCO3P12	52.0262077669903	18.615
38	ENSG00000268663.1	WBP1LP6	0.05168425242718447	0.0
39	ENSG00000273547.1	OR4F16	0.03739541747572815	0.005985
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.13735452427184466	0.11795
42	ENSG00000228327.3	RP11-206L10.2	2.3423667961165053	2.2165
43	ENSG00000223181.1	RNU6-1199P	0.03641747572815534	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.0569006213592233	0.0
45	ENSG00000237491.8	RP11-206L10.9	0.6115444660194175	0.54085
46	ENSG00000230092.7	RP11-206L10.8	1.118734990291262	1.0385
47	ENSG00000177757.2	FAM87B	0.5625527766990291	0.4906
48	ENSG00000228794.8	LINC01128	9.401708737864078	9.1565
49	ENSG00000225880.5	LINC00115	5.6497242718446605	4.4015
50	ENSG00000230368.2	FAM41C	0.0754772427184466	0.052065000000000014
51	ENSG00000234711.1	TUBB8P11	0.10065553398058252	0.062565
52	ENSG00000283040.1	FAM166AP3	0.049839650485436884	0.0
53	ENSG00000272438.1	RP11-54O7.16	0.4704763689320389	0.2946
54	ENSG00000230699.2	RP11-54O7.1	0.3339914951456311	0.21365
55	ENSG00000241180.1	RP11-54O7.2	0.009095145631067959	0.0
56	ENSG00000223764.2	RP11-54O7.3	6.447845048543688	4.647
57	ENSG00000187634.11	SAMD11	7.424100388349514	5.5535
58	ENSG00000188976.10	NOC2L	55.13877669902913	54.8
59	ENSG00000187961.13	KLHL17	14.083633009708738	13.05
60	ENSG00000187583.10	PLEKHN1	0.7172646796116504	0.50935
61	ENSG00000187642.9	PERM1	0.6238872038834952	0.4345
62	ENSG00000272512.1	RP11-54O7.17	2.4258885436893207	1.7819999999999998
63	ENSG00000188290.10	HES4	35.39730873786408	32.435
64	ENSG00000187608.8	ISG15	45.485848543689315	34.445
65	ENSG00000231702.2	RP11-54O7.10	0.2025266019417476	0.0
66	ENSG00000224969.1	RP11-54O7.11	0.3739808737864078	0.2994
67	ENSG00000188157.14	AGRN	20.47147378640777	19.58
68	ENSG00000217801.9	RP11-465B22.3	0.31209382524271845	0.25125
69	ENSG00000273443.1	RP11-54O7.18	0.09043046601941747	0.060979999999999986
70	ENSG00000237330.2	RNF223	0.1818542330097088	0.06783
71	ENSG00000131591.17	C1orf159	8.028368932038836	7.433
72	ENSG00000223823.1	LINC01342	0.07061906796116504	0.053865
73	ENSG00000207730.3	MIR200B	0.06647436893203884	0.0
74	ENSG00000207607.3	MIR200A	0.041277475728155336	0.0
75	ENSG00000198976.1	MIR429	0.05957941747572816	0.0
76	ENSG00000272141.1	RP11-465B22.8	0.23142135922330095	0.09655
77	ENSG00000205231.1	TTLL10-AS1	0.07128547572815533	0.053079999999999995
78	ENSG00000162571.13	TTLL10	0.17791864077669906	0.13845000000000002
79	ENSG00000186891.13	TNFRSF18	0.5638716893203883	0.45525
80	ENSG00000186827.10	TNFRSF4	2.3889578640776694	1.913
81	ENSG00000078808.16	SDF4	126.98753398058253	127.5
