	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.007798501165501166	0.0
1	ENSG00000227232.5	WASH7P	1.7416412587412586	1.523
2	ENSG00000278267.1	MIR6859-1	0.01579044289044289	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.023703636363636364	0.0
4	ENSG00000237613.2	FAM138A	0.009229505827505828	0.0
5	ENSG00000268020.3	OR4G4P	0.059271305361305364	0.036475
6	ENSG00000240361.1	OR4G11P	0.08649636363636364	0.060475000000000015
7	ENSG00000186092.4	OR4F5	0.1510192773892774	0.083285
8	ENSG00000238009.6	RP11-34P13.7	0.0237280372960373	0.015925
9	ENSG00000233750.3	CICP27	0.01939319813519813	0.014435
10	ENSG00000268903.1	RP11-34P13.15	2.4335050582750584	1.6645
11	ENSG00000269981.1	RP11-34P13.16	4.091638158508158	2.9375
12	ENSG00000239906.1	RP11-34P13.14	0.10219275058275057	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.10353191375291372	0.077075
14	ENSG00000222623.1	RNU6-1100P	0.0	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.002664125874125875	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.0841202331002331	0.046610000000000006
17	ENSG00000279457.4	RP11-34P13.18	3.057019813519813	2.7335000000000003
18	ENSG00000273874.1	MIR6859-2	0.002073193473193473	0.0
19	ENSG00000228463.9	AP006222.2	0.377493634032634	0.30755
20	ENSG00000236679.2	RPL23AP24	0.06706006993006992	0.05123
21	ENSG00000236743.1	RP5-857K21.15	0.0019728205128205123	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.03694426573426573	0.02661
23	ENSG00000237094.11	RP4-669L17.10	0.14307864801864806	0.1185
24	ENSG00000269732.1	WBP1LP7	0.14556918414918416	0.08899499999999999
25	ENSG00000278566.1	OR4F29	0.08282748251748251	0.05430499999999999
26	ENSG00000233653.3	CICP7	0.013646228438228438	0.007810500000000001
27	ENSG00000250575.1	RP4-669L17.8	0.020364013986013986	0.0
28	ENSG00000278757.1	U6	0.001628904428904429	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.0354703006993007	0.029055
30	ENSG00000235146.2	RP5-857K21.2	0.00974151515151515	0.0
31	ENSG00000225972.1	MTND1P23	436.44993006992996	14.71
32	ENSG00000225630.1	MTND2P28	1401.9262004662005	1161.0
33	ENSG00000237973.1	MTCO1P12	323.81424242424237	123.1
34	ENSG00000229344.1	MTCO2P12	47.412468531468534	17.92
35	ENSG00000240409.1	MTATP8P1	38.054855477855476	26.24
36	ENSG00000248527.1	MTATP6P1	7013.421888111889	6781.0
37	ENSG00000198744.5	MTCO3P12	112.98121212121212	35.77500000000001
38	ENSG00000268663.1	WBP1LP6	0.08928062937062936	0.056565
39	ENSG00000273547.1	OR4F16	0.057694242424242426	0.038285
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.14599179487179487	0.1171
42	ENSG00000228327.3	RP11-206L10.2	1.059895337995338	0.96525
43	ENSG00000223181.1	RNU6-1199P	0.03686153846153846	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.08475899766899768	0.061210000000000014
45	ENSG00000237491.8	RP11-206L10.9	0.3188904895104896	0.28735
46	ENSG00000230092.7	RP11-206L10.8	0.5557465268065268	0.49195
47	ENSG00000177757.2	FAM87B	0.4488345221445221	0.37055
48	ENSG00000228794.8	LINC01128	13.403620046620047	13.47
49	ENSG00000225880.5	LINC00115	3.178517715617716	2.76
50	ENSG00000230368.2	FAM41C	0.12885941724941724	0.092315
51	ENSG00000234711.1	TUBB8P11	0.16955757575757574	0.1255
52	ENSG00000283040.1	FAM166AP3	0.06066179487179488	0.044364999999999995
53	ENSG00000272438.1	RP11-54O7.16	0.6864171561771559	0.48975
54	ENSG00000230699.2	RP11-54O7.1	0.575396247086247	0.4456
55	ENSG00000241180.1	RP11-54O7.2	0.005181818181818182	0.0
56	ENSG00000223764.2	RP11-54O7.3	6.099952913752914	5.3395
57	ENSG00000187634.11	SAMD11	8.003667132867134	6.894
58	ENSG00000188976.10	NOC2L	30.23022377622377	29.525
59	ENSG00000187961.13	KLHL17	5.078233100233099	4.6175
60	ENSG00000187583.10	PLEKHN1	0.3613820046620047	0.2765
61	ENSG00000187642.9	PERM1	35.21138461538462	30.2
62	ENSG00000272512.1	RP11-54O7.17	5.101611188811188	4.151
63	ENSG00000188290.10	HES4	38.080776223776226	29.17
64	ENSG00000187608.8	ISG15	25.055333333333333	17.740000000000006
65	ENSG00000231702.2	RP11-54O7.10	0.254637365967366	0.15825
66	ENSG00000224969.1	RP11-54O7.11	0.3403956876456876	0.24100000000000002
67	ENSG00000188157.14	AGRN	10.326342657342655	9.2335
68	ENSG00000217801.9	RP11-465B22.3	0.3119701631701632	0.24125
