	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.009827933628318585	0.0
1	ENSG00000227232.5	WASH7P	1.942305309734513	1.766
2	ENSG00000278267.1	MIR6859-1	0.006349557522123894	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.024817619469026542	0.0
4	ENSG00000237613.2	FAM138A	0.009092384955752209	0.0
5	ENSG00000268020.3	OR4G4P	0.05271659292035398	0.033280000000000004
6	ENSG00000240361.1	OR4G11P	0.07750442477876106	0.04356
7	ENSG00000186092.4	OR4F5	0.12241393805309735	0.06065
8	ENSG00000238009.6	RP11-34P13.7	0.03018878318584071	0.016890000000000002
9	ENSG00000233750.3	CICP27	0.031402756637168135	0.02285
10	ENSG00000268903.1	RP11-34P13.15	4.3348371681415925	3.173
11	ENSG00000269981.1	RP11-34P13.16	6.122034513274336	4.606
12	ENSG00000239906.1	RP11-34P13.14	0.16306070796460176	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.0658999203539823	0.04451
14	ENSG00000222623.1	RNU6-1100P	0.0015929203539823008	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.003645353982300885	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.09449358407079646	0.0449
17	ENSG00000279457.4	RP11-34P13.18	3.3277168141592925	3.1430000000000002
18	ENSG00000273874.1	MIR6859-2	0.0	0.0
19	ENSG00000228463.9	AP006222.2	0.22582429203539825	0.1965
20	ENSG00000236679.2	RPL23AP24	0.03470150442477876	0.0
21	ENSG00000236743.1	RP5-857K21.15	0.0017549557522123893	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.033786946902654866	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.09816296902654867	0.07877999999999999
24	ENSG00000269732.1	WBP1LP7	0.11250840707964599	0.07805
25	ENSG00000278566.1	OR4F29	0.06771557522123893	0.039869999999999996
26	ENSG00000233653.3	CICP7	0.0106280796460177	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.02686579646017699	0.0
28	ENSG00000278757.1	U6	0.0	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.04243277433628319	0.03385
30	ENSG00000235146.2	RP5-857K21.2	0.0027324778761061946	0.0
31	ENSG00000225972.1	MTND1P23	196.12524336283187	9.54
32	ENSG00000225630.1	MTND2P28	852.9639955752212	757.5
33	ENSG00000237973.1	MTCO1P12	237.15885398230088	82.08
34	ENSG00000229344.1	MTCO2P12	37.76141592920354	18.4
35	ENSG00000240409.1	MTATP8P1	32.07742920353983	18.84
36	ENSG00000248527.1	MTATP6P1	5547.301814159292	5471.0
37	ENSG00000198744.5	MTCO3P12	64.62968141592921	21.68
38	ENSG00000268663.1	WBP1LP6	0.09317716814159292	0.05703
39	ENSG00000273547.1	OR4F16	0.0478974778761062	0.03315
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.1963525221238938	0.1524
42	ENSG00000228327.3	RP11-206L10.2	1.2853110619469026	1.115
43	ENSG00000223181.1	RNU6-1199P	0.03365106194690265	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.07825216814159291	0.05364
45	ENSG00000237491.8	RP11-206L10.9	0.4380367256637168	0.3908
46	ENSG00000230092.7	RP11-206L10.8	0.4626043805309735	0.4188
47	ENSG00000177757.2	FAM87B	0.1608734513274336	0.1382
48	ENSG00000228794.8	LINC01128	4.203097345132743	3.522
49	ENSG00000225880.5	LINC00115	3.0546734513274334	2.8680000000000003
50	ENSG00000230368.2	FAM41C	0.07497269469026549	0.04779
51	ENSG00000234711.1	TUBB8P11	0.09795778761061946	0.06648
52	ENSG00000283040.1	FAM166AP3	0.05782088495575222	0.03815
53	ENSG00000272438.1	RP11-54O7.16	0.2390280088495575	0.1575
54	ENSG00000230699.2	RP11-54O7.1	0.18648004424778766	0.1398
55	ENSG00000241180.1	RP11-54O7.2	0.005750884955752212	0.0
56	ENSG00000223764.2	RP11-54O7.3	1.8598106194690267	1.537
57	ENSG00000187634.11	SAMD11	2.0694601769911505	1.639
58	ENSG00000188976.10	NOC2L	30.227402654867248	27.09
59	ENSG00000187961.13	KLHL17	6.197336283185841	5.69
60	ENSG00000187583.10	PLEKHN1	0.8115572566371679	0.4269
61	ENSG00000187642.9	PERM1	0.413614778761062	0.2597
62	ENSG00000272512.1	RP11-54O7.17	1.023481238938053	0.7254
63	ENSG00000188290.10	HES4	4.693287168141593	3.217
64	ENSG00000187608.8	ISG15	53.9115442477876	29.0
65	ENSG00000231702.2	RP11-54O7.10	0.07568814159292035	0.0
