	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.008353565379825654	0.0
1	ENSG00000227232.5	WASH7P	1.6633519302615194	1.4215
2	ENSG00000278267.1	MIR6859-1	0.009070734744707348	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.021895591531755916	0.0
4	ENSG00000237613.2	FAM138A	0.009237221668742216	0.0
5	ENSG00000268020.3	OR4G4P	0.05378962640099627	0.037545
6	ENSG00000240361.1	OR4G11P	0.07922337484433375	0.054255
7	ENSG00000186092.4	OR4F5	0.11183384806973848	0.064
8	ENSG00000238009.6	RP11-34P13.7	0.02322975591531756	0.013725
9	ENSG00000233750.3	CICP27	0.009836170610211708	0.0054675
10	ENSG00000268903.1	RP11-34P13.15	0.4196201867995019	0.30915
11	ENSG00000269981.1	RP11-34P13.16	0.7976096388542964	0.5863
12	ENSG00000239906.1	RP11-34P13.14	0.025789352428393527	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.06415856164383561	0.04641
14	ENSG00000222623.1	RNU6-1100P	0.0	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.002044632627646326	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.09877759651307597	0.045595
17	ENSG00000279457.4	RP11-34P13.18	3.3111070983810715	2.881
18	ENSG00000273874.1	MIR6859-2	0.005401743462017434	0.0
19	ENSG00000228463.9	AP006222.2	0.3103792391033624	0.23615
20	ENSG00000236679.2	RPL23AP24	0.04128499377334993	0.0
21	ENSG00000236743.1	RP5-857K21.15	0.0020412577833125783	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.03423378580323786	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.1191225902864259	0.096725
24	ENSG00000269732.1	WBP1LP7	0.13005002490660025	0.08285500000000001
25	ENSG00000278566.1	OR4F29	0.07133199252801993	0.047115
26	ENSG00000233653.3	CICP7	0.014170346201743463	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.015859539227895396	0.0
28	ENSG00000278757.1	U6	0.0005077210460772103	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.0375496699875467	0.03035
30	ENSG00000235146.2	RP5-857K21.2	0.008846587795765878	0.0
31	ENSG00000225972.1	MTND1P23	401.97396513075967	14.8
32	ENSG00000225630.1	MTND2P28	937.9122366127024	760.1
33	ENSG00000237973.1	MTCO1P12	230.51163138231632	96.79
34	ENSG00000229344.1	MTCO2P12	37.221561643835614	17.509999999999998
