	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.010759064620355413	0.0
1	ENSG00000227232.5	WASH7P	7.2133747980613885	6.692
2	ENSG00000278267.1	MIR6859-1	0.03681179321486268	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.017351680129240713	0.0
4	ENSG00000237613.2	FAM138A	0.0083783844911147	0.0
5	ENSG00000268020.3	OR4G4P	0.03522420032310178	0.0
6	ENSG00000240361.1	OR4G11P	0.04532891760904685	0.0
7	ENSG00000186092.4	OR4F5	0.05684550888529887	0.03915
8	ENSG00000238009.6	RP11-34P13.7	0.04311744103392568	0.019385
9	ENSG00000233750.3	CICP27	0.027558736672051696	0.015505000000000001
10	ENSG00000268903.1	RP11-34P13.15	2.6941975282714057	2.0545
11	ENSG00000269981.1	RP11-34P13.16	4.083406946688206	3.142
12	ENSG00000239906.1	RP11-34P13.14	0.17734802907915995	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.3008469143780291	0.21695
14	ENSG00000222623.1	RNU6-1100P	0.0013363489499192244	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.001034652665589661	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.2431303877221325	0.1108
17	ENSG00000279457.4	RP11-34P13.18	13.405082390953153	12.89
18	ENSG00000273874.1	MIR6859-2	0.00989903069466882	0.0
19	ENSG00000228463.9	AP006222.2	0.8825398061389338	0.75545
20	ENSG00000236679.2	RPL23AP24	0.14532537964458805	0.1131
21	ENSG00000236743.1	RP5-857K21.15	0.0066860743134087245	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.019941777059773833	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.6866220840064621	0.63
24	ENSG00000269732.1	WBP1LP7	0.08402138933764136	0.0
25	ENSG00000278566.1	OR4F29	0.041759951534733435	0.0
26	ENSG00000233653.3	CICP7	0.022600311793214863	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.05509284329563812	0.037515
28	ENSG00000278757.1	U6	0.0015006462035541195	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.09897379644588046	0.08454
30	ENSG00000235146.2	RP5-857K21.2	0.009621970920840064	0.0
31	ENSG00000225972.1	MTND1P23	199.45305008077545	7.653499999999998
32	ENSG00000225630.1	MTND2P28	681.5298077544428	603.25
33	ENSG00000237973.1	MTCO1P12	84.04533117932148	32.295
34	ENSG00000229344.1	MTCO2P12	17.047810985460426	9.2285
35	ENSG00000240409.1	MTATP8P1	15.177882067851375	9.9655
36	ENSG00000248527.1	MTATP6P1	2295.868126009693	2172.0
37	ENSG00000198744.5	MTCO3P12	31.33564943457189	14.01
38	ENSG00000268663.1	WBP1LP6	0.059231405492730226	0.0
39	ENSG00000273547.1	OR4F16	0.033043634894991916	0.0
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.2698197415185784	0.2394
42	ENSG00000228327.3	RP11-206L10.2	4.175188691437803	3.9075
43	ENSG00000223181.1	RNU6-1199P	0.030560420032310177	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.05121025848142165	0.0
45	ENSG00000237491.8	RP11-206L10.9	1.614203715670436	1.5125
46	ENSG00000230092.7	RP11-206L10.8	2.27246591276252	2.0135
47	ENSG00000177757.2	FAM87B	1.3414836672051695	1.2440000000000002
48	ENSG00000228794.8	LINC01128	6.144494345718901	5.9369999999999985
49	ENSG00000225880.5	LINC00115	12.047232633279483	11.4
50	ENSG00000230368.2	FAM41C	0.1110000969305331	0.06595999999999999
51	ENSG00000234711.1	TUBB8P11	0.0912801777059774	0.058385
52	ENSG00000283040.1	FAM166AP3	0.04305437802907916	0.0
53	ENSG00000272438.1	RP11-54O7.16	0.4472397899838448	0.30345
54	ENSG00000230699.2	RP11-54O7.1	0.3292492245557351	0.2255
