	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.011676122448979592	0.0
1	ENSG00000227232.5	WASH7P	8.029057142857141	7.099499999999999
2	ENSG00000278267.1	MIR6859-1	0.04423020408163266	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.017337918367346942	0.0
4	ENSG00000237613.2	FAM138A	0.007748204081632652	0.0
5	ENSG00000268020.3	OR4G4P	0.040458	0.02168
6	ENSG00000240361.1	OR4G11P	0.05286963265306123	0.04238
7	ENSG00000186092.4	OR4F5	0.06355183673469388	0.04319
8	ENSG00000238009.6	RP11-34P13.7	0.07567861224489797	0.02891
9	ENSG00000233750.3	CICP27	0.0821845142857143	0.06378500000000001
10	ENSG00000268903.1	RP11-34P13.15	16.510632571428573	12.885
11	ENSG00000269981.1	RP11-34P13.16	23.570999999999998	19.195
12	ENSG00000239906.1	RP11-34P13.14	0.9333315102040816	0.42375
13	ENSG00000241860.6	RP11-34P13.13	0.2473254326530612	0.2014
14	ENSG00000222623.1	RNU6-1100P	0.008816326530612246	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0034238367346938773	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.2286962857142857	0.13395
17	ENSG00000279457.4	RP11-34P13.18	13.483906122448976	12.88
18	ENSG00000273874.1	MIR6859-2	0.030802857142857142	0.0
19	ENSG00000228463.9	AP006222.2	0.6003017387755103	0.47215
20	ENSG00000236679.2	RPL23AP24	0.11649955102040815	0.097345
21	ENSG00000236743.1	RP5-857K21.15	0.0033914285714285713	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.02666702040816327	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.35344330612244895	0.3066
24	ENSG00000269732.1	WBP1LP7	0.11998808163265308	0.09056499999999999
25	ENSG00000278566.1	OR4F29	0.05072926530612245	0.03505
26	ENSG00000233653.3	CICP7	0.01082528979591837	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.08424751020408164	0.038395
28	ENSG00000278757.1	U6	0.01923673469387755	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.052260955102040825	0.040825
30	ENSG00000235146.2	RP5-857K21.2	0.008412489795918366	0.0
31	ENSG00000225972.1	MTND1P23	240.1432081632653	7.811499999999999
32	ENSG00000225630.1	MTND2P28	883.2522040816327	780.7
33	ENSG00000237973.1	MTCO1P12	87.84599591836735	32.985
34	ENSG00000229344.1	MTCO2P12	43.905118367346944	13.86
35	ENSG00000240409.1	MTATP8P1	23.855955102040816	14.135
36	ENSG00000248527.1	MTATP6P1	4179.402775510204	3982.0
37	ENSG00000198744.5	MTCO3P12	64.84009795918368	17.325
38	ENSG00000268663.1	WBP1LP6	0.053492285714285714	0.0
39	ENSG00000273547.1	OR4F16	0.036358408163265306	0.0
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.18258751020408165	0.16599999999999998
42	ENSG00000228327.3	RP11-206L10.2	3.700822448979592	3.4655
43	ENSG00000223181.1	RNU6-1199P	0.024577142857142856	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.05296383673469388	0.0
45	ENSG00000237491.8	RP11-206L10.9	0.9973273469387756	0.9209999999999999
46	ENSG00000230092.7	RP11-206L10.8	1.8591044897959184	1.6515
