	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.23418304709141274	0.16699999999999998
1	ENSG00000227232.5	WASH7P	5.1028947368421065	4.712
2	ENSG00000278267.1	MIR6859-1	0.026877839335180054	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.06593714681440442	0.05441
4	ENSG00000237613.2	FAM138A	0.01336038781163435	0.0
5	ENSG00000268020.3	OR4G4P	0.0330291135734072	0.0
6	ENSG00000240361.1	OR4G11P	0.0678628808864266	0.05364
7	ENSG00000186092.4	OR4F5	0.05643806094182826	0.03923
8	ENSG00000238009.6	RP11-34P13.7	0.4530187811634349	0.3341
9	ENSG00000233750.3	CICP27	0.2903162049861496	0.2776
10	ENSG00000268903.1	RP11-34P13.15	39.32959279778393	34.9
11	ENSG00000269981.1	RP11-34P13.16	56.51883656509696	54.155
12	ENSG00000239906.1	RP11-34P13.14	2.3818206648199447	2.1165000000000003
13	ENSG00000241860.6	RP11-34P13.13	0.2376830747922437	0.1891
14	ENSG00000222623.1	RNU6-1100P	0.004266204986149585	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.05485127423822715	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	3.865685041551246	3.6885
17	ENSG00000279457.4	RP11-34P13.18	14.300725761772853	14.175
18	ENSG00000273874.1	MIR6859-2	0.0210601108033241	0.0
19	ENSG00000228463.9	AP006222.2	1.0786375346260388	1.001
20	ENSG00000236679.2	RPL23AP24	0.2253039889196676	0.19645
21	ENSG00000236743.1	RP5-857K21.15	0.009997202216066484	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.019170193905817173	0.0
23	ENSG00000237094.11	RP4-669L17.10	2.623619944598338	2.4485
24	ENSG00000269732.1	WBP1LP7	0.06750581717451523	0.0
25	ENSG00000278566.1	OR4F29	0.03804506925207756	0.03196
26	ENSG00000233653.3	CICP7	0.015264044321329641	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.6611746537396123	0.31875
28	ENSG00000278757.1	U6	0.004817451523545706	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.35598020498614963	0.31275
30	ENSG00000235146.2	RP5-857K21.2	0.004644321329639889	0.0
31	ENSG00000225972.1	MTND1P23	279.9276842105263	12.205
32	ENSG00000225630.1	MTND2P28	697.5129750692522	562.35
33	ENSG00000237973.1	MTCO1P12	84.19103047091413	37.425
34	ENSG00000229344.1	MTCO2P12	33.43191412742382	11.3
35	ENSG00000240409.1	MTATP8P1	15.288044321329641	10.58
36	ENSG00000248527.1	MTATP6P1	2887.851939058172	2725.5
37	ENSG00000198744.5	MTCO3P12	46.79839335180055	19.955
38	ENSG00000268663.1	WBP1LP6	0.07009961218836565	0.0
39	ENSG00000273547.1	OR4F16	0.02889008310249308	0.0
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.3755731024930747	0.3639
42	ENSG00000228327.3	RP11-206L10.2	12.3752243767313	11.99
43	ENSG00000223181.1	RNU6-1199P	0.043149307479224366	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.0814054293628809	0.0
45	ENSG00000237491.8	RP11-206L10.9	4.088955955678672	4.041
46	ENSG00000230092.7	RP11-206L10.8	2.5350052631578945	2.3835
47	ENSG00000177757.2	FAM87B	1.6336313019390585	1.5290000000000001
48	ENSG00000228794.8	LINC01128	8.32643490304709	8.258
49	ENSG00000225880.5	LINC00115	7.981174515235457	7.373000000000001
50	ENSG00000230368.2	FAM41C	0.23044939058171746	0.21395
51	ENSG00000234711.1	TUBB8P11	0.4328809141274238	0.37595
52	ENSG00000283040.1	FAM166AP3	0.17040445983379504	0.12525
53	ENSG00000272438.1	RP11-54O7.16	1.9601570637119117	1.8335
54	ENSG00000230699.2	RP11-54O7.1	1.1463803324099724	1.0625
55	ENSG00000241180.1	RP11-54O7.2	0.02229085872576177	0.0
56	ENSG00000223764.2	RP11-54O7.3	4.824144044321329	4.530000000000001
57	ENSG00000187634.11	SAMD11	7.3465445983379505	6.8665
58	ENSG00000188976.10	NOC2L	98.86972299168976	98.71
59	ENSG00000187961.13	KLHL17	30.929360110803323	30.835
60	ENSG00000187583.10	PLEKHN1	1.535947645429363	1.3840000000000001
61	ENSG00000187642.9	PERM1	3.521816897506925	2.67
62	ENSG00000272512.1	RP11-54O7.17	1.495246814404432	1.3335
