	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.010597411944869831	0.0
1	ENSG00000227232.5	WASH7P	6.892415007656967	6.2780000000000005
2	ENSG00000278267.1	MIR6859-1	0.03930551301684533	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.0280512404287902	0.0
4	ENSG00000237613.2	FAM138A	0.00818490045941807	0.0
5	ENSG00000268020.3	OR4G4P	0.04219480857580398	0.0
6	ENSG00000240361.1	OR4G11P	0.054364333843797866	0.039165
7	ENSG00000186092.4	OR4F5	0.06969754977029098	0.048615
8	ENSG00000238009.6	RP11-34P13.7	0.051635038284839216	0.023495
9	ENSG00000233750.3	CICP27	0.07738161868300153	0.058039999999999994
10	ENSG00000268903.1	RP11-34P13.15	11.866102312404287	9.5075
11	ENSG00000269981.1	RP11-34P13.16	19.535775344563557	16.305
12	ENSG00000239906.1	RP11-34P13.14	0.8442325574272588	0.451
13	ENSG00000241860.6	RP11-34P13.13	0.2681979984686064	0.21145
14	ENSG00000222623.1	RNU6-1100P	0.007908728943338439	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.002264716692189893	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.21731568147013786	0.096765
17	ENSG00000279457.4	RP11-34P13.18	12.934246554364474	12.16
18	ENSG00000273874.1	MIR6859-2	0.023849004594180705	0.0
19	ENSG00000228463.9	AP006222.2	0.4539128024502297	0.3875
20	ENSG00000236679.2	RPL23AP24	0.10362886676875957	0.0
21	ENSG00000236743.1	RP5-857K21.15	0.0041498162327718215	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.029649249617151607	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.3365388514548239	0.30495
24	ENSG00000269732.1	WBP1LP7	0.1044888514548239	0.0
25	ENSG00000278566.1	OR4F29	0.05521139356814702	0.02924
26	ENSG00000233653.3	CICP7	0.01732275191424196	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.07700298621745788	0.03865
28	ENSG00000278757.1	U6	0.009726952526799391	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.06633396018376722	0.054885
30	ENSG00000235146.2	RP5-857K21.2	0.007312863705972434	0.0
31	ENSG00000225972.1	MTND1P23	183.71858790199082	7.0470000000000015
32	ENSG00000225630.1	MTND2P28	659.5999188361409	559.4
33	ENSG00000237973.1	MTCO1P12	118.28666615620214	42.335
34	ENSG00000229344.1	MTCO2P12	24.331431852986217	12.485
35	ENSG00000240409.1	MTATP8P1	20.499659264931086	12.495
36	ENSG00000248527.1	MTATP6P1	3079.6100918836137	3006.0
37	ENSG00000198744.5	MTCO3P12	43.336917304747324	19.305
38	ENSG00000268663.1	WBP1LP6	0.06132343032159265	0.0
39	ENSG00000273547.1	OR4F16	0.03971742725880551	0.0
