	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.027229139072847682	0.0
1	ENSG00000227232.5	WASH7P	3.2344227814569537	2.6495
2	ENSG00000278267.1	MIR6859-1	0.01900993377483444	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.0092821059602649	0.0
4	ENSG00000237613.2	FAM138A	0.005303960264900663	0.0
5	ENSG00000268020.3	OR4G4P	0.013730119205298015	0.0
6	ENSG00000240361.1	OR4G11P	0.02119716556291391	0.0
7	ENSG00000186092.4	OR4F5	0.0285717880794702	0.0
8	ENSG00000238009.6	RP11-34P13.7	0.28885381986754965	0.09646
9	ENSG00000233750.3	CICP27	1.271379634437086	0.79695
10	ENSG00000268903.1	RP11-34P13.15	165.1161947019868	134.65
11	ENSG00000269981.1	RP11-34P13.16	240.85472715231793	194.9
12	ENSG00000239906.1	RP11-34P13.14	9.443220052980132	6.705500000000002
13	ENSG00000241860.6	RP11-34P13.13	0.386959059602649	0.2743
14	ENSG00000222623.1	RNU6-1100P	0.025123973509933777	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.014013350993377484	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.4479219602649007	0.2674
17	ENSG00000279457.4	RP11-34P13.18	5.645590198675497	5.126000000000001
18	ENSG00000273874.1	MIR6859-2	0.011545827814569537	0.0
19	ENSG00000228463.9	AP006222.2	1.4783855364238407	0.8579
20	ENSG00000236679.2	RPL23AP24	0.10610394701986756	0.0
21	ENSG00000236743.1	RP5-857K21.15	0.002504940397350993	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.009289258278145696	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.35471959337748343	0.2747
24	ENSG00000269732.1	WBP1LP7	0.033756079470198666	0.0
25	ENSG00000278566.1	OR4F29	0.02360022516556292	0.0
26	ENSG00000233653.3	CICP7	0.014170634437086091	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.7504333377483444	0.33835
28	ENSG00000278757.1	U6	0.07484728476821194	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.015104985430463578	0.008459999999999999
30	ENSG00000235146.2	RP5-857K21.2	0.004200264900662253	0.0
31	ENSG00000225972.1	MTND1P23	42.00375642384106	2.897
32	ENSG00000225630.1	MTND2P28	72.89677920529802	53.245
33	ENSG00000237973.1	MTCO1P12	23.209894039735104	9.969
34	ENSG00000229344.1	MTCO2P12	7.5915679470198665	3.7875
35	ENSG00000240409.1	MTATP8P1	4.02133178807947	2.631
36	ENSG00000248527.1	MTATP6P1	540.3791139072848	459.4
37	ENSG00000198744.5	MTCO3P12	8.492066754966887	4.397
38	ENSG00000268663.1	WBP1LP6	0.015816185430463574	0.0
39	ENSG00000273547.1	OR4F16	0.014718953642384106	0.0
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.0401248940397351	0.02658
42	ENSG00000228327.3	RP11-206L10.2	2.533396874172185	1.942
43	ENSG00000223181.1	RNU6-1199P	0.015396158940397347	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.03394672847682119	0.0
45	ENSG00000237491.8	RP11-206L10.9	0.13408309801324506	0.109
46	ENSG00000230092.7	RP11-206L10.8	0.6975834701986755	0.5198
47	ENSG00000177757.2	FAM87B	0.10290312582781458	0.07485499999999999
48	ENSG00000228794.8	LINC01128	1.0461692715231787	0.81535
49	ENSG00000225880.5	LINC00115	1.7345337218543049	1.2515
50	ENSG00000230368.2	FAM41C	0.04664720794701987	0.02012
51	ENSG00000234711.1	TUBB8P11	0.07025898013245033	0.034605000000000004
52	ENSG00000283040.1	FAM166AP3	0.017694344370860926	0.0
53	ENSG00000272438.1	RP11-54O7.16	0.053383721854304636	0.0
54	ENSG00000230699.2	RP11-54O7.1	0.03608160264900662	0.023005
55	ENSG00000241180.1	RP11-54O7.2	0.011928476821192054	0.0
56	ENSG00000223764.2	RP11-54O7.3	0.05057482119205297	0.033659999999999995
57	ENSG00000187634.11	SAMD11	0.061791045033112585	0.0461
58	ENSG00000188976.10	NOC2L	18.12941059602649	15.005
59	ENSG00000187961.13	KLHL17	4.751373642384107	3.5845
60	ENSG00000187583.10	PLEKHN1	0.6272909139072848	0.4976
61	ENSG00000187642.9	PERM1	0.5016688225165563	0.17215
62	ENSG00000272512.1	RP11-54O7.17	0.2542550728476821	0.093645
63	ENSG00000188290.10	HES4	4.343317046357615	1.2095
64	ENSG00000187608.8	ISG15	61.47087284768212	28.885
65	ENSG00000231702.2	RP11-54O7.10	0.023239735099337747	0.0
66	ENSG00000224969.1	RP11-54O7.11	0.031797403973509934	0.0
67	ENSG00000188157.14	AGRN	0.9219569006622518	0.57715
68	ENSG00000217801.9	RP11-465B22.3	0.4416436158940397	0.3161
69	ENSG00000273443.1	RP11-54O7.18	0.07182617218543047	0.0
70	ENSG00000237330.2	RNF223	0.04246493245033113	0.01934
71	ENSG00000131591.17	C1orf159	3.436699337748344	2.6345
72	ENSG00000223823.1	LINC01342	0.2559007549668874	0.1073
73	ENSG00000207730.3	MIR200B	0.020249139072847682	0.0
74	ENSG00000207607.3	MIR200A	0.02212105960264901	0.0
75	ENSG00000198976.1	MIR429	0.023865298013245037	0.0
76	ENSG00000272141.1	RP11-465B22.8	0.06728843708609271	0.035055
77	ENSG00000205231.1	TTLL10-AS1	0.027605729801324502	0.014709999999999999
78	ENSG00000162571.13	TTLL10	0.07456143311258279	0.034385
79	ENSG00000186891.13	TNFRSF18	11.606687284768212	6.3215
80	ENSG00000186827.10	TNFRSF4	10.146582251655628	5.481999999999998
81	ENSG00000078808.16	SDF4	66.71207417218542	64.37
82	ENSG00000176022.4	B3GALT6	5.251198940397352	4.4495000000000005
