Name	Description	female_mean	female_median	male_mean	male_median
ENSG00000223972.5	DDX11L1	0.008917142857142858	0.004458571428571429	0.00503	0.0
ENSG00000227232.5	WASH7P	4.1005714285714285	3.918285714285714	5.701857142857143	5.515
ENSG00000278267.1	MIR6859-1	0.0	0.0	0.0	0.0
ENSG00000243485.5	MIR1302-2HG	0.0054800000000000005	0.0	0.016724999999999997	0.0
ENSG00000237613.2	FAM138A	0.0	0.0	0.01118	0.0
ENSG00000268020.3	OR4G4P	0.021848571428571432	0.0	0.04044857142857143	0.04044857142857143
ENSG00000240361.1	OR4G11P	0.03611285714285715	0.018056428571428574	0.02649642857142857	0.0
ENSG00000186092.4	OR4F5	0.04918571428571428	0.05555285714285714	0.04342785714285714	0.04342785714285714
ENSG00000238009.6	RP11-34P13.7	0.02229	0.022690000000000002	0.028495714285714287	0.01463
ENSG00000233750.3	CICP27	0.051609999999999996	0.044164999999999996	0.0136775	0.008695
ENSG00000268903.1	RP11-34P13.15	4.238999999999999	4.2965	3.821571428571428	3.503
ENSG00000269981.1	RP11-34P13.16	7.414142857142857	5.285	5.896928571428572	5.529
ENSG00000239906.1	RP11-34P13.14	0.18240000000000003	0.0864	0.09781428571428571	0.0
ENSG00000241860.6	RP11-34P13.13	0.20496857142857142	0.20353428571428572	0.24563571428571435	0.24563571428571435
ENSG00000222623.1	RNU6-1100P	0.0	0.0	0.0	0.0
ENSG00000241599.1	RP11-34P13.9	0.0	0.0	0.006782857142857143	0.0
ENSG00000279928.2	ABC7-43046700E7.1	0.06888999999999999	0.0	0.202605	0.1192
ENSG00000279457.4	RP11-34P13.18	7.561571428571428	7.755285714285714	9.25357142857143	9.314
ENSG00000273874.1	MIR6859-2	0.0	0.0	0.0	0.0
ENSG00000228463.9	AP006222.2	0.31174285714285715	0.32252142857142857	0.3363300000000001	0.2946
ENSG00000236679.2	RPL23AP24	0.07891285714285715	0.08260142857142858	0.07058214285714286	0.07819
ENSG00000236743.1	RP5-857K21.15	0.0	0.0	0.007871428571428571	0.0
ENSG00000236601.2	RP4-669L17.2	0.0	0.0	0.026074999999999997	0.0
ENSG00000237094.11	RP4-669L17.10	0.26723857142857144	0.2505192857142857	0.21815214285714288	0.213
ENSG00000269732.1	WBP1LP7	0.031760000000000004	0.0	0.06499357142857143	0.06499357142857143
ENSG00000278566.1	OR4F29	0.020985714285714285	0.010492857142857142	0.02064642857142857	0.0
ENSG00000233653.3	CICP7	0.008792857142857142	0.0	0.005506428571428572	0.0
ENSG00000250575.1	RP4-669L17.8	0.010289999999999999	0.0	0.025176428571428572	0.02405
ENSG00000278757.1	U6	0.0	0.0	0.0	0.0
ENSG00000230021.8	RP5-857K21.4	0.05080714285714286	0.044329999999999994	0.040694285714285724	0.0362
ENSG00000235146.2	RP5-857K21.2	0.0	0.0	0.015442857142857144	0.0
ENSG00000225972.1	MTND1P23	8.103714285714286	7.5225	35.280071428571425	7.136
ENSG00000225630.1	MTND2P28	585.2614285714286	497.45	620.2	599.7
ENSG00000237973.1	MTCO1P12	49.142857142857146	48.10642857142857	50.54785714285713	48.74
ENSG00000229344.1	MTCO2P12	13.781571428571427	13.355785714285712	12.84457142857143	11.65
ENSG00000240409.1	MTATP8P1	11.301142857142858	10.934999999999999	9.329142857142857	9.829
ENSG00000248527.1	MTATP6P1	2946.59	2856.795	3209.785714285714	3209.785714285714
ENSG00000198744.5	MTCO3P12	12.551428571428573	10.985	12.398928571428574	12.13
ENSG00000268663.1	WBP1LP6	0.038707142857142864	0.0	0.025437857142857144	0.0
ENSG00000273547.1	OR4F16	0.0173	0.0	0.022272857142857143	0.0
ENSG00000283574.1	RP11-206L10.17	0.0	0.0	0.0	0.0
ENSG00000229376.3	CICP3	0.1423542857142857	0.13212714285714286	0.116695	0.1164
