Name	Description	female_mean	female_median	male_mean	male_median
ENSG00000223972.5	DDX11L1	0.0095725	0.0	0.0081460078125	0.0
ENSG00000227232.5	WASH7P	1.9003958333333333	1.629	1.9056531249999997	1.719
ENSG00000278267.1	MIR6859-1	0.0	0.0	0.00849296875	0.0
ENSG00000243485.5	MIR1302-2HG	0.028583541666666667	0.02303	0.026980390625000003	0.0
ENSG00000237613.2	FAM138A	0.009464374999999999	0.0	0.0084529375	0.0
ENSG00000268020.3	OR4G4P	0.06801833333333333	0.053610000000000005	0.06430257812500001	0.05393
ENSG00000240361.1	OR4G11P	0.07649666666666667	0.06609	0.089764453125	0.07019
ENSG00000186092.4	OR4F5	0.12857583333333333	0.07889	0.130644765625	0.07671
ENSG00000238009.6	RP11-34P13.7	0.029570625	0.02442	0.033472296875	0.01969
ENSG00000233750.3	CICP27	0.01592525	0.01313	0.025219320312499998	0.01875
ENSG00000268903.1	RP11-34P13.15	1.7721616666666666	1.331	1.5016721875	1.384
ENSG00000269981.1	RP11-34P13.16	1.9850583333333331	1.504	1.481200625	0.8359
ENSG00000239906.1	RP11-34P13.14	0.056337708333333326	0.0	0.035645078125	0.0
ENSG00000241860.6	RP11-34P13.13	0.08004275	0.061820000000000014	0.075585828125	0.05562
ENSG00000222623.1	RNU6-1100P	0.0	0.0	0.0	0.0
ENSG00000241599.1	RP11-34P13.9	0.0026416666666666667	0.0	0.000380390625	0.0
ENSG00000279928.2	ABC7-43046700E7.1	0.05158312500000001	0.0	0.062971875	0.04583
ENSG00000279457.4	RP11-34P13.18	3.7644645833333334	3.628	3.29366171875	3.026
ENSG00000273874.1	MIR6859-2	0.0	0.0	0.0	0.0
ENSG00000228463.9	AP006222.2	0.48962395833333333	0.3801	0.5600192421875	0.4813
ENSG00000236679.2	RPL23AP24	0.10778708333333333	0.08838	0.10228015625	0.07549
ENSG00000236743.1	RP5-857K21.15	0.0009572916666666666	0.0	0.001204765625	0.0
ENSG00000236601.2	RP4-669L17.2	0.03730479166666667	0.03318	0.0343225	0.026
ENSG00000237094.11	RP4-669L17.10	0.1445776875	0.123	0.141608203125	0.122
ENSG00000269732.1	WBP1LP7	0.11516020833333333	0.08979	0.151527578125	0.1051
ENSG00000278566.1	OR4F29	0.071115	0.06172	0.075455703125	0.05505
ENSG00000233653.3	CICP7	0.013947354166666667	0.01119	0.0129413203125	0.009658
ENSG00000250575.1	RP4-669L17.8	0.014739999999999998	0.0	0.015743046875	0.0
ENSG00000278757.1	U6	0.0	0.0	0.0	0.0
ENSG00000230021.8	RP5-857K21.4	0.05810354166666667	0.04939	0.0512277734375	0.04251
ENSG00000235146.2	RP5-857K21.2	0.012872916666666666	0.0	0.008845546875	0.0
ENSG00000225972.1	MTND1P23	143.67314583333336	17.73	372.67763281250006	15.58
