Name	Description	female_mean	female_median	male_mean	male_median
ENSG00000223972.5	DDX11L1	0.00603090625	0.0	0.00862478021978022	0.0
ENSG00000227232.5	WASH7P	1.7781890625	1.686	1.7968697802197804	1.516
ENSG00000278267.1	MIR6859-1	0.0125078125	0.0	0.0	0.0
ENSG00000243485.5	MIR1302-2HG	0.02922828125	0.02766	0.04511917582417583	0.03228
ENSG00000237613.2	FAM138A	0.0107478125	0.0	0.011524395604395603	0.0
ENSG00000268020.3	OR4G4P	0.06732578125	0.05233	0.07411313186813188	0.04402
ENSG00000240361.1	OR4G11P	0.06659703125	0.050960000000000005	0.10145027472527471	0.06279
ENSG00000186092.4	OR4F5	0.1055784375	0.08791	0.16862626373626372	0.08059
ENSG00000238009.6	RP11-34P13.7	0.04220853125	0.01944	0.03601480769230769	0.02141
ENSG00000233750.3	CICP27	0.03563096875	0.02578	0.025771675824175822	0.01912
ENSG00000268903.1	RP11-34P13.15	1.7767578125	1.27	1.5618890109890107	1.0590000000000002
ENSG00000269981.1	RP11-34P13.16	2.54280921875	1.4580000000000002	1.8239714285714286	1.098
ENSG00000239906.1	RP11-34P13.14	0.025054531249999998	0.0	0.03959510989010989	0.0
ENSG00000241860.6	RP11-34P13.13	0.085867078125	0.06317	0.08105997252747253	0.0483
ENSG00000222623.1	RNU6-1100P	0.0	0.0	0.0	0.0
ENSG00000241599.1	RP11-34P13.9	0.00224984375	0.0	0.0040532967032967035	0.0
ENSG00000279928.2	ABC7-43046700E7.1	0.05599625	0.032	0.048942692307692305	0.0343
ENSG00000279457.4	RP11-34P13.18	3.5996484375000004	3.403	3.197711538461539	2.9530000000000003
ENSG00000273874.1	MIR6859-2	0.0	0.0	0.004598901098901099	0.0
ENSG00000228463.9	AP006222.2	0.4903846875	0.4321	0.5177245054945054	0.4574
ENSG00000236679.2	RPL23AP24	0.11428421875	0.09645	0.10042923076923077	0.07708999999999999
ENSG00000236743.1	RP5-857K21.15	0.0	0.0	0.0020146703296703298	0.0
ENSG00000236601.2	RP4-669L17.2	0.026459687500000002	0.02229	0.04707587912087912	0.02582
ENSG00000237094.11	RP4-669L17.10	0.17713703125	0.1733	0.17475675824175824	0.1542
ENSG00000269732.1	WBP1LP7	0.17154578125	0.1258	0.18363642857142856	0.1068
ENSG00000278566.1	OR4F29	0.07561421874999999	0.062320000000000014	0.09833626373626372	0.05966000000000001
ENSG00000233653.3	CICP7	0.010782734375	0.008448	0.016906994505494505	0.01066
ENSG00000250575.1	RP4-669L17.8	0.03021796875	0.0	0.02122972527472528	0.0161
ENSG00000278757.1	U6	0.0	0.0	0.0	0.0
ENSG00000230021.8	RP5-857K21.4	0.05865545312500001	0.0555	0.0604953956043956	0.05015
ENSG00000235146.2	RP5-857K21.2	0.00938078125	0.0	0.011627197802197804	0.0
ENSG00000225972.1	MTND1P23	195.084125	15.94	300.36544505494504	16.86
ENSG00000225630.1	MTND2P28	1748.3557812499998	1332.0	1490.8545054945057	1309.0
