gene_id,SRS6085261_CI1cue,SRS6085262_CI21cue,SRS6085263_CE1cue,SRS6085264_CE21cue,SRS6085265_CE21cue,SRS6085266_CE1cue,SRS6085267_CI1cue,SRS6085268_CI1cue,SRS6085269_CI21cue,SRS6085270_CE1cue,SRS6085271_CE21cue,SRS6085272_CI21cue
ENSRNOG00000040300|Raet1e,0,3,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000058808|AABR07000109.1,2,1,1,1,1,1,1,1,3,1,2,2
ENSRNOG00000023659|AABR07000147.1,4,0,0,0,0,0,0,0,0,0,0,3
ENSRNOG00000040316|AABR07000145.1,0,0,0,0,0,0,0,0,0,0,0,0
ENSRNOG00000061316|Ulbp1,1,0,4,0,0,6,0,1,0,0,1,0
ENSRNOG00000029897|AABR07000156.1,12,16,9,22,10,4,10,13,8,11,23,9
ENSRNOG00000049505|Nup43,168,89,65,140,126,82,153,102,74,119,108,97
ENSRNOG00000014303|Lrp11,1718,1235,1000,2228,1828,1080,1434,1129,618,1338,1571,2122
ENSRNOG00000051899|AABR07000159.1,2,3,2,5,3,0,0,0,0,0,4,0
ENSRNOG00000014330|Pcmt1,209,263,141,276,289,114,291,164,104,196,233,189
ENSRNOG00000014916|Lats1,1101,1017,608,1197,1136,602,1113,588,411,990,831,919
ENSRNOG00000014996|Katna1,86,68,41,87,44,83,85,35,20,102,95,60
ENSRNOG00000053710|AABR07000159.2,1,1,1,1,1,6,1,1,1,1,1,1
ENSRNOG00000055508|AABR07000159.3,0,1,0,1,0,0,0,0,0,4,2,0
ENSRNOG00000015239|Ginm1,169,102,61,108,197,58,154,135,49,95,123,114
ENSRNOG00000016041|Zc3h12d,5,0,0,1,3,1,0,1,0,0,13,1
ENSRNOG00000015552|Ppil4,572,444,303,654,390,586,336,274,248,500,503,550
ENSRNOG00000016054|Tab2,600,543,430,1019,645,490,934,498,490,686,771,592
ENSRNOG00000013160|Sash1,928,619,476,1296,1553,555,1931,768,615,925,1181,799
ENSRNOG00000016381|Ust,75,24,105,78,36,21,50,42,25,37,44,137
ENSRNOG00000023549|Samd5,70,110,86,123,279,66,134,112,28,122,105,101
ENSRNOG00000014258|Rab32,41,31,19,77,18,20,29,13,1,54,40,63
ENSRNOG00000042741|Adgb,9,85,4,33,42,101,24,39,35,58,26,17
ENSRNOG00000031859|RGD1560633,1,1,1,2,1,1,1,1,2,2,2,2
ENSRNOG00000013351|Stxbp5,1762,1761,1139,2788,3226,1464,2838,1508,1004,2194,2404,2002
ENSRNOG00000061755,7,7,5,16,5,17,5,4,5,7,12,8
ENSRNOG00000041566|AABR07000220.1,1,1,0,0,0,0,0,1,0,0,0,0
