	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.009082545454545454	0.0
1	ENSG00000227232.5	WASH7P	2.472356459330144	2.1625
2	ENSG00000278267.1	MIR6859-1	0.006294736842105264	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.03630167464114833	0.030445
4	ENSG00000237613.2	FAM138A	0.011719138755980862	0.0
5	ENSG00000268020.3	OR4G4P	0.0670645933014354	0.042445
6	ENSG00000240361.1	OR4G11P	0.09401492822966508	0.073535
7	ENSG00000186092.4	OR4F5	0.1402796172248804	0.07481
8	ENSG00000238009.6	RP11-34P13.7	0.0447434066985646	0.025710000000000004
9	ENSG00000233750.3	CICP27	0.0290115980861244	0.018805
10	ENSG00000268903.1	RP11-34P13.15	2.6038478468899524	1.8515
11	ENSG00000269981.1	RP11-34P13.16	3.057806172248804	1.9345
12	ENSG00000239906.1	RP11-34P13.14	0.056766650717703336	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.10322811483253587	0.07392499999999999
14	ENSG00000222623.1	RNU6-1100P	0.0	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0029629665071770326	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.07305181818181818	0.049745
17	ENSG00000279457.4	RP11-34P13.18	4.664646889952153	4.23
18	ENSG00000273874.1	MIR6859-2	0.005238755980861244	0.0
19	ENSG00000228463.9	AP006222.2	0.8223077607655502	0.7303999999999999
20	ENSG00000236679.2	RPL23AP24	0.10862851674641147	0.08665
21	ENSG00000236743.1	RP5-857K21.15	0.0032885167464114834	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.03975645933014354	0.028605000000000002
23	ENSG00000237094.11	RP4-669L17.10	0.19211326794258374	0.155
24	ENSG00000269732.1	WBP1LP7	0.1595194736842105	0.10325
25	ENSG00000278566.1	OR4F29	0.07931933014354066	0.054975
26	ENSG00000233653.3	CICP7	0.013361803827751196	0.0088565
27	ENSG00000250575.1	RP4-669L17.8	0.02223384210526316	0.0
28	ENSG00000278757.1	U6	0.0	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.0653700861244019	0.056765
30	ENSG00000235146.2	RP5-857K21.2	0.007530526315789474	0.0
31	ENSG00000225972.1	MTND1P23	394.8154162679427	16.22
32	ENSG00000225630.1	MTND2P28	1183.6579425837324	999.45
33	ENSG00000237973.1	MTCO1P12	276.9625358851675	112.5
34	ENSG00000229344.1	MTCO2P12	48.42888516746412	26.270000000000003
35	ENSG00000240409.1	MTATP8P1	29.219800000000006	19.285
36	ENSG00000248527.1	MTATP6P1	5629.4543540669865	5409.0
37	ENSG00000198744.5	MTCO3P12	100.40622009569378	32.53
38	ENSG00000268663.1	WBP1LP6	0.0709700956937799	0.059739999999999994
39	ENSG00000273547.1	OR4F16	0.061617894736842115	0.047764999999999995
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.15930425837320575	0.13395
42	ENSG00000228327.3	RP11-206L10.2	0.7488267942583732	0.6216
43	ENSG00000223181.1	RNU6-1199P	0.037046411483253584	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.06866956937799043	0.06132500000000001
45	ENSG00000237491.8	RP11-206L10.9	0.6159205263157895	0.5735
46	ENSG00000230092.7	RP11-206L10.8	0.4799346411483253	0.4133
47	ENSG00000177757.2	FAM87B	0.2929228708133971	0.22715
48	ENSG00000228794.8	LINC01128	8.299956937799044	8.4385
49	ENSG00000225880.5	LINC00115	2.0054832535885168	1.7415
50	ENSG00000230368.2	FAM41C	0.18298976076555026	0.14
51	ENSG00000234711.1	TUBB8P11	0.19584464114832534	0.16095
52	ENSG00000283040.1	FAM166AP3	0.07939306220095692	0.059320000000000005
53	ENSG00000272438.1	RP11-54O7.16	0.3683479425837321	0.3184
54	ENSG00000230699.2	RP11-54O7.1	0.2496805741626794	0.22845
55	ENSG00000241180.1	RP11-54O7.2	0.02112918660287081	0.0
56	ENSG00000223764.2	RP11-54O7.3	0.5404396650717703	0.41425
57	ENSG00000187634.11	SAMD11	0.6419736842105264	0.5096499999999999
58	ENSG00000188976.10	NOC2L	42.98844497607657	45.12000000000001
59	ENSG00000187961.13	KLHL17	7.874667942583732	7.689499999999999
60	ENSG00000187583.10	PLEKHN1	0.16055349282296652	0.1179
61	ENSG00000187642.9	PERM1	0.2499222966507177	0.22455
62	ENSG00000272512.1	RP11-54O7.17	3.3923430622009563	2.8885
63	ENSG00000188290.10	HES4	22.257205741626787	20.29
64	ENSG00000187608.8	ISG15	67.82384688995215	31.25
65	ENSG00000231702.2	RP11-54O7.10	0.1358909090909091	0.0
66	ENSG00000224969.1	RP11-54O7.11	0.6414691387559809	0.51355
67	ENSG00000188157.14	AGRN	34.031430622009566	32.59
68	ENSG00000217801.9	RP11-465B22.3	4.0677669856459335	3.8545
69	ENSG00000273443.1	RP11-54O7.18	0.6585374641148324	0.5151
70	ENSG00000237330.2	RNF223	0.09537444976076556	0.07309500000000001
71	ENSG00000131591.17	C1orf159	8.301583732057416	8.154499999999999
72	ENSG00000223823.1	LINC01342	0.11187751196172248	0.076545
73	ENSG00000207730.3	MIR200B	0.06544784688995214	0.0
74	ENSG00000207607.3	MIR200A	0.0622133971291866	0.0
75	ENSG00000198976.1	MIR429	0.07219569377990431	0.0
76	ENSG00000272141.1	RP11-465B22.8	0.09225377990430622	0.067325
77	ENSG00000205231.1	TTLL10-AS1	0.07304965071770335	0.05663500000000001
78	ENSG00000162571.13	TTLL10	0.100469	0.08028500000000001
79	ENSG00000186891.13	TNFRSF18	3.112864593301436	2.7545
80	ENSG00000186827.10	TNFRSF4	1.4920550239234451	1.311
81	ENSG00000078808.16	SDF4	66.09703349282296	63.24
82	ENSG00000176022.4	B3GALT6	17.647837320574165	18.095
83	ENSG00000184163.3	C1QTNF12	1.1068325358851674	1.0090000000000001
84	ENSG00000260179.1	RP5-902P8.12	0.4677863157894737	0.39575
