Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Foxj3	ENSMUST00000044564.9	forkhead box J3 	40	2	2	0	0	0	0	0	0	0	mmu-miR-219a-5p	-1.43	-2.23	0.97	2005, 2007, 2009, 2011
Sdk1	ENSMUST00000085774.5	sidekick homolog 1 (chicken) 	30	1	1	0	0	0	0	0	0	1	mmu-miR-219a-5p	-1.34	-1.37	0.91	2005, 2009, 2011
Erg	ENSMUST00000113846.4	avian erythroblastosis virus E-26 (v-ets) oncogene related 	581	1	1	0	0	0	0	0	0	1	mmu-miR-219a-5p	-1.23	-1.23	0.74	2005, 2007
Snrk	ENSMUST00000120173.2	SNF related kinase 	6	2	0	2	0	0	0	0	0	0	mmu-miR-219a-5p	-1.23	-1.23	0.85	2005, 2007, 2009, 2011
Pigg	ENSMUST00000119014.2	phosphatidylinositol glycan anchor biosynthesis, class G 	1024	1	1	0	0	0	0	0	0	1	mmu-miR-219a-5p	-1.18	-1.22	0.12	2009, 2011
Tmem98	ENSMUST00000040865.8	transmembrane protein 98 	3068	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-1.10	-1.10	0.70	2009, 2011
Atf7ip2	ENSMUST00000044005.8	activating transcription factor 7 interacting protein 2 	179	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-1.08	-1.08	< 0.1	2005, 2007, 2011
Slc41a1	ENSMUST00000086559.6	solute carrier family 41, member 1 	351	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-1.04	-1.08	0.94	2005, 2007, 2009, 2011
Six3	ENSMUST00000176081.2	sine oculis-related homeobox 3 	5	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.99	-0.99	0.93	2011
Appl2	ENSMUST00000020500.8	adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 2 	57	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.99	-0.99	< 0.1	2007, 2009, 2011
Rgag1	ENSMUST00000165829.2	retrotransposon gag domain containing 1 	4	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.99	-0.99	0.26	2005, 2007
Cep85l	ENSMUST00000095691.5	centrosomal protein 85-like 	76	1	1	0	0	1	0	0	1	0	mmu-miR-219a-5p	-0.94	-1.02	0.37	
Elmod2	ENSMUST00000177594.2	ELMO/CED-12 domain containing 2 	786	2	1	1	0	1	1	0	0	0	mmu-miR-219a-5p	-0.86	-0.88	0.99	2005, 2007, 2009, 2011
Gxylt1	ENSMUST00000057896.4	glucoside xylosyltransferase 1 	1508	2	1	1	0	0	0	0	0	1	mmu-miR-219a-5p	-0.86	-0.87	> 0.99	2009, 2011
Rorb	ENSMUST00000040153.9	RAR-related orphan receptor beta 	5	3	3	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.83	-0.83	> 0.99	2005, 2007, 2009, 2011
Mknk2	ENSMUST00000003433.6	MAP kinase-interacting serine/threonine kinase 2 	387	1	1	0	0	0	0	0	0	0	mmu-miR-219a-5p	-0.80	-0.80	< 0.1	2005, 2007, 2009, 2011
