Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000102348	Gm10568	1	+	3750378	3752011	1.003672	0.064701	0.209109
ENSMUSG00000051951	Xkr4	1	-	3276124	3741721	40.695961	4.381392	14.160319
ENSMUSG00000102851	Gm18956	1	+	3322980	3323459	0.000000	0.000000	0.000000
ENSMUSG00000103377	Gm37180	1	-	3435954	3438772	0.000000	0.000000	0.000000
ENSMUSG00000104017	Gm37363	1	-	3445779	3448011	0.000000	0.000000	0.000000
ENSMUSG00000103025	Gm37686	1	-	3535200	3537508	0.091382	0.005891	0.019039
ENSMUSG00000089699	Gm1992	1	+	3536810	3583776	0.000000	0.000000	0.000000
ENSMUSG00000103201	Gm37329	1	-	3582674	3584730	0.000000	0.000000	0.000000
ENSMUSG00000103147	Gm7341	1	+	3602018	3602943	0.000000	0.000000	0.000000
ENSMUSG00000103161	Gm38148	1	-	3663115	3666126	0.000000	0.000000	0.000000
ENSMUSG00000102331	Gm19938	1	-	3717532	3729127	0.959804	0.061873	0.199969
ENSMUSG00000025900	Rp1	1	-	4069780	4479464	0.173615	0.037921	0.122558
ENSMUSG00000102948	Gm6101	1	-	4326457	4330742	0.000000	0.000000	0.000000
ENSMUSG00000104123	Gm37483	1	-	4433569	4435052	0.000000	0.000000	0.000000
ENSMUSG00000025902	Sox17	1	-	4561154	4567577	12.096046	2.428328	7.848166
ENSMUSG00000104238	Gm37587	1	+	4566774	4569781	0.147981	0.009840	0.031801
ENSMUSG00000102269	Gm7357	1	+	4593128	4596960	0.198596	0.012802	0.041376
ENSMUSG00000118917	AC129937.1	1	+	4599240	4599346	1.757009	0.113265	0.366062
ENSMUSG00000104328	Gm37323	1	-	4653352	4656475	0.134151	0.008648	0.027950
ENSMUSG00000098104	Gm6085	1	-	4758157	4759626	0.106803	0.006885	0.022252
ENSMUSG00000102175	Gm6119	1	-	4762442	4763647	0.022664	0.001461	0.004722
ENSMUSG00000103922	Gm6123	1	+	4841354	4842422	5.163237	0.332845	1.075729
ENSMUSG00000033845	Mrpl15	1	-	4843429	4855962	31.519148	4.326022	13.981368
ENSMUSG00000102275	Gm37144	1	-	4848286	4849435	3.339130	0.215255	0.695687
ENSMUSG00000025903	Lypla1	1	+	4878011	4918633	21.563854	3.935560	12.719425
ENSMUSG00000104217	Gm37988	1	+	4878115	4956993	0.228150	0.014708	0.047534
ENSMUSG00000033813	Tcea1	1	+	4928037	4968132	64.636078	19.573738	63.260799
ENSMUSG00000062588	Gm6104	1	-	4950272	4950874	28.377281	1.829324	5.912234
ENSMUSG00000104046	Gm37567	1	+	5377962	5380240	0.018137	0.001169	0.003779
ENSMUSG00000025905	Oprk1	1	+	5658689	5676354	46.224239	6.215242	20.087179
ENSMUSG00000033774	Npbwr1	1	-	5983926	5987617	5.677952	0.366026	1.182967
ENSMUSG00000103280	Gm37277	1	-	4975974	4977084	23.861385	1.538210	4.971375
ENSMUSG00000002459	Rgs20	1	-	4979799	5140508	39.876511	15.851643	51.231277
ENSMUSG00000091305	Gm17100	1	-	4997251	4997522	0.702206	0.045267	0.146300
ENSMUSG00000102653	Gm37079	1	-	5008799	5010933	0.098870	0.006374	0.020599
ENSMUSG00000085623	Gm16041	1	+	5041080	5047043	0.000000	0.000000	0.000000
ENSMUSG00000091665	Gm17101	1	+	5133283	5134870	0.471094	0.030369	0.098150
ENSMUSG00000033793	Atp6v1h	1	+	5140241	5232752	146.735764	54.599087	176.460007
ENSMUSG00000025907	Rb1cc1	1	+	6276421	6346872	29.655231	6.489762	20.974403
ENSMUSG00000090031	4732440D04Rik	1	-	6280090	6285517	6.801962	0.453509	1.465706
ENSMUSG00000087247	Alkal1	1	+	6429442	6464955	0.000000	0.000000	0.000000
ENSMUSG00000103355	Gm2147	1	+	6450618	6451256	0.587637	0.037882	0.122431
ENSMUSG00000102706	Gm7417	1	-	6452858	6453330	0.000000	0.000000	0.000000
ENSMUSG00000103845	Gm19026	1	-	6499879	6511520	2.835872	0.182813	0.590837
ENSMUSG00000033740	St18	1	+	6557455	6931164	9.913677	1.877459	6.067803
ENSMUSG00000103329	Gm42492	1	-	6931461	6934375	2.078559	0.133993	0.433055
