	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.007882708333333334	0.0
1	ENSG00000227232.5	WASH7P	1.0886855555555557	0.9253
2	ENSG00000278267.1	MIR6859-1	0.011479166666666669	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.02892583333333333	0.01803
4	ENSG00000237613.2	FAM138A	0.012767430555555556	0.0
5	ENSG00000268020.3	OR4G4P	0.07912493055555556	0.0515
6	ENSG00000240361.1	OR4G11P	0.10561317129629633	0.07272999999999999
7	ENSG00000186092.4	OR4F5	0.19189631944444446	0.09819
8	ENSG00000238009.6	RP11-34P13.7	0.024459016203703703	0.01634
9	ENSG00000233750.3	CICP27	0.01723399074074074	0.01056
10	ENSG00000268903.1	RP11-34P13.15	1.3671140972222222	0.8138
11	ENSG00000269981.1	RP11-34P13.16	2.0955853935185185	1.345
12	ENSG00000239906.1	RP11-34P13.14	0.03716921296296296	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.058090377314814826	0.03437
14	ENSG00000222623.1	RNU6-1100P	0.0015358796296296294	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0026509953703703704	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.07542909722222221	0.038
17	ENSG00000279457.4	RP11-34P13.18	1.9933585648148149	1.686
18	ENSG00000273874.1	MIR6859-2	0.0030516203703703703	0.0
19	ENSG00000228463.9	AP006222.2	0.2168888611111111	0.1831
20	ENSG00000236679.2	RPL23AP24	0.061017037037037036	0.0441
21	ENSG00000236743.1	RP5-857K21.15	0.0016000462962962962	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.04354377314814815	0.02862
23	ENSG00000237094.11	RP4-669L17.10	0.0938358125	0.07876
24	ENSG00000269732.1	WBP1LP7	0.20200050925925925	0.1204
25	ENSG00000278566.1	OR4F29	0.09852712962962963	0.06454
26	ENSG00000233653.3	CICP7	0.016868293981481482	0.010209999999999999
27	ENSG00000250575.1	RP4-669L17.8	0.01949319675925926	0.0
28	ENSG00000278757.1	U6	0.000696990740740741	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.034581759259259263	0.0264
30	ENSG00000235146.2	RP5-857K21.2	0.01053076388888889	0.0
31	ENSG00000225972.1	MTND1P23	571.2584768518517	19.13
32	ENSG00000225630.1	MTND2P28	1469.749803240741	1286.0
33	ENSG00000237973.1	MTCO1P12	417.9979444444445	166.8
34	ENSG00000229344.1	MTCO2P12	59.36821990740741	28.79
35	ENSG00000240409.1	MTATP8P1	49.28637268518518	32.48
36	ENSG00000248527.1	MTATP6P1	8697.210925925927	8236.0
37	ENSG00000198744.5	MTCO3P12	166.88472916666666	49.03
38	ENSG00000268663.1	WBP1LP6	0.09972344907407406	0.06711
39	ENSG00000273547.1	OR4F16	0.06793659722222223	0.04492
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.14779384953703706	0.1161
42	ENSG00000228327.3	RP11-206L10.2	0.6314760185185185	0.5474
43	ENSG00000223181.1	RNU6-1199P	0.05087569444444445	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.09904266203703704	0.07013
45	ENSG00000237491.8	RP11-206L10.9	0.2725209027777777	0.2432
46	ENSG00000230092.7	RP11-206L10.8	0.408363125	0.3635
47	ENSG00000177757.2	FAM87B	0.22680106481481485	0.1956
48	ENSG00000228794.8	LINC01128	14.769976157407408	14.6
49	ENSG00000225880.5	LINC00115	1.7598050925925923	1.47
50	ENSG00000230368.2	FAM41C	0.16281958333333335	0.1173
51	ENSG00000234711.1	TUBB8P11	0.18885090277777775	0.1449
52	ENSG00000283040.1	FAM166AP3	0.07512356481481483	0.053320000000000006
53	ENSG00000272438.1	RP11-54O7.16	0.14481145833333334	0.07443
54	ENSG00000230699.2	RP11-54O7.1	0.1312716597222222	0.07951
55	ENSG00000241180.1	RP11-54O7.2	0.02249884259259259	0.0
56	ENSG00000223764.2	RP11-54O7.3	0.5437081944444444	0.3075
57	ENSG00000187634.11	SAMD11	0.807511412037037	0.4539
58	ENSG00000188976.10	NOC2L	24.501622685185186	23.86
59	ENSG00000187961.13	KLHL17	3.2252129629629627	2.82
60	ENSG00000187583.10	PLEKHN1	0.2407280787037037	0.1818
61	ENSG00000187642.9	PERM1	61.374475925925935	61.64
62	ENSG00000272512.1	RP11-54O7.17	5.462197685185185	4.428999999999999
63	ENSG00000188290.10	HES4	21.763587962962962	17.33
64	ENSG00000187608.8	ISG15	18.386199074074074	13.76
65	ENSG00000231702.2	RP11-54O7.10	0.3012639814814815	0.1687
66	ENSG00000224969.1	RP11-54O7.11	0.4085237037037037	0.2479
67	ENSG00000188157.14	AGRN	7.828162037037037	6.787000000000001
68	ENSG00000217801.9	RP11-465B22.3	0.19399170370370367	0.156
69	ENSG00000273443.1	RP11-54O7.18	0.10572349537037036	0.07263
70	ENSG00000237330.2	RNF223	0.08789876157407407	0.06217
71	ENSG00000131591.17	C1orf159	2.1322034722222223	1.883
72	ENSG00000223823.1	LINC01342	0.12525289351851854	0.07593
73	ENSG00000207730.3	MIR200B	0.07716805555555555	0.0
74	ENSG00000207607.3	MIR200A	0.04725648148148148	0.0
75	ENSG00000198976.1	MIR429	0.06898541666666666	0.0
76	ENSG00000272141.1	RP11-465B22.8	0.0960859722222222	0.07172
77	ENSG00000205231.1	TTLL10-AS1	0.0946120324074074	0.0712
78	ENSG00000162571.13	TTLL10	0.1841153009259259	0.1682
79	ENSG00000186891.13	TNFRSF18	0.3200967824074074	0.2148
80	ENSG00000186827.10	TNFRSF4	6.026607638888889	3.215
81	ENSG00000078808.16	SDF4	68.01212037037037	65.88
82	ENSG00000176022.4	B3GALT6	6.72507662037037	6.426
83	ENSG00000184163.3	C1QTNF12	0.9474090277777776	0.7704
84	ENSG00000260179.1	RP5-902P8.12	0.38862057870370376	0.2942
85	ENSG00000160087.20	UBE2J2	10.158643518518517	9.715
86	ENSG00000230415.1	LINC01786	1.5402033101851853	1.338
87	ENSG00000162572.20	SCNN1D	2.6739354166666667	2.3680000000000003
88	ENSG00000131584.18	ACAP3	25.298912037037034	24.29
89	ENSG00000278073.1	MIR6726	0.06099166666666666	0.0
90	ENSG00000169972.11	PUSL1	5.847940509259258	5.76
91	ENSG00000127054.20	INTS11	22.21816435185185	22.28
92	ENSG00000283712.1	MIR6727	0.06322152777777779	0.0
93	ENSG00000240731.1	RP5-890O3.9	7.298109722222222	6.8820000000000014
94	ENSG00000224051.6	CPTP	50.551268518518526	50.72
95	ENSG00000169962.4	TAS1R3	1.0063305787037038	0.7671
