	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.00813528735632184	0.0
1	ENSG00000227232.5	WASH7P	2.885927011494253	2.497
2	ENSG00000278267.1	MIR6859-1	0.013388505747126436	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.014622413793103447	0.0
4	ENSG00000237613.2	FAM138A	0.004173965517241379	0.0
5	ENSG00000268020.3	OR4G4P	0.022414827586206897	0.0
6	ENSG00000240361.1	OR4G11P	0.03032333333333333	0.0
7	ENSG00000186092.4	OR4F5	0.04129034482758621	0.031139999999999998
8	ENSG00000238009.6	RP11-34P13.7	0.01708544252873563	0.008922
9	ENSG00000233750.3	CICP27	0.03873868390804598	0.01791
10	ENSG00000268903.1	RP11-34P13.15	3.1864538505747126	1.3530000000000002
11	ENSG00000269981.1	RP11-34P13.16	6.396735632183909	2.803
12	ENSG00000239906.1	RP11-34P13.14	0.1833929310344828	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.08925391379310345	0.07484
14	ENSG00000222623.1	RNU6-1100P	0.006379885057471264	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.00029620689655172417	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.05615252873563219	0.0
17	ENSG00000279457.4	RP11-34P13.18	4.876390804597701	4.686
18	ENSG00000273874.1	MIR6859-2	0.0026816091954022987	0.0
19	ENSG00000228463.9	AP006222.2	0.13760588505747126	0.1101
20	ENSG00000236679.2	RPL23AP24	0.1094135632183908	0.08484
21	ENSG00000236743.1	RP5-857K21.15	0.0017020114942528735	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.01824580459770115	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.104336091954023	0.09375
24	ENSG00000269732.1	WBP1LP7	0.047134540229885065	0.0
25	ENSG00000278566.1	OR4F29	0.034175229885057466	0.0288
26	ENSG00000233653.3	CICP7	0.008183011494252873	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.018641666666666664	0.0
28	ENSG00000278757.1	U6	0.0055471264367816095	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.022132660919540238	0.016909999999999998
30	ENSG00000235146.2	RP5-857K21.2	0.004413793103448276	0.0
31	ENSG00000225972.1	MTND1P23	161.9468362068965	3.9360000000000004
32	ENSG00000225630.1	MTND2P28	259.5836091954023	208.6
33	ENSG00000237973.1	MTCO1P12	105.21626436781608	34.78
34	ENSG00000229344.1	MTCO2P12	19.280551724137926	10.5
35	ENSG00000240409.1	MTATP8P1	11.337695402298849	8.281
36	ENSG00000248527.1	MTATP6P1	1660.8454022988503	1605.0
37	ENSG00000198744.5	MTCO3P12	29.71148275862069	11.15
38	ENSG00000268663.1	WBP1LP6	0.028396494252873564	0.0
39	ENSG00000273547.1	OR4F16	0.028091551724137936	0.024380000000000002
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.19999241379310345	0.1822
42	ENSG00000228327.3	RP11-206L10.2	2.5937827586206894	2.642
43	ENSG00000223181.1	RNU6-1199P	0.011165517241379309	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.021721091954022987	0.0
45	ENSG00000237491.8	RP11-206L10.9	1.193724712643678	1.1059999999999999
46	ENSG00000230092.7	RP11-206L10.8	1.9176563218390803	1.8880000000000001
47	ENSG00000177757.2	FAM87B	0.5712563218390805	0.5163
48	ENSG00000228794.8	LINC01128	3.7360459770114933	3.637
49	ENSG00000225880.5	LINC00115	4.403620689655171	3.928
50	ENSG00000230368.2	FAM41C	0.04896804597701149	0.03683
51	ENSG00000234711.1	TUBB8P11	0.0749433908045977	0.05144
52	ENSG00000283040.1	FAM166AP3	0.028509712643678162	0.0
53	ENSG00000272438.1	RP11-54O7.16	0.8563785057471265	0.5354
54	ENSG00000230699.2	RP11-54O7.1	0.7896456321839082	0.4851
55	ENSG00000241180.1	RP11-54O7.2	0.02290804597701149	0.0
56	ENSG00000223764.2	RP11-54O7.3	0.4689143678160921	0.3079
57	ENSG00000187634.11	SAMD11	0.0938991379310345	0.08601
