	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.002341	0.0
1	ENSG00000227232.5	WASH7P	7.565599999999999	7.565599999999999
2	ENSG00000278267.1	MIR6859-1	0.0	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.016291	0.0
4	ENSG00000237613.2	FAM138A	0.0033200000000000005	0.0
5	ENSG00000268020.3	OR4G4P	0.03343	0.03343
6	ENSG00000240361.1	OR4G11P	0.00861	0.0
7	ENSG00000186092.4	OR4F5	0.042723000000000004	0.0
8	ENSG00000238009.6	RP11-34P13.7	0.056537	0.02865
9	ENSG00000233750.3	CICP27	0.084089	0.07073
10	ENSG00000268903.1	RP11-34P13.15	8.445229999999999	9.072000000000001
11	ENSG00000269981.1	RP11-34P13.16	13.24978	10.99
12	ENSG00000239906.1	RP11-34P13.14	0.35219	0.1567
13	ENSG00000241860.6	RP11-34P13.13	0.3109810000000001	0.3109810000000001
14	ENSG00000222623.1	RNU6-1100P	0.0	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.3849300000000001	0.3222
17	ENSG00000279457.4	RP11-34P13.18	14.5836	14.5836
18	ENSG00000273874.1	MIR6859-2	0.0	0.0
19	ENSG00000228463.9	AP006222.2	0.6020800000000001	0.505
20	ENSG00000236679.2	RPL23AP24	0.059739999999999994	0.0
21	ENSG00000236743.1	RP5-857K21.15	0.029757	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.018635	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.5266200000000001	0.4261
24	ENSG00000269732.1	WBP1LP7	0.027719999999999998	0.0
25	ENSG00000278566.1	OR4F29	0.022631	0.0
26	ENSG00000233653.3	CICP7	0.003356	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.026692	0.026692
28	ENSG00000278757.1	U6	0.0	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.048914	0.03756
30	ENSG00000235146.2	RP5-857K21.2	0.0	0.0
31	ENSG00000225972.1	MTND1P23	292.8013	6.3370000000000015
32	ENSG00000225630.1	MTND2P28	417.581	417.581
33	ENSG00000237973.1	MTCO1P12	127.8039	30.64
34	ENSG00000229344.1	MTCO2P12	7.0697	6.718
35	ENSG00000240409.1	MTATP8P1	9.68095	9.68095
36	ENSG00000248527.1	MTATP6P1	1967.169	2106.0
37	ENSG00000198744.5	MTCO3P12	9.148	9.148
38	ENSG00000268663.1	WBP1LP6	0.01138	0.0
39	ENSG00000273547.1	OR4F16	0.047595	0.047595
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.215246	0.215246
42	ENSG00000228327.3	RP11-206L10.2	2.9531	2.963
43	ENSG00000223181.1	RNU6-1199P	0.0	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.03904	0.0
45	ENSG00000237491.8	RP11-206L10.9	1.33265	1.4280000000000002
46	ENSG00000230092.7	RP11-206L10.8	1.54933	1.5230000000000001
47	ENSG00000177757.2	FAM87B	0.95456	0.8562
48	ENSG00000228794.8	LINC01128	8.3538	8.3538
49	ENSG00000225880.5	LINC00115	12.050199999999998	10.54
50	ENSG00000230368.2	FAM41C	0.14011300000000002	0.06832
51	ENSG00000234711.1	TUBB8P11	0.07084800000000001	0.07084800000000001
52	ENSG00000283040.1	FAM166AP3	0.06768700000000001	0.07805
53	ENSG00000272438.1	RP11-54O7.16	1.32987	0.6854
54	ENSG00000230699.2	RP11-54O7.1	0.7984150000000001	0.3677
55	ENSG00000241180.1	RP11-54O7.2	0.0	0.0
56	ENSG00000223764.2	RP11-54O7.3	8.0396	4.503
57	ENSG00000187634.11	SAMD11	12.7317	9.097000000000001
58	ENSG00000188976.10	NOC2L	78.708	78.708
59	ENSG00000187961.13	KLHL17	25.742	25.742
60	ENSG00000187583.10	PLEKHN1	2.8273200000000003	1.295
61	ENSG00000187642.9	PERM1	1.30319	0.8154
62	ENSG00000272512.1	RP11-54O7.17	6.660799999999999	6.660799999999999
63	ENSG00000188290.10	HES4	36.357	36.357
64	ENSG00000187608.8	ISG15	39.094	39.094
65	ENSG00000231702.2	RP11-54O7.10	1.1596	0.0
66	ENSG00000224969.1	RP11-54O7.11	2.05119	1.182
67	ENSG00000188157.14	AGRN	45.303999999999995	46.42
68	ENSG00000217801.9	RP11-465B22.3	2.20161	2.20161
69	ENSG00000273443.1	RP11-54O7.18	0.262425	0.1141
70	ENSG00000237330.2	RNF223	0.400093	0.1915
71	ENSG00000131591.17	C1orf159	15.13	13.72
72	ENSG00000223823.1	LINC01342	0.5368949999999999	0.1243
73	ENSG00000207730.3	MIR200B	0.25304	0.0
74	ENSG00000207607.3	MIR200A	0.14514000000000002	0.0
75	ENSG00000198976.1	MIR429	1.9049400000000003	0.0
76	ENSG00000272141.1	RP11-465B22.8	19.641270000000002	0.9746
77	ENSG00000205231.1	TTLL10-AS1	0.8541130000000001	0.1271
78	ENSG00000162571.13	TTLL10	3.907886	0.4231
79	ENSG00000186891.13	TNFRSF18	22.38371	3.784
80	ENSG00000186827.10	TNFRSF4	5.8494	4.413
81	ENSG00000078808.16	SDF4	194.86	192.9
82	ENSG00000176022.4	B3GALT6	19.875	19.875
83	ENSG00000184163.3	C1QTNF12	2.4989	2.153
84	ENSG00000260179.1	RP5-902P8.12	0.9946799999999999	0.9109999999999999
85	ENSG00000160087.20	UBE2J2	34.086999999999996	33.27
86	ENSG00000230415.1	LINC01786	10.4969	10.4969
87	ENSG00000162572.20	SCNN1D	21.1615	20.12
88	ENSG00000131584.18	ACAP3	100.917	101.4
89	ENSG00000278073.1	MIR6726	0.06634	0.0
90	ENSG00000169972.11	PUSL1	24.753	24.753
91	ENSG00000127054.20	INTS11	122.603	106.7
92	ENSG00000283712.1	MIR6727	0.15675999999999998	0.0
93	ENSG00000240731.1	RP5-890O3.9	56.29	56.29
94	ENSG00000224051.6	CPTP	31.055999999999997	31.055999999999997
95	ENSG00000169962.4	TAS1R3	1.2815800000000002	1.2815800000000002
96	ENSG00000107404.19	DVL1	95.385	95.28
97	ENSG00000284372.1	MIR6808	0.0	0.0
98	ENSG00000162576.16	MXRA8	316.5800000000001	314.6
99	ENSG00000175756.13	AURKAIP1	79.687	79.06
100	ENSG00000223663.2	NDUFB4P8	0.1588	0.1138
101	ENSG00000221978.11	CCNL2	385.95	385.95
102	ENSG00000224870.6	RP4-758J18.2	20.0554	20.0554
103	ENSG00000242485.5	MRPL20	74.97300000000001	74.97300000000001
104	ENSG00000272455.1	RP4-758J18.13	11.923799999999998	11.03
105	ENSG00000235098.8	ANKRD65	16.0987	15.7
106	ENSG00000225905.1	RP4-758J18.7	4.4787	4.4787
107	ENSG00000205116.3	TMEM88B	0.64135	0.594
108	ENSG00000225285.1	LINC01770	6.3765	6.3765
109	ENSG00000179403.11	VWA1	52.291000000000004	53.07
110	ENSG00000215915.9	ATAD3C	4.9328	4.9328
111	ENSG00000160072.19	ATAD3B	45.434	45.02
112	ENSG00000197785.13	ATAD3A	23.119	22.23
113	ENSG00000205090.8	TMEM240	16.9041	12.79
114	ENSG00000160075.11	SSU72	51.736	51.736
115	ENSG00000215014.4	RP5-832C2.5	0.8652899999999999	0.8652899999999999
116	ENSG00000274481.1	RP11-345P4.11	0.0	0.0
117	ENSG00000228594.3	FNDC10	1.73125	1.824
118	ENSG00000272106.1	RP11-345P4.9	20.28	20.28
119	ENSG00000197530.12	MIB2	62.768	62.768
120	ENSG00000189409.13	MMP23B	4.382980000000001	2.095
121	ENSG00000248333.8	CDK11B	38.205999999999996	36.84
122	ENSG00000272004.1	RP11-345P4.10	0.10264000000000001	0.0
123	ENSG00000189339.11	SLC35E2B	46.49100000000001	46.49100000000001
124	ENSG00000269737.2	RP11-345P4.6	6.2410000000000005	6.2410000000000005
125	ENSG00000215914.4	MMP23A	1.3322399999999999	1.264
