"Gene_ID" "Chr" "Start" "End" "Strand" "Length" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"7834" "ENSMUSG00000021250" "12" "85520664" "85524047" "+" 3384 -0.785827975437882 4.82999759384967 -6.88261434844087 0.0000397761617734812 0.395693257322591 -2.15829187064905
"305" "ENSMUSG00000020423" "1" "134002908" "134006858" "-" 3951 -0.562626176372677 4.27691271969949 -4.61139886298546 0.00092646854382687 0.980572306100826 -2.90500995221956
"4959" "ENSMUSG00000039910" "10" "17598966" "17601422" "+" 2457 -0.438809658537857 5.43877638203049 -3.33477427802449 0.0074069436905393 0.980572306100826 -3.23521548099005
"6071" "ENSMUSG00000032575" "9" "106715511" "106769178" "-" 53668 -0.328736913768733 5.83334637316265 -3.18507627358727 0.00956096173452698 0.980572306100826 -3.31123539342072
"4596" "ENSMUSG00000043671" "7" "35384590" "35453879" "-" 69290 0.341774755104531 7.53647272987658 3.30416552041582 0.00780272818780916 0.980572306100826 -3.33905209367969
"9679" "ENSMUSG00000067279" "19" "36709131" "36714053" "-" 4923 -0.300462623202018 5.70688545318164 -3.09815070297905 0.0110964923015353 0.980572306100826 -3.36627493803355
"7898" "ENSMUSG00000063632" "12" "27384263" "27392573" "-" 8311 -0.273996361313475 5.34762357828354 -3.07539845630212 0.0115384797626536 0.980572306100826 -3.39114246599978
"8623" "ENSMUSG00000022769" "16" "16948002" "16950247" "-" 2246 -0.616109205831169 3.86563026869307 -3.58164761029198 0.00488229958538268 0.980572306100826 -3.41513066075347
"6188" "ENSMUSG00000032308" "9" "57496735" "57503516" "+" 6782 0.24670119141429 4.8698378625299 3.10672823282014 0.0109343770338977 0.980572306100826 -3.41708059985928
"2373" "ENSMUSG00000078490" "4" "155493647" "155551280" "+" 57634 0.294921636088369 5.38398977249352 2.98867587023166 0.0133939942185867 0.980572306100826 -3.444921743192
"9330" "ENSMUSG00000061232" "17" "34214991" "34219321" "-" 4331 -0.526455964270421 4.3491136045753 -3.23418852681717 0.0087912515749801 0.980572306100826 -3.44885435741122
"4379" "ENSMUSG00000040435" "7" "45172340" "45175692" "-" 3353 -0.427756500727836 3.89063014110663 -3.44558083928435 0.00613885671538783 0.980572306100826 -3.47300800273829
"9101" "ENSMUSG00000056116" "17" "36348020" "36353639" "-" 5620 -0.261226277059649 4.0896680978493 -3.30822923749372 0.00774895521377485 0.980572306100826 -3.47778125128038
"8303" "ENSMUSG00000075602" "15" "74866726" "74869880" "-" 3155 -0.514590668506827 4.78269231171393 -2.98512186144244 0.0134761970355809 0.980572306100826 -3.50108056219802
"9585" "ENSMUSG00000045903" "19" "5034383" "5040344" "-" 5962 -0.57478282359038 5.30669205671511 -2.91766371680067 0.0151371786392404 0.980572306100826 -3.50904529427843
