"Gene_ID" "Chr" "Start" "End" "Strand" "Length" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"5958" "ENSRNOG00000060806" "11" "56879689" "56940596" "-" 60908 -1.64318357994947 4.24191638553058 -6.94441729098753 0.0000407165740720767 0.144625271104017 1.97575486538131
"2609" "ENSRNOG00000005964" "5" "62361822" "62402733" "+" 40912 -1.54224026779111 4.30941283008779 -6.56009338848297 0.000065359034817429 0.154770194447672 1.67948893531365
"1137" "ENSRNOG00000010263" "2" "112207745" "112221050" "-" 13306 1.22266597300765 5.72537314601268 6.09638831796233 0.000118608088508614 0.187395556003039 1.47765687806129
"4431" "ENSRNOG00000047505" "9" "1917845" "1925291" "-" 7447 1.2568720596075 8.19467050527733 5.86858802333536 0.000160613628749862 0.187395556003039 1.12748546555087
"4994" "ENSRNOG00000017496" "10" "85511160" "85517720" "+" 6561 1.08215272841944 5.69473225275937 5.70568330852789 0.000200366672079973 0.187395556003039 1.02493670756476
"1238" "ENSRNOG00000019163" "2" "191093007" "191149956" "+" 56950 -1.13512236496692 5.71530902693229 -5.5406845037588 0.000251612617167701 0.187395556003039 0.817136812900798
"665" "ENSRNOG00000070586" "1" "52400215" "52404309" "-" 4095 1.20997278801216 4.60619759430324 5.60243663051614 0.000230952304615112 0.187395556003039 0.809184895213147
"2804" "ENSRNOG00000002419" "X" "100185767" "100201032" "+" 15266 1.60093030813622 10.8370376919619 5.9169951766456 0.000150503919610843 0.187395556003039 0.808347477939667
"6010" "ENSRNOG00000048273" "11" "69431260" "69452305" "+" 21046 0.991078245835468 6.32067290965791 5.50678802034636 0.000263788789418692 0.187395556003039 0.788012823286119
"1349" "ENSRNOG00000002524" "4" "54138870" "54161001" "-" 22132 1.02483075878627 5.88573098486763 5.24901276651434 0.000379879632814595 0.219809618866267 0.462112109439101
"6892" "ENSRNOG00000001329" "12" "16896813" "16964246" "-" 67434 1.12410355604121 4.86078748305236 5.24738362516676 0.000380767688996769 0.219809618866267 0.420544049032241
"459" "ENSRNOG00000022386" "1" "239891142" "239908788" "-" 17647 0.991305548223062 5.19916685121604 5.20918084882241 0.000402241701191086 0.219809618866267 0.392015247456642
