	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.00782871052631579	0.0
1	ENSG00000227232.5	WASH7P	1.6639888157894738	1.443
2	ENSG00000278267.1	MIR6859-1	0.008604605263157894	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.025144605263157892	0.0
4	ENSG00000237613.2	FAM138A	0.009486842105263158	0.0
5	ENSG00000268020.3	OR4G4P	0.0684333552631579	0.051210000000000006
6	ENSG00000240361.1	OR4G11P	0.08713368421052631	0.06412000000000001
7	ENSG00000186092.4	OR4F5	0.16732875	0.07962999999999999
8	ENSG00000238009.6	RP11-34P13.7	0.038989065789473684	0.01907
9	ENSG00000233750.3	CICP27	0.022738690789473687	0.0151
10	ENSG00000268903.1	RP11-34P13.15	2.039894671052632	1.403
11	ENSG00000269981.1	RP11-34P13.16	2.067631710526316	1.253
12	ENSG00000239906.1	RP11-34P13.14	0.04306421052631579	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.060486625	0.042789999999999995
14	ENSG00000222623.1	RNU6-1100P	0.003744078947368421	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0017086842105263158	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.06587046052631579	0.03433
17	ENSG00000279457.4	RP11-34P13.18	2.958440131578948	2.6510000000000002
18	ENSG00000273874.1	MIR6859-2	0.002649342105263158	0.0
19	ENSG00000228463.9	AP006222.2	0.3806185526315789	0.2982
20	ENSG00000236679.2	RPL23AP24	0.08446157894736843	0.06617999999999999
21	ENSG00000236743.1	RP5-857K21.15	0.0020151973684210526	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.03756598684210526	0.03255
23	ENSG00000237094.11	RP4-669L17.10	0.12314519078947367	0.105
24	ENSG00000269732.1	WBP1LP7	0.17183677631578947	0.1114
25	ENSG00000278566.1	OR4F29	0.08564269736842105	0.06264
26	ENSG00000233653.3	CICP7	0.01163020394736842	0.009684
27	ENSG00000250575.1	RP4-669L17.8	0.01634625	0.0
28	ENSG00000278757.1	U6	0.0032013157894736845	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.05001030921052632	0.03978
30	ENSG00000235146.2	RP5-857K21.2	0.019241842105263158	0.0
31	ENSG00000225972.1	MTND1P23	284.57315131578946	17.34
32	ENSG00000225630.1	MTND2P28	1345.641447368421	1185.0
33	ENSG00000237973.1	MTCO1P12	304.57848684210524	132.5
34	ENSG00000229344.1	MTCO2P12	37.93016447368422	25.85
35	ENSG00000240409.1	MTATP8P1	35.324756578947365	20.37
36	ENSG00000248527.1	MTATP6P1	6431.935328947368	6311.0
37	ENSG00000198744.5	MTCO3P12	127.10371052631578	40.45
38	ENSG00000268663.1	WBP1LP6	0.0961021052631579	0.07426
39	ENSG00000273547.1	OR4F16	0.05856848684210526	0.03684
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.14507211184210528	0.1131
42	ENSG00000228327.3	RP11-206L10.2	0.5589902631578948	0.4514
43	ENSG00000223181.1	RNU6-1199P	0.04816907894736842	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.08446809210526315	0.057220000000000014
45	ENSG00000237491.8	RP11-206L10.9	0.38653355263157896	0.3722
46	ENSG00000230092.7	RP11-206L10.8	0.3989521710526315	0.3276
47	ENSG00000177757.2	FAM87B	0.2848969078947368	0.2318
48	ENSG00000228794.8	LINC01128	3.247032894736842	2.9810000000000003
49	ENSG00000225880.5	LINC00115	1.7120421052631578	1.456
50	ENSG00000230368.2	FAM41C	0.13765072368421052	0.09156
51	ENSG00000234711.1	TUBB8P11	0.1525042105263158	0.1349
52	ENSG00000283040.1	FAM166AP3	0.06653342105263158	0.0477
53	ENSG00000272438.1	RP11-54O7.16	0.3200372368421053	0.2793
54	ENSG00000230699.2	RP11-54O7.1	0.20627427631578948	0.1902
55	ENSG00000241180.1	RP11-54O7.2	0.024368421052631574	0.0
56	ENSG00000223764.2	RP11-54O7.3	0.5520740789473685	0.3807
57	ENSG00000187634.11	SAMD11	0.7157088157894737	0.5382
58	ENSG00000188976.10	NOC2L	20.808144736842106	18.39
59	ENSG00000187961.13	KLHL17	3.328317105263158	3.0639999999999996
60	ENSG00000187583.10	PLEKHN1	0.14552181578947368	0.1106
61	ENSG00000187642.9	PERM1	0.16751334868421053	0.1451
62	ENSG00000272512.1	RP11-54O7.17	2.8369105263157888	2.125
63	ENSG00000188290.10	HES4	18.974236842105263	16.75
64	ENSG00000187608.8	ISG15	77.11000000000001	43.86
65	ENSG00000231702.2	RP11-54O7.10	0.1483296052631579	0.0
66	ENSG00000224969.1	RP11-54O7.11	0.4941086184210526	0.3396
67	ENSG00000188157.14	AGRN	19.907388157894736	18.85
68	ENSG00000217801.9	RP11-465B22.3	1.833646052631579	1.659
69	ENSG00000273443.1	RP11-54O7.18	0.2057459210526316	0.1498
70	ENSG00000237330.2	RNF223	0.09957284868421053	0.06994
71	ENSG00000131591.17	C1orf159	5.748572368421053	5.518
72	ENSG00000223823.1	LINC01342	0.1346458552631579	0.07624
73	ENSG00000207730.3	MIR200B	0.07535986842105262	0.0
74	ENSG00000207607.3	MIR200A	0.04581578947368421	0.0
75	ENSG00000198976.1	MIR429	0.07209671052631579	0.0
76	ENSG00000272141.1	RP11-465B22.8	0.11840736842105265	0.08505
77	ENSG00000205231.1	TTLL10-AS1	0.1260117105263158	0.07831
78	ENSG00000162571.13	TTLL10	0.2698617763157895	0.1232
79	ENSG00000186891.13	TNFRSF18	1.2149032894736842	0.8948
80	ENSG00000186827.10	TNFRSF4	0.8925855263157895	0.6353
81	ENSG00000078808.16	SDF4	41.57368421052632	39.52
82	ENSG00000176022.4	B3GALT6	11.686980263157894	11.06
83	ENSG00000184163.3	C1QTNF12	1.0245513157894741	0.8006
84	ENSG00000260179.1	RP5-902P8.12	0.440867302631579	0.369
85	ENSG00000160087.20	UBE2J2	12.809276315789473	12.27
86	ENSG00000230415.1	LINC01786	2.9559177631578946	2.642
