	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.01890158139534884	0.0
1	ENSG00000227232.5	WASH7P	6.0625302325581405	4.997
2	ENSG00000278267.1	MIR6859-1	0.021697209302325583	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.025215023255813956	0.0
4	ENSG00000237613.2	FAM138A	0.008707674418604651	0.0
5	ENSG00000268020.3	OR4G4P	0.051627627906976746	0.026910000000000003
6	ENSG00000240361.1	OR4G11P	0.06484990697674417	0.047115
7	ENSG00000186092.4	OR4F5	0.08214618604651161	0.059875
8	ENSG00000238009.6	RP11-34P13.7	0.03914079069767442	0.022905
9	ENSG00000233750.3	CICP27	0.046783730232558135	0.029900000000000006
10	ENSG00000268903.1	RP11-34P13.15	2.64481334883721	1.8419999999999999
11	ENSG00000269981.1	RP11-34P13.16	3.891283720930232	2.7645
12	ENSG00000239906.1	RP11-34P13.14	0.10325879069767442	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.24076903720930234	0.1107
14	ENSG00000222623.1	RNU6-1100P	0.0	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.001741953488372093	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.2630602790697674	0.17135
17	ENSG00000279457.4	RP11-34P13.18	14.89272093023256	14.55
18	ENSG00000273874.1	MIR6859-2	0.01617627906976744	0.0
19	ENSG00000228463.9	AP006222.2	1.3797352093023254	1.325
20	ENSG00000236679.2	RPL23AP24	0.12495586046511628	0.09956
21	ENSG00000236743.1	RP5-857K21.15	0.006527348837209302	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.027725953488372087	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.5090198139534883	0.45695
24	ENSG00000269732.1	WBP1LP7	0.117148	0.080515
25	ENSG00000278566.1	OR4F29	0.05633027906976745	0.0416
26	ENSG00000233653.3	CICP7	0.019825488372093025	0.013635
27	ENSG00000250575.1	RP4-669L17.8	0.043133906976744185	0.029044999999999998
28	ENSG00000278757.1	U6	0.0	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.07201926046511628	0.06490499999999999
30	ENSG00000235146.2	RP5-857K21.2	0.012710697674418606	0.0
31	ENSG00000225972.1	MTND1P23	276.5598186046512	12.48
32	ENSG00000225630.1	MTND2P28	878.9468837209301	642.05
33	ENSG00000237973.1	MTCO1P12	137.23372093023258	55.785
34	ENSG00000229344.1	MTCO2P12	36.26852558139535	18.145
35	ENSG00000240409.1	MTATP8P1	19.468288372093028	12.67
36	ENSG00000248527.1	MTATP6P1	4464.184604651163	4130.0
37	ENSG00000198744.5	MTCO3P12	66.48587906976744	21.645
38	ENSG00000268663.1	WBP1LP6	0.05879674418604652	0.0
39	ENSG00000273547.1	OR4F16	0.04062646511627907	0.028375
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.3206222790697674	0.27825
42	ENSG00000228327.3	RP11-206L10.2	2.2761595348837207	1.791
43	ENSG00000223181.1	RNU6-1199P	0.04196930232558139	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.04914641860465115	0.0
45	ENSG00000237491.8	RP11-206L10.9	2.6227469767441858	2.55
46	ENSG00000230092.7	RP11-206L10.8	1.2088567906976746	1.075
47	ENSG00000177757.2	FAM87B	1.349953023255814	1.2665
48	ENSG00000228794.8	LINC01128	24.10804186046512	24.46
49	ENSG00000225880.5	LINC00115	12.72012093023256	11.105
50	ENSG00000230368.2	FAM41C	0.5567206511627907	0.47635
51	ENSG00000234711.1	TUBB8P11	0.139052	0.11575
52	ENSG00000283040.1	FAM166AP3	0.060496093023255815	0.0
53	ENSG00000272438.1	RP11-54O7.16	0.11732697674418605	0.077935
54	ENSG00000230699.2	RP11-54O7.1	0.08020677209302325	0.067675
55	ENSG00000241180.1	RP11-54O7.2	0.0	0.0
56	ENSG00000223764.2	RP11-54O7.3	0.4776508837209302	0.41385
57	ENSG00000187634.11	SAMD11	0.5015999999999999	0.42955
58	ENSG00000188976.10	NOC2L	76.81041860465116	82.285
