Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000102348	Gm10568	1	+	3750378	3752011	0.357405	0.160438	0.378481
ENSMUSG00000102175	Gm6119	1	-	4762442	4763647	0.019624	0.008809	0.020781
ENSMUSG00000098104	Gm6085	1	-	4758157	4759626	0.112925	0.050692	0.119584
ENSMUSG00000103922	Gm6123	1	+	4841354	4842422	6.045837	2.713958	6.402359
ENSMUSG00000102269	Gm7357	1	+	4593128	4596960	0.053327	0.023938	0.056472
ENSMUSG00000102735	Gm7369	1	+	4680694	4681629	0.015873	0.007125	0.016809
ENSMUSG00000051951	Xkr4	1	-	3276124	3741721	10.476370	7.967640	18.796053
ENSMUSG00000102851	Gm18956	1	+	3322980	3323459	0.000000	0.000000	0.000000
ENSMUSG00000103377	Gm37180	1	-	3435954	3438772	0.000000	0.000000	0.000000
ENSMUSG00000104017	Gm37363	1	-	3445779	3448011	0.000000	0.000000	0.000000
ENSMUSG00000103025	Gm37686	1	-	3535200	3537508	0.025119	0.011276	0.026600
ENSMUSG00000089699	Gm1992	1	+	3536810	3583776	0.000000	0.000000	0.000000
ENSMUSG00000103201	Gm37329	1	-	3582674	3584730	0.000000	0.000000	0.000000
ENSMUSG00000103147	Gm7341	1	+	3602018	3602943	0.066595	0.029894	0.070522
ENSMUSG00000103161	Gm38148	1	-	3663115	3666126	0.000000	0.000000	0.000000
ENSMUSG00000102331	Gm19938	1	-	3717532	3729127	0.159558	0.071625	0.168967
ENSMUSG00000025902	Sox17	1	-	4561154	4567577	1.822297	1.677558	3.957443
ENSMUSG00000104238	Gm37587	1	+	4566774	4569781	0.034282	0.015873	0.037446
ENSMUSG00000033845	Mrpl15	1	-	4843429	4855962	5.209826	5.107620	12.049127
ENSMUSG00000102275	Gm37144	1	-	4848286	4849435	0.841739	0.377854	0.891376
ENSMUSG00000025903	Lypla1	1	+	4878011	4918633	6.798633	8.384497	19.779438
ENSMUSG00000104217	Gm37988	1	+	4878115	4956993	0.233080	0.104629	0.246825
ENSMUSG00000033813	Tcea1	1	+	4928037	4968132	12.902742	26.987543	63.664936
ENSMUSG00000062588	Gm6104	1	-	4950272	4950874	11.806742	5.300010	12.502985
ENSMUSG00000104046	Gm37567	1	+	5377962	5380240	0.035181	0.015793	0.037256
ENSMUSG00000033774	Npbwr1	1	-	5983926	5987617	0.788732	0.354059	0.835243
ENSMUSG00000025905	Oprk1	1	+	5658689	5676354	14.637623	14.860970	35.057758
ENSMUSG00000087247	Alkal1	1	+	6429442	6464955	0.000000	0.000000	0.000000
