# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "--primary" "-s" "2" "-t" "gene" "-g" "gene_id" "-a" "/scratch/avannan/refs/mouse/GRCm39/Mus_musculus.GRCm39.105.gtf" "-o" "/data/CEM/wilsonlab/projects/rodent_addiction/walker/05_counts/HISAT2_featureCounts/genes/walker_SRS2926558_S30sal_hisat2_featurecounts_genes_s2.txt" "/data/CEM/wilsonlab/projects/rodent_addiction/walker/04_processing/HISAT2/sorted_bams/walker_SRS2926558_S30sal_hisat2_trim_sort.bam" 
Geneid	Chr	Start	End	Strand	Length	/data/CEM/wilsonlab/projects/rodent_addiction/walker/04_processing/HISAT2/sorted_bams/walker_SRS2926558_S30sal_hisat2_trim_sort.bam
ENSMUSG00000102628	1	150956201	150958296	+	2096	0
ENSMUSG00000100595	1	150983666	150984611	+	946	0
ENSMUSG00000097426	1	151012258	151013531	+	1274	0
ENSMUSG00000104478	1	108344807	108347562	+	2756	0
ENSMUSG00000104385	1	6980784	6981446	+	663	0
ENSMUSG00000086053	1	75368775	75373007	-	4233	0
ENSMUSG00000101231	1	108540067	108540244	-	178	0
ENSMUSG00000102135	1	6986783	6993812	+	7030	0
ENSMUSG00000103282	1	6999983	7000012	+	30	0
ENSMUSG00000101097	1	108697865	108699733	+	1869	0
ENSMUSG00000100764	1	43781121	43783055	-	1935	8
ENSMUSG00000102095	1	151013785	151018096	+	4312	3
ENSMUSG00000102534	1	7068441	7068765	+	325	0
ENSMUSG00000100831	1	108925364	108926490	-	1127	0
ENSMUSG00000100884	1	109502673	109502859	-	187	0
ENSMUSG00000100635	1	43782075	43782686	+	612	0
ENSMUSG00000102213	1	7083986	7084144	+	159	0
ENSMUSG00000100480	1	43784944	43785442	-	499	2
ENSMUSG00000089037	1	109550738	109550867	-	130	0
ENSMUSG00000103629	1	7106139	7107441	+	1303	0
ENSMUSG00002076531	1	109732490	109732774	+	285	0
ENSMUSG00000100025	1	109760754	109762476	+	1723	0
ENSMUSG00000051285	1	7159144	7243852	+	84709	3373
ENSMUSG00000098201	1	7206423	7206810	-	388	0
ENSMUSG00000103509	1	7218334	7222361	+	4028	0
ENSMUSG00000048538	1	7247963	7249261	+	1299	0
ENSMUSG00000103709	1	7259966	7260143	-	178	0
ENSMUSG00000077244	1	7336027	7336156	+	130	0
ENSMUSG00000102768	1	7385675	7386686	+	1012	0
ENSMUSG00000097797	1	7419630	7468093	-	48464	137
ENSMUSG00000103498	1	7480903	7482217	+	1315	0
ENSMUSG00000103067	1	7568192	7588373	+	20182	0
ENSMUSG00000102320	1	7661870	7662155	+	286	0
ENSMUSG00000104226	1	7667603	7669697	+	2095	0
ENSMUSG00000103903	1	7734305	7735185	+	881	0
ENSMUSG00000103557	1	7799085	7800789	-	1705	0
ENSMUSG00000026312	1	109910161	110067887	+	157727	1289
ENSMUSG00000100290	1	110338473	110339010	-	538	0
ENSMUSG00000100758	1	110403333	110404260	+	928	0
ENSMUSG00000099926	1	110527751	110528563	+	813	0
ENSMUSG00000039748	1	175708147	175741055	+	32909	12
ENSMUSG00000118715	1	175732111	175732217	+	107	0
ENSMUSG00000104158	1	175747895	175749791	+	1897	4
ENSMUSG00000103540	1	175783021	175784964	-	1944	2
ENSMUSG00000057363	1	43786126	43866960	-	80835	1534
ENSMUSG00000047216	1	110816056	110905314	-	89259	227
ENSMUSG00000102788	1	110885561	110888556	-	2996	0
ENSMUSG00000102160	1	110892409	110895167	-	2759	0
ENSMUSG00000101253	1	111313420	111374375	-	60956	16
ENSMUSG00000101846	1	111313648	111314428	+	781	0
ENSMUSG00000090243	1	43825070	43826348	+	1279	0
ENSMUSG00000100701	1	43927211	43927755	+	545	1
ENSMUSG00000100555	1	111732664	111735505	-	2842	0
ENSMUSG00000101395	1	43937454	43938269	+	816	0
ENSMUSG00000102728	1	111761553	111761954	+	402	0
ENSMUSG00000088848	1	43942088	43942212	+	125	0
ENSMUSG00002075225	1	43957937	43958046	-	110	0
ENSMUSG00000038702	1	111786432	111792648	-	6217	724
ENSMUSG00000101875	1	111808465	111809038	-	574	0
ENSMUSG00000099732	1	111977166	111984840	-	7675	0
ENSMUSG00000101220	1	112065598	112066435	+	838	0
ENSMUSG00000100020	1	112078819	112079483	+	665	0
ENSMUSG00000101054	1	112331917	112332585	-	669	88
ENSMUSG00000088691	1	112395641	112395776	+	136	0
ENSMUSG00000099884	1	112801575	112803718	-	2144	0
ENSMUSG00000100304	1	112893272	112894661	-	1390	0
ENSMUSG00000101453	1	113217070	113218095	+	1026	0
ENSMUSG00000102105	1	113493176	113493713	-	538	0
ENSMUSG00000099943	1	113510501	113511236	-	736	0
ENSMUSG00002075119	1	113645644	113645777	-	134	0
ENSMUSG00000097648	1	113819115	113891864	-	72750	20
ENSMUSG00000101687	1	115146920	115147493	-	574	0
ENSMUSG00000100515	1	115596718	115612354	-	15637	63
ENSMUSG00000033021	1	75412574	75419823	+	7250	889
ENSMUSG00000055214	1	175789872	176102878	-	313007	169
ENSMUSG00000078184	1	175805343	175806680	-	1338	0
ENSMUSG00000104363	1	175858645	175860289	-	1645	0
ENSMUSG00000103277	1	176006767	176009201	+	2435	0
ENSMUSG00000104157	1	176103779	176107335	+	3557	17
ENSMUSG00000102446	1	176166693	176167209	-	517	0
ENSMUSG00000104248	1	176197721	176201286	-	3566	0
ENSMUSG00000104021	1	176257677	176354839	-	97163	0
ENSMUSG00000103471	1	176469463	176470124	-	662	0
ENSMUSG00000087875	1	176528183	176528290	+	108	0
ENSMUSG00000033007	1	75427080	75450987	+	23908	2114
ENSMUSG00000102605	1	75445214	75447405	-	2192	5
ENSMUSG00000070695	1	115612486	116515053	+	902568	1467
ENSMUSG00000025909	1	8431699	9370103	-	938405	532
ENSMUSG00002076179	1	116322072	116322143	-	72	0
ENSMUSG00000102033	1	116561507	116561906	+	400	1
ENSMUSG00000102647	1	8521184	8523715	-	2532	0
ENSMUSG00000086235	1	8538650	8539049	-	400	0
ENSMUSG00000102253	1	8598004	8601537	-	3534	0
ENSMUSG00002074990	1	8658839	8658948	-	110	0
ENSMUSG00000094429	1	116730713	116751140	+	20428	0
ENSMUSG00000101154	1	117319987	117321262	-	1276	0
ENSMUSG00000103884	1	8713920	8715083	-	1164	0
ENSMUSG00000065865	1	117464031	117464194	+	164	0
ENSMUSG00000084353	1	8862147	8862386	-	240	0
ENSMUSG00002076328	1	117488960	117489069	+	110	0
ENSMUSG00000103933	1	8886066	8886263	+	198	3
ENSMUSG00000101573	1	117506121	117506594	+	474	0
ENSMUSG00002075967	1	8886362	8886471	+	110	0
ENSMUSG00000086195	1	8926152	8926491	-	340	0
ENSMUSG00000107979	1	117531608	117534214	+	2607	0
ENSMUSG00000101373	1	117553252	117555757	+	2506	1
ENSMUSG00000104504	1	8926987	8927326	+	340	0
ENSMUSG00000099615	1	117590021	117606103	+	16083	0
ENSMUSG00000066693	1	9033220	9033845	-	626	0
ENSMUSG00000102316	1	9261292	9262341	-	1050	0
ENSMUSG00000100265	1	117624861	117655171	+	30311	0
ENSMUSG00000103819	1	9328842	9329359	-	518	0
ENSMUSG00000100527	1	117669097	117696352	+	27256	0
ENSMUSG00000102871	1	9357147	9360405	+	3259	0
ENSMUSG00000099571	1	117674761	117679102	-	4342	0
ENSMUSG00000101571	1	9466998	9468912	-	1915	1
ENSMUSG00000104428	1	9509966	9510601	-	636	0
ENSMUSG00000101303	1	117708863	117731089	+	22227	0
ENSMUSG00000102272	1	9520804	9521973	+	1170	0
ENSMUSG00000100305	1	117757811	117782226	+	24416	0
ENSMUSG00000065625	1	9528895	9528997	+	103	0
ENSMUSG00000099534	1	117770692	117771036	+	345	0
ENSMUSG00000103411	1	9569563	9571747	-	2185	0
ENSMUSG00000100886	1	117796252	117827452	+	31201	0
ENSMUSG00000101415	1	117855745	117877718	+	21974	0
ENSMUSG00000061024	1	9615633	9617680	+	2048	319
ENSMUSG00000100617	1	117893669	117914614	+	20946	0
ENSMUSG00000100703	1	117936499	117958145	+	21647	0
ENSMUSG00000100177	1	117958045	117974579	+	16535	0
ENSMUSG00000101363	1	117968379	117968720	+	342	0
ENSMUSG00000101590	1	117991848	117992689	+	842	0
ENSMUSG00000102030	1	118104272	118130037	+	25766	0
ENSMUSG00000099870	1	118177593	118178755	+	1163	0
ENSMUSG00000026374	1	118222508	118239469	-	16962	1819
ENSMUSG00000026377	1	118249569	118261552	+	11984	406
ENSMUSG00000099936	1	118285042	118291179	+	6138	0
ENSMUSG00000025911	1	9618173	9650898	+	32726	364
ENSMUSG00000079671	1	9631057	9701400	-	70344	7
ENSMUSG00000081441	1	9644773	9645874	+	1102	0
ENSMUSG00000067879	1	9671424	9697368	+	25945	636
ENSMUSG00000099827	1	9709480	9710807	-	1328	0
ENSMUSG00000057335	1	176561219	176641633	-	80415	1768
ENSMUSG00000103634	1	176573130	176574548	-	1419	0
ENSMUSG00000104154	1	176579087	176580981	-	1895	0
ENSMUSG00000103435	1	176582083	176586442	+	4360	0
ENSMUSG00000065573	1	176599891	176599989	-	99	0
ENSMUSG00002076271	1	176621522	176621786	+	265	0
ENSMUSG00000100551	1	151396198	151396438	-	241	1
ENSMUSG00000100357	1	151424996	151426694	-	1699	0
ENSMUSG00000025912	1	9737640	9770434	-	32795	34
ENSMUSG00000045210	1	9788847	9818607	-	29761	1537
ENSMUSG00000041763	1	43972807	44042160	+	69354	1302
ENSMUSG00000097893	1	9817873	9862149	+	44277	7
ENSMUSG00000026504	1	176642226	176848003	+	205778	708
ENSMUSG00000103367	1	176663290	176663628	+	339	0
ENSMUSG00000103584	1	176681966	176682125	-	160	0
ENSMUSG00002076339	1	176707400	176707479	+	80	0
ENSMUSG00000102475	1	176709137	176709971	+	835	0
ENSMUSG00000047343	1	44048568	44059194	-	10627	2
ENSMUSG00000102211	1	176717073	176717796	+	724	0
ENSMUSG00000087082	1	176755565	176760277	-	4713	0
ENSMUSG00000090106	1	44057630	44057809	-	180	0
ENSMUSG00000103251	1	176801802	176804011	+	2210	0
ENSMUSG00000091844	1	44095032	44118906	-	23875	0
ENSMUSG00000026483	1	151446937	151597690	+	150754	44
ENSMUSG00000100594	1	151624700	151630769	-	6070	49
ENSMUSG00000082528	1	75601298	75602973	+	1676	0
ENSMUSG00000082012	1	75613034	75613823	+	790	0
ENSMUSG00000099996	1	75993295	75995393	-	2099	0
ENSMUSG00000101763	1	76086818	76087217	-	400	0
ENSMUSG00000100827	1	76397329	76505059	+	107731	0
ENSMUSG00000100553	1	76465770	76478665	+	12896	0
ENSMUSG00000098611	1	76486197	76486280	+	84	0
ENSMUSG00000100534	1	76867109	77004429	-	137321	1
ENSMUSG00000102904	1	77119864	77123629	-	3766	0
ENSMUSG00002076350	1	77121390	77121483	+	94	0
ENSMUSG00000019699	1	176847639	177085769	-	238131	3231
ENSMUSG00000104391	1	176862606	176864502	-	1897	0
ENSMUSG00000102133	1	176872808	176874339	-	1532	0
ENSMUSG00000102749	1	176902050	176903350	-	1301	0
ENSMUSG00000103163	1	176961727	176963019	-	1293	0
ENSMUSG00000103646	1	176995664	176998428	-	2765	0
ENSMUSG00000102427	1	177057457	177058252	-	796	0
ENSMUSG00000103633	1	177096918	177097234	+	317	0
ENSMUSG00000097892	1	177255904	177270836	-	14933	2
ENSMUSG00000063659	1	177269917	177278330	+	8414	1713
ENSMUSG00000102432	1	177286532	177288770	+	2239	1
ENSMUSG00000103043	1	177294944	177303833	+	8890	0
ENSMUSG00000102885	1	177416587	177422088	-	5502	0
ENSMUSG00000026049	1	44125773	44141601	-	15829	39
ENSMUSG00000103767	1	177463273	177464503	-	1231	0
ENSMUSG00000101746	1	177469108	177470509	-	1402	0
ENSMUSG00000043019	1	151631122	151697802	+	66681	1241
ENSMUSG00000101104	1	44130623	44149950	-	19328	49
ENSMUSG00000015962	1	177557380	177580890	+	23511	0
ENSMUSG00000032666	1	151728154	151965876	-	237723	1526
ENSMUSG00000084557	1	151730574	151730706	-	133	0
ENSMUSG00000100685	1	151751170	151762814	+	11645	1
ENSMUSG00000102090	1	152004336	152005140	+	805	0
ENSMUSG00000103744	1	152167934	152168279	-	346	0
ENSMUSG00000015961	1	177590528	177624077	-	33550	2146
ENSMUSG00000089657	1	177614422	177615031	+	610	0
ENSMUSG00000102483	1	177635997	177790244	+	154248	3
ENSMUSG00000014980	1	152246486	152262439	-	15954	394
ENSMUSG00000026235	1	77343822	77491725	-	147904	4249
ENSMUSG00000099141	1	77473290	77473405	-	116	0
ENSMUSG00000032649	1	152275581	152386446	+	110866	79
ENSMUSG00000101849	1	77491917	77493765	+	1849	5
ENSMUSG00000101506	1	77547309	77547600	+	292	0
ENSMUSG00000065215	1	77874920	77875083	-	164	0
ENSMUSG00000102052	1	77919603	77949013	-	29411	0
ENSMUSG00000026047	1	44145706	44157968	-	12263	179
ENSMUSG00000080878	1	152282825	152283276	-	452	0
ENSMUSG00000091476	1	177810989	178000271	+	189283	633
ENSMUSG00000104097	1	177817228	177826305	-	9078	0
ENSMUSG00000119789	1	177855599	177855705	-	107	0
ENSMUSG00000102493	1	177970867	177971838	+	972	0
ENSMUSG00000004872	1	78077904	78173771	-	95868	0
ENSMUSG00000118426	1	78193369	78194113	-	745	0
ENSMUSG00000041684	1	44158117	44183930	+	25814	532
ENSMUSG00000032908	1	78286982	78396926	+	109945	221
ENSMUSG00000099561	1	78302265	78316743	-	14479	1
ENSMUSG00000102945	1	78352251	78353068	+	818	0
ENSMUSG00000026502	1	178014983	178084867	+	69885	763
ENSMUSG00000103958	1	178093770	178094672	+	903	0
ENSMUSG00000070489	1	178103613	178104206	-	594	3
ENSMUSG00000104126	1	178126961	178127365	+	405	4
ENSMUSG00000086350	1	178140893	178146114	-	5222	114
ENSMUSG00000026500	1	178146695	178150258	+	3564	469
ENSMUSG00000026048	1	44186904	44220420	+	33517	739
ENSMUSG00000046828	1	44243230	44258121	-	14892	0
ENSMUSG00000089703	1	44251322	44252278	+	957	0
ENSMUSG00000100966	1	44369208	44370196	-	989	0
ENSMUSG00000100769	1	44431969	44433607	+	1639	0
ENSMUSG00000101567	1	44503083	44503391	-	309	0
ENSMUSG00000026245	1	78394612	78465534	-	70923	1395
ENSMUSG00000101798	1	78409989	78410249	+	261	0
ENSMUSG00000104018	1	78442085	78443563	-	1479	0
ENSMUSG00000090486	1	78473663	78488795	-	15133	33
ENSMUSG00000026482	1	152392511	152642102	-	249592	3178
ENSMUSG00000086145	1	152559777	152563252	-	3476	0
ENSMUSG00000080950	1	152604910	152606310	-	1401	0
ENSMUSG00000099868	1	152606957	152627575	-	20619	0
ENSMUSG00000055547	1	152626302	152633295	+	6994	1
ENSMUSG00000012187	1	78487628	78514810	+	27183	2
ENSMUSG00000008475	1	152642293	152651348	+	9056	1745
ENSMUSG00000099364	1	78571663	78588078	-	16416	2
ENSMUSG00000100562	1	78593262	78597882	+	4621	0
ENSMUSG00000056870	1	44590671	44835998	+	245328	329
ENSMUSG00000102319	1	44600045	44604607	+	4563	0
ENSMUSG00000089877	1	44683439	44683858	+	420	0
ENSMUSG00000101701	1	44778836	44784109	-	5274	0
ENSMUSG00000103071	1	44796102	44797652	+	1551	0
ENSMUSG00000100434	1	44878331	44878858	+	528	0
ENSMUSG00000100013	1	44912646	44913312	-	667	0
ENSMUSG00000101251	1	44963309	44964053	-	745	0
ENSMUSG00000101937	1	45217227	45218166	+	940	0
ENSMUSG00000039630	1	178148673	178165362	-	16690	11530
ENSMUSG00000104279	1	178167166	178169035	+	1870	32
ENSMUSG00002075531	1	178190966	178191086	-	121	0
ENSMUSG00000064954	1	178218384	178218489	+	106	0
ENSMUSG00000026495	1	178233650	178312078	+	78429	221
ENSMUSG00000032883	1	78635542	78685460	+	49919	3316
ENSMUSG00000026480	1	152675945	152712742	+	36798	100
ENSMUSG00000026494	1	178356690	178766765	+	410076	634
ENSMUSG00000064967	1	178464470	178464636	+	167	0
ENSMUSG00000102922	1	178583373	178583846	+	474	0
ENSMUSG00000025915	1	9868332	9971070	+	102739	1404
ENSMUSG00000089713	1	178726147	178745179	-	19033	9
ENSMUSG00000079470	1	78635755	78649229	+	13475	0
ENSMUSG00000099377	1	78760853	78762576	-	1724	1
ENSMUSG00000099706	1	78769340	79202228	-	432889	4
ENSMUSG00000047330	1	78794475	78797745	+	3271	26
ENSMUSG00000101324	1	78798975	78800369	+	1395	1
ENSMUSG00000072978	1	78945354	78945796	-	443	0
ENSMUSG00000046334	1	9872422	9872778	-	357	0
ENSMUSG00002075801	1	9904723	9904827	-	105	0
ENSMUSG00000050711	1	79412386	79417837	-	5452	12089
ENSMUSG00000099562	1	79483520	79484874	-	1355	0
ENSMUSG00000077782	1	79491456	79491581	-	126	0
ENSMUSG00000055067	1	178779525	179345606	-	566082	891
ENSMUSG00000054702	1	79584593	79649689	-	65097	43
ENSMUSG00000096474	1	179347943	179348422	-	480	2
ENSMUSG00000102235	1	79597239	79598751	-	1513	0
ENSMUSG00000026492	1	179355620	179373832	-	18213	429
ENSMUSG00000082395	1	179365982	179366500	+	519	0
ENSMUSG00000038949	1	179373935	179455043	+	81109	1846
ENSMUSG00000026043	1	45350698	45388866	+	38169	35
ENSMUSG00000046101	1	9978863	10012310	+	33448	142
ENSMUSG00002074901	1	45350833	45350973	+	141	0
ENSMUSG00000098234	1	10012184	10014343	-	2160	227
ENSMUSG00000093178	1	10012688	10012774	-	87	0
ENSMUSG00000099032	1	10030388	10038157	-	7770	7
ENSMUSG00000104025	1	10037539	10038912	+	1374	0
ENSMUSG00000038936	1	179495775	179514754	+	18980	1022
ENSMUSG00000042772	1	152712746	152778397	-	65652	2316
ENSMUSG00000100394	1	152754271	152756049	-	1779	0
ENSMUSG00000103840	1	152812355	152812792	+	438	0
ENSMUSG00000087236	1	179522862	179572836	-	49975	2
ENSMUSG00000100702	1	152825146	152825848	-	703	0
ENSMUSG00000026042	1	45413481	45542442	-	128962	54
ENSMUSG00000104476	1	45524996	45532212	-	7217	0
