	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.009059742574257424	0.0
1	ENSG00000227232.5	WASH7P	2.0624960396039604	1.7530000000000001
2	ENSG00000278267.1	MIR6859-1	0.0041628712871287134	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.0456209900990099	0.02475
4	ENSG00000237613.2	FAM138A	0.014194237623762375	0.0
5	ENSG00000268020.3	OR4G4P	0.09424351485148516	0.039939999999999996
6	ENSG00000240361.1	OR4G11P	0.13285727722772278	0.06415
7	ENSG00000186092.4	OR4F5	0.1895206930693069	0.08327000000000001
8	ENSG00000238009.6	RP11-34P13.7	0.04118109405940594	0.019530000000000002
9	ENSG00000233750.3	CICP27	0.03060499504950495	0.02402
10	ENSG00000268903.1	RP11-34P13.15	2.3138445544554456	1.857
11	ENSG00000269981.1	RP11-34P13.16	2.7602996534653466	1.864
12	ENSG00000239906.1	RP11-34P13.14	0.04407188118811882	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.10241836633663363	0.05775
14	ENSG00000222623.1	RNU6-1100P	0.0015115841584158415	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0024528217821782176	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.08682346534653468	0.05219
17	ENSG00000279457.4	RP11-34P13.18	3.952130198019802	3.6830000000000003
18	ENSG00000273874.1	MIR6859-2	0.0039816831683168324	0.0
19	ENSG00000228463.9	AP006222.2	0.677073688118812	0.5991
20	ENSG00000236679.2	RPL23AP24	0.12451559405940593	0.09353
21	ENSG00000236743.1	RP5-857K21.15	0.0056196039603960395	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.05653193069306931	0.02653
23	ENSG00000237094.11	RP4-669L17.10	0.15799371287128713	0.1171
24	ENSG00000269732.1	WBP1LP7	0.20832465346534654	0.09752000000000001
25	ENSG00000278566.1	OR4F29	0.11753009900990101	0.0542
26	ENSG00000233653.3	CICP7	0.02037265346534653	0.01013
27	ENSG00000250575.1	RP4-669L17.8	0.023004405940594063	0.0
28	ENSG00000278757.1	U6	0.0	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.06343153465346535	0.04949
30	ENSG00000235146.2	RP5-857K21.2	0.01096569306930693	0.0
31	ENSG00000225972.1	MTND1P23	236.42046534653468	15.25
32	ENSG00000225630.1	MTND2P28	1418.2014356435645	1218.0
33	ENSG00000237973.1	MTCO1P12	260.56920792079205	116.9
34	ENSG00000229344.1	MTCO2P12	54.88405940594059	27.16
35	ENSG00000240409.1	MTATP8P1	36.664613861386144	22.57
36	ENSG00000248527.1	MTATP6P1	6246.61900990099	6206.0
37	ENSG00000198744.5	MTCO3P12	126.13553465346537	36.52
38	ENSG00000268663.1	WBP1LP6	0.10008400990099008	0.06535
39	ENSG00000273547.1	OR4F16	0.0786109900990099	0.04357
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.19086787128712876	0.1429
42	ENSG00000228327.3	RP11-206L10.2	0.8260864356435642	0.685
43	ENSG00000223181.1	RNU6-1199P	0.04871732673267328	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.09950841584158417	0.06487000000000001
45	ENSG00000237491.8	RP11-206L10.9	0.5871792574257425	0.5405
46	ENSG00000230092.7	RP11-206L10.8	0.5499563366336634	0.4809
47	ENSG00000177757.2	FAM87B	0.3942949504950495	0.3345
48	ENSG00000228794.8	LINC01128	4.680473267326733	4.402
49	ENSG00000225880.5	LINC00115	2.2905212871287124	1.9969999999999999
50	ENSG00000230368.2	FAM41C	0.1937985148514852	0.1169
51	ENSG00000234711.1	TUBB8P11	0.20617826732673267	0.1577
52	ENSG00000283040.1	FAM166AP3	0.08424792079207921	0.055479999999999995
53	ENSG00000272438.1	RP11-54O7.16	0.5003019306930693	0.4056
54	ENSG00000230699.2	RP11-54O7.1	0.3098769306930693	0.2737
55	ENSG00000241180.1	RP11-54O7.2	0.0	0.0
56	ENSG00000223764.2	RP11-54O7.3	2.2556985148514848	2.063
57	ENSG00000187634.11	SAMD11	4.389660891089109	3.662
58	ENSG00000188976.10	NOC2L	29.439846534653462	28.65
59	ENSG00000187961.13	KLHL17	5.486426237623762	5.475
60	ENSG00000187583.10	PLEKHN1	0.17300727722772274	0.1189
61	ENSG00000187642.9	PERM1	0.17798074257425744	0.128
62	ENSG00000272512.1	RP11-54O7.17	3.5217217821782176	2.7569999999999997
63	ENSG00000188290.10	HES4	26.969554455445547	24.03
64	ENSG00000187608.8	ISG15	75.68428712871287	41.01
65	ENSG00000231702.2	RP11-54O7.10	0.19507871287128714	0.0
66	ENSG00000224969.1	RP11-54O7.11	0.694743118811881	0.6071
67	ENSG00000188157.14	AGRN	15.869460396039605	14.76
68	ENSG00000217801.9	RP11-465B22.3	1.676650495049505	1.584
69	ENSG00000273443.1	RP11-54O7.18	0.2780091584158416	0.2069
70	ENSG00000237330.2	RNF223	0.10958346534653464	0.08188
71	ENSG00000131591.17	C1orf159	5.386178217821782	5.3260000000000005
72	ENSG00000223823.1	LINC01342	0.14633767326732672	0.07898
73	ENSG00000207730.3	MIR200B	0.09324653465346536	0.0
74	ENSG00000207607.3	MIR200A	0.05059207920792079	0.0
75	ENSG00000198976.1	MIR429	0.10673173267326733	0.0
76	ENSG00000272141.1	RP11-465B22.8	0.1268710396039604	0.09236
77	ENSG00000205231.1	TTLL10-AS1	0.28490846534653463	0.1246
78	ENSG00000162571.13	TTLL10	0.7243494554455445	0.276
79	ENSG00000186891.13	TNFRSF18	0.6503574752475247	0.44299999999999995
80	ENSG00000186827.10	TNFRSF4	0.714240198019802	0.5999
81	ENSG00000078808.16	SDF4	55.707193069306925	54.7
82	ENSG00000176022.4	B3GALT6	14.497405940594057	14.37
83	ENSG00000184163.3	C1QTNF12	1.8764004950495048	1.614
84	ENSG00000260179.1	RP5-902P8.12	0.397065099009901	0.3439
85	ENSG00000160087.20	UBE2J2	15.692534653465344	16.0
86	ENSG00000230415.1	LINC01786	3.644846534653465	3.236
87	ENSG00000162572.20	SCNN1D	9.882272277227722	9.626
88	ENSG00000131584.18	ACAP3	55.88530198019802	55.01
89	ENSG00000278073.1	MIR6726	0.08030891089108913	0.0
90	ENSG00000169972.11	PUSL1	7.8270396039603956	7.599
91	ENSG00000127054.20	INTS11	26.61565841584158	25.83
92	ENSG00000283712.1	MIR6727	0.1007940594059406	0.0
93	ENSG00000240731.1	RP5-890O3.9	9.64580198019802	8.835
94	ENSG00000224051.6	CPTP	13.075935643564355	12.82
95	ENSG00000169962.4	TAS1R3	0.4522108415841584	0.4444
96	ENSG00000107404.19	DVL1	55.32774257425742	54.14
97	ENSG00000284372.1	MIR6808	0.039189108910891085	0.0
98	ENSG00000162576.16	MXRA8	11.463405940594061	10.87
99	ENSG00000175756.13	AURKAIP1	68.96143564356436	69.13
100	ENSG00000223663.2	NDUFB4P8	0.33819955445544553	0.2275
101	ENSG00000221978.11	CCNL2	48.68393564356436	46.36
102	ENSG00000224870.6	RP4-758J18.2	13.643089108910893	13.643089108910893
103	ENSG00000242485.5	MRPL20	55.608995049504955	56.22
104	ENSG00000272455.1	RP4-758J18.13	4.525788118811882	4.207
105	ENSG00000235098.8	ANKRD65	15.855103960396038	14.68
106	ENSG00000225905.1	RP4-758J18.7	2.5940673267326737	1.9969999999999999
107	ENSG00000205116.3	TMEM88B	16.038906435643565	10.14
108	ENSG00000225285.1	LINC01770	0.9720648514851484	0.8191
109	ENSG00000179403.11	VWA1	18.62899504950495	15.4
110	ENSG00000215915.9	ATAD3C	2.1440732673267333	1.4880000000000002
111	ENSG00000160072.19	ATAD3B	12.971257425742573	12.4
112	ENSG00000197785.13	ATAD3A	9.221702970297029	9.205
113	ENSG00000205090.8	TMEM240	12.838945544554456	12.25
114	ENSG00000160075.11	SSU72	34.92439108910891	34.23
115	ENSG00000215014.4	RP5-832C2.5	1.9411193069306931	1.9
116	ENSG00000274481.1	RP11-345P4.11	0.117285099009901	0.07113
117	ENSG00000228594.3	FNDC10	33.36051485148515	33.2
118	ENSG00000272106.1	RP11-345P4.9	25.011564356435642	24.21
119	ENSG00000197530.12	MIB2	29.720272277227718	29.08
120	ENSG00000189409.13	MMP23B	0.1840992574257426	0.1538
121	ENSG00000248333.8	CDK11B	18.926529702970296	18.59
122	ENSG00000272004.1	RP11-345P4.10	0.05756267326732674	0.0
123	ENSG00000189339.11	SLC35E2B	11.63108910891089	10.84
124	ENSG00000269737.2	RP11-345P4.6	0.7764624752475247	0.6003
125	ENSG00000215914.4	MMP23A	0.2030466831683168	0.1434
126	ENSG00000008128.22	CDK11A	8.201584158415839	7.397
127	ENSG00000227775.3	RP1-283E3.4	3.4709287128712867	2.873
128	ENSG00000215790.6	SLC35E2	2.141173267326733	1.844
129	ENSG00000008130.15	NADK	11.169331683168316	10.63
130	ENSG00000078369.17	GNB1	194.24584158415843	186.1
131	ENSG00000231050.1	RP1-140A9.1	1.7402633663366336	1.635
132	ENSG00000169885.9	CALML6	0.6904692574257425	0.6565
133	ENSG00000178821.12	TMEM52	1.8189825742574257	1.6469999999999998
134	ENSG00000142609.17	CFAP74	1.9965782178217824	0.9223
135	ENSG00000233542.1	RP11-547D24.1	0.30933564356435644	0.1324
136	ENSG00000187730.8	GABRD	6.851728712871287	3.123
137	ENSG00000226969.1	RP11-547D24.3	0.009896732673267327	0.0
138	ENSG00000067606.16	PRKCZ	20.833702970297036	19.71
139	ENSG00000271806.1	RP5-892K4.1	0.1019300198019802	0.0771
140	ENSG00000182873.5	PRKCZ-AS1	5.035914851485149	4.75
141	ENSG00000162585.16	FAAP20	7.067549504950496	7.058
142	ENSG00000234396.3	RP11-181G12.4	0.2547571782178218	0.1588
143	ENSG00000157933.9	SKI	20.078455445544556	19.22
144	ENSG00000116151.13	MORN1	1.7117128712871288	1.278
145	ENSG00000272161.1	RP4-713A8.1	0.5180885643564357	0.373
146	ENSG00000269896.2	RP4-740C4.5	2.000715346534653	1.72
147	ENSG00000272420.1	RP4-740C4.7	4.102975742574257	3.807
148	ENSG00000157916.19	RER1	22.2030198019802	21.68
149	ENSG00000157911.9	PEX10	14.02790594059406	13.72
150	ENSG00000149527.17	PLCH2	14.557415841584158	12.27
151	ENSG00000224387.1	RP3-395M20.2	0.9224587128712872	0.6781
152	ENSG00000229393.1	RP3-395M20.3	1.013480198019802	0.8079
153	ENSG00000157881.13	PANK4	7.98858811881188	7.564
154	ENSG00000197921.5	HES5	12.53389306930693	8.862
155	ENSG00000272449.1	RP3-395M20.12	9.98914603960396	7.4910000000000005
156	ENSG00000238164.6	RP3-395M20.8	0.37983465346534656	0.3254
157	ENSG00000157873.17	TNFRSF14	9.201430693069307	8.094
158	ENSG00000225931.3	RP3-395M20.7	0.07552148514851484	0.05033
159	ENSG00000228037.1	RP3-395M20.9	0.3140071287128713	0.2492
160	ENSG00000157870.14	FAM213B	36.33988118811881	33.01
161	ENSG00000142606.15	MMEL1	1.5222354455445548	1.392
162	ENSG00000237058.1	RP13-436F16.1	0.7023737623762376	0.3702
163	ENSG00000215912.12	TTC34	1.0899339603960396	0.5686
164	ENSG00000283259.1	ABC14-1188822O7.1	0.1466377722772277	0.060979999999999986
165	ENSG00000233234.1	RP11-740P5.2	0.0010055940594059405	0.0
166	ENSG00000231630.1	RP11-740P5.3	0.0045857920792079215	0.0
167	ENSG00000169717.6	ACTRT2	0.011500049504950495	0.0
168	ENSG00000177133.10	LINC00982	3.4493366336633664	2.738
169	ENSG00000142611.16	PRDM16	1.7485460891089109	1.499
170	ENSG00000283572.1	MIR4251	0.0	0.0
171	ENSG00000226286.1	RP1-163G9.2	0.016843762376237626	0.0
172	ENSG00000279839.1	RP11-193J6.1	0.0226139405940594	0.015019999999999999
173	ENSG00000272235.1	RP11-22L13.1	0.10588509405940597	0.08084
174	ENSG00000130762.14	ARHGEF16	2.3695757425742574	2.074
175	ENSG00000272088.1	RP11-168F9.2	0.20389782178217825	0.1354
176	ENSG00000162591.15	MEGF6	2.124857920792079	1.7930000000000001
177	ENSG00000207776.1	MIR551A	0.0	0.0
178	ENSG00000238260.1	RP11-46F15.2	4.452014851485148	4.003
179	ENSG00000158109.14	TPRG1L	92.8210396039604	79.1
180	ENSG00000116213.15	WRAP73	11.5254702970297	11.13
181	ENSG00000078900.14	TP73	1.1008577722772277	0.5805
182	ENSG00000227589.1	RP5-1092A11.5	0.023579851485148517	0.0
183	ENSG00000235131.1	RP5-1092A11.2	0.07032965346534653	0.0
184	ENSG00000227372.11	TP73-AS1	7.692579207920791	7.2929999999999975
185	ENSG00000162592.9	CCDC27	0.05449024752475247	0.0381
186	ENSG00000235169.7	SMIM1	1.854441584158416	1.575
187	ENSG00000130764.9	LRRC47	23.062267326732673	21.36
188	ENSG00000266075.2	RN7SL574P	0.2698651485148515	0.1884
189	ENSG00000272153.1	RP1-286D6.5	1.8344194059405945	1.669
190	ENSG00000116198.12	CEP104	7.920767326732673	7.519
191	ENSG00000169598.15	DFFB	5.0145485148514855	4.883
192	ENSG00000198912.10	C1orf174	9.664381188118814	9.484
193	ENSG00000236423.5	LINC01134	0.11969727227722772	0.0984
194	ENSG00000233304.6	LINC01346	0.4724270445544554	0.3332
195	ENSG00000226374.2	LINC01345	0.08728113861386139	0.05667000000000001
196	ENSG00000229280.1	EEF1DP6	0.007991980198019803	0.0
197	ENSG00000235054.3	LINC01777	0.00990371287128713	0.0
198	ENSG00000227169.2	RP1-37J18.1	0.0	0.0
199	ENSG00000232596.2	LINC01646	0.01901727722772277	0.0
200	ENSG00000196581.10	AJAP1	4.782812376237624	4.14
201	ENSG00000231510.1	RP11-542C10.1	0.011901683168316829	0.0
