Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000102348	Gm10568	1	+	3750378	3752011	0.226438	0.117116	0.263023
ENSMUSG00000102269	Gm7357	1	+	4593128	4596960	0.082080	0.042453	0.095341
ENSMUSG00000025902	Sox17	1	-	4561154	4567577	2.117142	2.499153	5.612659
ENSMUSG00000104238	Gm37587	1	+	4566774	4569781	0.000000	0.000000	0.000000
ENSMUSG00000098104	Gm6085	1	-	4758157	4759626	0.037755	0.019527	0.043855
ENSMUSG00000102175	Gm6119	1	-	4762442	4763647	0.139027	0.071906	0.161489
ENSMUSG00000103922	Gm6123	1	+	4841354	4842422	5.457905	2.822895	6.339728
ENSMUSG00000025900	Rp1	1	-	4069780	4479464	0.007078	0.007530	0.016910
ENSMUSG00000102948	Gm6101	1	-	4326457	4330742	0.000000	0.000000	0.000000
ENSMUSG00000104123	Gm37483	1	-	4433569	4435052	0.000000	0.000000	0.000000
ENSMUSG00000033845	Mrpl15	1	-	4843429	4855962	4.665843	6.946448	15.600505
ENSMUSG00000102275	Gm37144	1	-	4848286	4849435	1.020870	0.528006	1.185810
ENSMUSG00000051951	Xkr4	1	-	3276124	3741721	8.638825	7.599328	17.066757
ENSMUSG00000102851	Gm18956	1	+	3322980	3323459	0.000000	0.000000	0.000000
ENSMUSG00000103377	Gm37180	1	-	3435954	3438772	0.000000	0.000000	0.000000
ENSMUSG00000104017	Gm37363	1	-	3445779	3448011	0.000000	0.000000	0.000000
ENSMUSG00000103025	Gm37686	1	-	3535200	3537508	0.000000	0.000000	0.000000
ENSMUSG00000089699	Gm1992	1	+	3536810	3583776	0.000000	0.000000	0.000000
ENSMUSG00000103201	Gm37329	1	-	3582674	3584730	0.000000	0.000000	0.000000
ENSMUSG00000103147	Gm7341	1	+	3602018	3602943	0.000000	0.000000	0.000000
ENSMUSG00000103161	Gm38148	1	-	3663115	3666126	0.000000	0.000000	0.000000
ENSMUSG00000102331	Gm19938	1	-	3717532	3729127	0.061369	0.031741	0.071284
ENSMUSG00000025903	Lypla1	1	+	4878011	4918633	6.215894	9.093625	20.422688
ENSMUSG00000104217	Gm37988	1	+	4878115	4956993	0.020930	0.010825	0.024312
ENSMUSG00000033813	Tcea1	1	+	4928037	4968132	11.519329	28.016008	62.919048
ENSMUSG00000062588	Gm6104	1	-	4950272	4950874	10.703151	5.535800	12.432437
ENSMUSG00000104046	Gm37567	1	+	5377962	5380240	0.014831	0.007671	0.017227
ENSMUSG00000103280	Gm37277	1	-	4975974	4977084	4.430243	2.291376	5.146029
ENSMUSG00000002459	Rgs20	1	-	4979799	5140508	10.181150	38.978249	87.538315
ENSMUSG00000091305	Gm17100	1	-	4997251	4997522	0.000000	0.000000	0.000000
ENSMUSG00000102653	Gm37079	1	-	5008799	5010933	0.311475	0.161099	0.361799
ENSMUSG00000085623	Gm16041	1	+	5041080	5047043	0.000000	0.000000	0.000000
ENSMUSG00000091665	Gm17101	1	+	5133283	5134870	0.576196	0.298016	0.669291
ENSMUSG00000033793	Atp6v1h	1	+	5140241	5232752	24.254816	69.466537	156.009674
ENSMUSG00000103519	Gm37429	1	-	5913097	5914895	0.053363	0.027600	0.061985
ENSMUSG00000033774	Npbwr1	1	-	5983926	5987617	0.724269	0.374601	0.841288
ENSMUSG00000025905	Oprk1	1	+	5658689	5676354	14.619167	17.744818	39.851753
ENSMUSG00000087247	Alkal1	1	+	6429442	6464955	0.000000	0.000000	0.000000
ENSMUSG00000103355	Gm2147	1	+	6450618	6451256	0.398279	0.205995	0.462628
ENSMUSG00000102706	Gm7417	1	-	6452858	6453330	0.000000	0.000000	0.000000
