	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.00812376604850214	0.0
1	ENSG00000227232.5	WASH7P	6.746074179743224	6.135
2	ENSG00000278267.1	MIR6859-1	0.031721112696148364	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.02479649072753209	0.0
4	ENSG00000237613.2	FAM138A	0.007504051355206845	0.0
5	ENSG00000268020.3	OR4G4P	0.044707161198288166	0.0
6	ENSG00000240361.1	OR4G11P	0.05858453637660485	0.042089999999999995
7	ENSG00000186092.4	OR4F5	0.0785594008559201	0.04646
8	ENSG00000238009.6	RP11-34P13.7	0.0359187817403709	0.019235
9	ENSG00000233750.3	CICP27	0.035560442225392286	0.02635
10	ENSG00000268903.1	RP11-34P13.15	6.977719258202567	6.0889999999999995
11	ENSG00000269981.1	RP11-34P13.16	12.586598288159774	10.65
12	ENSG00000239906.1	RP11-34P13.14	0.4704282881597718	0.1753
13	ENSG00000241860.6	RP11-34P13.13	0.190067664764622	0.16605
14	ENSG00000222623.1	RNU6-1100P	0.005978316690442224	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0029750213980028533	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.10516572039942937	0.06274500000000001
17	ENSG00000279457.4	RP11-34P13.18	10.943446504992867	10.56
18	ENSG00000273874.1	MIR6859-2	0.017720827389443652	0.0
19	ENSG00000228463.9	AP006222.2	0.7155262054208273	0.61545
20	ENSG00000236679.2	RPL23AP24	0.07733914407988587	0.0
21	ENSG00000236743.1	RP5-857K21.15	0.005003480741797432	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.040487931526390866	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.1998828958630528	0.1835
24	ENSG00000269732.1	WBP1LP7	0.10216148359486447	0.0
25	ENSG00000278566.1	OR4F29	0.05238804564907275	0.037565
26	ENSG00000233653.3	CICP7	0.015153524964336659	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.07255512125534949	0.03148
28	ENSG00000278757.1	U6	0.01872981455064194	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.058650560627674764	0.047375
30	ENSG00000235146.2	RP5-857K21.2	0.00804660485021398	0.0
31	ENSG00000225972.1	MTND1P23	252.1707032810271	9.213
32	ENSG00000225630.1	MTND2P28	667.2486362339515	573.5999999999998
33	ENSG00000237973.1	MTCO1P12	143.6381883024251	59.0
34	ENSG00000229344.1	MTCO2P12	24.29775748930099	11.525
35	ENSG00000240409.1	MTATP8P1	17.95428858773181	11.61
36	ENSG00000248527.1	MTATP6P1	2644.129800285307	2480.5
37	ENSG00000198744.5	MTCO3P12	48.43491155492154	19.475
38	ENSG00000268663.1	WBP1LP6	0.05805422253922968	0.0
39	ENSG00000273547.1	OR4F16	0.040016576319543515	0.02858
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.11168925106990013	0.09437
42	ENSG00000228327.3	RP11-206L10.2	3.302208701854493	3.2515
43	ENSG00000223181.1	RNU6-1199P	0.038608844507845935	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.0525635520684736	0.0
45	ENSG00000237491.8	RP11-206L10.9	1.009979457917261	0.9361
46	ENSG00000230092.7	RP11-206L10.8	2.4057251069900145	2.255
47	ENSG00000177757.2	FAM87B	1.0495223965763196	0.9563
48	ENSG00000228794.8	LINC01128	4.0148758915834515	3.8985
49	ENSG00000225880.5	LINC00115	5.031152211126962	4.332000000000002
50	ENSG00000230368.2	FAM41C	0.2944884878744651	0.21505
51	ENSG00000234711.1	TUBB8P11	0.2402924108416548	0.17165000000000002
52	ENSG00000283040.1	FAM166AP3	0.06289021398002853	0.0
53	ENSG00000272438.1	RP11-54O7.16	0.4913672182596291	0.31999999999999995
54	ENSG00000230699.2	RP11-54O7.1	0.4277120527817404	0.3286
55	ENSG00000241180.1	RP11-54O7.2	0.007772182596291012	0.0
56	ENSG00000223764.2	RP11-54O7.3	1.9099369329529243	1.4980000000000002
57	ENSG00000187634.11	SAMD11	0.9608325820256776	0.79465
58	ENSG00000188976.10	NOC2L	92.0981027104137	90.34
59	ENSG00000187961.13	KLHL17	17.18451069900143	16.525
60	ENSG00000187583.10	PLEKHN1	70.95355620542081	67.43
61	ENSG00000187642.9	PERM1	18.023668188302427	17.04
62	ENSG00000272512.1	RP11-54O7.17	5.518755206847361	4.576500000000001
63	ENSG00000188290.10	HES4	19.598757489301	17.97
64	ENSG00000187608.8	ISG15	15.099407988587732	11.545
65	ENSG00000231702.2	RP11-54O7.10	0.2945156918687589	0.2164
66	ENSG00000224969.1	RP11-54O7.11	0.6226906847360913	0.5435
67	ENSG00000188157.14	AGRN	32.21314978601997	31.465
68	ENSG00000217801.9	RP11-465B22.3	3.0119390870185447	2.759
69	ENSG00000273443.1	RP11-54O7.18	0.2295972325249643	0.182
