	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.006358257918552036	0.0
1	ENSG00000227232.5	WASH7P	4.38429125188537	4.065
2	ENSG00000278267.1	MIR6859-1	0.0220184012066365	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.015886766214177978	0.0
4	ENSG00000237613.2	FAM138A	0.0073023981900452485	0.0
5	ENSG00000268020.3	OR4G4P	0.040197209653092016	0.0
6	ENSG00000240361.1	OR4G11P	0.054314374057315234	0.04067
7	ENSG00000186092.4	OR4F5	0.07539859728506787	0.045405
8	ENSG00000238009.6	RP11-34P13.7	0.03284204977375565	0.01845
9	ENSG00000233750.3	CICP27	0.02729468174962293	0.01935
10	ENSG00000268903.1	RP11-34P13.15	4.279260784313725	3.2505
11	ENSG00000269981.1	RP11-34P13.16	6.8608714932126675	5.1425
12	ENSG00000239906.1	RP11-34P13.14	0.2584924585218703	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.19467030618401207	0.1512
14	ENSG00000222623.1	RNU6-1100P	0.0024733031674208147	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0014796380090497734	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.1016549019607843	0.0
17	ENSG00000279457.4	RP11-34P13.18	7.763009049773756	7.4860000000000015
18	ENSG00000273874.1	MIR6859-2	0.010055656108597284	0.0
19	ENSG00000228463.9	AP006222.2	1.1853780859728509	0.8948499999999999
20	ENSG00000236679.2	RPL23AP24	0.10601377073906484	0.08479
21	ENSG00000236743.1	RP5-857K21.15	0.006790437405731525	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.025114645550527902	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.24776482805429864	0.22885
24	ENSG00000269732.1	WBP1LP7	0.09424932126696832	0.0
25	ENSG00000278566.1	OR4F29	0.054791122171945705	0.037215
26	ENSG00000233653.3	CICP7	0.018998665158371043	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.044419185520362	0.02256
28	ENSG00000278757.1	U6	0.0055978883861236796	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.05251599095022625	0.043525
30	ENSG00000235146.2	RP5-857K21.2	0.007253092006033181	0.0
31	ENSG00000225972.1	MTND1P23	343.32975716440416	12.045
32	ENSG00000225630.1	MTND2P28	1101.5512549019606	962.75
33	ENSG00000237973.1	MTCO1P12	104.21665912518853	43.51000000000001
34	ENSG00000229344.1	MTCO2P12	25.34766365007541	11.935
35	ENSG00000240409.1	MTATP8P1	19.53322141779789	14.5
36	ENSG00000248527.1	MTATP6P1	3252.7147662141783	3101.5
37	ENSG00000198744.5	MTCO3P12	51.544844645550526	19.51
38	ENSG00000268663.1	WBP1LP6	0.05273613876319759	0.0
39	ENSG00000273547.1	OR4F16	0.03818704374057316	0.024725
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.13669610859728507	0.10955
42	ENSG00000228327.3	RP11-206L10.2	3.0095205128205134	2.8385
43	ENSG00000223181.1	RNU6-1199P	0.03239909502262443	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.05615045248868778	0.0
45	ENSG00000237491.8	RP11-206L10.9	0.6373340120663651	0.59325
46	ENSG00000230092.7	RP11-206L10.8	1.6795678733031674	1.5225
47	ENSG00000177757.2	FAM87B	2.0515018099547517	1.92
48	ENSG00000228794.8	LINC01128	8.063876319758673	7.443
49	ENSG00000225880.5	LINC00115	4.833251583710409	4.4915
50	ENSG00000230368.2	FAM41C	0.09536158371040723	0.06394
51	ENSG00000234711.1	TUBB8P11	0.08433647058823529	0.058385
52	ENSG00000283040.1	FAM166AP3	0.044151161387631976	0.0
53	ENSG00000272438.1	RP11-54O7.16	0.13698031674208144	0.09153
54	ENSG00000230699.2	RP11-54O7.1	0.11706363499245853	0.080305
55	ENSG00000241180.1	RP11-54O7.2	0.0	0.0
56	ENSG00000223764.2	RP11-54O7.3	1.1346528959276017	0.58615
57	ENSG00000187634.11	SAMD11	0.8813035746606335	0.47645
58	ENSG00000188976.10	NOC2L	54.63336349924585	52.91
59	ENSG00000187961.13	KLHL17	10.261279034690798	9.6865
60	ENSG00000187583.10	PLEKHN1	0.7195754751131221	0.5598
61	ENSG00000187642.9	PERM1	0.5853965912518854	0.3678
62	ENSG00000272512.1	RP11-54O7.17	6.749816244343891	5.126
63	ENSG00000188290.10	HES4	26.50425339366516	21.845
64	ENSG00000187608.8	ISG15	47.241539969834086	36.61
65	ENSG00000231702.2	RP11-54O7.10	0.19547149321266968	0.0
66	ENSG00000224969.1	RP11-54O7.11	0.36467	0.2963
67	ENSG00000188157.14	AGRN	20.480188536953246	18.555
68	ENSG00000217801.9	RP11-465B22.3	0.2935666515837104	0.2465
69	ENSG00000273443.1	RP11-54O7.18	0.10962173453996983	0.06589500000000001
70	ENSG00000237330.2	RNF223	0.07967198793363499	0.05138
71	ENSG00000131591.17	C1orf159	9.438161387631977	9.305
72	ENSG00000223823.1	LINC01342	0.07900244343891402	0.049395
73	ENSG00000207730.3	MIR200B	0.06620708898944193	0.0
74	ENSG00000207607.3	MIR200A	0.05306274509803921	0.0
75	ENSG00000198976.1	MIR429	0.055078280542986434	0.0
76	ENSG00000272141.1	RP11-465B22.8	0.20344236802413276	0.10285
77	ENSG00000205231.1	TTLL10-AS1	0.6675373906485671	0.5662
78	ENSG00000162571.13	TTLL10	1.5442559577677224	1.371
79	ENSG00000186891.13	TNFRSF18	2.389519607843137	1.9545
80	ENSG00000186827.10	TNFRSF4	11.16147963800905	9.271999999999998
81	ENSG00000078808.16	SDF4	144.72806938159877	143.05
82	ENSG00000176022.4	B3GALT6	15.097886877828055	14.895
83	ENSG00000184163.3	C1QTNF12	2.142410920060332	1.8455
84	ENSG00000260179.1	RP5-902P8.12	0.6967979185520362	0.6146
85	ENSG00000160087.20	UBE2J2	23.795912518853694	23.535
86	ENSG00000230415.1	LINC01786	3.4078254901960787	3.1325
87	ENSG00000162572.20	SCNN1D	6.378075414781296	6.0225
88	ENSG00000131584.18	ACAP3	40.52381598793364	38.17
89	ENSG00000278073.1	MIR6726	0.041781598793363496	0.0
90	ENSG00000169972.11	PUSL1	12.900843137254903	12.795
91	ENSG00000127054.20	INTS11	48.17120663650075	47.255
92	ENSG00000283712.1	MIR6727	0.058131221719457025	0.0
93	ENSG00000240731.1	RP5-890O3.9	20.60596229260935	19.61
94	ENSG00000224051.6	CPTP	26.166736048265463	26.26
95	ENSG00000169962.4	TAS1R3	0.5406156561085973	0.50645
96	ENSG00000107404.19	DVL1	59.522187028657605	58.52500000000001
97	ENSG00000284372.1	MIR6808	0.02572775263951734	0.0
98	ENSG00000162576.16	MXRA8	235.3717043740573	216.35
99	ENSG00000175756.13	AURKAIP1	81.90013574660634	79.535
100	ENSG00000223663.2	NDUFB4P8	0.25567482654600304	0.21305
101	ENSG00000221978.11	CCNL2	181.51736048265462	180.6
102	ENSG00000224870.6	RP4-758J18.2	13.26552036199095	13.305
103	ENSG00000242485.5	MRPL20	72.3349773755656	70.705
104	ENSG00000272455.1	RP4-758J18.13	3.0183377073906485	2.9045
105	ENSG00000235098.8	ANKRD65	8.289342835595777	7.805
106	ENSG00000225905.1	RP4-758J18.7	1.4088734539969834	1.1235
107	ENSG00000205116.3	TMEM88B	0.18517740573152336	0.12614999999999998
108	ENSG00000225285.1	LINC01770	3.395210558069381	3.1265
109	ENSG00000179403.11	VWA1	28.289604826546	25.71
110	ENSG00000215915.9	ATAD3C	1.1912633484162898	0.95285
111	ENSG00000160072.19	ATAD3B	23.4999592760181	22.715
112	ENSG00000197785.13	ATAD3A	16.432930618401205	15.695
113	ENSG00000205090.8	TMEM240	3.5904355957767717	3.2965
114	ENSG00000160075.11	SSU72	49.45330316742081	48.48
115	ENSG00000215014.4	RP5-832C2.5	1.2491959577677223	1.129
116	ENSG00000274481.1	RP11-345P4.11	0.06302193061840121	0.0
117	ENSG00000228594.3	FNDC10	1.3960944343891402	1.0630000000000002
118	ENSG00000272106.1	RP11-345P4.9	9.220917043740572	8.939500000000002
119	ENSG00000197530.12	MIB2	24.563039215686274	24.05
120	ENSG00000189409.13	MMP23B	0.6322062443438914	0.3625
121	ENSG00000248333.8	CDK11B	30.900497737556556	30.595
122	ENSG00000272004.1	RP11-345P4.10	0.12736654600301658	0.0
123	ENSG00000189339.11	SLC35E2B	22.692010558069377	21.965
124	ENSG00000269737.2	RP11-345P4.6	3.796509803921569	3.3440000000000003
125	ENSG00000215914.4	MMP23A	0.6252749170437405	0.6298999999999999
126	ENSG00000008128.22	CDK11A	22.765985520361987	22.39
127	ENSG00000227775.3	RP1-283E3.4	7.401508898944192	7.0045
128	ENSG00000215790.6	SLC35E2	4.793909909502262	4.695
129	ENSG00000008130.15	NADK	58.19214177978885	54.71
130	ENSG00000078369.17	GNB1	229.86063348416286	228.2
131	ENSG00000231050.1	RP1-140A9.1	1.0079065007541477	0.8795999999999999
132	ENSG00000169885.9	CALML6	1.3425742835595775	1.218
133	ENSG00000178821.12	TMEM52	1.8331656108597283	1.4515
134	ENSG00000142609.17	CFAP74	0.06943891704374057	0.0482
135	ENSG00000233542.1	RP11-547D24.1	0.07106054298642532	0.045520000000000005
136	ENSG00000187730.8	GABRD	0.6107984615384615	0.4636
137	ENSG00000226969.1	RP11-547D24.3	0.006662171945701357	0.0
