	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.0067370833333333345	0.0
1	ENSG00000227232.5	WASH7P	4.484341666666666	3.915
2	ENSG00000278267.1	MIR6859-1	0.006287083333333333	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.016778541666666664	0.0
4	ENSG00000237613.2	FAM138A	0.0077309583333333345	0.0
5	ENSG00000268020.3	OR4G4P	0.03464466666666667	0.0
6	ENSG00000240361.1	OR4G11P	0.04148775	0.0
7	ENSG00000186092.4	OR4F5	0.058433249999999985	0.041339999999999995
8	ENSG00000238009.6	RP11-34P13.7	0.0307169875	0.011590000000000001
9	ENSG00000233750.3	CICP27	0.03155004166666667	0.021240000000000002
10	ENSG00000268903.1	RP11-34P13.15	5.209865416666667	3.608
11	ENSG00000269981.1	RP11-34P13.16	7.18916375	5.29
12	ENSG00000239906.1	RP11-34P13.14	0.21803441666666667	0.0
13	ENSG00000241860.6	RP11-34P13.13	0.18323985	0.1256
14	ENSG00000222623.1	RNU6-1100P	0.006851666666666667	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0013280833333333332	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.16478283333333335	0.07647000000000001
17	ENSG00000279457.4	RP11-34P13.18	7.518541666666668	6.682
18	ENSG00000273874.1	MIR6859-2	0.0	0.0
19	ENSG00000228463.9	AP006222.2	0.3930895833333333	0.2856
20	ENSG00000236679.2	RPL23AP24	0.15101504166666666	0.1244
21	ENSG00000236743.1	RP5-857K21.15	0.002985791666666667	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.02150608333333333	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.2526943333333333	0.2167
24	ENSG00000269732.1	WBP1LP7	0.08088695833333334	0.0
25	ENSG00000278566.1	OR4F29	0.04207170833333333	0.03193
26	ENSG00000233653.3	CICP7	0.009918270833333331	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.03731192916666667	0.02598
28	ENSG00000278757.1	U6	0.005399583333333334	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.05441103333333333	0.04635
30	ENSG00000235146.2	RP5-857K21.2	0.012432083333333331	0.0
31	ENSG00000225972.1	MTND1P23	200.83419708333332	6.041
32	ENSG00000225630.1	MTND2P28	585.6506666666667	499.1
33	ENSG00000237973.1	MTCO1P12	91.65560833333332	36.21
34	ENSG00000229344.1	MTCO2P12	17.3858125	9.07
35	ENSG00000240409.1	MTATP8P1	14.130669583333335	10.2
36	ENSG00000248527.1	MTATP6P1	2465.191208333333	2155.0
37	ENSG00000198744.5	MTCO3P12	41.06259166666667	12.78
38	ENSG00000268663.1	WBP1LP6	0.05144441666666666	0.0
39	ENSG00000273547.1	OR4F16	0.030881	0.0
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.15262699999999998	0.1401
42	ENSG00000228327.3	RP11-206L10.2	2.309599166666666	2.0380000000000003
43	ENSG00000223181.1	RNU6-1199P	0.03212625	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.03540470833333333	0.0
45	ENSG00000237491.8	RP11-206L10.9	0.8480183333333334	0.7571
46	ENSG00000230092.7	RP11-206L10.8	1.330645	1.245
47	ENSG00000177757.2	FAM87B	1.1100583333333334	0.9839
48	ENSG00000228794.8	LINC01128	9.135812500000002	8.741
49	ENSG00000225880.5	LINC00115	8.440633333333334	5.9879999999999995
50	ENSG00000230368.2	FAM41C	0.07096370833333332	0.05319
51	ENSG00000234711.1	TUBB8P11	0.10380845833333334	0.06017
52	ENSG00000283040.1	FAM166AP3	0.033641375	0.0
53	ENSG00000272438.1	RP11-54O7.16	0.41919825	0.2258
54	ENSG00000230699.2	RP11-54O7.1	0.30989575	0.1812
55	ENSG00000241180.1	RP11-54O7.2	0.0	0.0
56	ENSG00000223764.2	RP11-54O7.3	4.3803945833333335	2.701
57	ENSG00000187634.11	SAMD11	5.140806249999999	3.11
58	ENSG00000188976.10	NOC2L	54.73970833333333	51.9
59	ENSG00000187961.13	KLHL17	14.71445	13.4
60	ENSG00000187583.10	PLEKHN1	1.0793029166666666	0.8714
61	ENSG00000187642.9	PERM1	1.5746939166666667	0.6105
62	ENSG00000272512.1	RP11-54O7.17	13.449392083333333	8.923
63	ENSG00000188290.10	HES4	77.890125	64.66
64	ENSG00000187608.8	ISG15	55.49391666666667	44.04
65	ENSG00000231702.2	RP11-54O7.10	0.40248125	0.2874
66	ENSG00000224969.1	RP11-54O7.11	0.6139065833333334	0.4546
67	ENSG00000188157.14	AGRN	27.018608333333336	25.8
