	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.010389404844290658	0.0
1	ENSG00000227232.5	WASH7P	5.088588235294117	4.51
2	ENSG00000278267.1	MIR6859-1	0.02440968858131488	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.018428737024221452	0.0
4	ENSG00000237613.2	FAM138A	0.007392768166089966	0.0
5	ENSG00000268020.3	OR4G4P	0.03684650519031142	0.0
6	ENSG00000240361.1	OR4G11P	0.05226423875432526	0.03948
7	ENSG00000186092.4	OR4F5	0.05829583044982699	0.04303
8	ENSG00000238009.6	RP11-34P13.7	0.07025256055363323	0.03558
9	ENSG00000233750.3	CICP27	0.18583624567474047	0.1325
10	ENSG00000268903.1	RP11-34P13.15	24.09378546712803	19.19
11	ENSG00000269981.1	RP11-34P13.16	40.80897577854671	33.42
12	ENSG00000239906.1	RP11-34P13.14	1.6414439619377164	1.162
13	ENSG00000241860.6	RP11-34P13.13	0.3122851211072664	0.2608
14	ENSG00000222623.1	RNU6-1100P	0.010946539792387544	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0042398269896193755	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.18077403114186846	0.09573
17	ENSG00000279457.4	RP11-34P13.18	9.416309688581316	8.627
18	ENSG00000273874.1	MIR6859-2	0.013291522491349482	0.0
19	ENSG00000228463.9	AP006222.2	0.4567220588235294	0.3742
20	ENSG00000236679.2	RPL23AP24	0.10205472318339098	0.0
21	ENSG00000236743.1	RP5-857K21.15	0.0024168685121107266	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.02290998269896194	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.3096806401384083	0.2859
24	ENSG00000269732.1	WBP1LP7	0.08592330449826989	0.0
25	ENSG00000278566.1	OR4F29	0.04843977508650519	0.037939999999999995
26	ENSG00000233653.3	CICP7	0.01707146020761246	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.1018414705882353	0.0485
28	ENSG00000278757.1	U6	0.01837525951557093	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.043543750865051904	0.03664
30	ENSG00000235146.2	RP5-857K21.2	0.007348096885813149	0.0
31	ENSG00000225972.1	MTND1P23	185.6587316608997	7.602
32	ENSG00000225630.1	MTND2P28	525.0824861591694	447.9
33	ENSG00000237973.1	MTCO1P12	105.84476643598613	40.3
34	ENSG00000229344.1	MTCO2P12	25.222750865051907	10.87
35	ENSG00000240409.1	MTATP8P1	14.078070242214535	10.27
36	ENSG00000248527.1	MTATP6P1	2226.521418685121	2127.0
37	ENSG00000198744.5	MTCO3P12	27.73603633217993	12.25
38	ENSG00000268663.1	WBP1LP6	0.04004948096885814	0.0
39	ENSG00000273547.1	OR4F16	0.037963529411764715	0.0
40	ENSG00000283574.1	RP11-206L10.17	0.0	0.0
41	ENSG00000229376.3	CICP3	0.12833102076124567	0.09533
42	ENSG00000228327.3	RP11-206L10.2	2.637393252595156	2.4659999999999997
43	ENSG00000223181.1	RNU6-1199P	0.02727231833910035	0.0
44	ENSG00000229905.1	RP11-206L10.4	0.0515856401384083	0.0
45	ENSG00000237491.8	RP11-206L10.9	0.7669842733564014	0.6874
46	ENSG00000230092.7	RP11-206L10.8	1.3566861245674742	1.2229999999999999
47	ENSG00000177757.2	FAM87B	0.6274588408304498	0.5675
48	ENSG00000228794.8	LINC01128	6.2424013840830455	5.956
49	ENSG00000225880.5	LINC00115	7.485248961937717	6.664
50	ENSG00000230368.2	FAM41C	0.13225512110726645	0.07312
51	ENSG00000234711.1	TUBB8P11	0.1310472837370242	0.07544
52	ENSG00000283040.1	FAM166AP3	0.04407539792387544	0.0
53	ENSG00000272438.1	RP11-54O7.16	0.766083356401384	0.3314
54	ENSG00000230699.2	RP11-54O7.1	0.5877272664359862	0.2898
55	ENSG00000241180.1	RP11-54O7.2	0.004237024221453287	0.0
56	ENSG00000223764.2	RP11-54O7.3	4.488665570934256	2.909
57	ENSG00000187634.11	SAMD11	5.545448442906574	3.585
58	ENSG00000188976.10	NOC2L	58.11878892733564	55.25
59	ENSG00000187961.13	KLHL17	17.280223183391005	15.75
60	ENSG00000187583.10	PLEKHN1	2.560659861591696	2.295
61	ENSG00000187642.9	PERM1	0.9230209342560556	0.745
62	ENSG00000272512.1	RP11-54O7.17	6.097974221453288	3.952
63	ENSG00000188290.10	HES4	41.21776816608997	30.52
64	ENSG00000187608.8	ISG15	80.07115916955017	67.1
65	ENSG00000231702.2	RP11-54O7.10	0.2926804498269896	0.0
66	ENSG00000224969.1	RP11-54O7.11	0.5954718339100347	0.4262
67	ENSG00000188157.14	AGRN	54.289480968858136	52.33
68	ENSG00000217801.9	RP11-465B22.3	2.084303114186851	1.85
69	ENSG00000273443.1	RP11-54O7.18	0.40500723183390996	0.3149
70	ENSG00000237330.2	RNF223	0.9952852941176472	0.7862
71	ENSG00000131591.17	C1orf159	11.274435986159169	10.61
72	ENSG00000223823.1	LINC01342	0.22052764705882352	0.1461
73	ENSG00000207730.3	MIR200B	0.27525778546712804	0.0
74	ENSG00000207607.3	MIR200A	0.2739603806228373	0.0
75	ENSG00000198976.1	MIR429	0.3891122837370242	0.0
76	ENSG00000272141.1	RP11-465B22.8	6.027893944636678	4.629
77	ENSG00000205231.1	TTLL10-AS1	1.1872021989619377	0.5483
78	ENSG00000162571.13	TTLL10	5.461959671280277	1.704
79	ENSG00000186891.13	TNFRSF18	7.454450692041522	5.852
