Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
RP11-295D22.1	ENST00000565320.1	Uncharacterized protein  	5	2	1	1	0	0	rno-miR-338-5p	-0.68	-0.68	N/A
LRRCC1	ENST00000360375.3	leucine rich repeat and coiled-coil centrosomal protein 1 	118	3	2	0	1	0	rno-miR-338-5p	-0.66	-0.68	N/A
NDUFB3	ENST00000237889.4	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 3, 12kDa 	1247	1	1	0	0	0	rno-miR-338-5p	-0.61	-0.61	N/A
WIF1	ENST00000286574.4	WNT inhibitory factor 1 	28	2	2	0	0	0	rno-miR-338-5p	-0.61	-0.61	N/A
FAM150A	ENST00000358543.4	family with sequence similarity 150, member A 	32	3	1	1	1	1	rno-miR-338-5p	-0.61	-0.61	N/A
GDI2	ENST00000380191.4	GDP dissociation inhibitor 2 	664	2	2	0	0	1	rno-miR-338-5p	-0.56	-0.60	N/A
COX7C	ENST00000509578.1	cytochrome c oxidase subunit VIIc 	387	1	1	0	0	1	rno-miR-338-5p	-0.54	-0.54	N/A
RAB28	ENST00000338176.4	RAB28, member RAS oncogene family 	302	2	2	0	0	0	rno-miR-338-5p	-0.54	-0.54	N/A
PEX7	ENST00000541292.1	peroxisomal biogenesis factor 7 	661	2	2	0	0	0	rno-miR-338-5p	-0.53	-0.57	N/A
DYNLRB2	ENST00000568035.1	dynein, light chain, roadblock-type 2 	21	1	1	0	0	0	rno-miR-338-5p	-0.53	-0.53	N/A
CTXN3	ENST00000379445.3	cortexin 3 	5	3	1	1	1	1	rno-miR-338-5p	-0.53	-0.53	N/A
CHAC2	ENST00000295304.4	ChaC, cation transport regulator homolog 2 (E. coli) 	126	1	1	0	0	0	rno-miR-338-5p	-0.51	-0.51	N/A
ADM	ENST00000278175.5	adrenomedullin 	1541	2	1	1	0	0	rno-miR-338-5p	-0.50	-0.52	N/A
RHEB	ENST00000262187.5	Ras homolog enriched in brain 	14	1	1	0	0	0	rno-miR-338-5p	-0.50	-0.50	N/A
PTS	ENST00000525803.1	6-pyruvoyltetrahydropterin synthase 	1526	1	1	0	0	1	rno-miR-338-5p	-0.49	-0.55	N/A
WDR61	ENST00000558311.1	WD repeat domain 61 	1987	1	1	0	0	0	rno-miR-338-5p	-0.49	-0.49	N/A
LUZP6	ENST00000589735.1	leucine zipper protein 6 	1290	1	1	0	0	0	rno-miR-338-5p	-0.47	-0.47	N/A
PKIB	ENST00000258014.3	protein kinase (cAMP-dependent, catalytic) inhibitor beta 	545	2	1	1	0	1	rno-miR-338-5p	-0.46	-0.50	N/A
HSPA5	ENST00000324460.6	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) 	2715	1	1	0	0	0	rno-miR-338-5p	-0.46	-0.46	N/A
DDX59	ENST00000331314.6	DEAD (Asp-Glu-Ala-Asp) box polypeptide 59 	141	1	1	0	0	0	rno-miR-338-5p	-0.46	-0.46	N/A
ZNF654	ENST00000309495.5	zinc finger protein 654 	456	2	1	0	1	1	rno-miR-338-5p	-0.44	-0.50	N/A
SNAI1	ENST00000244050.2	snail family zinc finger 1 	486	1	1	0	0	0	rno-miR-338-5p	-0.44	-0.44	N/A
IRF6	ENST00000367021.3	interferon regulatory factor 6 	28	1	1	0	0	0	rno-miR-338-5p	-0.44	-0.44	N/A
SNX25	ENST00000504273.1	sorting nexin 25 	21	1	1	0	0	2	rno-miR-338-5p	-0.43	-0.49	N/A
NCK2	ENST00000451463.2	NCK adaptor protein 2 	178	1	1	0	0	0	rno-miR-338-5p	-0.43	-0.44	N/A
