Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSRNOG00000040300	Raet1e	1	-	1101965	1116926	0.000000	0.000000	0.000000
ENSRNOG00000058808	AABR07000109.1	1	+	1115869	1115990	0.333333	0.258786	0.376606
ENSRNOG00000061806	AABR07000158.2	1	-	1628117	1628234	0.084746	0.065793	0.095748
ENSRNOG00000029897	AABR07000156.1	1	+	1545134	1546169	0.267568	0.207728	0.302303
ENSRNOG00000061316	Ulbp1	1	+	1180932	1220916	0.066022	0.051257	0.074593
ENSRNOG00000014303	Lrp11	1	+	1702696	1731210	24.757725	19.220848	27.971731
ENSRNOG00000051899	AABR07000159.1	1	-	1726382	1726514	0.000000	0.000000	0.000000
ENSRNOG00000014330	Pcmt1	1	-	1736276	1767618	9.913450	7.696383	11.200397
ENSRNOG00000049505	Nup43	1	+	1771710	1782091	3.310195	2.569895	3.739919
ENSRNOG00000014916	Lats1	1	+	1784078	1817310	6.360942	4.938366	7.186709
ENSRNOG00000053710	AABR07000159.2	1	-	1888877	1889236	1.046389	0.812372	1.182230
ENSRNOG00000015239	Ginm1	1	-	1870388	1885981	3.455128	2.682415	3.903667
ENSRNOG00000055508	AABR07000159.3	1	+	1885876	1886209	0.000000	0.000000	0.000000
ENSRNOG00000014996	Katna1	1	+	1825872	1867787	2.895501	2.247944	3.271390
ENSRNOG00000016041	Zc3h12d	1	+	1938419	1972918	0.015172	0.011779	0.017142
ENSRNOG00000015552	Ppil4	1	+	1897338	1929763	14.906929	11.573108	16.842123
ENSRNOG00000016054	Tab2	1	-	1999596	2073896	8.020332	7.783769	11.327570
ENSRNOG00000013160	Sash1	1	-	2782864	2846200	6.393269	4.963463	7.223233
ENSRNOG00000016381	Ust	1	-	2333778	2627747	0.751227	0.583221	0.848750
ENSRNOG00000031859	RGD1560633	1	-	3848619	3849080	0.083983	0.065201	0.094886
ENSRNOG00000023549	Samd5	1	-	3713750	3763392	1.977108	1.534943	2.233773
ENSRNOG00000014258	Rab32	1	-	4637491	4653210	0.450944	0.350094	0.509485
ENSRNOG00000013351	Stxbp5	1	-	3858909	4011511	15.696896	12.468192	18.144720
ENSRNOG00000061755	-	1	-	3952552	3952682	9.435115	7.325023	10.659966
ENSRNOG00000042741	Adgb	1	-	4445027	4560789	0.365665	1.356499	1.974088
ENSRNOG00000014431	AABR07000222.1	1	-	5238340	5238900	1.959893	1.521578	2.214323
ENSRNOG00000014852	Fbxo30	1	+	5366379	5388069	5.666095	4.398916	6.401658
ENSRNOG00000014450	Shprh	1	+	5240180	5313054	5.338763	4.150009	6.039428
