circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:21559247|21561189	1	21559247	21561189	1	1_1_0	16	0.111	exon	ENSRNOG00000013422,	-	NB501259:26:HYTWLBGXX:2:22307:1697:9010,
1:28362167|28375861	1	28362167	28375861	2	1_1_0	4	0.500	exon	ENSRNOG00000013323,	+	NB501259:26:HYTWLBGXX:1:12309:19755:5165,NB501259:26:HYTWLBGXX:1:11206:5186:2465,
1:37512286|37587036	1	37512286	37587036	1	1_1_0	11	0.154	exon	ENSRNOG00000032150,	+	NB501259:26:HYTWLBGXX:3:21402:14218:10515,
1:47913677|47914306	1	47913677	47914306	2	2_2_0	32	0.111	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:12602:1397:2085,NB501259:26:HYTWLBGXX:3:21409:13769:19590,
1:62330221|62333415	1	62330221	62333415	3	1_1_0	13	0.316	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:21406:1925:17336,NB501259:26:HYTWLBGXX:3:21502:7086:10398,NB501259:26:HYTWLBGXX:1:22207:23188:9633,
1:63845947|63923799	1	63845947	63923799	1	1_1_0	0	1	intron	ENSRNOG00000053260,	+	NB501259:26:HYTWLBGXX:1:11309:8150:5477,
1:78369712|78370333	1	78369712	78370333	1	1_0_1	6	0.250	exon	ENSRNOG00000015229,	+	NB501259:26:HYTWLBGXX:1:12201:9424:3182,
1:85929000|85929314	1	85929000	85929314	1	1_0_1	62	0.031	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:3:12504:9236:6692,
1:90063473|90063659	1	90063473	90063659	2	0_1_1	126	0.031	exon	ENSRNOG00000023150,	+	NB501259:26:HYTWLBGXX:2:11111:19592:18093,NB501259:26:HYTWLBGXX:3:12510:22756:1866,
1:91873487|91883284	1	91873487	91883284	1	1_1_0	1	0.667	exon	ENSRNOG00000052814,	+	NB501259:26:HYTWLBGXX:2:11111:7150:2880,
1:100956380|100957253	1	100956380	100957253	1	1_1_0	2	0.500	exon	ENSRNOG00000026163,	-	NB501259:26:HYTWLBGXX:2:21207:25541:6743,
1:116642079|116660509	1	116642079	116660509	2	1_1_0	70	0.054	intron	ENSRNOG00000015734,	+	NB501259:26:HYTWLBGXX:4:13608:4476:8212,NB501259:26:HYTWLBGXX:3:12407:15286:14079,
1:120951677|120955517	1	120951677	120955517	2	1_1_0	47	0.078	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:23103:18640:19002,NB501259:26:HYTWLBGXX:4:23507:6924:4253,
1:122377171|122417464	1	122377171	122417464	1	1_1_0	32	0.059	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:11508:15472:8836,
1:122554066|122613766	1	122554066	122613766	1	1_1_0	32	0.059	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:12507:16573:4127,
1:122605870|122678378	1	122605870	122678378	35	20_19_0	18	0.795	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:23410:2370:11092,NB501259:26:HYTWLBGXX:1:12212:16881:6555,NB501259:26:HYTWLBGXX:4:12609:22922:16858,NB501259:26:HYTWLBGXX:3:21402:7568:10942,NB501259:26:HYTWLBGXX:3:21501:24603:13971,NB501259:26:HYTWLBGXX:4:22410:22643:10168,NB501259:26:HYTWLBGXX:2:22308:6495:11085,NB501259:26:HYTWLBGXX:2:23109:21218:7184,NB501259:26:HYTWLBGXX:2:12207:9511:17674,NB501259:26:HYTWLBGXX:2:12208:22780:17201,NB501259:26:HYTWLBGXX:2:13302:19074:5252,NB501259:26:HYTWLBGXX:4:22508:4483:18660,NB501259:26:HYTWLBGXX:4:23404:9851:11417,NB501259:26:HYTWLBGXX:2:11108:1390:11315,NB501259:26:HYTWLBGXX:2:11109:26827:11321,NB501259:26:HYTWLBGXX:2:11212:22681:18400,NB501259:26:HYTWLBGXX:1:11212:23748:8223,NB501259:26:HYTWLBGXX:3:13512:5509:12825,NB501259:26:HYTWLBGXX:4:11502:12354:17512,NB501259:26:HYTWLBGXX:4:11506:12802:16170,NB501259:26:HYTWLBGXX:3:22510:10156:8022,NB501259:26:HYTWLBGXX:1:13210:24201:5558,NB501259:26:HYTWLBGXX:3:21403:25303:10898,NB501259:26:HYTWLBGXX:3:21408:26523:12620,NB501259:26:HYTWLBGXX:3:21409:1065:12619,NB501259:26:HYTWLBGXX:4:21505:16852:6786,NB501259:26:HYTWLBGXX:4:22404:23433:3624,NB501259:26:HYTWLBGXX:2:22302:14703:16471,NB501259:26:HYTWLBGXX:2:22305:22936:13092,NB501259:26:HYTWLBGXX:4:22509:22117:1676,NB501259:26:HYTWLBGXX:4:23506:22903:15058,NB501259:26:HYTWLBGXX:4:23608:4651:18312,NB501259:26:HYTWLBGXX:1:11309:17629:20281,NB501259:26:HYTWLBGXX:1:22201:14260:15331,NB501259:26:HYTWLBGXX:3:11604:4677:9906,
1:122613645|122680102	1	122613645	122680102	5	5_3_2	26	0.278	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:12608:18298:18775,NB501259:26:HYTWLBGXX:2:12303:4856:4237,NB501259:26:HYTWLBGXX:4:22506:24755:8597,NB501259:26:HYTWLBGXX:4:23409:14480:4767,NB501259:26:HYTWLBGXX:1:21307:26595:2777,
1:126573474|126583015	1	126573474	126583015	2	2_2_0	5	0.444	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:2:23305:21218:9740,NB501259:26:HYTWLBGXX:1:11211:5007:14951,
1:134838790|134839334	1	134838790	134839334	1	1_1_0	5	0.286	intron	ENSRNOG00000012716,	-	NB501259:26:HYTWLBGXX:3:21401:1763:17707,
1:164025518|164064815	1	164025518	164064815	2	2_2_0	17	0.190	exon	ENSRNOG00000016206,	-	NB501259:26:HYTWLBGXX:1:13201:23462:18925,NB501259:26:HYTWLBGXX:1:13312:14981:19234,
1:165646261|165654319	1	165646261	165654319	1	1_1_0	69	0.028	exon	ENSRNOG00000018176,	+	NB501259:26:HYTWLBGXX:2:12212:17771:12999,
1:167254585|167264009	1	167254585	167264009	2	1_1_0	29	0.121	exon	ENSRNOG00000020347,	-	NB501259:26:HYTWLBGXX:3:23604:20596:2190,NB501259:26:HYTWLBGXX:4:22512:21462:13047,
1:176898945|176919983	1	176898945	176919983	3	2_1_0	16	0.273	exon	ENSRNOG00000026754,	+	NB501259:26:HYTWLBGXX:2:13310:12715:7973,NB501259:26:HYTWLBGXX:2:12107:21479:13588,NB501259:26:HYTWLBGXX:3:13411:10318:5049,
1:185233419|185234547	1	185233419	185234547	2	1_1_0	17	0.190	exon	ENSRNOG00000020479,	+	NB501259:26:HYTWLBGXX:1:12305:23474:9384,NB501259:26:HYTWLBGXX:1:22111:20986:13654,
1:187264791|187265431	1	187264791	187265431	1	1_1_0	32	0.059	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:1:13102:25095:1711,
1:192952650|192955267	1	192952650	192955267	3	3_2_0	34	0.150	exon	ENSRNOG00000012806,	+	NB501259:26:HYTWLBGXX:4:13508:3848:6622,NB501259:26:HYTWLBGXX:1:13310:8026:19845,NB501259:26:HYTWLBGXX:3:13604:12347:13598,
1:194869116|194917768	1	194869116	194917768	2	0_2_1	20	0.167	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:23209:22828:13923,NB501259:26:HYTWLBGXX:3:11402:22010:12584,
1:194917622|194917768	1	194917622	194917768	4	2_1_1	119	0.063	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:21412:17716:3813,NB501259:26:HYTWLBGXX:2:11103:3150:8261,NB501259:26:HYTWLBGXX:2:11206:20099:18700,NB501259:26:HYTWLBGXX:1:22107:2892:17767,
1:195005919|195006188	1	195005919	195006188	1	1_1_0	3	0.400	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:23111:12737:3409,
1:195091234|195096659	1	195091234	195096659	1	1_1_0	121	0.016	exon	ENSRNOG00000054391,	-	NB501259:26:HYTWLBGXX:4:22610:9644:11762,
1:195657722|195658293	1	195657722	195658293	1	1_1_0	29	0.065	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:23403:9424:15248,
1:195657722|195843637	1	195657722	195843637	13	3_12_0	55	0.321	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:23604:3500:2248,NB501259:26:HYTWLBGXX:4:22609:10331:17607,NB501259:26:HYTWLBGXX:4:23506:18739:15901,NB501259:26:HYTWLBGXX:4:12404:18320:14948,NB501259:26:HYTWLBGXX:2:21108:16361:6651,NB501259:26:HYTWLBGXX:2:21304:2447:3945,NB501259:26:HYTWLBGXX:3:21412:4894:12230,NB501259:26:HYTWLBGXX:4:21403:5059:1221,NB501259:26:HYTWLBGXX:1:23108:1723:4452,NB501259:26:HYTWLBGXX:4:23601:11598:6361,NB501259:26:HYTWLBGXX:1:11303:17664:20202,NB501259:26:HYTWLBGXX:1:12105:21627:11429,NB501259:26:HYTWLBGXX:1:12107:13356:9819,
1:195665691|195805915	1	195665691	195805915	8	3_2_1	81	0.165	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:12511:16751:11500,NB501259:26:HYTWLBGXX:2:23209:10361:2503,NB501259:26:HYTWLBGXX:1:12306:23939:5846,NB501259:26:HYTWLBGXX:1:13205:1399:12117,NB501259:26:HYTWLBGXX:1:13206:26885:12107,NB501259:26:HYTWLBGXX:1:13212:16497:15275,NB501259:26:HYTWLBGXX:3:13506:4913:7625,NB501259:26:HYTWLBGXX:3:13608:16719:16765,
1:195665691|195843637	1	195665691	195843637	4	4_4_0	83	0.088	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:22405:20461:7339,NB501259:26:HYTWLBGXX:3:22405:26033:11688,NB501259:26:HYTWLBGXX:2:13203:4868:15696,NB501259:26:HYTWLBGXX:1:21201:7847:11432,
1:195805819|195840151	1	195805819	195840151	6	1_3_0	71	0.145	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:2:12105:11008:2521,NB501259:26:HYTWLBGXX:3:23510:19409:16757,NB501259:26:HYTWLBGXX:1:23110:21386:5197,NB501259:26:HYTWLBGXX:2:12304:15478:11418,NB501259:26:HYTWLBGXX:2:11304:20405:15978,NB501259:26:HYTWLBGXX:3:11405:3938:9958,
1:195805819|195843637	1	195805819	195843637	1	0_1_1	68	0.029	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:21501:23668:20303,
1:219592036|219638528	1	219592036	219638528	1	1_1_0	6	0.250	exon	ENSRNOG00000019145,	-	NB501259:26:HYTWLBGXX:3:11509:4829:18944,
