Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSRNOG00000040300	Raet1e	1	-	1101965	1116926	0.000000	0.000000	0.000000
ENSRNOG00000058808	AABR07000109.1	1	+	1115869	1115990	1.340438	1.235804	1.661193
ENSRNOG00000061806	AABR07000158.2	1	-	1628117	1628234	0.118644	0.109383	0.147034
ENSRNOG00000029897	AABR07000156.1	1	+	1545134	1546169	0.509170	0.469424	0.631010
ENSRNOG00000014303	Lrp11	1	+	1702696	1731210	14.173141	13.066794	17.564648
ENSRNOG00000051899	AABR07000159.1	1	-	1726382	1726514	0.000000	0.000000	0.000000
ENSRNOG00000014330	Pcmt1	1	-	1736276	1767618	9.113450	8.402060	11.294217
ENSRNOG00000049505	Nup43	1	+	1771710	1782091	2.978850	2.746323	3.691662
ENSRNOG00000053710	AABR07000159.2	1	-	1888877	1889236	0.031667	0.029195	0.039245
ENSRNOG00000014916	Lats1	1	+	1784078	1817310	4.342740	4.003748	5.381919
ENSRNOG00000015239	Ginm1	1	-	1870388	1885981	2.925481	2.697120	3.625523
ENSRNOG00000055508	AABR07000159.3	1	+	1885876	1886209	0.000000	0.000000	0.000000
ENSRNOG00000014996	Katna1	1	+	1825872	1867787	0.694939	0.640692	0.861232
ENSRNOG00000016041	Zc3h12d	1	+	1938419	1972918	0.000000	0.000000	0.000000
ENSRNOG00000015552	Ppil4	1	+	1897338	1929763	6.302310	5.810355	7.810397
ENSRNOG00000016054	Tab2	1	-	1999596	2073896	8.017927	7.613396	10.234081
ENSRNOG00000016381	Ust	1	-	2333778	2627747	0.902846	0.832370	1.118889
ENSRNOG00000013160	Sash1	1	-	2782864	2846200	7.083295	6.530377	8.778264
ENSRNOG00000031859	RGD1560633	1	-	3848619	3849080	0.278018	0.256316	0.344545
ENSRNOG00000023549	Samd5	1	-	3713750	3763392	0.815261	0.751622	1.010346
ENSRNOG00000013351	Stxbp5	1	-	3858909	4011511	10.765841	10.154974	13.650520
ENSRNOG00000061755	-	1	-	3952552	3952682	2.793893	2.575804	3.462447
ENSRNOG00000014258	Rab32	1	-	4637491	4653210	0.022903	0.021115	0.028383
ENSRNOG00000042741	Adgb	1	-	4445027	4560789	0.126212	0.480147	0.645423
ENSRNOG00000014431	AABR07000222.1	1	-	5238340	5238900	1.897504	1.749386	2.351560
ENSRNOG00000014852	Fbxo30	1	+	5366379	5388069	3.704772	3.415580	4.591291
ENSRNOG00000014450	Shprh	1	+	5240180	5313054	4.447492	4.102081	5.514101
ENSRNOG00000040242	Epm2a	1	+	5448958	5571512	4.186352	3.859568	5.188108
ENSRNOG00000014290	Grm1	1	-	4753144	5165859	6.145819	5.722261	7.691979
ENSRNOG00000051844	AABR07000248.1	1	-	6278881	6279793	0.005367	0.004948	0.006651
ENSRNOG00000014908	Sf3b5	1	+	7101715	7102426	2.407303	2.219391	2.983349
ENSRNOG00000036310	AABR07000257.1	1	+	7171507	7171614	0.049691	0.045812	0.061582
ENSRNOG00000025587	Plagl1	1	+	7252349	7259035	1.926325	1.775957	2.387277
ENSRNOG00000042705	Zc2hc1b	1	-	7294027	7322455	0.000000	0.000000	0.000000
ENSRNOG00000043188	AABR07000261.1	1	+	7305658	7313200	0.000000	0.000000	0.000000
ENSRNOG00000015217	Ltv1	1	-	7323040	7335936	0.378507	0.348961	0.469080
ENSRNOG00000015551	Fuca2	1	+	7658890	7673683	1.016959	0.937576	1.260308
ENSRNOG00000015473	Phactr2	1	-	7355154	7480825	1.363315	1.274281	1.712914
ENSRNOG00000016624	AABR07000276.1	1	-	7800941	7801438	0.000000	0.000000	0.000000
ENSRNOG00000046983	Adat2	1	+	7726529	7742484	1.019197	0.939639	1.263082
ENSRNOG00000015660	Pex3	1	-	7685338	7726401	1.678517	1.547493	2.080171
ENSRNOG00000011058	Utrn	1	-	6451810	6970040	5.949820	5.621404	7.556404
ENSRNOG00000010753	Aig1	1	-	7816838	8038665	4.437324	4.090950	5.499136
ENSRNOG00000011399	AABR07000292.1	1	-	8465333	8466091	0.326746	0.301240	0.404933
ENSRNOG00000011015	Hivep2	1	+	8310577	8333885	6.690261	6.168023	8.291181
ENSRNOG00000012103	Nmbr	1	+	8933831	8944987	0.676310	0.674116	0.906160
ENSRNOG00000011540	Vta1	1	-	8830411	8878244	7.917391	7.299364	9.811953
ENSRNOG00000011411	Adgrg6	1	-	8593075	8751198	1.216922	1.121930	1.508121
ENSRNOG00000060990	AABR07000382.1	1	+	11766992	11772215	0.000000	0.000000	0.000000
ENSRNOG00000058425	AABR07000385.2	1	-	11834038	11840581	0.686201	0.632637	0.850403
ENSRNOG00000051831	5_8S_rRNA	1	-	11906441	11906593	0.734174	0.676865	0.909855
ENSRNOG00000052007	AABR07000392.1	1	-	11915537	11915623	0.156322	0.144120	0.193728
ENSRNOG00000061685	AABR07000398.2	1	+	11962750	11962836	0.156322	0.144120	0.193728
ENSRNOG00000047746	AABR07000398.1	1	+	11963836	11968939	0.000000	0.000000	0.000000
ENSRNOG00000053888	5_8S_rRNA	1	+	11970092	11970244	0.734069	0.676768	0.909725
ENSRNOG00000055836	AABR07000402.1	1	+	11974142	11974190	62.661053	57.769772	77.655281
ENSRNOG00000060657	AABR07000404.1	1	+	11975022	11975070	62.661064	57.769779	77.655296
ENSRNOG00000059898	LOC100909599	1	-	11982257	11995787	0.000000	0.000000	0.000000
ENSRNOG00000055789	AABR07000411.1	1	+	12006598	12136637	0.148724	0.137115	0.184312
ENSRNOG00000062232	Mcc	1	+	12006660	12128845	0.000000	0.000000	0.000000
ENSRNOG00000056940	Cited2	1	+	12823363	12825786	4.906875	4.523847	6.081047
ENSRNOG00000060972	Heca	1	-	13036909	13050644	4.875886	4.495277	6.042642
ENSRNOG00000051450	Abracl	1	-	13165572	13175876	1.460277	1.346289	1.809708
ENSRNOG00000055142	Ect2l	1	-	13302256	13341952	0.000000	0.000000	0.000000
ENSRNOG00000053347	Ccdc28a	1	-	13384156	13395370	2.549791	2.350756	3.159933
ENSRNOG00000059393	U6	1	-	13582340	13582424	1.596470	1.471851	1.978491
ENSRNOG00000059224	Reps1	1	+	13212324	13298347	1.554310	1.557992	2.094284
ENSRNOG00000053735	Hebp2	1	-	13714440	13719829	0.246504	0.227262	0.305490
ENSRNOG00000060603	Nhsl1	1	+	13595295	13705396	0.767538	0.707624	0.951203
ENSRNOG00000011994	Perp	1	+	14224393	14236846	0.000000	0.000000	0.000000
ENSRNOG00000011460	Arfgef3	1	-	13838707	13915594	5.599913	5.162787	6.939922
ENSRNOG00000012074	Ifngr1	1	+	15062432	15080907	10.745512	9.906724	13.316817
ENSRNOG00000012259	Il22ra2	1	+	15093599	15106954	0.847106	0.780981	1.049811
ENSRNOG00000012286	Il20ra	1	+	15180328	15222785	0.404843	0.373241	0.501718
ENSRNOG00000012311	Slc35d3	1	-	15298526	15301998	0.231212	0.213164	0.286539
ENSRNOG00000012322	Pex7	1	-	15311770	15374850	0.845361	0.779373	1.047648
ENSRNOG00000031700	Map3k5	1	+	15412603	15613746	1.239797	1.143019	1.536469
ENSRNOG00000054452	AABR07000497.1	1	-	15540605	15540739	0.000000	0.000000	0.000000
ENSRNOG00000012701	Map7	1	+	15620653	15748203	0.664769	9.605098	12.911366
ENSRNOG00000058050	Bclaf1	1	+	15782477	15860624	5.416282	22.998249	30.914709
ENSRNOG00000013436	Pde7b	1	-	15893533	16203909	7.254880	6.837641	9.191295
ENSRNOG00000055858	Myb	1	-	16659442	16687817	0.805668	0.742778	0.998457
ENSRNOG00000048762	AABR07000534.1	1	-	16987382	16989482	0.000000	0.000000	0.000000
ENSRNOG00000013969	Ahi1	1	+	16478127	16601769	33.723583	31.091139	41.793339
ENSRNOG00000014531	Hbs1l	1	+	16819170	16896219	2.090923	4.707075	6.327344
ENSRNOG00000047605	Ptprk	1	-	17446417	18058055	2.234095	2.059703	2.768694
ENSRNOG00000046617	LOC103690149	1	+	17602281	17625197	13.151300	12.124718	16.298288
ENSRNOG00000051380	LOC102554576	1	-	19638106	19640329	0.000000	0.000000	0.000000
ENSRNOG00000011245	Arhgap18	1	-	19227121	19376301	10.901969	10.050967	13.510714
ENSRNOG00000033517	LOC100360791	1	+	20115995	20116513	22.431505	20.680515	27.799166
ENSRNOG00000011720	L3mbtl3	1	+	20022793	20097099	1.115889	1.028783	1.382911
ENSRNOG00000050801	AABR07000629.3	1	-	20238386	20243910	0.000000	0.000000	0.000000
ENSRNOG00000049569	AABR07000629.2	1	-	20331886	20332466	0.000000	0.000000	0.000000
ENSRNOG00000047783	Tmem200a	1	+	20331976	20412381	1.407969	1.298064	1.744883
ENSRNOG00000011855	AABR07000629.1	1	+	20332371	20332844	0.000000	0.000000	0.000000
ENSRNOG00000053931	AABR07000631.1	1	+	20388991	20389124	0.047264	0.043575	0.058574
ENSRNOG00000026462	RGD1559962	1	-	20417008	20417637	0.218125	0.201098	0.270320
ENSRNOG00000011134	Lama2	1	+	18491384	19143269	0.351329	0.328090	0.441025
ENSRNOG00000046438	AABR07000583.1	1	-	18511024	18511695	0.000000	0.000000	0.000000
ENSRNOG00000057281	U6	1	+	18578036	18578142	0.000000	0.000000	0.000000
