	Name	Description	mean	median
0	ENSG00000223972.5	DDX11L1	0.01065475935828877	0.0
1	ENSG00000227232.5	WASH7P	4.97336898395722	4.195
2	ENSG00000278267.1	MIR6859-1	0.010392513368983957	0.0
3	ENSG00000243485.5	MIR1302-2HG	0.015800267379679146	0.0
4	ENSG00000237613.2	FAM138A	0.006898288770053476	0.0
5	ENSG00000268020.3	OR4G4P	0.04034636363636363	0.035505
6	ENSG00000240361.1	OR4G11P	0.05313229946524064	0.03968
7	ENSG00000186092.4	OR4F5	0.081068128342246	0.043455
8	ENSG00000238009.6	RP11-34P13.7	0.029134176470588236	0.01686
9	ENSG00000233750.3	CICP27	0.04601759893048129	0.03104
10	ENSG00000268903.1	RP11-34P13.15	6.466955080213904	4.6880000000000015
11	ENSG00000269981.1	RP11-34P13.16	11.298245989304814	8.4025
12	ENSG00000239906.1	RP11-34P13.14	0.40102406417112296	0.11505
13	ENSG00000241860.6	RP11-34P13.13	0.13659997860962567	0.1114
14	ENSG00000222623.1	RNU6-1100P	0.010754010695187166	0.0
15	ENSG00000241599.1	RP11-34P13.9	0.0036220855614973258	0.0
16	ENSG00000279928.2	ABC7-43046700E7.1	0.1962896256684492	0.075875
17	ENSG00000279457.4	RP11-34P13.18	8.383764705882353	7.664999999999999
18	ENSG00000273874.1	MIR6859-2	0.005539037433155081	0.0
19	ENSG00000228463.9	AP006222.2	0.3137208556149733	0.25065000000000004
20	ENSG00000236679.2	RPL23AP24	0.056994064171123	0.0
21	ENSG00000236743.1	RP5-857K21.15	0.0010179679144385026	0.0
22	ENSG00000236601.2	RP4-669L17.2	0.02233465240641711	0.0
23	ENSG00000237094.11	RP4-669L17.10	0.20509909090909087	0.1604
24	ENSG00000269732.1	WBP1LP7	0.07660470588235294	0.0
25	ENSG00000278566.1	OR4F29	0.05002657754010695	0.039625
26	ENSG00000233653.3	CICP7	0.012097764705882351	0.0
27	ENSG00000250575.1	RP4-669L17.8	0.04385417112299465	0.023334999999999998
28	ENSG00000278757.1	U6	0.0018529411764705878	0.0
29	ENSG00000230021.8	RP5-857K21.4	0.03745541176470589	0.0316
30	ENSG00000235146.2	RP5-857K21.2	0.011789839572192512	0.0
31	ENSG00000225972.1	MTND1P23	392.34923529411765	10.215
32	ENSG00000225630.1	MTND2P28	898.3013796791445	751.2
33	ENSG00000237973.1	MTCO1P12	263.08616577540107	78.64
34	ENSG00000229344.1	MTCO2P12	52.370556149732636	16.265
