Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Ern1	ENSMUST00000001059.3	endoplasmic reticulum (ER) to nucleus signalling 1 	832	1	0	1	0	2	1	0	1	3	mmu-miR-124-3p.1	-1.50	-1.81	0.90	2009, 2011
Vamp3	ENSMUST00000030797.3	vesicle-associated membrane protein 3 	73	3	1	2	0	0	0	0	0	3	mmu-miR-124-3p.1	-1.49	-1.51	> 0.99	2005, 2007, 2009, 2011
Myo10	ENSMUST00000110457.2	myosin X 	1073	2	1	0	1	0	0	0	0	0	mmu-miR-124-3p.1	-1.46	-1.46	> 0.99	2005, 2007, 2009, 2011
Slc5a3	ENSMUST00000113975.2	solute carrier family 5 (inositol transporters), member 3 	2953	2	0	2	0	0	0	0	0	5	mmu-miR-124-3p.1	-1.36	-1.36	0.98	2007, 2009, 2011
Pdcd6	ENSMUST00000022060.5	programmed cell death 6 	3257	1	1	0	0	0	0	0	0	0	mmu-miR-124-3p.1	-1.31	-1.32	0.96	2005, 2007, 2009, 2011
Foxq1	ENSMUST00000042118.9	forkhead box Q1 	56	1	1	0	0	0	0	0	0	0	mmu-miR-124-3p.1	-1.24	-1.24	0.36	2005, 2007, 2009, 2011
Ddx6	ENSMUST00000170489.1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6 	585	1	1	0	0	1	0	0	1	2	mmu-miR-124-3p.1	-1.23	-1.24	0.93	2005, 2007, 2009, 2011
Gnai3	ENSMUST00000000001.4	guanine nucleotide binding protein (G protein), alpha inhibiting 3 	6428	2	0	2	0	0	0	0	0	1	mmu-miR-124-3p.1	-1.22	-1.27	0.90	2005, 2007, 2009, 2011
Limch1	ENSMUST00000038188.8	LIM and calponin homology domains 1 	1897	2	1	0	1	0	0	0	0	0	mmu-miR-124-3p.1	-1.19	-1.33	0.96	2007, 2009, 2011
Aspa	ENSMUST00000021119.3	aspartoacylase 	1604	1	1	0	0	1	0	1	0	0	mmu-miR-124-3p.1	-1.17	-1.70	0.85	2005, 2007, 2009, 2011
Sept10	ENSMUST00000165971.1	septin 10 	873	2	2	0	0	1	0	0	1	1	mmu-miR-124-3p.1	-1.16	-1.22	0.89	2005, 2007, 2009, 2011
Traf3	ENSMUST00000117269.2	TNF receptor-associated factor 3 	465	2	1	1	0	1	0	1	0	0	mmu-miR-124-3p.1	-1.15	-1.53	> 0.99	2009, 2011
Zbed4	ENSMUST00000041297.9	zinc finger, BED domain containing 4 	5	1	1	0	0	0	0	0	0	0	mmu-miR-124-3p.1	-1.10	-1.10	0.93	2005, 2007, 2009, 2011
Trib3	ENSMUST00000040312.6	tribbles homolog 3 (Drosophila) 	316	1	0	1	0	2	1	1	0	2	mmu-miR-124-3p.1	-1.09	-1.09	0.89	2005, 2007, 2009, 2011
Gpr114	ENSMUST00000166802.2	G protein-coupled receptor 114 	21	1	1	0	0	0	0	0	0	1	mmu-miR-124-3p.1	-1.06	-1.06	< 0.1	2007, 2009, 2011
Glis2	ENSMUST00000014447.7	GLIS family zinc finger 2 	406	1	0	1	0	1	0	0	1	2	mmu-miR-124-3p.1	-1.04	-1.05	0.92	2007, 2009, 2011
Zscan22	ENSMUST00000117189.1	zinc finger and SCAN domain containing 22 	127	1	0	1	0	2	0	1	1	2	mmu-miR-124-3p.1	-1.03	-1.43	0.67	2007, 2009, 2011
Zfp275	ENSMUST00000114499.2	zinc finger protein 275 	848	1	0	1	0	1	0	1	0	2	mmu-miR-124-3p.1	-1.02	-1.04	0.76	2009, 2011
Rhog	ENSMUST00000098230.5	ras homolog gene family, member G 	115	2	1	1	0	1	0	0	1	1	mmu-miR-124-3p.1	-1.02	-1.02	0.96	2005, 2007, 2009, 2011
Magt1	ENSMUST00000151689.2	magnesium transporter 1 	3001	2	2	0	0	1	0	0	1	1	mmu-miR-124-3p.1	-1.01	-1.05	> 0.99	2007, 2011
Ttc7	ENSMUST00000041110.6	tetratricopeptide repeat domain 7 	615	1	0	1	0	1	0	1	0	0	mmu-miR-124-3p.1	-1.00	-1.01	0.44	2009, 2011
Abtb2	ENSMUST00000076212.3	ankyrin repeat and BTB (POZ) domain containing 2 	378	1	0	1	0	2	0	2	0	0	mmu-miR-124-3p.1	-0.97	-1.23	< 0.1	2005, 2007, 2009, 2011
Srgap1	ENSMUST00000020322.6	SLIT-ROBO Rho GTPase activating protein 1 	109	2	0	2	0	1	0	1	0	3	mmu-miR-124-3p.1	-0.96	-1.64	0.98	2011
Paqr9	ENSMUST00000079597.6	progestin and adipoQ receptor family member IX 	1329	2	0	1	1	1	0	1	0	2	mmu-miR-124-3p.1	-0.95	-1.41	0.96	2005, 2007, 2009, 2011
Dmrt1	ENSMUST00000087525.4	doublesex and mab-3 related transcription factor 1 	587	1	1	0	0	0	0	0	0	0	mmu-miR-124-3p.1	-0.94	-0.95	< 0.1	2005, 2007, 2009, 2011
Cd164	ENSMUST00000019962.9	CD164 antigen 	19474	2	2	0	0	1	0	0	1	1	mmu-miR-124-3p.1	-0.94	-1.04	> 0.99	2005, 2007, 2009, 2011
Gpd2	ENSMUST00000169687.2	glycerol phosphate dehydrogenase 2, mitochondrial 	6529	1	0	1	0	0	0	0	0	3	mmu-miR-124-3p.1	-0.90	-0.95	0.91	2007, 2011
Cebpa	ENSMUST00000042985.9	CCAAT/enhancer binding protein (C/EBP), alpha 	22982	3	0	3	0	1	0	0	1	0	mmu-miR-124-3p.1	-0.86	-0.87	> 0.99	2005, 2007, 2009, 2011
Serp1	ENSMUST00000029385.7	stress-associated endoplasmic reticulum protein 1 	4897	2	1	1	0	0	0	0	0	2	mmu-miR-124-3p.1	-0.86	-0.95	> 0.99	2005, 2007, 2009, 2011
Sypl	ENSMUST00000076698.6	synaptophysin-like protein 	1404	1	0	1	0	0	0	0	0	3	mmu-miR-124-3p.1	-0.86	-1.05	0.91	2009, 2011
