circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:2277718|2282190	1	2277718	2282190	1	1_1_0	66	0.029	exon	ENSRNOG00000015552,	+	NB501259:25:HYMKWBGXX:4:11508:26173:10193,
1:4214444|4267262	1	4214444	4267262	2	2_2_0	40	0.091	exon	ENSRNOG00000013351,	-	NB501259:25:HYMKWBGXX:1:12211:5417:16924,NB501259:25:HYMKWBGXX:4:13510:20018:7268,
1:6803760|6816187	1	6803760	6816187	1	1_1_0	80	0.024	exon	ENSRNOG00000011058,	-	NB501259:25:HYMKWBGXX:2:11101:6270:5224,
1:6803760|6862691	1	6803760	6862691	1	1_1_0	70	0.028	exon	ENSRNOG00000011058,	-	NB501259:25:HYMKWBGXX:4:22403:18530:7951,
1:15767889|15820033	1	15767889	15820033	1	1_1_0	112	0.018	exon	ENSRNOG00000013969,	+	NB501259:25:HYMKWBGXX:2:21210:15742:3527,
1:15819913|15886744	1	15819913	15886744	1	1_1_0	99	0.020	exon	ENSRNOG00000013969,	+	NB501259:25:HYMKWBGXX:3:21504:20745:8334,
1:23761421|23829759	1	23761421	23829759	2	1_1_0	15	0.211	exon	ENSRNOG00000012122,	+	NB501259:25:HYMKWBGXX:3:22611:17618:3106,NB501259:25:HYMKWBGXX:4:22408:8671:15057,
1:25200773|25285828	1	25200773	25285828	1	1_1_0	178	0.011	exon	ENSRNOG00000029608,	+	NB501259:25:HYMKWBGXX:1:23107:19007:9900,
1:26079313|26093015	1	26079313	26093015	3	2_2_0	12	0.333	exon	ENSRNOG00000013323,	+	NB501259:25:HYMKWBGXX:1:11302:9892:16061,NB501259:25:HYMKWBGXX:2:21111:7593:11532,NB501259:25:HYMKWBGXX:4:21404:14132:15172,
1:26103933|26128839	1	26103933	26128839	2	1_1_0	6	0.400	intergenic_region	n/a	+	NB501259:25:HYMKWBGXX:1:23104:25250:10922,NB501259:25:HYMKWBGXX:3:22610:22567:19308,
1:35943059|36115607	1	35943059	36115607	2	2_1_0	1	0.800	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:4:13409:6393:17286,NB501259:25:HYMKWBGXX:1:13206:8023:14529,
1:51795662|51797123	1	51795662	51797123	1	1_1_0	90	0.022	intron	ENSRNOG00000011310,	-	NB501259:25:HYMKWBGXX:1:22112:22569:11564,
1:55928457|55940634	1	55928457	55940634	1	1_1_0	2	0.500	exon	ENSRNOG00000015609,	-	NB501259:25:HYMKWBGXX:2:11110:9234:8541,
1:61825772|61873130	1	61825772	61873130	1	1_0_1	1	0.667	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:1:21101:22806:12928,
1:62178821|62297645	1	62178821	62297645	1	1_1_0	1	0.667	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:3:12512:14744:16641,
1:72411391|72525092	1	72411391	72525092	1	1_1_0	1	0.667	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:2:11303:12796:1279,
1:73339588|73341383	1	73339588	73341383	3	3_3_0	1	0.857	exon	ENSRNOG00000026861,	-	NB501259:25:HYMKWBGXX:2:12104:25415:3096,NB501259:25:HYMKWBGXX:3:21508:24961:8135,NB501259:25:HYMKWBGXX:4:12407:3453:7489,
1:78859216|78859890	1	78859216	78859890	2	2_1_0	9	0.308	intergenic_region	n/a	+	NB501259:25:HYMKWBGXX:2:21112:10678:1942,NB501259:25:HYMKWBGXX:1:21311:20271:8401,
1:83263661|83323372	1	83263661	83323372	2	2_2_0	5	0.444	intergenic_region	n/a	-	NB501259:25:HYMKWBGXX:2:11310:15624:17650,NB501259:25:HYMKWBGXX:4:22608:16184:5952,
