circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
1:3900408|3920698	1	3900408	3920698	1	1_1_0	12	0.143	exon	ENSRNOG00000013351,	-	NB501259:26:HYTWLBGXX:1:23103:11990:18217,
1:20022792|20047889	1	20022792	20047889	1	1_1_0	1	0.667	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:3:12606:20377:17037,
1:25216049|25284394	1	25216049	25284394	1	1_1_0	3	0.400	exon	ENSRNOG00000012122,	+	NB501259:26:HYTWLBGXX:4:13510:5450:5739,
1:27721831|27723456	1	27721831	27723456	1	1_1_0	23	0.080	intron	ENSRNOG00000029608,	-	NB501259:26:HYTWLBGXX:4:11504:13153:13505,
1:37516585|37621662	1	37516585	37621662	2	2_2_0	26	0.133	exon	ENSRNOG00000032150,	+	NB501259:26:HYTWLBGXX:1:12107:1076:14495,NB501259:26:HYTWLBGXX:1:12108:26614:14490,
1:37532728|37596556	1	37532728	37596556	2	2_1_0	13	0.235	exon	ENSRNOG00000032150,	+	NB501259:26:HYTWLBGXX:3:23406:17921:5022,NB501259:26:HYTWLBGXX:3:13412:22610:3257,
1:56864514|56878958	1	56864514	56878958	5	3_1_2	21	0.323	intron	ENSRNOG00000015609,	-	NB501259:26:HYTWLBGXX:3:12607:20799:17678,NB501259:26:HYTWLBGXX:3:11510:22581:15659,NB501259:26:HYTWLBGXX:4:23610:5526:14361,NB501259:26:HYTWLBGXX:2:23209:11034:11984,NB501259:26:HYTWLBGXX:1:12204:23066:6878,
1:56864514|56880795	1	56864514	56880795	1	0_1_1	34	0.056	intron	ENSRNOG00000015609,	-	NB501259:26:HYTWLBGXX:3:11603:25702:2505,
1:62472136|62532677	1	62472136	62532677	5	3_1_0	4	0.714	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:13302:19131:15618,NB501259:26:HYTWLBGXX:3:12409:6901:15947,NB501259:26:HYTWLBGXX:3:21607:14715:12652,NB501259:26:HYTWLBGXX:1:13111:1621:13092,NB501259:26:HYTWLBGXX:2:23203:14324:14954,
1:71182993|71190480	1	71182993	71190480	1	1_1_0	4	0.333	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:22206:11591:12457,
1:78369712|78370333	1	78369712	78370333	1	1_0_1	0	1	exon	ENSRNOG00000015229,	+	NB501259:26:HYTWLBGXX:3:22408:8161:14986,
1:80908916|80923859	1	80908916	80923859	1	1_1_0	32	0.059	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:2:13203:14862:4406,
1:84697598|84881233	1	84697598	84881233	2	2_1_0	9	0.308	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:1:21307:20165:14767,NB501259:26:HYTWLBGXX:2:23210:22567:8061,
1:90072633|90073099	1	90072633	90073099	1	1_1_0	21	0.087	intron	ENSRNOG00000023150,	-	NB501259:26:HYTWLBGXX:3:21608:8867:18207,
1:94880990|94894769	1	94880990	94894769	1	1_1_0	2	0.500	intergenic_region	n/a	+	NB501259:26:HYTWLBGXX:4:22506:18234:19539,
1:113204014|113229405	1	113204014	113229405	2	2_2_0	70	0.054	exon	ENSRNOG00000060599,	+	NB501259:26:HYTWLBGXX:4:12503:13831:3874,NB501259:26:HYTWLBGXX:4:22505:9225:14513,
1:116742400|116753295	1	116742400	116753295	4	3_1_1	18	0.308	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:1:13111:17272:1742,NB501259:26:HYTWLBGXX:1:22207:3050:6232,NB501259:26:HYTWLBGXX:4:13505:5229:14157,NB501259:26:HYTWLBGXX:2:23307:23904:17762,
1:120860173|121017638	1	120860173	121017638	1	1_0_1	44	0.043	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:4:11512:8695:8969,
1:122605161|122778266	1	122605161	122778266	2	1_1_0	39	0.093	intergenic_region	n/a	-	NB501259:26:HYTWLBGXX:3:13501:6919:18628,NB501259:26:HYTWLBGXX:2:11207:6594:19174,
