# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "--primary" "-s" "0" "-t" "gene" "-g" "gene_id" "-a" "/scratch/avannan/refs/rat/mRatBN7.2/Rattus_norvegicus.mRatBN7.2.105.gtf" "-o" "/data/CEM/wilsonlab/projects/rodent_addiction/powell/05_counts/HISAT2_featureCounts/genes/powell_SRS6085261_CI1cue_hisat2_featurecounts_genes.txt" "/data/CEM/wilsonlab/projects/rodent_addiction/powell/04_processing/HISAT2/sorted_bams/powell_SRS6085261_CI1cue_hisat2_trim_sort.bam" 
Geneid	Chr	Start	End	Strand	Length	/data/CEM/wilsonlab/projects/rodent_addiction/powell/04_processing/HISAT2/sorted_bams/powell_SRS6085261_CI1cue_hisat2_trim_sort.bam
ENSRNOG00000066169	1	36112690	36122387	-	9698	12
ENSRNOG00000070168	1	157231467	157232417	+	951	0
ENSRNOG00000070901	1	80123925	80131881	+	7957	601
ENSRNOG00000018029	1	201296342	201299865	+	3524	36
ENSRNOG00000031391	1	79514975	79524871	-	9897	12
ENSRNOG00000055342	1	10379189	10379250	+	62	0
ENSRNOG00000068698	1	106682457	106683115	+	659	0
ENSRNOG00000067904	1	110296410	110296487	-	78	0
ENSRNOG00000063979	1	160433810	160433960	-	151	0
ENSRNOG00000064851	1	84097744	84100200	-	2457	0
ENSRNOG00000063562	1	444133	449072	+	4940	0
ENSRNOG00000050129	1	1307185	1308310	+	1126	0
ENSRNOG00000056886	1	65963774	65963881	-	108	0
ENSRNOG00000032625	1	79820465	79828602	+	8138	86
ENSRNOG00000029315	1	205625668	205627920	+	2253	0
ENSRNOG00000016356	1	242357306	242380633	-	23328	1130
ENSRNOG00000028288	1	190319026	190334648	-	15623	0
ENSRNOG00000015810	1	29357130	29402074	+	44945	4
ENSRNOG00000017538	1	194005182	194035084	+	29903	33
ENSRNOG00000027204	1	153568368	153634414	+	66047	2027
ENSRNOG00000058651	1	153237414	153237538	+	125	0
ENSRNOG00000070886	1	84971839	84972955	+	1117	0
ENSRNOG00000056005	1	10377378	10377442	+	65	0
ENSRNOG00000035453	1	58677171	58677287	-	117	0
ENSRNOG00000063396	1	110292739	110292816	-	78	0
ENSRNOG00000068709	1	85312396	85314369	+	1974	0
ENSRNOG00000069410	1	160695621	160696571	-	951	0
ENSRNOG00000014903	1	240979842	241003193	+	23352	305
ENSRNOG00000055477	1	152804275	152804439	+	165	0
ENSRNOG00000066157	1	665801	669037	-	3237	0
ENSRNOG00000059537	1	99557854	99557970	+	117	0
ENSRNOG00000064304	1	210445192	210446124	+	933	0
ENSRNOG00000035530	1	203564946	203565055	+	110	0
ENSRNOG00000021051	1	96284252	96291092	-	6841	166
ENSRNOG00000069804	1	110485165	110485257	-	93	0
ENSRNOG00000055569	1	153779081	153779225	-	145	0
ENSRNOG00000011160	1	128978473	129152479	-	174007	1908
ENSRNOG00000063599	1	86082052	86084878	-	2827	0
ENSRNOG00000017748	1	194381975	194383515	-	1541	46
ENSRNOG00000067237	1	1347392	1356446	+	9055	0
ENSRNOG00000065307	1	116129170	116157640	-	28471	1
ENSRNOG00000016227	1	192241701	192272010	+	30310	750
ENSRNOG00000070826	1	167476849	167476955	+	107	0
ENSRNOG00000013395	1	78531815	78537001	+	5187	12
ENSRNOG00000016906	1	154504563	154506890	+	2328	33
ENSRNOG00000066860	1	154286312	154286441	+	130	0
ENSRNOG00000069365	1	86856800	86859739	-	2940	8
ENSRNOG00000062499	1	110487777	110487869	-	93	0
ENSRNOG00000067821	1	34032808	34033058	-	251	0
ENSRNOG00000070448	1	210518254	210519177	+	924	0
ENSRNOG00000063062	1	1685022	1694177	-	9156	0
ENSRNOG00000036303	1	79038454	79038546	+	93	0
ENSRNOG00000067171	1	36397159	36398423	+	1265	0
ENSRNOG00000065290	1	160730837	160731760	+	924	0
ENSRNOG00000055366	1	166729024	166729154	-	131	0
ENSRNOG00000052293	1	153782788	153782935	-	148	0
ENSRNOG00000027582	1	193883106	193898914	+	15809	190
ENSRNOG00000070096	1	140056370	140066176	+	9807	0
ENSRNOG00000064522	1	110258920	110258997	-	78	0
ENSRNOG00000035532	1	226860371	226860467	+	97	0
ENSRNOG00000009830	1	259337709	259367077	-	29369	922
ENSRNOG00000066257	1	87300676	87436420	-	135745	0
ENSRNOG00000012742	1	30660960	30666378	-	5419	13
ENSRNOG00000063184	1	160756927	160757850	-	924	0
ENSRNOG00000069837	1	1383818	1385857	-	2040	1
ENSRNOG00000069135	1	165186791	165186978	-	188	0
ENSRNOG00000064137	1	2064711	2068275	+	3565	33
ENSRNOG00000071210	1	51302472	51302596	-	125	0
ENSRNOG00000067491	1	197833089	197833445	+	357	0
ENSRNOG00000064435	1	110469365	110469457	-	93	0
ENSRNOG00000065990	1	115243128	115243234	-	107	1
ENSRNOG00000065939	1	165942462	165942568	+	107	0
ENSRNOG00000013767	1	78537494	78557686	-	20193	42
ENSRNOG00000063387	1	195646504	195654583	+	8080	0
ENSRNOG00000052521	1	52648274	52648388	-	115	0
ENSRNOG00000067619	1	2071544	2078784	+	7241	88
ENSRNOG00000062791	1	110313740	110313816	-	77	41
ENSRNOG00000032699	1	70053324	70071845	-	18522	6436
ENSRNOG00000035616	1	196326337	196326454	+	118	0
ENSRNOG00000069698	1	87318941	87324424	-	5484	0
ENSRNOG00000063324	1	47830540	47830669	-	130	0
ENSRNOG00000058041	1	34948162	34948226	+	65	0
ENSRNOG00000063227	1	2589007	2602269	+	13263	13
ENSRNOG00000018408	1	82844286	82868320	+	24035	251
ENSRNOG00000064960	1	110269195	110269271	-	77	0
ENSRNOG00000030782	1	162843548	162844522	-	975	0
ENSRNOG00000016421	1	141115036	141210207	-	95172	25
ENSRNOG00000058299	1	47045892	47045997	-	106	0
ENSRNOG00000018334	1	94115420	94121221	+	5802	74
ENSRNOG00000070685	1	200728408	200728511	+	104	0
ENSRNOG00000060004	1	65561065	65561172	-	108	0
ENSRNOG00000069399	1	217315097	217316672	-	1576	0
ENSRNOG00000067907	1	3119915	3121187	+	1273	187
ENSRNOG00000014726	1	174053931	174078341	+	24411	120
ENSRNOG00000063196	1	87324520	87327129	+	2610	0
ENSRNOG00000060273	1	201660247	201660328	+	82	0
ENSRNOG00000070216	1	110260759	110260836	-	78	0
ENSRNOG00000051969	1	47833835	47833971	-	137	0
ENSRNOG00000023407	1	29965317	29968807	-	3491	115
ENSRNOG00000035654	1	58677011	58677090	+	80	0
ENSRNOG00000061890	1	205211034	205286718	-	75685	3
ENSRNOG00000010529	1	55670394	55699789	-	29396	6
ENSRNOG00000012684	1	243024614	243031653	-	7040	87
ENSRNOG00000069040	1	202311159	202311295	+	137	0
ENSRNOG00000014258	1	4945036	4960934	-	15899	61
ENSRNOG00000010918	1	87759433	87762412	-	2980	15
ENSRNOG00000066483	1	110467179	110467271	-	93	0
ENSRNOG00000051780	1	48003206	48003337	-	132	0
ENSRNOG00000067027	1	206954655	206955444	-	790	0
ENSRNOG00000035560	1	95605024	95605108	+	85	1
ENSRNOG00000019416	1	79850014	79871249	-	21236	487
ENSRNOG00000017366	1	159500672	159501610	-	939	0
ENSRNOG00000053012	1	216711164	216711298	+	135	0
ENSRNOG00000059864	1	48449638	48449772	-	135	0
ENSRNOG00000053838	1	110189568	110189645	-	78	43
ENSRNOG00000068567	1	7379126	7379696	-	571	0
ENSRNOG00000063945	1	239398926	239399052	-	127	0
ENSRNOG00000066101	1	97524328	97529198	+	4871	0
ENSRNOG00000057261	1	66988320	66988608	+	289	0
ENSRNOG00000070161	1	157243355	157244305	+	951	0
ENSRNOG00000065242	1	90977492	90984497	+	7006	27
ENSRNOG00000063217	1	1397230	1402656	-	5427	4
ENSRNOG00000036631	1	207587917	207589213	+	1297	1
ENSRNOG00000066494	1	110462563	110462655	-	93	0
ENSRNOG00000016659	1	255315915	255350160	+	34246	0
ENSRNOG00000059820	1	154965714	154965854	-	141	0
ENSRNOG00000049846	1	115343044	115343122	-	79	0
ENSRNOG00000014946	1	174078878	174084937	-	6060	528
ENSRNOG00000070965	1	7396108	7401985	-	5878	0
ENSRNOG00000065570	1	67055882	67056015	-	134	0
ENSRNOG00000069390	1	54985367	54989506	+	4140	0
ENSRNOG00000020318	1	95341620	95346920	+	5301	34
ENSRNOG00000047406	1	34825894	34850138	-	24245	183
ENSRNOG00000070104	1	94024973	94034229	+	9257	65
ENSRNOG00000050445	1	172954394	173032429	-	78036	1014
ENSRNOG00000069614	1	110490401	110490493	-	93	0
ENSRNOG00000069896	1	90890442	90890548	-	107	0
ENSRNOG00000035565	1	78833178	78833274	+	97	0
ENSRNOG00000031110	1	157257231	157258175	-	945	0
ENSRNOG00000058224	1	68654775	68654949	+	175	0
ENSRNOG00000067930	1	8021597	8031188	+	9592	7
ENSRNOG00000016597	1	200972088	200972693	-	606	0
ENSRNOG00000064367	1	110289065	110289142	-	78	0
ENSRNOG00000064092	1	91061461	91061567	+	107	0
ENSRNOG00000067132	1	115426210	115426308	-	99	4
ENSRNOG00000068454	1	68791097	68791203	+	107	1
ENSRNOG00000018953	1	79439977	79456755	-	16779	1
ENSRNOG00000069628	1	12873090	12885886	-	12797	50
ENSRNOG00000062564	1	1438065	1455536	+	17472	0
ENSRNOG00000065292	1	95587760	95603022	-	15263	0
ENSRNOG00000018940	1	135081385	135122464	+	41080	11
ENSRNOG00000068976	1	36800428	36801032	+	605	0
ENSRNOG00000013945	1	82500957	82522779	-	21823	143
ENSRNOG00000068368	1	119956733	119956858	+	126	0
ENSRNOG00000070203	1	110200168	110200253	-	86	11
ENSRNOG00000065397	1	91197476	91197582	-	107	20
ENSRNOG00000040447	1	150599876	150599963	+	88	0
ENSRNOG00000033706	1	94131998	94137240	+	5243	0
ENSRNOG00000031947	1	180985438	180986209	+	772	3
ENSRNOG00000016565	1	68824803	68828594	-	3792	93
ENSRNOG00000066104	1	12885967	12888297	+	2331	14
ENSRNOG00000066508	1	96556634	96563246	-	6613	8
ENSRNOG00000061455	1	210317860	210318813	+	954	0
ENSRNOG00000019138	1	94801496	94804633	-	3138	10
ENSRNOG00000015424	1	157292342	157293292	+	951	0
ENSRNOG00000013198	1	210933727	210937168	-	3442	0
ENSRNOG00000056351	1	90861537	90861598	-	62	0
ENSRNOG00000065052	1	110225775	110225852	-	78	12
ENSRNOG00000035572	1	58677626	58677710	+	85	1
ENSRNOG00000069359	1	14671111	14673538	-	2428	0
ENSRNOG00000069866	1	87574260	87574391	-	132	0
ENSRNOG00000068014	1	1662916	1664283	-	1368	0
ENSRNOG00000065728	1	96891443	96900307	-	8865	60
ENSRNOG00000065649	1	79859180	79879612	-	20433	11
ENSRNOG00000066961	1	16088167	16092477	-	4311	1
ENSRNOG00000068275	1	110290902	110290979	-	78	1
ENSRNOG00000053559	1	210343656	210344603	+	948	0
ENSRNOG00000035553	1	194754730	194754801	-	72	0
ENSRNOG00000056667	1	87861022	87861136	+	115	0
ENSRNOG00000064785	1	203171581	203171718	-	138	0
ENSRNOG00000050663	1	157349066	157350022	+	957	0
ENSRNOG00000064423	1	54985534	55028564	+	43031	1
ENSRNOG00000063455	1	97791143	97797638	+	6496	0
ENSRNOG00000016574	1	68829130	68835723	+	6594	127
ENSRNOG00000055971	1	16724591	16740168	+	15578	27
ENSRNOG00000068157	1	110482541	110482633	-	93	0
ENSRNOG00000032137	1	214232731	214234226	-	1496	0
ENSRNOG00000050364	1	85841616	85841691	+	76	0
ENSRNOG00000060473	1	252970938	252971065	+	128	0
ENSRNOG00000068108	1	203666337	203666394	-	58	6
ENSRNOG00000055608	1	79884945	79900149	-	15205	474
ENSRNOG00000064687	1	98348507	98351417	-	2911	0
ENSRNOG00000048436	1	157370424	157371434	+	1011	0
ENSRNOG00000013641	1	152344448	152414157	-	69710	5
ENSRNOG00000020347	1	156494423	156591415	-	96993	3033
ENSRNOG00000065259	1	16776730	16826953	-	50224	255
ENSRNOG00000035588	1	203564761	203564845	+	85	0
ENSRNOG00000053464	1	186086712	186086840	+	129	0
ENSRNOG00000016837	1	79061456	79071720	+	10265	1
ENSRNOG00000069139	1	110257081	110257158	-	78	0
ENSRNOG00000068222	1	55033368	55039638	+	6271	1
ENSRNOG00000025953	1	257926388	257934399	-	8012	3
ENSRNOG00000066571	1	16780199	16788041	+	7843	0
ENSRNOG00000068350	1	101614667	101637056	+	22390	28
ENSRNOG00000061525	1	198937757	198938626	-	870	0
ENSRNOG00000046704	1	67023989	67024117	-	129	0
ENSRNOG00000034083	1	157395779	157396717	+	939	0
ENSRNOG00000057516	1	220856369	220856475	+	107	0
ENSRNOG00000053512	1	183371628	183371752	-	125	0
ENSRNOG00000016608	1	68847500	68850751	+	3252	42
ENSRNOG00000027112	1	92671461	92677999	+	6539	0
ENSRNOG00000069192	1	110253404	110253481	-	78	0
ENSRNOG00000012730	1	119845146	119979734	-	134589	384
ENSRNOG00000068539	1	20229465	20235866	-	6402	3
ENSRNOG00000052937	1	221233213	221233314	+	102	0
ENSRNOG00000018117	1	201299985	201305466	-	5482	649
ENSRNOG00000049017	1	256501216	256501316	+	101	0
ENSRNOG00000051561	1	183310598	183310728	-	131	0
ENSRNOG00000067136	1	110186394	110186471	-	78	18
ENSRNOG00000063952	1	210806709	210807674	+	966	0
ENSRNOG00000068720	1	20232998	20265349	+	32352	22
ENSRNOG00000016362	1	78865409	78876599	+	11191	54
ENSRNOG00000056231	1	221343294	221343397	+	104	12
ENSRNOG00000063054	1	72671596	72676709	+	5114	0
ENSRNOG00000013671	1	54858175	54872227	+	14053	0
ENSRNOG00000017307	1	143401396	143422091	-	20696	64
ENSRNOG00000065133	1	103575380	103655206	+	79827	0
ENSRNOG00000066105	1	221141990	221142132	+	143	0
ENSRNOG00000064098	1	110283559	110283636	-	78	2
ENSRNOG00000035580	1	133440038	133440152	-	115	0
ENSRNOG00000056252	1	184576350	184576490	-	141	0
ENSRNOG00000067915	1	21237354	21243620	+	6267	6
ENSRNOG00000015649	1	157415212	157416180	+	969	0
ENSRNOG00000054785	1	221085628	221085775	+	148	0
ENSRNOG00000020942	1	96006000	96028826	+	22827	4
ENSRNOG00000069629	1	259917205	259917270	-	66	0
ENSRNOG00000065481	1	110307020	110307096	-	77	10
ENSRNOG00000032600	1	210889382	210890341	+	960	0
ENSRNOG00000067951	1	221643603	221643709	-	107	0
ENSRNOG00000067817	1	21237998	21242213	-	4216	0
ENSRNOG00000017749	1	93844902	93845983	+	1082	0
ENSRNOG00000061288	1	243043698	243043804	+	107	0
ENSRNOG00000017079	1	154571766	154620902	+	49137	4153
ENSRNOG00000017795	1	69165572	69244593	+	79022	294
ENSRNOG00000061338	1	110178175	110178252	-	78	81
ENSRNOG00000065787	1	246786249	246786329	-	81	0
ENSRNOG00000068787	1	195685654	195703926	+	18273	0
ENSRNOG00000015657	1	157421637	157422575	-	939	0
ENSRNOG00000064243	1	103587276	103596261	-	8986	0
ENSRNOG00000052607	1	243001398	243001540	-	143	0
ENSRNOG00000052788	1	3222063	3222194	-	132	0
ENSRNOG00000063641	1	110197442	110197520	-	79	22
ENSRNOG00000046320	1	203363908	203364008	-	101	0
ENSRNOG00000042133	1	208218000	208236257	+	18258	0
ENSRNOG00000031648	1	210042752	210043696	+	945	0
ENSRNOG00000064592	1	243285618	243285736	+	119	0
ENSRNOG00000069350	1	21363946	21378268	-	14323	5
ENSRNOG00000054005	1	3056287	3056391	+	105	0
ENSRNOG00000069982	1	243761050	243761168	+	119	0
ENSRNOG00000052319	1	154618281	154618592	+	312	0
ENSRNOG00000035639	1	232337767	232337853	-	87	0
ENSRNOG00000027542	1	189059746	189293435	-	233690	2501
ENSRNOG00000067371	1	110247891	110247968	-	78	7
ENSRNOG00000065457	1	110451056	110481030	-	29975	3091
ENSRNOG00000009748	1	162283866	162284822	-	957	0
ENSRNOG00000037333	1	93848533	93851217	+	2685	1
ENSRNOG00000063106	1	22873422	22875660	-	2239	2
ENSRNOG00000061755	1	4276131	4276261	-	131	0
ENSRNOG00000064493	1	243798008	243798114	+	107	0
ENSRNOG00000021478	1	26172170	26291109	+	118940	2731
ENSRNOG00000017330	1	175577400	175578248	-	849	0
ENSRNOG00000062409	1	195715316	195733040	+	17725	0
ENSRNOG00000065302	1	114623759	114623856	-	98	0
ENSRNOG00000018090	1	69189822	69216272	+	26451	0
ENSRNOG00000069157	1	227987570	227988844	+	1275	9
ENSRNOG00000068228	1	110212636	110212713	-	78	1
ENSRNOG00000069767	1	1161832	1224262	+	62431	3
ENSRNOG00000070519	1	111092851	111096099	-	3249	0
ENSRNOG00000067269	1	22876374	22878500	-	2127	0
ENSRNOG00000057952	1	21681557	21681630	+	74	0
ENSRNOG00000059329	1	128006617	128006780	-	164	0
ENSRNOG00000015230	1	55983403	56002687	+	19285	932
ENSRNOG00000017069	1	79068904	79108556	-	39653	214
ENSRNOG00000021013	1	208639115	208685805	-	46691	675
ENSRNOG00000066830	1	114713724	114717049	-	3326	162
ENSRNOG00000033009	1	139863413	139873029	-	9617	0
ENSRNOG00000065333	1	114616603	114616673	-	71	0
ENSRNOG00000067419	1	157483242	157484201	+	960	0
ENSRNOG00000061678	1	21682269	21682343	+	75	0
ENSRNOG00000059948	1	110223936	110224013	-	78	11
ENSRNOG00000018677	1	82883547	82933817	+	50271	372
ENSRNOG00000057111	1	212838445	212838579	+	135	0
ENSRNOG00000069344	1	210051334	210052260	-	927	0
ENSRNOG00000070554	1	23123683	23127067	-	3385	0
ENSRNOG00000054517	1	21682603	21682729	+	127	0
ENSRNOG00000063145	1	114719526	114753074	-	33549	1064
ENSRNOG00000069038	1	110208959	110209036	-	78	10
ENSRNOG00000056439	1	53806533	53806636	+	104	0
ENSRNOG00000069280	1	114632635	114632705	-	71	0
ENSRNOG00000066733	1	145145485	145145580	-	96	0
ENSRNOG00000064096	1	23130257	23132765	-	2509	0
ENSRNOG00000019207	1	94808276	94855824	+	47549	2909
ENSRNOG00000018394	1	154343201	154370640	+	27440	0
ENSRNOG00000015760	1	157516210	157517157	+	948	0
ENSRNOG00000070234	1	93130598	93163404	+	32807	442
ENSRNOG00000053284	1	52991358	52991520	-	163	0
ENSRNOG00000068834	1	118034907	118054398	-	19492	1
ENSRNOG00000030326	1	210111646	210112581	+	936	0
ENSRNOG00000063681	1	146167994	146168057	-	64	0
ENSRNOG00000065437	1	110251568	110251645	-	78	0
ENSRNOG00000063629	1	26115204	26117528	-	2325	257
ENSRNOG00000049574	1	155243756	155243892	-	137	0
ENSRNOG00000016714	1	255350113	255427693	-	77581	49
ENSRNOG00000052956	1	53717955	53718059	-	105	0
ENSRNOG00000070270	1	29281230	29284415	+	3186	18
ENSRNOG00000068102	1	110301514	110301588	-	75	0
ENSRNOG00000035648	1	117777539	117777644	+	106	0
ENSRNOG00000067645	1	120209340	120222243	+	12904	48
ENSRNOG00000062789	1	195744354	195756127	+	11774	0
ENSRNOG00000015764	1	157523148	157524089	+	942	0
ENSRNOG00000067256	1	55062108	55072301	-	10194	0
ENSRNOG00000015734	1	110070480	110157250	+	86771	32037
ENSRNOG00000067158	1	117570637	117570845	-	209	0
ENSRNOG00000056404	1	54671911	54672008	+	98	0
ENSRNOG00000063252	1	32695140	32697201	+	2062	0
ENSRNOG00000066619	1	139887387	139902727	-	15341	0
ENSRNOG00000052832	1	225495834	225495966	-	133	0
ENSRNOG00000056469	1	65964648	65964728	-	81	0
ENSRNOG00000068800	1	121835476	121838547	+	3072	200
ENSRNOG00000066170	1	118424802	118424943	-	142	0
ENSRNOG00000066949	1	1950479	1951882	-	1404	0
ENSRNOG00000062681	1	35036944	35039949	-	3006	64
ENSRNOG00000067889	1	54109291	54109402	+	112	0
ENSRNOG00000066931	1	210164505	210165428	+	924	0
ENSRNOG00000066273	1	110240543	110240620	-	78	17
ENSRNOG00000066991	1	122215557	122231295	-	15739	0
ENSRNOG00000069276	1	91171756	91194601	+	22846	672
ENSRNOG00000059393	1	13067861	13067967	-	107	0
ENSRNOG00000015769	1	157561070	157562023	-	954	0
ENSRNOG00000013711	1	140004210	140005140	+	931	0
ENSRNOG00000062961	1	35318705	35326361	-	7657	4
ENSRNOG00000069666	1	54448055	54457520	-	9466	0
ENSRNOG00000056619	1	212291792	212291941	-	150	0
ENSRNOG00000054452	1	14828587	14828721	-	135	0
ENSRNOG00000051537	1	225488774	225488891	+	118	0
ENSRNOG00000064145	1	124037807	124043811	+	6005	1
ENSRNOG00000057094	1	210213962	210214885	-	924	0
ENSRNOG00000068142	1	43109991	43110055	+	65	0
ENSRNOG00000055112	1	177586062	177586168	-	107	0
ENSRNOG00000062973	1	36036832	36044811	-	7980	0
ENSRNOG00000062771	1	110190139	110190216	-	78	6
ENSRNOG00000027808	1	69973292	70001718	-	28427	25
ENSRNOG00000033200	1	157587391	157588335	-	945	0
ENSRNOG00000060056	1	43691581	43691678	+	98	0
ENSRNOG00000055997	1	90511321	90511424	-	104	0
ENSRNOG00000070611	1	225971183	225971289	+	107	0
ENSRNOG00000069419	1	94376135	94377744	+	1610	0
ENSRNOG00000063442	1	252426043	252426198	+	156	0
ENSRNOG00000069337	1	1334618	1336865	-	2248	0
ENSRNOG00000049772	1	79214919	79224994	-	10076	54
ENSRNOG00000053859	1	227572105	227576942	-	4838	1096
ENSRNOG00000066647	1	124050896	124068487	+	17592	23
ENSRNOG00000054388	1	149795907	149796000	-	94	1
ENSRNOG00000066887	1	38624474	38691338	-	66865	24
ENSRNOG00000053929	1	226567649	226568076	+	428	0
ENSRNOG00000030275	1	157619852	157620835	+	984	0
ENSRNOG00000018915	1	47170725	47179792	-	9068	22
ENSRNOG00000051409	1	135195011	135195135	-	125	0
ENSRNOG00000020358	1	95347068	95353613	-	6546	559
ENSRNOG00000068758	1	103004250	103004356	-	107	0
ENSRNOG00000063955	1	110303346	110303423	-	78	0
ENSRNOG00000066355	1	38662883	38683131	-	20249	0
ENSRNOG00000066028	1	124254337	124356087	+	101751	14
ENSRNOG00000064903	1	86521226	86522514	-	1289	0
ENSRNOG00000065819	1	104515030	104515165	+	136	0
ENSRNOG00000054102	1	135499682	135499825	+	144	0
ENSRNOG00000058869	1	230295276	230295656	+	381	0
ENSRNOG00000064667	1	69218608	69220124	+	1517	0
ENSRNOG00000053502	1	155233168	155290498	-	57331	2052
ENSRNOG00000065888	1	226541765	226541871	-	107	1
ENSRNOG00000021442	1	26294030	26313935	-	19906	299
ENSRNOG00000064160	1	39020173	39029307	-	9135	4
ENSRNOG00000015785	1	157626717	157627652	+	936	0
ENSRNOG00000068866	1	113515184	113515344	-	161	0
ENSRNOG00000066023	1	127300641	127316413	-	15773	1136
ENSRNOG00000014278	1	134024267	134036601	+	12335	189
ENSRNOG00000049605	1	79228401	79231866	+	3466	1
ENSRNOG00000024016	1	237693094	238057596	+	364503	2
ENSRNOG00000055316	1	135484559	135484685	+	127	0
ENSRNOG00000063802	1	110495552	110495645	-	94	0
ENSRNOG00000057140	1	151271287	151271389	-	103	0
ENSRNOG00000022921	1	55181024	55191096	-	10073	215
ENSRNOG00000054856	1	209120577	209121542	-	966	0
ENSRNOG00000037360	1	93016530	93017532	-	1003	0
ENSRNOG00000015902	1	186836797	186947220	-	110424	43
ENSRNOG00000065017	1	39032811	39055926	-	23116	1
ENSRNOG00000020624	1	186188987	186230379	+	41393	1508
ENSRNOG00000060363	1	135620777	135620883	+	107	0
ENSRNOG00000065994	1	110287232	110287309	-	78	7
ENSRNOG00000058025	1	219114576	219114705	-	130	0
ENSRNOG00000013981	1	97620642	97679882	-	59241	2680
ENSRNOG00000065346	1	127609383	127628539	+	19157	67
ENSRNOG00000021290	1	157668879	157669817	+	939	0
ENSRNOG00000062884	1	39039162	39040261	-	1100	0
ENSRNOG00000019942	1	84002267	84024453	+	22187	8
ENSRNOG00000021912	1	201435884	201437443	+	1560	0
ENSRNOG00000059083	1	218910326	218910454	+	129	0
ENSRNOG00000059239	1	136662596	136662746	-	151	0
ENSRNOG00000030818	1	159718679	159725904	+	7226	640
ENSRNOG00000065632	1	110236867	110236944	-	78	26
ENSRNOG00000070760	1	133176194	133187153	-	10960	0
