Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
RAB28	ENST00000338176.4	RAB28, member RAS oncogene family 	302	3	3	0	0	1	hsa-miR-338-5p	-0.76	-0.76	N/A
HESX1	ENST00000295934.3	HESX homeobox 1 	58	2	1	1	0	0	hsa-miR-338-5p	-0.71	-0.71	N/A
RAB1A	ENST00000409892.1	RAB1A, member RAS oncogene family 	472	2	2	0	0	1	hsa-miR-338-5p	-0.70	-0.72	N/A
KLF2	ENST00000248071.5	Kruppel-like factor 2 (lung) 	431	2	2	0	0	1	hsa-miR-338-5p	-0.69	-0.69	N/A
HEMGN	ENST00000259456.3	hemogen 	5	2	2	0	0	0	hsa-miR-338-5p	-0.63	-0.63	N/A
APCS	ENST00000255040.2	amyloid P component, serum 	5	1	1	0	0	0	hsa-miR-338-5p	-0.61	-0.61	N/A
BMI1	ENST00000376663.3	BMI1 polycomb ring finger oncogene 	200	4	1	2	1	0	hsa-miR-338-5p	-0.60	-0.63	N/A
SUN5	ENST00000375519.2	Sad1 and UNC84 domain containing 5 	5	1	1	0	0	0	hsa-miR-338-5p	-0.59	-0.59	N/A
DYRK4	ENST00000545342.1	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4 	482	1	1	0	0	0	hsa-miR-338-5p	-0.58	-0.63	N/A
PIGP	ENST00000360525.4	phosphatidylinositol glycan anchor biosynthesis, class P 	1621	2	2	0	0	1	hsa-miR-338-5p	-0.55	-0.79	N/A
KRTAP4-8	ENST00000333822.4	keratin associated protein 4-8 	5	1	1	0	0	1	hsa-miR-338-5p	-0.54	-0.54	N/A
NAT1	ENST00000307719.4	N-acetyltransferase 1 (arylamine N-acetyltransferase) 	89	1	1	0	0	3	hsa-miR-338-5p	-0.54	-0.58	N/A
KRTAP4-11	ENST00000391413.2	keratin associated protein 4-11 	5	1	1	0	0	1	hsa-miR-338-5p	-0.54	-0.54	N/A
COMMD3-BMI1	ENST00000602390.1	COMMD3-BMI1 readthrough 	195	4	1	2	1	0	hsa-miR-338-5p	-0.53	-0.56	N/A
