Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
SZRD1	ENST00000401089.3	SUZ RNA binding domain containing 1 	137	4	4	0	0	0	0	0	0	0	rno-miR-128-3p	-1.57	-1.57	> 0.99	2007, 2009, 2011
DCUN1D4	ENST00000334635.5	DCN1, defective in cullin neddylation 1, domain containing 4 	1118	2	1	0	1	2	2	0	0	0	rno-miR-128-3p	-0.88	-0.92	0.91	2007, 2009, 2011
NOVA1	ENST00000465357.2	neuro-oncological ventral antigen 1 	5	2	0	0	2	0	0	0	0	4	rno-miR-128-3p	-0.88	-0.88	0.90	2005, 2007, 2009, 2011
SORL1	ENST00000260197.7	sortilin-related receptor, L(DLR class) A repeats containing 	40	2	0	1	1	3	0	3	0	4	rno-miR-128-3p	-0.76	-1.37	0.88	2011
PDIA5	ENST00000316218.7	protein disulfide isomerase family A, member 5 	10871	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.70	-0.70	0.74	2005, 2007, 2009, 2011
YWHAB	ENST00000353703.4	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide 	272	1	1	0	0	0	0	0	0	2	rno-miR-128-3p	-0.69	-0.72	0.82	2005, 2007, 2009, 2011
CDIP1	ENST00000564828.1	cell death-inducing p53 target 1 	1857	1	1	0	0	1	0	0	1	1	rno-miR-128-3p	-0.65	-0.71	0.83	2005, 2007, 2009, 2011
PPP1CC	ENST00000335007.5	protein phosphatase 1, catalytic subunit, gamma isozyme 	3739	1	1	0	0	1	0	0	1	0	rno-miR-128-3p	-0.64	-0.65	0.81	2005, 2007, 2009, 2011
APEX1	ENST00000557054.1	APEX nuclease (multifunctional DNA repair enzyme) 1 	15798	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.63	-0.63	ORF	
TMSB10	ENST00000233143.4	thymosin beta 10 	49918	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.62	-0.62	0.61	2005, 2007, 2009, 2011
CCNG1	ENST00000340828.2	cyclin G1 	1547	1	0	0	1	1	1	0	0	0	rno-miR-128-3p	-0.62	-0.63	0.76	2007, 2009, 2011
PDHX	ENST00000448838.3	pyruvate dehydrogenase complex, component X 	40	1	1	0	0	2	1	0	1	0	rno-miR-128-3p	-0.61	-0.78	0.90	2005, 2007, 2009, 2011
UGT8	ENST00000310836.6	UDP glycosyltransferase 8 	682	1	1	0	0	2	1	1	0	0	rno-miR-128-3p	-0.60	-0.73	0.69	
RAD51L3-RFFL	ENST00000593039.1	Uncharacterized protein  	670	1	1	0	0	2	1	1	0	0	rno-miR-128-3p	-0.60	-0.90	0.87	
PLK2	ENST00000274289.3	polo-like kinase 2 	689	3	1	0	2	0	0	0	0	0	rno-miR-128-3p	-0.60	-0.60	0.97	2005, 2007, 2009, 2011
RET	ENST00000355710.3	ret proto-oncogene 	5	2	2	0	0	0	0	0	0	0	rno-miR-128-3p	-0.60	-0.60	0.51	2011
NEK2	ENST00000366999.4	NIMA-related kinase 2 	72	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.58	-0.58	0.16	2005, 2007, 2009, 2011
LBH	ENST00000395323.3	limb bud and heart development 	1956	1	1	0	0	1	0	1	0	0	rno-miR-128-3p	-0.57	-0.60	0.91	2005, 2007, 2009, 2011
MIPOL1	ENST00000327441.7	mirror-image polydactyly 1 	45	2	0	2	0	1	0	1	0	1	rno-miR-128-3p	-0.57	-0.71	0.86	2005, 2007, 2009, 2011
SH3BGRL2	ENST00000369838.4	SH3 domain binding glutamic acid-rich protein like 2 	32	1	1	0	0	1	0	0	1	2	rno-miR-128-3p	-0.56	-0.66	0.90	2005, 2007, 2009, 2011
PHGDH	ENST00000369409.4	phosphoglycerate dehydrogenase 	13089	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.56	-0.56	< 0.1	2009, 2011
ORC5	ENST00000297431.4	origin recognition complex, subunit 5 	407	1	1	0	0	0	0	0	0	1	rno-miR-128-3p	-0.55	-0.55	0.59	2005, 2007, 2009, 2011
PRKD1	ENST00000331968.5	protein kinase D1 	75	2	0	2	0	0	0	0	0	2	rno-miR-128-3p	-0.55	-0.86	0.95	2005, 2007, 2009, 2011
NXT2	ENST00000372106.1	nuclear transport factor 2-like export factor 2 	390	1	1	0	0	0	0	0	0	1	rno-miR-128-3p	-0.54	-0.54	0.79	2005, 2007, 2009, 2011
FNDC4	ENST00000264703.3	fibronectin type III domain containing 4 	418	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.53	-0.53	0.54	
RSPO3	ENST00000356698.4	R-spondin 3 	118	1	0	0	1	1	0	1	0	1	rno-miR-128-3p	-0.53	-0.53	0.60	
PHB	ENST00000300408.3	prohibitin 	759	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.53	-0.53	0.85	2005, 2007
SFMBT2	ENST00000361972.4	Scm-like with four mbt domains 2 	107	1	0	1	0	4	1	2	1	1	rno-miR-128-3p	-0.52	-0.52	0.29	2011
H3F3B	ENST00000591890.1	H3 histone, family 3B (H3.3B) 	336	1	1	0	0	1	0	1	0	0	rno-miR-128-3p	-0.51	-0.64	0.89	2005, 2007, 2009, 2011
POGZ	ENST00000392723.1	pogo transposable element with ZNF domain 	170	1	0	1	0	0	0	0	0	1	rno-miR-128-3p	-0.51	-0.51	0.69	2009, 2011
MOSPD3	ENST00000393950.2	motile sperm domain containing 3 	106	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.50	-0.50	0.74	2005, 2007, 2009, 2011
SP1	ENST00000426431.2	Sp1 transcription factor 	402	3	1	2	0	0	0	0	0	1	rno-miR-128-3p	-0.50	-0.56	0.88	2005, 2007, 2009, 2011
AK2	ENST00000467905.1	adenylate kinase 2 	3125	1	1	0	0	1	0	0	1	1	rno-miR-128-3p	-0.50	-0.53	0.76	2011
MMD	ENST00000262065.3	monocyte to macrophage differentiation-associated 	558	1	0	0	1	1	0	1	0	1	rno-miR-128-3p	-0.50	-0.50	0.66	2007, 2009, 2011
HAO1	ENST00000378789.3	hydroxyacid oxidase (glycolate oxidase) 1 	5	1	0	1	0	1	0	1	0	0	rno-miR-128-3p	-0.49	-0.49	0.57	2005, 2007, 2009, 2011
CCDC71	ENST00000321895.6	coiled-coil domain containing 71 	64	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.49	-0.49	0.91	2007, 2009, 2011
SNX12	ENST00000374274.3	sorting nexin 12 	849	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.49	-0.49	0.86	
GALNT3	ENST00000392701.3	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 3 (GalNAc-T3) 	40	1	0	0	1	1	0	1	0	0	rno-miR-128-3p	-0.49	-0.49	0.74	2005, 2007
SEC22A	ENST00000309934.4	SEC22 vesicle trafficking protein homolog A (S. cerevisiae) 	294	1	1	0	0	1	0	1	0	0	rno-miR-128-3p	-0.49	-0.58	0.77	2009, 2011
YPEL3	ENST00000398841.1	yippee-like 3 (Drosophila) 	330	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.48	-0.48	0.75	2005, 2007, 2009, 2011
SMAD9	ENST00000399275.2	SMAD family member 9 	62	2	0	0	2	2	0	2	0	1	rno-miR-128-3p	-0.48	-0.56	0.90	2011
ONECUT2	ENST00000491143.2	one cut homeobox 2 	847	4	0	1	3	3	0	1	2	4	rno-miR-128-3p	-0.48	-0.52	> 0.99	2007, 2009, 2011
FAM184A	ENST00000338891.7	family with sequence similarity 184, member A 	167	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.48	-0.48	0.79	2005, 2007, 2009, 2011
RYBP	ENST00000477973.2	RING1 and YY1 binding protein 	342	2	1	1	0	1	0	1	0	2	rno-miR-128-3p	-0.47	-0.53	0.94	2005, 2007, 2009, 2011
NGFR	ENST00000172229.3	nerve growth factor receptor 	5	1	1	0	0	0	0	0	0	0	rno-miR-128-3p	-0.47	-0.47	0.88	2005, 2007, 2009, 2011
