"Gene_ID" "Chr" "Start" "End" "Strand" "Length" "logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"1" "ENSMUSG00000100480" "1" "43784944" "43785442" "-" 499 0.257227352159464 -1.2016248882008 0.915414627380269 0.37537642831712 0.919954407065833 -4.61044815263333
"2" "ENSMUSG00000051285" "1" "7159144" "7243852" "+" 84709 0.0186287910563747 7.10171654534786 0.203079948382019 0.841976262922346 0.985105357696501 -5.29947159878162
"3" "ENSMUSG00000057363" "1" "43786126" "43866960" "-" 80835 0.0039172185494154 5.83185107731271 0.0474662022295988 0.962807959453216 0.998614776676116 -5.30246620400224
"4" "ENSMUSG00000038702" "1" "111786432" "111792648" "-" 6217 -0.124152574457194 4.55472973799107 -1.04000433487683 0.31585743128229 0.908690561272953 -4.80086286928884
"5" "ENSMUSG00000101054" "1" "112331917" "112332585" "-" 669 0.0352461496651739 1.54506012670273 0.17611548549878 0.862709600409517 0.986585833659645 -4.7989607816711
"6" "ENSMUSG00000033021" "1" "75412574" "75419823" "+" 7250 0.00622896735806133 5.16654751814891 0.112749016634325 0.911820302842594 0.994976816422078 -5.24695406692427
"7" "ENSMUSG00000104157" "1" "176103779" "176107335" "+" 3557 0.215849958984148 0.803360635237114 0.897730089069151 0.384414293828385 0.922922537314872 -4.64055107950452
"8" "ENSMUSG00000033007" "1" "75427080" "75450987" "+" 23908 0.138975723272345 6.88044754616891 1.18447223554693 0.255823753782002 0.904722735597303 -4.7782770036912
"9" "ENSMUSG00000061024" "1" "9615633" "9617680" "+" 2048 -0.098149662042486 4.32374025499551 -1.5816024955738 0.135923880161844 0.850669676967946 -4.34599410556941
"10" "ENSMUSG00000026374" "1" "118222508" "118239469" "-" 16962 -0.00317482027366012 6.62742428949892 -0.0769277411250569 0.939762821890602 0.99775045878108 -5.32080158817283
"11" "ENSMUSG00000026377" "1" "118249569" "118261552" "+" 11984 -0.0654599874521899 4.55517029433724 -0.97850895748012 0.344326895858882 0.913803236091858 -4.84269995540056
"12" "ENSMUSG00000025911" "1" "9618173" "9650898" "+" 32726 -0.0731975108605889 4.50803757139044 -1.2887647503317 0.218240593390994 0.894897284080936 -4.60829269753292
"13" "ENSMUSG00000067879" "1" "9671424" "9697368" "+" 25945 0.169495787972734 5.73249811303176 0.318882625550819 0.75449407237811 0.978010424238257 -5.25559014009435
"14" "ENSMUSG00000057335" "1" "176561219" "176641633" "-" 80415 -0.118947986557503 6.28570627660402 -1.92048192869067 0.0752712643823375 0.805992459723151 -4.01551850602584
"15" "ENSMUSG00000045210" "1" "9788847" "9818607" "-" 29761 -0.113430401575709 6.02581402258773 -1.61648585449446 0.128153249341404 0.839960771276107 -4.35517725887534
"16" "ENSMUSG00000041763" "1" "43972807" "44042160" "+" 69354 -0.0718460958907086 5.7971410406236 -0.639758123871619 0.532595789413984 0.940506969830288 -5.13877729814115
"17" "ENSMUSG00000019699" "1" "176847639" "177085769" "-" 238131 0.0567261410093041 7.51569586178564 1.03534671262404 0.317952020087287 0.909874306779235 -4.88898798761333
"18" "ENSMUSG00000063659" "1" "177269917" "177278330" "+" 8414 0.211964802061082 6.49686477335889 2.65173928197015 0.0188849363433176 0.709731339830106 -3.09982339646119
"19" "ENSMUSG00000043019" "1" "151631122" "151697802" "+" 66681 -0.0747404036242028 5.88288767385372 -1.30970341292727 0.21125144012859 0.892871243186732 -4.65786341796032
"20" "ENSMUSG00000015961" "1" "177590528" "177624077" "-" 33550 -0.00068270134975279 6.50762231214935 -0.0102556938529748 0.991961092429764 0.998935507503095 -5.3230427118915
"21" "ENSMUSG00000014980" "1" "152246486" "152262439" "-" 15954 -0.0258169391975116 4.32435024693981 -0.344376300821158 0.735649575172307 0.975933031751358 -5.10706377810099
"22" "ENSMUSG00000026235" "1" "77343822" "77491725" "-" 147904 0.0492787863258304 7.56585691680903 0.406244676931641 0.690666142879025 0.967801362474507 -5.23661116552024
"23" "ENSMUSG00000026047" "1" "44145706" "44157968" "-" 12263 0.00133816222714334 2.97712915243144 0.0145534304952667 0.988592536230019 0.998614776676116 -4.9540696100261
"24" "ENSMUSG00000041684" "1" "44158117" "44183930" "+" 25814 0.00841012157428445 4.75117907037146 0.163486729251298 0.872457237036847 0.989160173080402 -5.19645561614436
"25" "ENSMUSG00000086350" "1" "178140893" "178146114" "-" 5222 0.0167292595383475 2.29628346895409 0.150562405257168 0.882455295909041 0.991514779703878 -4.87032291445968
"26" "ENSMUSG00000026500" "1" "178146695" "178150258" "+" 3564 -0.100031493937036 4.26252370089517 -1.48116981596685 0.160577389838879 0.861955712263234 -4.43336529313477
"27" "ENSMUSG00000026048" "1" "44186904" "44220420" "+" 33517 0.0154106476515121 5.13256785191773 0.315264938166345 0.757181726535223 0.978825734228399 -5.20991494087977
"28" "ENSMUSG00000026245" "1" "78394612" "78465534" "-" 70923 -0.116016882985429 5.91789239495692 -2.00521000852502 0.0645437213483188 0.793379764671874 -3.91434310754338
"29" "ENSMUSG00000026482" "1" "152392511" "152642102" "-" 249592 -0.0881958848436568 7.29866482190402 -1.96676931454165 0.0692252363223186 0.794381091888761 -3.96002338515189
"30" "ENSMUSG00000008475" "1" "152642293" "152651348" "+" 9056 -0.00942676274783238 6.39647987440391 -0.221481708815373 0.827895370892766 0.985105357696501 -5.30215626410186
"31" "ENSMUSG00000039630" "1" "178148673" "178165362" "-" 16690 -0.0161287077135803 8.86307754959497 -0.201426957776143 0.84324394705916 0.985105357696501 -5.24697903201852
"32" "ENSMUSG00000104279" "1" "178167166" "178169035" "+" 1870 0.151634262588298 0.840720810176684 1.16825773143928 0.262092239656389 0.905868410004285 -4.57039424444997
"33" "ENSMUSG00000032883" "1" "78635542" "78685460" "+" 49919 -0.111789370108347 7.43151784334867 -1.9787610280516 0.0677326237387781 0.794381091888761 -3.94562124621488
"34" "ENSMUSG00000050711" "1" "79412386" "79417837" "-" 5452 -0.330185175719336 9.17516140225178 -3.49730727693542 0.0035239262296038 0.709731339830106 -2.11869754645093
"35" "ENSMUSG00000096474" "1" "179347943" "179348422" "-" 480 0.198048365744011 0.0241759777147356 1.40919777729251 0.180465443776812 0.876435179746406 -4.51644251519178
"36" "ENSMUSG00000026492" "1" "179355620" "179373832" "-" 18213 0.0311163292046448 4.50895347370076 0.312330115163358 0.759364464709781 0.978973462734469 -5.13946344828083
