Ortholog of target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
SZRD1	ENST00000401089.3	SUZ RNA binding domain containing 1 	137	4	4	0	0	0	0	0	0	0	hsa-miR-128-3p	-1.43	-1.43	> 0.99	2007, 2009, 2011
PAIP2	ENST00000394795.2	poly(A) binding protein interacting protein 2 	2034	2	1	1	0	0	0	0	0	0	hsa-miR-128-3p	-0.98	-0.98	0.88	2011
NOVA1	ENST00000465357.2	neuro-oncological ventral antigen 1 	5	2	0	0	2	0	0	0	0	4	hsa-miR-128-3p	-0.88	-0.88	0.90	2005, 2007, 2009, 2011
PRKX	ENST00000262848.5	protein kinase, X-linked 	12	1	1	0	0	3	0	1	2	0	hsa-miR-128-3p	-0.83	-0.83	0.91	2005, 2007, 2009, 2011
PRKD1	ENST00000331968.5	protein kinase D1 	75	2	0	2	0	0	0	0	0	1	hsa-miR-128-3p	-0.80	-0.81	0.95	2005, 2007, 2009, 2011
CLPP	ENST00000596605.1	caseinolytic mitochondrial matrix peptidase proteolytic subunit 	4038	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.75	-0.75	0.89	2009, 2011
DUSP18	ENST00000403268.1	dual specificity phosphatase 18 	491	1	1	0	0	2	0	2	0	1	hsa-miR-128-3p	-0.74	-0.77	< 0.1	
PDIA5	ENST00000316218.7	protein disulfide isomerase family A, member 5 	10871	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.71	-0.71	0.74	2005, 2007, 2009, 2011
PLK2	ENST00000274289.3	polo-like kinase 2 	689	3	1	0	2	0	0	0	0	0	hsa-miR-128-3p	-0.70	-0.70	0.97	2005, 2007, 2009, 2011
STAB2	ENST00000388887.2	stabilin 2 	5	1	0	0	1	1	0	0	1	1	hsa-miR-128-3p	-0.70	-0.70	0.72	2009, 2011
CASC3	ENST00000264645.7	cancer susceptibility candidate 3 	493	1	1	0	0	1	0	1	0	1	hsa-miR-128-3p	-0.67	-0.67	0.87	2005, 2007, 2009, 2011
GPATCH2L	ENST00000553588.1	G patch domain containing 2-like 	96	1	1	0	0	3	0	2	1	1	hsa-miR-128-3p	-0.66	-0.77	0.78	
UBE2E2	ENST00000396703.1	ubiquitin-conjugating enzyme E2E 2 	794	2	0	2	0	0	0	0	0	2	hsa-miR-128-3p	-0.65	-0.72	0.95	2005, 2007, 2009, 2011
TMSB10	ENST00000233143.4	thymosin beta 10 	49918	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.65	-0.65	0.61	2005, 2007, 2009, 2011
YWHAB	ENST00000353703.4	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide 	272	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	-0.65	-0.68	0.82	2005, 2007, 2009, 2011
TMEM167A	ENST00000502346.1	transmembrane protein 167A 	1029	1	1	0	0	0	0	0	0	2	hsa-miR-128-3p	-0.65	-0.65	0.57	2009, 2011
VWC2L	ENST00000427124.1	von Willebrand factor C domain containing protein 2-like 	5	1	1	0	0	2	0	1	1	2	hsa-miR-128-3p	-0.65	-0.65	0.69	
DCUN1D4	ENST00000334635.5	DCN1, defective in cullin neddylation 1, domain containing 4 	1118	2	1	0	1	0	0	0	0	0	hsa-miR-128-3p	-0.63	-0.66	0.91	2007, 2009, 2011
AK2	ENST00000467905.1	adenylate kinase 2 	3125	1	1	0	0	3	0	3	0	0	hsa-miR-128-3p	-0.61	-0.61	0.76	2011
APEX1	ENST00000557054.1	APEX nuclease (multifunctional DNA repair enzyme) 1 	15798	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.61	-0.61	ORF	
ST6GALNAC3	ENST00000328299.3	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 	41	2	0	0	2	3	1	0	2	1	hsa-miR-128-3p	-0.59	-0.60	0.93	2007, 2009, 2011
H3F3C	ENST00000340398.3	H3 histone, family 3C 	7	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.59	-0.59	0.62	2007, 2009
BAG2	ENST00000370693.5	BCL2-associated athanogene 2 	2237	1	1	0	0	4	0	1	3	0	hsa-miR-128-3p	-0.59	-0.78	< 0.1	2005, 2007, 2009, 2011
SEC22A	ENST00000309934.4	SEC22 vesicle trafficking protein homolog A (S. cerevisiae) 	294	2	2	0	0	2	0	0	2	0	hsa-miR-128-3p	-0.58	-0.87	0.84	2009, 2011
PITHD1	ENST00000246151.4	PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1 	718	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.58	-0.58	0.44	2009, 2011
MIPOL1	ENST00000327441.7	mirror-image polydactyly 1 	45	2	0	2	0	1	0	0	1	2	hsa-miR-128-3p	-0.57	-0.74	0.86	2005, 2007, 2009, 2011
VEGFC	ENST00000280193.2	vascular endothelial growth factor C 	267	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	-0.57	-0.57	0.92	2009, 2011
SFXN2	ENST00000369893.5	sideroflexin 2 	547	2	1	0	1	0	0	0	0	1	hsa-miR-128-3p	-0.57	-0.57	0.89	2009, 2011
SNX12	ENST00000374274.3	sorting nexin 12 	849	1	1	0	0	1	0	1	0	0	hsa-miR-128-3p	-0.57	-0.57	0.86	
MEGF11	ENST00000360698.4	multiple EGF-like-domains 11 	7	1	0	1	0	0	0	0	0	1	hsa-miR-128-3p	-0.57	-0.57	0.64	2011
POGLUT1	ENST00000295588.4	protein O-glucosyltransferase 1 	262	1	1	0	0	1	1	0	0	2	hsa-miR-128-3p	-0.56	-0.58	0.81	2007, 2009, 2011
BAZ2B	ENST00000392782.1	bromodomain adjacent to zinc finger domain, 2B 	25	2	0	2	0	1	1	0	0	1	hsa-miR-128-3p	-0.56	-0.59	> 0.99	2011
TBC1D9B	ENST00000519746.1	TBC1 domain family, member 9B (with GRAM domain) 	5042	2	0	2	0	0	0	0	0	1	hsa-miR-128-3p	-0.55	-0.56	0.72	2007, 2009, 2011
KCNJ6	ENST00000609713.1	potassium inwardly-rectifying channel, subfamily J, member 6 	5	2	0	0	2	4	0	4	0	1	hsa-miR-128-3p	-0.55	-0.55	0.93	
TTC39A	ENST00000530004.1	tetratricopeptide repeat domain 39A 	174	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.54	-0.54	0.90	2007, 2009, 2011
FAM184A	ENST00000338891.7	family with sequence similarity 184, member A 	167	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.54	-0.54	0.79	2005, 2007, 2009, 2011
LBH	ENST00000395323.3	limb bud and heart development 	1956	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	-0.54	-0.56	0.91	2005, 2007, 2009, 2011
RND3	ENST00000375734.2	Rho family GTPase 3 	574	1	1	0	0	1	0	1	0	0	hsa-miR-128-3p	-0.54	-0.60	0.35	2005, 2007, 2009, 2011
UBE2NL	ENST00000370494.1	ubiquitin-conjugating enzyme E2N-like 	5	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.53	-0.53	0.70	2011
C16orf52	ENST00000542527.2	chromosome 16 open reading frame 52 	102	2	1	1	0	1	0	1	0	0	hsa-miR-128-3p	-0.53	-0.62	0.90	2011
ZBTB37	ENST00000367701.5	zinc finger and BTB domain containing 37 	213	3	2	1	0	8	1	2	5	3	hsa-miR-128-3p	-0.53	-0.58	0.85	
WEE1	ENST00000299613.6	WEE1 homolog (S. pombe) 	331	1	0	1	0	1	1	0	0	0	hsa-miR-128-3p	-0.52	-0.52	0.62	2005, 2007
ONECUT2	ENST00000491143.2	one cut homeobox 2 	847	4	0	1	3	1	0	1	0	4	hsa-miR-128-3p	-0.52	-0.54	> 0.99	2007, 2009, 2011
TCEANC2	ENST00000234827.1	transcription elongation factor A (SII) N-terminal and central domain containing 2 	78	1	1	0	0	1	0	1	0	0	hsa-miR-128-3p	-0.52	-0.56	0.64	2009, 2011
CDIP1	ENST00000564828.1	cell death-inducing p53 target 1 	1857	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.51	-0.51	0.79	2005, 2007, 2009, 2011
SPG21	ENST00000204566.2	spastic paraplegia 21 (autosomal recessive, Mast syndrome) 	227	1	0	1	0	1	0	1	0	0	hsa-miR-128-3p	-0.51	-0.51	0.35	2011
SH3BGRL2	ENST00000369838.4	SH3 domain binding glutamic acid-rich protein like 2 	32	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.51	-0.51	0.90	2005, 2007, 2009, 2011
H3F3B	ENST00000591890.1	H3 histone, family 3B (H3.3B) 	336	1	1	0	0	1	0	1	0	0	hsa-miR-128-3p	-0.51	-0.70	0.89	2005, 2007, 2009, 2011
GRIN2D	ENST00000263269.3	glutamate receptor, ionotropic, N-methyl D-aspartate 2D 	5	4	0	1	3	3	0	0	3	1	hsa-miR-128-3p	-0.51	-0.51	0.98	2009, 2011
PHB	ENST00000300408.3	prohibitin 	759	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	-0.50	-0.50	0.85	2005, 2007, 2009, 2011
GMPS	ENST00000496455.2	guanine monphosphate synthase 	867	1	0	0	1	2	0	2	0	1	hsa-miR-128-3p	-0.49	-0.53	0.77	
RAB20	ENST00000267328.3	RAB20, member RAS oncogene family 	119	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	-0.49	-0.49	0.56	2009, 2011
ZNF385D	ENST00000281523.2	zinc finger protein 385D 	5	1	1	0	0	0	0	0	0	1	hsa-miR-128-3p	-0.48	-0.48	0.82	
YPEL3	ENST00000398841.1	yippee-like 3 (Drosophila) 	330	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.48	-0.48	0.75	2005, 2007, 2009, 2011
LAPTM4B	ENST00000445593.2	lysosomal protein transmembrane 4 beta 	11776	1	1	0	0	0	0	0	0	0	hsa-miR-128-3p	-0.48	-0.48	0.25	2011
