mirnaid,refseqid,genesymbol,duplex,start,end,bindingp,energy,seed,accessibility,au,phylopstem,phylopflank,me,number_of_pairings,binding_region_length,longest_consecutive_pairings,position,validated,TargetScan,miRDB
rno-miR-9a-5p,NM_024485,Chrna1,((((((((..(((.(((((....&))))).)))..)))))))).,1,21,0.9230769230769231,-21.8,1,5.146989e-05,0.32,0.0,0.0,-7.093310490296013,16,20,8,5UTR,,0,0
rno-miR-9a-5p,NM_024485,Chrna1,((((((((((((((.((((....&))))....)))))))))))))).,638,661,0.8461538461538461,-17.2,1,0.002612933,0.456,1.1716897814285716,1.8237089625000003,-4.6730240064523,18,23,14,CDS,,0,0
rno-miR-9a-5p,NM_024487,Grpel1,(((.(((((.(((((((((....&))))))..))).))))).))).,219,241,0.8461538461538461,-18.3,1,0.09612474,0.529,0.2870003545454544,0.03773023949999994,-8.212103189489033,17,22,6,CDS,,0,0
rno-miR-9a-5p,NM_024488,Cdk5rap3,(((((((((.((((((.(((...&.))).))))))...))))))))).,1483,1534,1.0,-22.2,1,0.00758659,0.441,2.2822606666666667,1.7994833874999998,-5.180080914529843,18,24,9,CDS,,0,0
rno-miR-9a-5p,NM_024489,Zbtb10,..(((((((((.((((((.((((&))))..)))))).))))))))).,2748,2771,0.8461538461538461,-19.0,1,0.0002060324,0.529,1.2529361777777779,1.2391915709999997,-8.303804028968646,19,23,9,CDS,,0,0
rno-miR-9a-5p,NM_024489,Zbtb10,((((((.((((((((.(((.(((&)))))).)))))))).)))))).,1623,1646,0.9230769230769231,-18.7,1,0.003544315,0.662,0.7489285,1.2841920462499998,-5.7143100613765965,20,23,8,CDS,,0,0
rno-miR-9a-5p,NM_030585,Rabep2,((.((((((.(((((((......&.))))))))))))).)).,1557,1581,0.8461538461538461,-17.6,1,5.799877e-05,0.412,1.2233202857142855,1.4255139205000003,-6.737620388836292,15,18,13,CDS,,0,0
rno-miR-9a-5p,NM_030656,Agxt,(((((((...(((((((((....&.)))))))))...))))))).,278,308,0.9230769230769231,-20.3,1,0.0008687165,0.485,0.47444196666666677,0.9893534624999999,-8.550105501956237,16,21,9,CDS,,0,0
rno-miR-9a-5p,NM_030827,Lrp2,(((((((((((((((.((((...&))))))))))))))))))).,12978,12998,1.0,-20.0,1,0.009370603,0.603,1.4498433999999998,1.5451394383125003,-4.1706235265052785,19,20,19,CDS,,0,0
rno-miR-9a-5p,NM_030827,Lrp2,(((((((((.((((.((((....&)))).)))).))))))))).,2519,2539,0.9230769230769231,-18.1,1,0.002441566,0.529,1.5158204444444445,1.344303255,-5.915530474780478,17,20,9,CDS,,0,0
